Date,Close,High,Low,Open,Volume
2010-01-01,37.58,38.31,37.5318,38.11,0
2010-01-04,37.92,38.15,37.55,38.13,2816520
2010-01-05,37.33,38.17,37.201,37.78,5012298
2010-01-06,37.43,37.67,37.19,37.32,3784235
2010-01-07,38.93,39.01,37.18,37.81,4647685
2010-01-08,37.79,38.87,37.65,38.76,3930673
2010-01-11,38.35,38.39,37.66,38.14,2063422
2010-01-12,36.81,38.04,36.75,37.87,3468080
2010-01-13,37.36,37.44,36.7,37.11,1484057
2010-01-14,36.73,37.49,36.62,37.44,1820136
2010-01-15,36.02,37.06,35.91,36.52,3862771
2010-01-18,36.02,37.06,35.91,36.52,0
2010-01-19,36.2,36.38,35.8001,36.02,2361182
2010-01-20,35.62,35.88,35.3,35.69,2261271
2010-01-21,34.73,36.17,34.63,35.82,2916139
2010-01-22,34.14,35.36,34.07,35.33,4300337
2010-01-25,34.32,34.61,34.02,34.44,1993409
2010-01-26,35.03,35.75,34.09,34.09,2993825
2010-01-27,34.75,35.35,34.33,35.0,2650956
2010-01-28,34.8,35.19,34.46,35.01,2527025
2010-01-29,34.54,35.66,34.52,34.92,2197586
2010-02-01,35.19,35.24,34.42,34.84,3089997
2010-02-02,36.42,36.56,35.09,35.22,3353643
2010-02-03,36.05,36.24,35.445,36.05,2986327
2010-02-04,35.11,36.69,35.06,36.59,6403372
2010-02-05,33.94,34.48,32.781,34.3,5512101
2010-02-08,34.0,34.85,33.7,34.27,4291042
2010-02-09,34.11,34.75,33.99,34.51,4490724
2010-02-10,33.61,34.34,33.42,34.03,2645781
2010-02-11,33.81,33.83,33.28,33.48,3205703
2010-02-12,34.2,34.3525,33.29,33.33,2623281
2010-02-15,34.2,34.3525,33.29,33.33,0
2010-02-16,35.08,35.18,34.43,34.8,2790298
2010-02-17,35.12,35.6,35.0,35.35,1438121
2010-02-18,35.02,35.09,34.62,34.93,1605416
2010-02-19,35.7,36.24,35.17,35.17,4431696
2010-02-22,36.13,36.35,35.91,36.04,4439945
2010-02-23,36.19,36.39,35.13,35.19,6205679
2010-02-24,36.59,36.63,36.07,36.11,2283618
2010-02-25,36.88,37.0,35.75,35.87,2658251
2010-02-26,36.94,37.18,36.62,36.83,1842463
2010-03-01,37.59,37.8,36.7,36.77,2441003
2010-03-02,37.7,38.0,37.58,37.65,2028250
2010-03-03,37.81,38.18,37.4,37.67,2897372
2010-03-04,38.32,38.61,37.89,38.19,2468068
2010-03-05,39.01,39.21,38.36,38.52,1884325
2010-03-08,39.33,39.49,38.83,38.93,2066615
2010-03-09,39.14,39.57,38.9,39.15,2161233
2010-03-10,39.15,39.445,39.0,39.14,1938671
2010-03-11,38.94,39.22,38.62,39.0,2201550
2010-03-12,39.83,39.97,39.02,39.26,3013194
2010-03-15,40.0,40.0,39.35,39.81,1815015
2010-03-16,39.72,40.13,39.42,39.95,1797486
2010-03-17,39.91,39.94,39.34,39.77,2480354
2010-03-18,40.26,40.29,39.66,39.75,3311017
2010-03-19,40.42,41.07,40.11,40.37,3994478
2010-03-22,41.29,41.38,40.0,40.02,2812118
2010-03-23,41.46,41.58,40.78,41.24,2235252
2010-03-24,40.88,41.38,40.65,41.35,1712454
2010-03-25,41.19,41.95,41.01,41.21,2393678
2010-03-26,41.75,42.14,41.32,41.32,2291251
2010-03-29,41.81,42.2,41.44,42.02,1931065
2010-03-30,41.36,41.81,41.0,41.65,1563603
2010-03-31,40.85,41.36,40.7,41.19,1612943
2010-04-01,41.5,41.69,41.11,41.31,1222412
2010-04-02,41.5,41.69,41.11,41.31,0
2010-04-05,42.76,42.88,41.33,41.54,1913078
2010-04-06,43.37,43.42,42.15,42.56,2751888
2010-04-07,42.1,43.38,41.88,43.33,4045448
2010-04-08,41.44,42.09,41.35,42.0,3496598
2010-04-09,42.55,42.61,41.44,41.73,2528337
2010-04-12,42.01,42.7,41.95,42.66,2031022
2010-04-13,41.83,42.3,41.6,41.9,2080279
2010-04-14,42.95,43.1,41.86,41.9,2121325
2010-04-15,43.46,43.61,42.52,42.73,2873392
2010-04-16,42.95,43.56,42.57,43.4,3275141
2010-04-19,42.19,42.99,41.03,42.7,3492957
2010-04-20,42.88,42.9,42.02,42.37,2840899
2010-04-21,43.72,43.87,42.58,42.77,3492747
2010-04-22,45.34,45.55,43.23,43.4,4794368
2010-04-23,45.9,45.97,45.05,45.18,3373267
2010-04-26,44.68,46.22,44.58,45.83,3741621
2010-04-27,42.85,44.49,42.69,44.37,3881038
2010-04-28,42.46,43.59,42.04,43.0,3095094
2010-04-29,42.91,43.293,42.66,42.73,2998966
2010-04-30,41.33,43.22,41.2,43.01,4217186
2010-05-03,43.63,44.0,41.42,41.5,4649585
2010-05-04,41.67,43.18,41.45,43.03,2800841
2010-05-05,41.5,42.79,40.74,41.33,2746980
2010-05-06,40.56,42.95,38.63,41.54,6634128
2010-05-07,40.06,42.03,39.7,40.18,6968523
2010-05-10,43.25,43.37,41.63,41.99,3896498
2010-05-11,42.08,43.5,41.99,42.59,4762238
2010-05-12,43.03,43.24,41.65,42.11,3334662
2010-05-13,41.29,43.12,41.04,42.96,5002380
2010-05-14,39.76,40.66,39.28,39.9,6020153
2010-05-17,39.25,39.94,38.25,39.75,6356660
2010-05-18,38.06,39.97,37.9,39.59,3605314
2010-05-19,38.41,39.04,37.5,37.57,5538152
2010-05-20,37.26,38.5037,36.78,36.83,6730703
2010-05-21,38.12,38.68,36.29,36.35,4411358
2010-05-24,37.6,38.65,37.53,38.07,2842516
2010-05-25,38.33,38.37,36.2,36.51,3380682
2010-05-26,37.72,39.17,37.39,38.56,3734475
2010-05-27,39.92,39.93,38.54,38.6,3152079
2010-05-28,39.7,40.45,39.03,39.82,3046343
2010-05-31,39.7,40.45,39.03,39.82,0
2010-06-01,39.25,40.03,38.94,39.15,3509272
2010-06-02,40.25,40.2506,39.17,39.68,3574720
2010-06-03,38.52,39.3,38.08,39.03,6658172
2010-06-04,36.47,37.92,36.13,37.66,4915777
2010-06-07,35.82,37.6,35.73,36.83,3215696
2010-06-08,36.11,36.5,35.27,35.93,3999636
2010-06-09,36.32,37.36,36.06,36.53,3300830
2010-06-10,37.79,37.98,36.72,37.15,3345823
2010-06-11,37.85,38.25,37.07,37.23,2566844
2010-06-14,38.81,39.54,38.27,38.27,2934781
2010-06-15,40.3,40.3,39.12,39.39,3508018
2010-06-16,40.0,40.56,39.39,39.98,3272233
2010-06-17,39.13,40.01,38.75,39.97,2252319
2010-06-18,38.66,39.715,38.53,39.28,2499615
2010-06-21,37.73,39.51,37.41,39.28,3378966
2010-06-22,36.89,38.68,36.83,37.86,3963644
2010-06-23,36.84,37.23,36.0,36.81,3253536
2010-06-24,35.38,36.64,35.18,36.64,3449550
2010-06-25,35.54,35.77,34.85,35.44,4191243
2010-06-28,34.95,36.01,34.91,35.73,2759413
2010-06-29,32.51,34.57,32.3,34.24,6444239
2010-06-30,32.19,33.2725,32.04,32.5,4920613
2010-07-01,32.81,33.0226,31.47,32.24,4561561
2010-07-02,32.17,33.46,32.06,33.18,3197562
2010-07-05,32.17,33.46,32.06,33.18,0
2010-07-06,31.97,33.5,31.53,32.82,4083470
2010-07-07,33.76,33.82,31.73,31.85,5291494
2010-07-08,33.69,35.6,32.54,35.6,8688218
2010-07-09,34.54,34.65,33.49,33.72,3267027
2010-07-12,34.15,34.51,33.6525,34.34,1942445
2010-07-13,34.62,34.88,34.155,34.61,2707853
2010-07-14,34.36,34.5,33.67,34.44,2322263
2010-07-15,34.23,34.59,33.47,34.4,2711713
2010-07-16,32.25,34.14,32.19,34.04,3192035
2010-07-19,31.58,32.58,30.75,32.49,6392302
2010-07-20,32.95,32.99,30.9,31.05,4797146
2010-07-21,32.04,33.26,31.92,33.2,3583688
2010-07-22,33.53,33.71,32.56,32.56,3654785
2010-07-23,34.08,34.11,32.6,33.29,3842513
2010-07-26,34.9,34.91,33.55,34.08,2199231
2010-07-27,34.48,35.39,34.34,35.07,3586925
2010-07-28,33.61,34.71,33.44,34.38,1828300
2010-07-29,33.53,34.43,32.64,33.88,3052559
2010-07-30,34.0,34.09,32.69,32.99,2893516
2010-08-02,35.51,35.78,34.16,34.62,3776462
2010-08-03,34.01,35.42,33.8801,35.41,3681188
2010-08-04,34.74,34.96,33.91,34.25,2899930
2010-08-05,34.12,34.34,33.0,33.94,4142251
2010-08-06,33.96,34.02,33.03,33.6,2823347
2010-08-09,35.13,35.29,34.25,34.29,3647375
2010-08-10,34.44,34.71,34.14,34.55,2760340
2010-08-11,33.57,34.28,33.33,33.66,3247684
2010-08-12,33.44,33.63,31.92,32.9,4914010
2010-08-13,31.05,32.3,30.85,31.5,8843476
2010-08-16,30.12,30.89,29.97,30.83,5068284
2010-08-17,30.99,31.46,30.17,30.27,3549402
2010-08-18,31.64,31.96,30.66,30.99,3357869
2010-08-19,31.19,31.5,30.821,31.23,3564638
2010-08-20,31.77,31.86,30.97,30.97,2912852
2010-08-23,31.23,32.24,31.15,31.83,2333385
2010-08-24,30.38,30.78,30.09,30.78,3403616
2010-08-25,31.12,31.28,29.9,30.03,3401463
2010-08-26,30.19,31.46,30.17,31.21,2788945
2010-08-27,30.28,30.41,29.6,30.3,4593037
2010-08-30,28.72,30.28,28.72,30.19,5020863
2010-08-31,28.92,29.565,28.44,28.57,3926223
2010-09-01,30.32,30.36,29.13,29.48,3814322
2010-09-02,32.76,32.92,31.38,32.4,6933144
2010-09-03,33.47,33.98,32.92,33.4,4601699
2010-09-06,33.47,33.98,32.92,33.4,0
2010-09-07,32.62,33.33,32.5,33.15,4433392
2010-09-08,33.0,33.2,32.54,32.6,2901697
2010-09-09,32.97,33.83,32.88,33.7,2443979
2010-09-10,33.27,33.47,32.95,33.04,2377945
2010-09-13,34.3,34.66,33.54,33.77,4201504
2010-09-14,35.28,35.53,34.19,34.24,3429123
2010-09-15,36.08,36.12,34.96,35.2,4817182
2010-09-16,36.14,36.32,35.62,35.7,2977674
2010-09-17,36.09,36.55,35.89,36.36,3905455
2010-09-20,36.37,36.62,35.83,36.22,3216769
2010-09-21,35.92,36.48,35.71,36.48,2717604
2010-09-22,35.6,36.0,35.07,35.72,3218169
2010-09-23,35.29,35.82,34.95,35.21,2427101
2010-09-24,36.51,36.62,35.87,35.87,2326331
2010-09-27,36.91,37.53,36.1,36.33,4688628
2010-09-28,38.31,38.41,36.78,37.24,4899903
2010-09-29,37.6,38.31,37.47,38.09,3679796
2010-09-30,37.2,38.25,36.63,38.0,3380875
2010-10-01,37.11,37.83,36.8,37.61,2838412
2010-10-04,37.16,37.27,36.6,37.14,2626970
2010-10-05,37.77,37.88,36.9,37.58,3290119
2010-10-06,37.54,37.89,37.055,37.52,3637734
2010-10-07,38.48,38.48,36.98,37.91,5611495
2010-10-08,39.06,39.74,38.3,38.47,3641083
2010-10-11,39.11,39.99,38.69,39.04,3811662
2010-10-12,39.01,39.27,38.38,38.83,2724367
2010-10-13,38.43,39.46,38.31,39.39,3175637
2010-10-14,38.17,38.72,37.84,38.39,2226784
2010-10-15,38.8,38.81,37.9202,38.63,2697280
2010-10-18,38.86,39.22,37.65,38.85,4135834
2010-10-19,37.34,38.41,36.975,38.24,3796194
2010-10-20,36.95,37.67,36.92,37.47,4651051
2010-10-21,36.1,37.49,35.92,37.1,5247954
2010-10-22,36.89,37.14,36.1,36.2,4041356
2010-10-25,37.53,38.42,37.06,37.33,3547426
2010-10-26,38.15,38.2901,36.96,37.11,2487747
2010-10-27,38.26,38.32,37.15,37.73,3817975
2010-10-28,38.73,38.76,37.725,38.65,3800245
2010-10-29,38.51,38.62,38.08,38.62,2629335
2010-11-01,38.64,39.89,38.34,38.9,2982767
2010-11-02,39.23,39.58,38.62,38.97,1787182
2010-11-03,39.31,39.51,38.36,39.36,2403698
2010-11-04,41.93,41.97,39.8,39.8,4722144
2010-11-05,42.5,42.76,41.79,41.79,2589995
2010-11-08,42.77,42.86,41.8,42.42,2020900
2010-11-09,41.9,42.83,41.64,42.83,2133353
2010-11-10,42.39,42.62,41.4704,41.84,2165544
2010-11-11,42.4,42.59,41.61,41.9,1795833
2010-11-12,41.4,42.37,40.99,42.17,3333612
