Date,Close,High,Low,Open,Volume
2010-01-01,53.2,53.96,53.17,53.96,0
2010-01-04,52.83,53.57,52.57,53.31,2748957
2010-01-05,52.95,52.98,52.55,52.8,1471995
2010-01-06,52.96,53.14,52.6,52.82,1494252
2010-01-07,53.48,53.52,52.7,52.78,1782835
2010-01-08,53.38,53.38,53.0,53.3,1342605
2010-01-11,53.41,53.72,53.03,53.51,943900
2010-01-12,53.39,53.65,53.14,53.16,1463716
2010-01-13,53.72,53.99,53.46,53.46,1405211
2010-01-14,53.85,54.11,53.6,53.85,1638316
2010-01-15,54.34,54.96,54.1,54.5,3781379
2010-01-18,54.34,54.96,54.1,54.5,0
2010-01-19,54.5,54.6,54.28,54.28,1437202
2010-01-20,53.87,54.43,53.5,54.3,1869594
2010-01-21,53.44,54.46,53.16,53.97,2401051
2010-01-22,54.34,54.61,53.24,53.28,4831970
2010-01-25,54.17,54.57,54.12,54.44,2339787
2010-01-26,54.85,54.86,53.82,54.06,2906008
2010-01-27,55.05,55.28,54.7,54.76,3484555
2010-01-28,54.81,55.45,54.14,55.03,2439859
2010-01-29,54.42,54.98,54.27,54.97,3334265
2010-02-01,54.72,54.88,54.34,54.79,3389044
2010-02-02,55.36,55.39,54.44,54.58,3271245
2010-02-03,55.19,55.41,54.9405,55.3,2837019
2010-02-04,52.41,54.43,52.41,53.82,6502199
2010-02-05,52.72,53.02,52.06,52.19,4462973
2010-02-08,52.01,52.82,51.99,52.82,2102461
2010-02-09,52.49,52.88,52.14,52.29,2192553
2010-02-10,52.33,52.62,52.2201,52.55,2001843
2010-02-11,52.62,52.66,51.93,52.41,1918861
2010-02-12,52.34,52.79,52.2,52.39,3178951
2010-02-15,52.34,52.79,52.2,52.39,0
2010-02-16,52.6,52.68,51.91,52.68,2551026
2010-02-17,52.98,52.98,52.45,52.66,2304571
2010-02-18,53.01,53.12,52.78,53.04,1458828
2010-02-19,53.2,53.4,52.81,52.93,1985146
2010-02-22,52.86,53.32,52.74,53.15,2577034
2010-02-23,52.73,53.06,52.37,52.89,2344663
2010-02-24,52.4,53.32,52.15,52.99,2329210
2010-02-25,52.31,52.38,51.7,52.04,2045396
2010-02-26,52.15,52.39,51.82,52.33,2110649
2010-03-01,52.16,52.46,52.05,52.31,2476061
2010-03-02,52.61,52.77,52.32,52.46,2301790
2010-03-03,52.57,52.79,52.48,52.6,2050917
2010-03-04,52.65,53.0,52.21,52.53,2761831
2010-03-05,52.93,52.94,52.41,52.77,1649398
2010-03-08,52.62,52.8,52.51,52.8,1517961
2010-03-09,52.43,52.71,52.32,52.35,1408255
2010-03-10,52.51,52.75,52.31,52.47,2099281
2010-03-11,52.69,52.97,52.33,52.8,2333852
2010-03-12,52.49,53.05,52.44,52.61,2173266
2010-03-15,52.51,52.8,52.39,52.44,1385519
2010-03-16,52.83,52.91,52.505,52.73,1912542
2010-03-17,52.96,53.125,52.62,52.97,1966965
2010-03-18,52.84,53.0773,52.7,52.82,1974417
2010-03-19,53.43,53.46,52.69,53.14,3240596
2010-03-22,54.16,54.32,53.26,53.49,3631612
2010-03-23,54.76,54.8,54.12,54.3,2804463
2010-03-24,54.61,54.75,54.34,54.55,2126528
2010-03-25,54.24,54.8,53.95,54.7,2490737
2010-03-26,53.76,54.35,53.53,54.2,1940509
2010-03-29,53.86,53.96,53.1,53.25,2381217
2010-03-30,53.75,54.2,53.73,53.89,1937673
2010-03-31,53.43,53.72,53.34,53.49,1943249
2010-04-01,53.61,53.89,53.43,53.57,1933329
2010-04-02,53.61,53.89,53.43,53.57,0
2010-04-05,53.14,53.81,53.0275,53.81,1960367
2010-04-06,53.04,53.155,52.85,53.04,1824013
2010-04-07,52.65,53.06,52.54,53.06,2325077
2010-04-08,52.31,52.58,52.24,52.5,2309278
2010-04-09,52.81,52.97,52.03,52.24,3031568
2010-04-12,53.08,53.17,52.9,53.06,1566822
2010-04-13,53.12,53.27,52.93,52.97,2170507
2010-04-14,53.52,53.52,52.94,53.12,2721441
2010-04-15,53.54,53.7,52.91,53.29,1960539
2010-04-16,54.04,54.12,53.4,53.44,3888042
2010-04-19,53.78,53.94,53.45,53.83,2235759
2010-04-20,53.61,54.0,53.15,53.83,2450188
2010-04-21,53.87,54.0,53.52,53.56,2284766
2010-04-22,53.98,54.0,53.52,53.71,2339667
2010-04-23,53.62,53.95,53.36,53.88,2189988
2010-04-26,53.34,53.96,53.27,53.67,2326050
2010-04-27,52.43,53.25,52.43,53.05,2996492
2010-04-28,52.58,52.8,52.15,52.64,2918879
2010-04-29,55.01,55.36,53.0,53.95,8059008
2010-04-30,54.94,55.45,54.76,54.79,3460464
2010-05-03,54.74,55.13,54.29,54.98,2704216
2010-05-04,54.13,54.86,53.96,54.31,3053198
2010-05-05,54.74,54.78,53.885,53.89,3409281
2010-05-06,53.71,54.9,52.5,54.6,4834570
2010-05-07,52.84,53.7,52.4,53.39,4407960
2010-05-10,54.25,54.49,53.78,54.16,3062443
2010-05-11,54.38,54.92,53.64,53.87,1859296
2010-05-12,54.89,55.0,54.1,54.39,2729049
2010-05-13,54.63,55.25,54.43,54.95,1673983
2010-05-14,54.5,54.63,54.2,54.56,2680378
2010-05-17,55.58,55.68,54.48,54.78,3655083
2010-05-18,55.46,56.0,55.39,55.74,2799465
2010-05-19,55.17,55.46,54.7,55.41,2829476
2010-05-20,53.76,54.61,53.76,54.55,4538620
2010-05-21,54.08,54.08,53.2,53.2,2781660
2010-05-24,53.96,54.43,53.61,53.82,1540089
2010-05-25,53.43,53.43,52.67,53.13,2916091
2010-05-26,52.91,53.83,52.85,53.78,3189453
2010-05-27,53.59,53.61,52.97,53.18,1668106
2010-05-28,53.43,53.88,53.215,53.74,2665788
2010-05-31,53.43,53.88,53.215,53.74,0
2010-06-01,53.59,54.05,53.03,53.14,3136060
2010-06-02,54.94,54.94,53.79,53.85,2989738
2010-06-03,55.11,55.21,54.88,55.0,1604366
2010-06-04,53.22,54.12,52.97,53.85,4455929
2010-06-07,53.49,54.23,53.02,53.17,2437012
2010-06-08,54.35,54.4,53.33,53.49,3138543
2010-06-09,53.98,54.64,53.85,54.44,3443791
2010-06-10,54.33,54.74,54.06,54.55,3892859
2010-06-11,53.66,53.99,53.37,53.85,3162523
2010-06-14,54.47,54.9,53.99,54.08,3347432
2010-06-15,54.62,54.97,54.2,54.91,2181102
2010-06-16,54.2,54.4,54.07,54.18,2289027
2010-06-17,54.8,54.81,54.22,54.42,2448265
2010-06-18,54.47,54.96,54.41,54.77,3005265
2010-06-21,53.96,54.89,53.57,54.5,4033448
2010-06-22,53.48,54.47,53.44,53.78,2359499
2010-06-23,53.38,53.65,53.015,53.46,1824534
2010-06-24,52.86,53.28,52.66,53.28,2232640
2010-06-25,52.42,53.04,52.33,52.78,3103178
2010-06-28,52.51,53.06,52.3,52.43,2042460
2010-06-29,51.75,52.34,51.26,52.01,3233065
2010-06-30,50.3,51.27,50.21,51.27,4905505
2010-07-01,50.77,50.83,49.75,50.21,3107475
2010-07-02,50.67,50.98,50.45,50.77,1821404
2010-07-05,50.67,50.98,50.45,50.77,0
2010-07-06,51.31,51.63,50.88,51.3,1745656
2010-07-07,51.99,51.99,51.1,51.35,1688700
2010-07-08,51.94,52.42,51.56,52.23,2172662
2010-07-09,51.77,52.05,51.62,52.04,1042011
2010-07-12,51.63,51.73,51.42,51.56,1012224
2010-07-13,51.95,52.2292,51.8,52.05,1661843
2010-07-14,52.06,52.095,51.49,51.79,2300354
2010-07-15,51.89,52.26,51.39,52.12,2455368
2010-07-16,51.05,51.81,50.93,51.64,2080838
2010-07-19,51.31,51.48,50.89,51.33,1811396
2010-07-20,51.64,51.65,50.78,50.8,1834624
2010-07-21,51.14,51.84,50.99,51.83,1925658
2010-07-22,50.6,51.625,50.35,51.33,3333959
2010-07-23,51.1,51.4,50.54,50.63,2488106
2010-07-26,51.34,51.51,51.0,51.0,2345423
2010-07-27,52.48,52.58,51.15,51.55,3708374
2010-07-28,51.52,52.48,51.47,52.48,3023336
2010-07-29,47.98,50.1,47.28,49.54,10932300
2010-07-30,50.05,50.16,47.79,47.79,9722295
2010-08-02,50.0,50.53,49.75,50.47,4236974
2010-08-03,49.67,50.07,49.52,49.59,3758060
2010-08-04,50.76,50.95,49.68,49.85,3461905
2010-08-05,49.87,50.6,48.97,50.6,5463540
2010-08-06,50.15,50.24,49.43,49.63,4328367
2010-08-09,50.79,51.09,50.21,50.21,3977562
2010-08-10,51.77,51.84,50.58,50.58,4992806
2010-08-11,50.92,51.38,50.63,51.25,4404353
2010-08-12,50.37,50.65,49.8,49.91,4689486
2010-08-13,50.64,51.02,50.06,50.22,3457011
2010-08-16,50.93,50.94,50.23,50.48,1608726
2010-08-17,51.2,51.57,50.86,51.13,2379440
2010-08-18,50.96,51.3,50.79,51.27,2282713
2010-08-19,49.86,50.91,49.7,50.91,3670858
2010-08-20,49.75,49.86,49.51,49.76,2878871
2010-08-23,49.91,50.21,49.7524,49.96,1795018
2010-08-24,49.72,49.94,49.5,49.51,2802032
2010-08-25,49.6,49.92,49.32,49.4,2756135
2010-08-26,49.41,49.829,49.0,49.62,3075573
2010-08-27,50.49,50.51,49.48,49.48,2519386
2010-08-30,49.31,50.12,49.29,49.97,1996415
2010-08-31,49.68,50.03,49.27,49.27,3239760
2010-09-01,49.9,50.44,49.68,50.2,3298561
2010-09-02,50.02,50.17,49.49,50.06,2568186
2010-09-03,50.41,50.41,49.94,50.2,1954095
2010-09-06,50.41,50.41,49.94,50.2,0
2010-09-07,50.07,50.53,50.03,50.23,1180270
