Date,Close,High,Low,Open,Volume
2015-07-06,72.96,74.29,71.0,71.0,3809713
2015-07-07,74.63,74.71,72.96,73.73,5794811
2015-07-08,75.4,75.5,74.04,74.3,4277461
2015-07-09,74.8,77.066,74.5,76.47,4267057
2015-07-10,77.31,77.8,75.0,75.05,4982979
2015-07-13,78.83,79.7,77.91,79.5,9078901
2015-07-14,78.0,79.5,77.65,79.45,18746119
2015-07-15,76.71,78.17,76.4,77.65,6330496
2015-07-16,78.75,78.84,76.9501,76.97,5634050
2015-07-17,79.63,79.69,77.26,79.43,6100876
2015-07-20,80.11,81.2,79.13,79.95,10284545
2015-07-21,80.22,80.68,79.4,79.97,6123210
2015-07-22,78.64,80.9,78.58,80.83,5201248
2015-07-23,76.74,78.57,76.64,78.42,2975649
2015-07-24,76.41,77.43,75.95,76.92,3116008
2015-07-27,77.38,77.98,76.29,76.63,5774342
2015-07-28,78.32,78.65,77.5,78.44,1895916
2015-07-29,77.91,78.2999,77.0,78.26,2278559
2015-07-30,79.21,79.69,77.6,78.21,3246987
2015-07-31,79.47,79.94,78.865,79.94,2685520
2015-08-03,80.37,81.03,79.91,80.0,2681801
2015-08-04,79.81,81.0,79.67,80.57,2429632
2015-08-05,80.48,81.0,79.85,80.01,4324721
2015-08-06,79.76,81.19,79.51,81.05,3708640
2015-08-07,78.46,79.38,77.29,79.14,3274134
2015-08-10,78.81,79.8,78.57,79.43,3252284
2015-08-11,77.97,80.48,77.07,77.63,3889072
2015-08-12,76.69,78.31,76.09,77.83,3688888
2015-08-13,75.99,77.07,75.8,77.01,2917485
2015-08-14,76.42,76.74,75.117,76.07,2573375
2015-08-17,75.8,76.41,75.51,75.86,2260346
2015-08-18,75.19,75.953,75.06,75.72,2009694
2015-08-19,74.78,75.29,73.92,75.0,3026467
2015-08-20,74.25,74.7644,73.78,74.02,2206972
2015-08-21,72.27,74.25,72.26,73.31,5564549
2015-08-24,70.87,72.24,61.42,68.24,9844588
2015-08-25,70.21,72.4,70.0,71.54,4423354
2015-08-26,73.91,74.11,69.53,71.72,5356315
2015-08-27,75.18,75.25,73.12,73.17,5937763
2015-08-28,74.69,75.19,73.82,74.4,2150122
2015-08-31,72.66,74.43,72.57,74.21,2688401
2015-09-01,70.12,72.54,69.64,71.23,4671422
2015-09-02,72.07,72.07,70.31,70.84,2986466
2015-09-03,72.16,73.89,71.79,72.56,2595274
2015-09-04,70.57,71.69,70.129,71.14,2997042
2015-09-07,70.57,70.57,70.57,70.57,0
2015-09-08,74.07,74.33,70.81,71.85,4450669
2015-09-09,72.17,74.5,71.98,74.45,2936421
2015-09-10,72.16,73.05,71.78,72.13,3619666
2015-09-11,73.76,73.93,71.6,72.25,2146733
2015-09-14,74.55,74.71,72.555,73.5,2927415
2015-09-15,75.39,75.52,73.755,74.94,3393323
2015-09-16,76.37,76.71,74.3,75.2,2302883
2015-09-17,76.43,77.7599,76.0,76.58,3142630
2015-09-18,75.44,76.5,75.01,75.55,7231726
2015-09-21,75.2,76.19,74.96,75.69,3256338
2015-09-22,74.31,74.87,73.66,74.15,2628741
2015-09-23,73.31,74.598,73.2551,74.17,3713174
2015-09-24,72.92,73.14,71.7,73.0,4416111
2015-09-25,73.35,73.85,72.78,73.8,3517027
2015-09-28,69.99,73.27,69.99,72.81,5006583
2015-09-29,69.2,70.98,68.65,70.16,3870926
2015-09-30,70.58,70.8,69.46,69.67,3132780
2015-10-01,70.83,71.97,69.7701,71.27,2519675
2015-10-02,71.41,71.46,69.37,70.19,2593109
2015-10-05,72.24,73.25,71.3496,72.0,6323458
2015-10-06,72.47,73.05,71.89,72.29,2819787
2015-10-07,73.15,73.74,72.4801,72.74,2325233
2015-10-08,74.43,74.47,72.74,73.16,2239703
2015-10-09,74.39,75.22,73.99,74.41,2938086
2015-10-12,73.72,74.41,73.31,74.41,2081888
2015-10-13,73.38,73.93,73.18,73.61,2147545
2015-10-14,73.77,74.3,73.0,73.12,1956846
2015-10-15,75.22,75.22,73.922,74.15,2135670
2015-10-16,77.39,78.0,74.87,75.68,3435205
2015-10-19,76.8,77.1999,76.29,76.89,1951906
2015-10-20,76.87,77.1599,76.11,76.2,1922053
2015-10-21,77.05,77.74,76.63,77.0,2371767
2015-10-22,79.94,79.94,77.22,77.22,3951738
2015-10-23,77.98,79.89,77.43,79.15,3179036
2015-10-26,76.81,78.18,76.48,78.18,2563812
2015-10-27,77.17,77.4799,76.21,76.21,2435227
2015-10-28,79.18,79.2,76.34,77.15,2382026
2015-10-29,78.65,78.997,77.849,78.84,1788502
2015-10-30,77.97,78.99,77.86,78.37,2053021
2015-11-02,78.27,78.93,77.72,78.43,1536530
2015-11-03,76.43,77.9999,75.8803,77.83,4489805
2015-11-04,75.82,76.6683,75.24,76.32,2631285
2015-11-05,75.42,76.4989,74.75,76.2,3347202
2015-11-06,72.01,74.5,71.58,73.75,8819867
2015-11-09,71.24,72.68,70.85,72.0,4231011
2015-11-10,72.08,72.22,71.1506,71.68,3470418
2015-11-11,72.11,72.86,71.36,72.7,3537798
2015-11-12,70.9,71.3775,70.25,71.18,3931505
2015-11-13,70.77,71.71,70.5801,70.62,3008004
2015-11-16,71.655,72.11,70.94,71.02,2398441
2015-11-17,71.45,72.13,70.64,72.1,4247437
2015-11-18,72.585,73.035,71.17,71.84,3780235
2015-11-19,73.34,73.73,72.34,73.25,2828653
2015-11-20,73.65,75.57,73.4,74.17,4003243
2015-11-23,74.07,74.54,73.895,74.03,2706173
2015-11-24,74.47,74.51,73.68,73.73,2863937
2015-11-25,74.64,74.92,73.85,74.45,2384073
2015-11-26,74.64,74.64,74.64,74.64,0
2015-11-27,74.61,75.0,74.22,74.57,777321
2015-11-30,73.69,74.86,73.5,74.52,4200074
2015-12-01,74.47,75.0,73.8,74.23,3749325
2015-12-02,73.04,74.6199,72.9201,74.21,2568705
2015-12-03,71.46,73.68,71.09,73.3,3019136
2015-12-04,72.22,72.73,71.07,71.4,4495856
2015-12-07,71.43,72.2045,70.8503,71.92,3323628
2015-12-08,71.53,71.6548,70.588,71.0,4520579
2015-12-09,70.9,72.17,70.5,71.16,3940794
2015-12-10,70.84,71.335,70.51,70.83,2733737
