Date,Close,High,Low,Open,Volume
2010-01-01,13.53,14.0,13.42,13.98,0
2010-01-04,13.66,13.88,13.56,13.62,6263728
2010-01-05,13.59,13.72,13.41,13.58,5996162
2010-01-06,13.65,13.76,13.51,13.59,6165591
2010-01-07,14.11,14.14,13.58,13.58,6926148
2010-01-08,13.93,14.18,13.78,14.05,5636970
2010-01-11,14.13,14.17,13.88,14.06,5671368
2010-01-12,13.74,14.06,13.67,13.75,9849361
2010-01-13,14.19,14.39,13.68,13.72,7826270
2010-01-14,13.97,14.19,13.795,14.11,5803021
2010-01-15,13.62,13.99,13.54,13.88,7875047
2010-01-18,13.62,13.99,13.54,13.88,0
2010-01-19,13.81,13.86,13.33,13.37,8136858
2010-01-20,13.61,13.67,13.4,13.65,7683417
2010-01-21,13.27,13.75,13.25,13.67,9368318
2010-01-22,13.04,13.53,12.96,13.28,9154054
2010-01-25,13.05,13.28,12.8,13.28,6171286
2010-01-26,12.84,13.1,12.79,12.98,6221918
2010-01-27,12.83,12.9,12.52,12.85,7591468
2010-01-28,12.59,12.99,12.4,12.99,6152797
2010-01-29,12.62,12.84,12.46,12.69,7352993
2010-02-01,12.93,12.93,12.655,12.72,4493865
2010-02-02,13.01,13.09,12.76,12.95,5560257
2010-02-03,12.66,13.07,12.54,12.97,5976813
2010-02-04,12.66,12.91,12.49,12.57,13464871
2010-02-05,12.97,13.19,12.63,12.66,12127807
2010-02-08,12.6,13.11,12.58,12.95,6487090
2010-02-09,12.8,12.89,12.555,12.75,10004938
2010-02-10,12.76,13.0,12.5,12.83,3429027
2010-02-11,12.73,12.85,12.54,12.78,5017652
2010-02-12,12.82,12.84,12.5,12.63,4772837
2010-02-15,12.82,12.84,12.5,12.63,0
2010-02-16,13.23,13.26,12.88,13.01,4421910
2010-02-17,13.42,13.57,13.23,13.33,4424423
2010-02-18,13.74,13.86,13.34,13.4,5190970
2010-02-19,13.71,13.79,13.49,13.66,4500364
2010-02-22,13.64,13.8,13.59,13.8,3401087
2010-02-23,13.44,13.68,13.38,13.57,4255509
2010-02-24,13.8,13.8,13.44,13.55,4363715
2010-02-25,13.95,14.01,13.48,13.59,4946272
2010-02-26,13.89,14.09,13.88,14.04,8049830
2010-03-01,14.0,14.1,13.87,13.97,5629913
2010-03-02,14.02,14.12,13.94,14.08,6764327
2010-03-03,14.0,14.14,13.89,14.04,5604520
2010-03-04,14.04,14.09,13.935,14.01,4368258
2010-03-05,14.61,14.66,14.01,14.13,5533636
2010-03-08,14.75,14.85,14.6,14.61,3082554
2010-03-09,14.68,14.93,14.54,14.62,4133588
2010-03-10,14.75,14.87,14.57,14.69,3404704
2010-03-11,14.93,14.95,14.56,14.68,3014597
2010-03-12,15.12,15.2,14.96,15.07,2874399
2010-03-15,15.09,15.19,14.86,15.09,3570151
2010-03-16,15.57,15.625,15.11,15.12,5046082
2010-03-17,15.9,16.05,15.55,15.63,4893092
2010-03-18,15.64,15.91,15.6,15.83,5784836
2010-03-19,15.57,15.76,15.45,15.61,5072295
2010-03-22,15.79,15.85,15.36,15.47,3762986
2010-03-23,15.69,15.9,15.54,15.86,5477495
2010-03-24,15.88,15.99,15.62,15.62,4129489
2010-03-25,16.06,16.44,15.98,16.01,4768642
2010-03-26,16.1,16.23,15.88,16.13,5636186
2010-03-29,16.16,16.21,15.94,16.21,4428723
2010-03-30,16.04,16.21,15.965,16.13,5245829
2010-03-31,15.64,15.935,15.63,15.76,6897983
2010-04-01,15.74,15.88,15.58,15.79,5960635
2010-04-02,15.74,15.88,15.58,15.79,0
2010-04-05,16.06,16.13,15.74,15.87,6218495
2010-04-06,16.53,16.55,15.94,15.94,5386725
2010-04-07,15.99,16.55,15.92,16.49,6464856
2010-04-08,16.09,16.22,15.87,15.96,5031531
2010-04-09,16.4,16.47,16.09,16.09,5508770
2010-04-12,16.16,16.51,16.16,16.42,4643616
2010-04-13,16.5,16.59,16.15,16.15,5217501
2010-04-14,16.29,16.72,16.23,16.62,6227514
2010-04-15,15.65,16.3,15.58,16.25,7215640
2010-04-16,15.13,15.77,15.11,15.52,11120903
2010-04-19,15.15,15.31,14.81,15.02,10497773
2010-04-20,15.12,15.34,14.92,15.2,9806706
2010-04-21,15.31,15.51,15.06,15.14,7471695
