Date,Close,High,Low,Open,Volume
2010-01-01,24.25,24.75,24.25,24.49,0
2010-01-04,23.98,24.48,23.87,24.48,2122873
2010-01-05,24.12,24.12,23.6,24.03,1689207
2010-01-06,24.43,24.5,24.01,24.18,1566888
2010-01-07,24.2,24.68,24.11,24.36,1550712
2010-01-08,24.31,24.33,23.85,24.1,894992
2010-01-11,23.95,24.35,23.8,24.34,900837
2010-01-12,23.37,23.75,23.18,23.75,2092057
2010-01-13,23.49,23.54,23.03,23.41,1280295
2010-01-14,22.91,23.43,22.7,23.4,1164627
2010-01-15,22.56,23.09,22.41,22.74,1091861
2010-01-18,22.56,23.09,22.41,22.74,0
2010-01-19,22.85,22.94,22.41,22.56,1791978
2010-01-20,22.4,22.66,22.32,22.59,1694974
2010-01-21,21.65,22.1,21.14,21.65,3750320
2010-01-22,21.29,21.94,21.2,21.59,1954417
2010-01-25,21.58,21.73,21.37,21.47,1065922
2010-01-26,21.41,21.82,21.36,21.51,677209
2010-01-27,21.34,21.51,20.8504,21.32,1990184
2010-01-28,21.1,21.4,20.98,21.35,1585291
2010-01-29,20.63,21.43,20.61,21.19,2025626
2010-02-01,21.1,21.16,20.7,20.7,1044694
2010-02-02,21.64,21.69,20.99,21.18,984812
2010-02-03,21.49,21.67,21.24,21.44,1210408
2010-02-04,20.73,21.39,20.67,21.22,2022374
2010-02-05,20.24,20.82,19.73,20.74,2623270
2010-02-08,20.33,20.76,20.25,20.7,1292763
2010-02-09,20.75,20.95,20.4,20.89,2045021
2010-02-10,20.8,21.05,20.52,20.73,1259192
2010-02-11,21.21,21.23,20.56,20.85,1662026
2010-02-12,21.0,21.05,20.76,20.97,1716288
2010-02-15,21.0,21.05,20.76,20.97,0
2010-02-16,21.18,21.29,20.99,21.15,990772
2010-02-17,21.19,21.42,21.01,21.23,1116988
2010-02-18,21.1,21.29,21.03,21.17,797799
2010-02-19,20.78,21.16,20.63,21.0,1741535
2010-02-22,20.56,20.91,20.49,20.8,1286911
2010-02-23,20.17,20.56,19.98,20.56,2383625
2010-02-24,20.42,20.5,20.2,20.32,2014755
2010-02-25,20.33,20.405,19.94,20.0,1358305
2010-02-26,20.19,20.37,20.01,20.37,1465026
2010-03-01,21.47,21.48,20.3,20.3,2767977
2010-03-02,21.7,22.0,21.5,21.5,2225460
2010-03-03,22.2,22.62,21.69,21.71,2153875
2010-03-04,22.52,22.55,22.18,22.19,1541328
2010-03-05,23.3,23.33,22.56,22.74,1951284
2010-03-08,23.23,23.73,23.19,23.3,1579123
2010-03-09,22.98,23.35,22.9,23.05,1146054
2010-03-10,23.29,23.35,22.9045,22.92,1105100
2010-03-11,23.29,23.3,22.85,23.1,821668
2010-03-12,23.4,23.4,23.0,23.35,874192
2010-03-15,23.27,23.47,22.95,23.34,602247
2010-03-16,23.37,23.51,23.12,23.26,591905
2010-03-17,24.21,24.37,23.39,23.5,2105452
2010-03-18,23.88,24.24,23.67,24.09,1117897
2010-03-19,23.64,24.08,23.405,23.9,1340660
2010-03-22,24.01,24.2,23.27,23.42,1425337
2010-03-23,24.73,24.74,23.88,24.1,1572338
2010-03-24,24.45,24.905,24.36,24.64,1571975
2010-03-25,24.51,24.95,24.45,24.7,1288210
2010-03-26,25.01,25.15,24.62,24.66,1667846
2010-03-29,25.78,25.91,25.01,25.01,3629997
2010-03-30,25.91,26.09,25.65,25.75,2104901
2010-03-31,25.12,26.0,25.08,25.89,3187542
2010-04-01,26.08,26.35,25.4,25.94,5459262
2010-04-02,26.08,26.35,25.4,25.94,0
2010-04-05,25.71,26.25,25.53,26.12,2559630
2010-04-06,25.46,25.6,25.09,25.42,2966742
2010-04-07,24.97,25.53,24.74,25.24,3520808
2010-04-08,24.68,24.92,24.52,24.79,2719706
2010-04-09,24.63,24.75,24.3,24.68,1532379
2010-04-12,24.33,24.58,24.065,24.56,2282747
2010-04-13,24.59,24.63,24.12,24.26,1915954
2010-04-14,25.78,25.78,24.53,24.59,2583492
2010-04-15,25.67,25.86,25.51,25.59,1826392
2010-04-16,25.19,25.64,24.98,25.5,1692199
2010-04-19,24.88,25.25,24.37,25.16,1561067
2010-04-20,25.07,25.23,24.78,25.07,1139412
