Date,Close,High,Low,Open,Volume
2010-01-01,28.5,28.875,28.465,28.79,0
2010-01-04,28.52,28.61,28.45,28.58,13870548
2010-01-05,28.175,28.495,28.07,28.425,23173028
2010-01-06,28.165,28.22,27.99,28.175,19265472
2010-01-07,28.095,28.185,27.875,28.165,13234530
2010-01-08,27.575,27.82,27.375,27.73,28717474
2010-01-11,28.135,28.2236,27.4,27.575,28643528
2010-01-12,28.44,28.5,28.03,28.045,23269606
2010-01-13,28.515,28.715,28.345,28.43,15157758
2010-01-14,28.565,28.625,28.385,28.52,12392514
2010-01-15,28.145,28.675,28.02,28.475,27462892
2010-01-18,28.145,28.675,28.02,28.475,0
2010-01-19,28.21,28.245,27.96,28.11,14615206
2010-01-20,27.75,28.195,27.645,28.08,18813290
2010-01-21,27.185,27.79,27.095,27.775,27400624
2010-01-22,27.12,27.43,26.99,27.175,23551608
2010-01-25,27.175,27.27,26.94,27.245,16853166
2010-01-26,27.07,27.25,26.935,27.035,15515000
2010-01-27,27.255,27.33,26.85,27.0,20414672
2010-01-28,27.09,27.42,27.0625,27.355,20907948
2010-01-29,27.125,27.47,26.95,27.22,22149018
2010-02-01,27.19,27.28,27.0,27.255,14536172
2010-02-02,27.525,27.605,27.075,27.265,16888614
2010-02-03,27.435,27.48,27.265,27.46,15899402
2010-02-04,26.715,27.34,26.7,27.275,21344376
2010-02-05,26.545,26.715,26.265,26.62,29287906
2010-02-08,26.325,26.635,26.285,26.635,16725218
2010-02-09,27.005,27.49,26.685,26.845,31495982
2010-02-10,26.895,27.3,26.5825,27.3,18717406
2010-02-11,27.11,27.165,26.635,26.8,26327126
2010-02-12,26.99,27.2,26.8114,26.96,24640866
2010-02-15,26.99,27.2,26.8114,26.96,0
2010-02-16,27.41,27.41,26.965,27.25,19339344
2010-02-17,27.665,27.775,27.38,27.47,17064572
2010-02-18,27.955,27.96,27.575,27.67,17267968
2010-02-19,27.86,27.95,27.59,27.82,18944650
2010-02-22,27.69,27.93,27.635,27.865,13487482
2010-02-23,27.415,27.8,27.395,27.73,14835498
2010-02-24,27.58,27.59,27.345,27.545,14474086
2010-02-25,26.56,26.79,26.305,26.505,63665866
2010-02-26,26.36,26.545,26.115,26.5,63096744
2010-03-01,26.635,26.685,26.395,26.55,39450796
2010-03-02,26.65,26.845,26.575,26.745,24506136
2010-03-03,26.965,27.06,26.59,26.665,26575144
2010-03-04,27.235,27.52,27.16,27.325,28985272
