Date,Close,High,Low,Open,Volume
2010-01-01,53.93,55.25,53.93,55.25,0
2010-01-04,53.98,54.75,53.9,54.5,3239865
2010-01-05,54.02,54.19,53.49,53.88,2539530
2010-01-06,54.72,55.02,53.91,54.18,3207705
2010-01-07,53.46,54.6,52.28,54.6,8330234
2010-01-08,52.83,53.45,52.51,53.45,3438029
2010-01-11,52.75,53.22,52.08,53.05,2474437
2010-01-12,51.57,52.51,50.86,52.49,5314062
2010-01-13,52.2,52.35,51.61,51.67,3496385
2010-01-14,51.69,51.9,51.37,51.69,3807997
2010-01-15,51.51,52.15,51.22,51.58,4142753
2010-01-18,51.51,52.15,51.22,51.58,0
2010-01-19,52.18,52.27,51.2,51.38,7446674
2010-01-20,51.5,52.08,51.14,51.9,3799697
2010-01-21,51.27,52.5,50.82,51.63,5178118
2010-01-22,50.45,52.08,50.34,51.22,5390975
2010-01-25,50.29,51.06,49.92,50.91,3675832
2010-01-26,50.25,51.05,49.87,50.21,3879199
2010-01-27,50.51,50.83,50.01,50.2,3953671
2010-01-28,50.53,51.05,50.36,50.77,5396395
2010-01-29,50.37,51.32,50.33,50.75,3870554
2010-02-01,50.92,50.95,50.19,50.61,2957011
2010-02-02,51.92,52.15,51.07,51.07,3979001
2010-02-03,52.14,52.34,51.43,51.92,4669239
2010-02-04,50.07,51.95,49.98,51.71,6902148
2010-02-05,49.32,50.35,48.4,50.15,6202787
2010-02-08,49.2,49.97,48.84,49.34,4472792
2010-02-09,49.85,50.2,49.2,49.72,4549653
2010-02-10,49.7,50.26,49.46,49.86,3253431
2010-02-11,49.44,49.79,49.11,49.49,3765313
2010-02-12,49.83,50.03,48.77,49.05,2976539
2010-02-15,49.83,50.03,48.77,49.05,0
2010-02-16,50.65,50.73,49.92,50.28,2609930
2010-02-17,51.21,51.32,50.78,50.96,2202484
2010-02-18,51.36,51.505,50.56,51.09,2721028
2010-02-19,51.74,51.94,51.3,51.44,2528228
2010-02-22,51.13,51.77,51.07,51.77,2983232
2010-02-23,50.93,51.54,50.39,50.94,2923976
2010-02-24,51.59,51.67,50.5,51.23,4504460
2010-02-25,54.08,54.45,51.01,51.07,10299474
2010-02-26,53.82,54.56,53.82,54.18,3269745
2010-03-01,53.94,54.35,53.75,53.89,2632573
2010-03-02,53.23,54.2,53.03,53.92,4071674
2010-03-03,53.1,53.41,52.65,53.15,3111503
2010-03-04,53.79,53.84,52.41,52.49,5648064
2010-03-05,54.7,54.765,53.68,54.06,3651679
2010-03-08,54.46,54.88,54.32,54.87,2248728
2010-03-09,54.1,54.44,53.93,54.18,2312210
2010-03-10,53.13,54.56,52.88,54.09,5912631
2010-03-11,53.25,53.25,52.59,52.84,4534608
2010-03-12,53.67,53.82,53.14,53.62,2484052
2010-03-15,54.41,54.41,53.5,53.73,2922730
2010-03-16,55.03,55.06,54.13,54.46,3955157
2010-03-17,54.99,55.51,54.8,55.18,3807213
2010-03-18,54.48,55.14,54.23,55.08,2195077
2010-03-19,55.26,55.67,54.86,54.94,4767165
2010-03-22,55.72,55.925,54.61,54.93,3144968
2010-03-23,56.37,56.44,55.335,55.76,2398152
2010-03-24,56.06,56.53,55.76,56.37,2734610
2010-03-25,56.22,56.82,55.985,56.56,3034694
2010-03-26,56.18,56.59,55.86,56.52,3343750
2010-03-29,55.74,56.62,55.39,56.55,2066293
2010-03-30,55.25,56.14,55.06,55.87,2428612
2010-03-31,54.78,55.19,54.29,54.9,4454127
2010-04-01,55.34,55.58,55.01,55.05,2142743
2010-04-02,55.34,55.58,55.01,55.05,0
2010-04-05,57.42,57.67,55.52,56.0,4862198
2010-04-06,57.5,57.76,57.13,57.35,3727138
2010-04-07,57.14,57.5,56.5,57.32,3920648
2010-04-08,56.63,57.41,55.56,56.73,7671509
2010-04-09,56.84,57.06,56.41,56.91,3207841
2010-04-12,55.98,56.97,55.96,56.57,3497697
2010-04-13,56.49,56.77,55.92,56.18,4311542
2010-04-14,56.9,57.21,56.0,56.17,3791432
2010-04-15,57.68,57.95,56.59,56.84,4272046
2010-04-16,57.14,57.93,56.92,57.55,3582449
2010-04-19,56.76,57.52,55.81,57.24,2603471
2010-04-20,56.25,57.36,55.87,57.04,3649844
2010-04-21,56.34,56.84,56.02,56.14,3622230
2010-04-22,58.57,58.99,55.8,56.1,4959956
2010-04-23,58.48,58.74,57.81,58.66,3292653
2010-04-26,57.86,58.63,57.68,58.63,3461101
2010-04-27,56.8,58.11,56.76,57.58,3487983
2010-04-28,56.42,57.51,56.19,56.91,3231483
2010-04-29,56.56,57.5,56.28,56.61,2593442
2010-04-30,54.99,56.72,54.801,56.72,3743790
2010-05-03,56.97,57.245,55.07,55.2,3621414
2010-05-04,55.66,56.66,55.47,56.29,4300285
2010-05-05,56.1,57.31,55.05,55.17,3717667
2010-05-06,54.57,56.84,53.03,55.6,5542820
2010-05-07,53.68,57.09,52.67,54.29,6525402
2010-05-10,56.55,56.55,55.28,55.57,4838830
2010-05-11,56.72,57.35,55.9,56.16,3818438
2010-05-12,57.15,57.29,56.24,56.96,3662519
2010-05-13,53.81,56.64,53.61,56.6,13096197
2010-05-14,53.45,54.49,52.97,54.1,5006676
2010-05-17,53.64,53.99,52.73,53.61,4161437
2010-05-18,52.67,54.47,52.5,53.96,3856665
2010-05-19,52.53,53.34,51.9,52.5,3982659
2010-05-20,51.02,52.13,50.89,51.17,4963693
2010-05-21,51.77,52.21,50.29,50.32,6203952
2010-05-24,50.97,52.04,50.93,51.54,3573275
2010-05-25,50.78,50.9,49.43,50.0,5940352
