Date,Close,High,Low,Open,Volume
2010-01-01,36.35,36.84,36.35,36.71,0
2010-01-04,37.18,37.29,36.59,36.8,2210829
2010-01-05,37.38,37.42,36.77,37.22,1975523
2010-01-06,37.64,37.7,37.11,37.39,1324273
2010-01-07,37.92,38.01,37.28,37.53,1979344
2010-01-08,37.89,37.9481,37.62,37.73,1159309
2010-01-11,37.92,38.18,37.7,38.18,1390526
2010-01-12,37.62,37.94,37.5,37.66,1565391
2010-01-13,37.92,38.01,37.51,37.73,1566061
2010-01-14,37.91,38.02,37.57,37.75,1279528
2010-01-15,37.21,37.87,37.03,37.73,1678523
2010-01-18,37.21,37.87,37.03,37.73,0
2010-01-19,38.16,38.18,37.07,37.08,2078245
2010-01-20,37.6,38.04,37.31,37.96,2015801
2010-01-21,37.19,38.41,36.81,38.41,2503429
2010-01-22,35.73,37.28,35.68,36.92,2884338
2010-01-25,36.09,36.44,35.91,36.16,1754824
2010-01-26,36.04,36.68,35.95,35.96,1808678
2010-01-27,36.38,36.44,35.82,35.93,2365411
2010-01-28,35.93,36.6595,35.46,36.54,1755065
2010-01-29,35.77,36.52,35.66,36.1,2594767
2010-02-01,36.41,36.47,35.86,35.89,1740012
2010-02-02,37.06,37.08,36.24,36.4,1625719
2010-02-03,36.63,36.95,36.54,36.83,982473
2010-02-04,35.33,36.5,35.32,36.42,2979114
2010-02-05,35.37,35.47,34.59,35.32,3097419
2010-02-08,34.76,35.52,34.24,35.01,2513070
2010-02-09,35.22,35.44,34.85,35.13,2060884
2010-02-10,35.03,35.34,34.81,35.14,2185501
2010-02-11,35.21,35.23,34.6,35.04,2099304
2010-02-12,35.17,35.25,34.24,34.9,3247129
2010-02-15,35.17,35.25,34.24,34.9,0
2010-02-16,36.12,36.13,35.39,35.54,2151758
2010-02-17,36.17,36.49,35.89,36.2,1523971
2010-02-18,36.44,36.54,35.98,35.98,1291911
2010-02-19,36.55,36.71,36.11,36.32,1423895
2010-02-22,36.7,36.77,36.55,36.7,1160678
2010-02-23,36.06,36.64,35.99,36.58,2003203
2010-02-24,36.62,36.65,36.09,36.09,1755952
