Date,Close,High,Low,Open,Volume
2010-01-01,19.24,19.6,19.22,19.57,0
2010-01-04,19.31,19.76,19.27,19.37,3959383
2010-01-05,18.68,19.43,18.5333,19.24,9097497
2010-01-06,19.07,19.12,18.34,18.56,6888989
2010-01-07,18.76,19.59,18.45,19.42,7511606
2010-01-08,19.59,19.62,18.7801,18.86,5684188
2010-01-11,20.46,20.61,19.93,20.1,6663563
2010-01-12,20.43,20.9,20.15,20.23,4553545
2010-01-13,20.23,20.54,19.955,20.47,3190384
2010-01-14,19.92,20.32,19.73,20.2,3322085
2010-01-15,19.39,20.02,19.36,19.82,3155341
2010-01-18,19.39,20.02,19.36,19.82,0
2010-01-19,19.34,19.54,19.17,19.39,4890617
2010-01-20,18.9,19.24,18.89,19.11,5126554
2010-01-21,18.68,19.09,18.52,18.95,6916586
2010-01-22,18.38,18.92,18.36,18.81,5490332
2010-01-25,18.6,18.75,18.39,18.6,3461037
2010-01-26,19.4,19.82,18.65,18.96,8012892
2010-01-27,19.71,19.81,19.21,19.35,5122087
2010-01-28,19.21,19.75,19.14,19.75,4523453
2010-01-29,19.02,19.46,18.94,19.37,3554676
2010-02-01,19.65,19.67,19.12,19.23,3074596
2010-02-02,20.32,20.33,19.66,19.68,5572447
2010-02-03,20.26,20.32,20.0,20.23,6300997
2010-02-04,20.03,20.3,19.96,20.17,8675375
2010-02-05,20.47,20.51,19.84,19.98,7955782
2010-02-08,20.01,20.49,20.01,20.49,6362719
2010-02-09,20.34,20.45,19.98,20.23,5263551
2010-02-10,20.09,20.36,19.9,20.25,3786737
2010-02-11,20.34,20.37,19.88,20.0,2641415
2010-02-12,20.48,20.55,19.84,20.05,5100084
2010-02-15,20.48,20.55,19.84,20.05,0
2010-02-16,20.83,20.84,20.48,20.75,3052923
2010-02-17,21.05,21.17,20.77,20.9,3577675
2010-02-18,21.34,21.37,20.9,21.05,2260302
2010-02-19,21.4,21.48,21.17,21.2,2877490
2010-02-22,21.5,21.73,21.32,21.59,5583529
2010-02-23,21.03,21.515,20.97,21.45,7453417
2010-02-24,21.54,21.56,20.87,21.0,7090251
