Date,Close,High,Low,Open,Volume
2010-01-01,20.4,20.88,20.4,20.45,0
2010-01-04,20.51,20.74,20.39,20.5,1241349
2010-01-05,20.29,20.55,19.71,20.52,2242042
2010-01-06,20.53,20.54,20.24,20.24,1258360
2010-01-07,21.19,21.2,20.61,20.68,1417738
2010-01-08,21.18,21.36,20.97,21.05,752417
2010-01-11,21.09,21.3,21.02,21.3,1171282
2010-01-12,20.42,20.91,20.39,20.91,1469897
2010-01-13,20.68,20.78,20.26,20.4,1171681
2010-01-14,20.71,20.94,20.6,20.61,692809
2010-01-15,20.99,21.07,20.6,20.72,2423542
2010-01-18,20.99,21.07,20.6,20.72,0
2010-01-19,21.16,21.265,20.91,20.91,945607
2010-01-20,21.0,21.1,20.86,21.04,1444157
2010-01-21,20.36,21.0,20.25,20.88,2031704
2010-01-22,20.02,20.53,20.02,20.25,1209378
2010-01-25,20.23,20.31,20.05,20.26,1397998
2010-01-26,20.17,20.46,20.05,20.1,1000569
2010-01-27,20.05,20.22,19.78,20.01,1101707
2010-01-28,19.81,20.23,19.76,20.14,1219339
2010-01-29,18.26,19.81,18.2567,19.79,4488606
2010-02-01,18.88,19.01,18.4,18.48,2938061
2010-02-02,19.31,19.45,18.75,18.9,3013413
2010-02-03,19.15,19.42,19.03,19.29,1557843
2010-02-04,18.66,19.175,18.63,19.07,2223629
2010-02-05,18.45,18.65,17.89,18.63,1835043
2010-02-08,18.36,18.68,18.24,18.45,3364704
2010-02-09,18.66,18.81,18.38,18.59,1212871
2010-02-10,18.51,18.74,18.29,18.57,811676
2010-02-11,18.75,18.75,18.32,18.5,1065279
2010-02-12,18.78,18.79,18.48,18.69,1298008
2010-02-15,18.78,18.79,18.48,18.69,0
2010-02-16,19.39,19.4,18.83,18.93,1342904
2010-02-17,19.48,19.55,19.23,19.5,963299
2010-02-18,19.59,19.61,19.26,19.37,588257
2010-02-19,19.41,19.59,19.39,19.58,1304302
2010-02-22,19.46,19.56,19.35,19.56,577821
2010-02-23,19.2,19.5,18.99,19.46,1218194
2010-02-24,19.33,19.33,18.93,19.3,1216978
2010-02-25,18.85,18.96,18.67,18.96,2048522
2010-02-26,18.95,18.98,18.65,18.87,2270457
2010-03-01,19.33,19.46,18.95,19.07,1141748
2010-03-02,19.52,19.74,19.39,19.54,1554519
2010-03-03,19.91,20.095,19.59,19.67,1343841
2010-03-04,20.27,20.27,19.7201,20.03,1924398
2010-03-05,20.61,20.62,20.25,20.45,1584645
2010-03-08,20.8,20.92,20.54,20.69,1839819
2010-03-09,21.04,21.17,20.75,20.77,1660042
2010-03-10,21.55,21.645,20.88,20.98,2504440
2010-03-11,21.26,21.26,20.95,21.07,1885683
2010-03-12,21.29,21.34,20.99,21.19,1403509
2010-03-15,21.14,21.36,20.99,21.25,1381337
2010-03-16,21.38,21.41,21.0,21.14,2019921
2010-03-17,21.53,21.78,21.47,21.48,1421176
2010-03-18,21.71,21.74,21.48,21.48,1297381
2010-03-19,21.47,21.89,21.37,21.78,2481000
2010-03-22,21.54,21.56,21.01,21.29,2166905
2010-03-23,21.71,21.82,21.37,21.6,1388732
2010-03-24,21.51,21.77,21.38,21.67,1106126
2010-03-25,21.61,21.99,21.58,21.73,1737155
2010-03-26,21.61,21.88,21.53,21.73,1265953
2010-03-29,21.53,21.8,21.47,21.74,1428064
2010-03-30,21.78,21.87,21.5,21.52,1534243
2010-03-31,21.64,21.93,21.6003,21.68,1389754
2010-04-01,21.69,21.9,21.51,21.78,1186229
2010-04-02,21.69,21.9,21.51,21.78,0
2010-04-05,21.73,21.82,21.7,21.76,1589668
2010-04-06,21.77,21.8,21.48,21.65,1738980
2010-04-07,21.53,21.75,21.4,21.66,1481770
2010-04-08,21.68,21.73,21.27,21.4,940650
2010-04-09,21.9,21.93,21.51,21.65,843584
2010-04-12,21.83,21.99,21.73,21.96,1233007
2010-04-13,21.84,21.93,21.73,21.82,1486604
2010-04-14,22.14,22.15,21.71,21.87,1426594
2010-04-15,22.26,22.35,21.97,22.12,974064
2010-04-16,22.07,22.35,21.78,22.13,1827225
2010-04-19,22.12,22.32,21.8,22.0,1493229
2010-04-20,22.64,22.69,22.29,22.36,1133229
2010-04-21,23.14,23.22,22.68,22.73,2579778
2010-04-22,23.8,24.1,23.5,23.55,4657044
2010-04-23,23.96,24.09,23.61,23.86,2323270
2010-04-26,24.1,24.29,23.96,24.04,2340838
2010-04-27,23.78,24.51,23.68,24.02,2953745
2010-04-28,24.39,24.52,23.72,23.84,3469828
2010-04-29,24.77,24.87,24.46,24.51,2835460
2010-04-30,24.53,25.15,24.53,24.83,2843597
2010-05-03,25.02,25.08,24.68,24.7,1846283
2010-05-04,24.37,24.69,24.2,24.55,1760146
2010-05-05,23.84,24.26,23.58,24.17,1783099
2010-05-06,22.97,24.15,21.3,23.79,3026878
2010-05-07,22.22,23.19,22.06,22.86,3480812
2010-05-10,23.85,23.94,22.93,23.18,2169134
2010-05-11,24.14,24.42,23.54,23.61,1859968
2010-05-12,24.63,24.74,24.14,24.16,1121424
2010-05-13,24.31,24.8,24.24,24.58,1423471
2010-05-14,24.08,24.2,23.75,24.15,1849867
2010-05-17,24.18,24.24,23.42,24.19,1603420
2010-05-18,23.83,24.55,23.79,24.44,1472988
2010-05-19,23.6,24.06,23.15,23.74,1574633
2010-05-20,22.54,23.1,22.51,22.95,2961444
2010-05-21,22.8,22.94,22.0,22.01,1822082
2010-05-24,22.45,22.89,22.41,22.59,1484501
2010-05-25,22.52,22.55,21.58,21.74,1819822
2010-05-26,22.47,23.24,22.41,22.75,1860512
2010-05-27,23.53,23.54,22.83,22.96,1370518
2010-05-28,23.28,23.63,23.03,23.43,1231253
2010-05-31,23.28,23.63,23.03,23.43,0
2010-06-01,23.0,23.38,22.85,23.05,2104724
2010-06-02,23.47,23.47,23.0,23.11,1283126
2010-06-03,23.48,23.72,23.2,23.59,1370018
2010-06-04,22.37,23.11,22.24,22.93,2352098
2010-06-07,21.64,22.4646,21.59,22.36,4687969
2010-06-08,21.93,21.98,21.27,21.74,2230163
2010-06-09,22.02,22.57,21.91,22.01,1840395
2010-06-10,22.95,23.03,22.34,22.43,1384003
2010-06-11,22.74,22.77,22.2,22.36,1120288
2010-06-14,22.8,23.2,22.75,22.91,1103639
2010-06-15,23.29,23.32,22.71,23.02,1007914
2010-06-16,23.09,23.27,22.82,23.11,1400621
2010-06-17,22.58,23.21,22.29,23.06,2357755
2010-06-18,22.51,22.7402,22.45,22.69,1698085
2010-06-21,22.51,22.85,22.37,22.79,1585172
2010-06-22,21.98,22.78,21.92,22.53,1818126
2010-06-23,21.71,21.96,21.25,21.83,1548563
2010-06-24,21.14,21.7,21.025,21.58,1702743
2010-06-25,21.46,21.57,20.89,21.13,2419951
2010-06-28,21.4,21.67,21.19,21.6,1463199
2010-06-29,20.43,21.04,20.29,20.94,3290397
2010-06-30,20.06,20.62,19.99,20.41,2312967
2010-07-01,19.64,20.15,19.067,19.93,2497058
2010-07-02,19.51,19.95,19.33,19.78,1522187
2010-07-05,19.51,19.95,19.33,19.78,0
2010-07-06,19.33,19.94,19.11,19.69,1728347
2010-07-07,20.27,20.32,19.33,19.33,2219624
2010-07-08,20.42,20.55,20.17,20.42,1198863
2010-07-09,20.64,20.69,20.35,20.44,899366
2010-07-12,20.43,20.73,20.28,20.61,1149687
2010-07-13,20.91,21.01,20.6051,20.64,1019314
2010-07-14,20.76,20.88,20.53,20.87,1037979
2010-07-15,20.66,20.78,20.275,20.72,1713669
2010-07-16,20.0,20.55,19.88,20.53,1248478
2010-07-19,20.19,20.27,19.78,19.96,968311
2010-07-20,20.44,20.53,19.79,19.88,1375342
2010-07-21,20.54,20.895,20.29,20.61,1778030
2010-07-22,21.32,21.43,20.74,20.89,1912080
2010-07-23,21.37,21.41,20.1,20.1,2033472
2010-07-26,22.09,22.18,21.43,21.52,1563386
2010-07-27,21.41,22.16,21.38,22.16,1535313
2010-07-28,20.8,21.49,20.7275,21.43,1325442
2010-07-29,20.77,21.08,20.55,20.99,1116336
2010-07-30,20.84,20.91,20.4,20.63,1159662
2010-08-02,21.21,21.41,21.02,21.24,918043
2010-08-03,20.88,21.22,20.79,21.16,880376
2010-08-04,21.24,21.305,20.92,20.98,775828
2010-08-05,21.14,21.19,20.96,21.09,666229
2010-08-06,21.07,21.31,20.82,20.91,1165589
2010-08-09,21.43,21.5,21.19,21.22,858272
2010-08-10,20.88,21.24,20.77,21.19,1383440
2010-08-11,20.15,20.55,20.1,20.55,1108047
2010-08-12,19.9,20.06,19.768,19.9,944670
2010-08-13,19.68,20.0694,19.66,19.84,978680
2010-08-16,19.68,19.82,19.28,19.53,1033566
2010-08-17,20.07,20.4,19.71,19.9,926259
2010-08-18,20.2,20.52,19.9,20.09,1223417
2010-08-19,19.7,20.19,19.46,20.12,1217909
2010-08-20,19.58,19.68,19.3,19.52,1110869
2010-08-23,19.5,19.83,19.46,19.83,1002707
2010-08-24,19.07,19.4,18.94,19.32,1552133
2010-08-25,19.41,19.515,18.91,18.98,2767449
2010-08-26,19.01,19.59,18.96,19.46,1511251
2010-08-27,19.48,19.5,18.83,19.21,1308172
2010-08-30,19.11,19.7,19.08,19.44,1090710
2010-08-31,19.17,19.58,18.99,19.05,1724959
2010-09-01,20.09,20.19,19.45,19.45,1390908
2010-09-02,20.58,20.635,20.14,20.25,1333283
2010-09-03,21.04,21.07,20.7,20.88,1317704
2010-09-06,21.04,21.07,20.7,20.88,0
2010-09-07,20.82,21.05,20.79,20.94,3565714
2010-09-08,20.96,21.03,20.72,20.93,4428471
2010-09-09,21.19,21.47,21.12,21.25,1121436
2010-09-10,21.39,21.41,21.14,21.19,857121
2010-09-13,21.41,21.5,21.17,21.5,1149341
2010-09-14,21.38,21.66,21.27,21.41,843621
2010-09-15,21.63,21.74,21.25,21.31,1796018
2010-09-16,21.47,21.61,21.29,21.4,1180982
2010-09-17,21.6,21.8,21.53,21.55,1518874
2010-09-20,22.29,22.32,21.69,21.75,1008797
2010-09-21,22.35,22.61,22.22,22.34,1668324
2010-09-22,21.95,22.5,21.82,22.43,1931524
2010-09-23,21.92,22.42,21.71,21.76,1308543
2010-09-24,22.8,22.8,22.23,22.29,1150385
2010-09-27,22.68,22.8,22.44,22.77,990867
2010-09-28,23.05,23.12,22.355,22.81,1464619
2010-09-29,22.94,23.02,22.63,23.0,1300308
2010-09-30,22.76,23.325,22.67,23.04,1687468
2010-10-01,23.02,23.05,22.72,23.02,1722543
2010-10-04,23.03,23.1,22.77,23.0,1229413
2010-10-05,23.71,23.73,23.09,23.35,1713591
2010-10-06,23.62,23.8,23.445,23.6,1113910
2010-10-07,23.6,23.84,23.38,23.69,1149779
2010-10-08,23.75,23.89,23.52,23.68,1125738
2010-10-11,23.83,23.98,23.74,23.98,873003
2010-10-12,23.84,23.94,23.5,23.76,937555
2010-10-13,24.08,24.33,23.835,24.0,918577
2010-10-14,23.79,24.16,23.64,24.11,1125973
2010-10-15,23.8,24.04,23.61,24.01,2808819
2010-10-18,23.82,23.93,23.69,23.77,881897
2010-10-19,23.44,23.84,23.29,23.51,1573060
2010-10-20,22.88,23.35,22.85,23.32,2901131
2010-10-21,22.99,23.23,22.71,23.05,2634362
2010-10-22,21.01,21.3,20.55,21.18,5250523
2010-10-25,20.29,21.12,20.28,21.12,2811878
2010-10-26,20.44,20.62,20.14,20.2,2026275
2010-10-27,20.45,20.55,20.25,20.27,2204754
2010-10-28,20.36,20.66,20.33,20.55,1683794
2010-10-29,20.38,20.46,20.23,20.38,1208523
2010-11-01,19.98,20.58,19.89,20.47,2061348
2010-11-02,20.35,20.48,20.1,20.21,1241720
2010-11-03,20.37,20.48,20.09,20.47,1471937
2010-11-04,20.58,20.64,20.38,20.62,2041570
2010-11-05,20.5,20.68,20.4473,20.6,1717160
2010-11-08,20.39,20.51,20.31,20.44,1503604
2010-11-09,20.25,20.48,20.1695,20.47,1103667
2010-11-10,20.39,20.52,20.22,20.29,1594476
2010-11-11,20.4,20.41,20.2,20.22,970324
2010-11-12,20.12,20.4,20.03,20.27,973094
2010-11-15,20.15,20.35,20.1,20.2,1635558
2010-11-16,19.83,20.1,19.705,20.01,1540222
2010-11-17,20.0,20.16,19.75,19.86,1722609
2010-11-18,20.17,20.39,20.15,20.26,1395479
2010-11-19,20.34,20.36,20.0,20.17,1047639
2010-11-22,20.38,20.42,20.115,20.32,1035936
2010-11-23,20.24,20.4386,20.1,20.16,1259298
2010-11-24,20.68,20.68,20.39,20.4,920565
2010-11-25,20.68,20.68,20.39,20.4,0
2010-11-26,20.53,20.66,20.35,20.53,684937
2010-11-29,20.55,20.67,20.3,20.4,1420393
2010-11-30,20.7,20.74,20.24,20.34,3877780
2010-12-01,21.23,21.27,20.92,20.94,3248123
2010-12-02,21.51,21.9,21.18,21.32,4441305
2010-12-03,21.81,21.86,21.37,21.47,1712830
2010-12-06,21.8,21.9,21.67,21.8,2755303
2010-12-07,21.93,22.1,21.8801,22.04,2041070
2010-12-08,22.0,22.06,21.76,21.89,949452
2010-12-09,22.13,22.21,22.01,22.15,1554796
2010-12-10,22.18,22.21,22.01,22.17,1407218
2010-12-13,22.36,22.42,22.055,22.08,1648700
2010-12-14,22.51,22.63,22.31,22.43,1247289
2010-12-15,22.44,22.58,22.28,22.42,1611773
2010-12-16,22.85,22.89,22.48,22.53,1441111
2010-12-17,23.23,23.37,22.78,22.9,2252668
2010-12-20,23.01,23.41,22.96,23.39,1906898
2010-12-21,23.03,23.2,22.84,23.17,1327076
2010-12-22,23.1,23.26,23.04,23.1,1245572
2010-12-23,22.97,23.21,22.88,23.21,733125
2010-12-24,22.97,23.21,22.88,23.21,0
2010-12-27,23.15,23.16,22.87,22.93,505071
2010-12-28,23.07,23.25,22.94,23.22,451749
2010-12-29,23.08,23.23,23.07,23.17,454431
2010-12-30,22.95,23.16,22.95,22.96,577646
2010-12-31,22.76,23.12,22.72,22.96,842954
2011-01-03,23.14,23.17,22.86,22.99,1871489
2011-01-04,23.03,23.25,22.92,23.21,1045484
2011-01-05,23.15,23.18,22.92,22.96,1077231
2011-01-06,23.02,23.24,22.97,23.2,801260
2011-01-07,22.88,23.31,22.62,23.1,892780
2011-01-10,22.79,22.83,22.56,22.83,785244
2011-01-11,22.88,23.0,22.73,22.87,676828
2011-01-12,23.02,23.15,22.85,23.0,693857
2011-01-13,22.94,23.07,22.89,23.03,520875
2011-01-14,22.95,23.0,22.77,22.91,946429
2011-01-17,22.95,23.0,22.77,22.91,0
2011-01-18,22.89,23.04,22.74,23.04,701480
2011-01-19,22.73,22.93,22.65,22.89,883518
2011-01-20,22.61,22.86,22.58,22.61,1192717
2011-01-21,22.39,23.01,22.36,22.8,3092603
2011-01-24,22.56,22.69,22.33,22.41,870912
2011-01-25,22.68,22.88,22.25,22.51,1188623
2011-01-26,22.98,23.07,22.59,22.78,772018
2011-01-27,23.23,23.27,22.91,22.95,797456
2011-01-28,22.62,23.47,22.58,23.25,1046888
2011-01-31,22.53,22.86,22.52,22.71,1154913
2011-02-01,22.96,22.98,22.52,22.75,1709175
2011-02-02,22.86,23.44,22.64,23.01,1853811
2011-02-03,22.65,22.86,22.52,22.86,1236724
2011-02-04,22.56,22.74,22.46,22.74,1691904
2011-02-07,22.74,22.76,22.565,22.6,2944937
2011-02-08,22.99,23.03,22.69,22.72,1208146
2011-02-09,22.86,23.07,22.73,22.94,922218
2011-02-10,23.02,23.14,22.68,22.76,1179582
2011-02-11,23.63,23.65,22.8,22.93,1692867
2011-02-14,23.3,23.64,23.29,23.6,948553
2011-02-15,23.02,23.29,23.0,23.24,1016674
2011-02-16,23.49,23.51,23.095,23.14,1338204
2011-02-17,23.5,23.59,23.32,23.36,835504
2011-02-18,23.62,23.69,23.37,23.43,969258
2011-02-21,23.62,23.69,23.37,23.43,0
2011-02-22,23.01,23.5,22.95,23.44,1166647
2011-02-23,22.37,23.16,22.19,23.02,1610735
2011-02-24,22.44,22.6,22.16,22.32,1147100
2011-02-25,22.93,22.93,22.45,22.51,931932
2011-02-28,23.06,23.17,22.75,23.0,1353887
2011-03-01,22.76,23.34,22.7498,23.21,1330213
2011-03-02,23.27,23.28,22.62,22.64,2411000
2011-03-03,23.85,23.99,23.45,23.48,2611072
2011-03-04,23.72,23.9,23.44,23.89,2837031
2011-03-07,23.29,23.89,23.05,23.78,3908437
2011-03-08,23.8,23.98,23.3,23.3,1257168
2011-03-09,23.92,23.95,23.27,23.68,1727509
2011-03-10,23.41,23.79,23.41,23.63,1473263
2011-03-11,23.22,23.31,22.95,23.2,1310865
2011-03-14,23.01,23.23,22.72,23.06,1310401
2011-03-15,22.96,23.16,22.31,22.37,1281444
2011-03-16,22.62,23.06,22.46,22.92,1671189
2011-03-17,22.56,23.0,22.52,22.97,1220265
2011-03-18,22.85,22.89,22.59,22.76,1770164
2011-03-21,23.44,23.49,23.11,23.13,1256663
2011-03-22,23.28,23.48,23.24,23.44,863528
2011-03-23,23.39,23.47,22.98,23.24,1091882
2011-03-24,23.69,23.83,23.51,23.55,1108567
2011-03-25,23.75,23.89,23.68,23.76,1140945
2011-03-28,23.66,23.91,23.65,23.83,811877
2011-03-29,23.98,24.0,23.51,23.67,896077
2011-03-30,24.59,24.59,23.95,24.05,1493702
2011-03-31,24.5,24.68,24.4,24.51,1353775
2011-04-01,24.17,24.8,24.12,24.61,1766548
2011-04-04,24.21,24.29,24.03,24.23,1125345
2011-04-05,23.67,24.17,23.66,24.07,1719175
2011-04-06,23.6,23.92,23.505,23.81,1392548
2011-04-07,23.67,23.7,23.37,23.65,1213215
2011-04-08,23.2,23.89,23.08,23.8,1636108
2011-04-11,23.19,23.35,23.11,23.25,1610613
2011-04-12,22.8,23.1,22.76,23.02,1308621
2011-04-13,22.72,23.02,22.56,22.89,1384014
2011-04-14,22.87,22.9,22.59,22.62,901184
2011-04-15,23.07,23.14,22.7,22.94,978713
2011-04-18,22.88,23.0,22.73,22.78,1067828
2011-04-19,22.97,23.04,22.81,22.88,727506
2011-04-20,23.42,23.535,23.25,23.29,1084466
2011-04-21,23.63,23.67,23.39,23.52,1035158
2011-04-22,23.63,23.67,23.39,23.52,0
2011-04-25,23.68,23.81,23.48,23.63,1454295
2011-04-26,24.11,24.165,23.72,23.78,1234491
2011-04-27,24.18,24.28,24.03,24.16,1110502
2011-04-28,24.54,24.56,24.05,24.1,1497853
2011-04-29,26.29,26.95,24.94,25.0,4577032
2011-05-02,26.17,26.6,25.9757,26.39,2065888
2011-05-03,26.15,26.2,26.0,26.08,1525896
2011-05-04,26.06,26.39,26.021,26.09,3273415
2011-05-05,25.85,25.9,25.31,25.65,2909940
2011-05-06,26.12,26.265,25.98,26.16,1825378
2011-05-09,26.15,26.24,25.99,26.09,1390711
2011-05-10,26.37,26.41,26.14,26.27,1952009
2011-05-11,25.94,26.41,25.77,26.27,1332414
2011-05-12,26.12,26.16,25.84,25.85,1986000
2011-05-13,25.97,26.24,25.93,26.13,1490399
2011-05-16,26.05,26.14,25.84,25.91,1877415
2011-05-17,26.1,26.14,25.92,25.97,2027664
2011-05-18,26.2,26.23,26.0107,26.08,1861755
2011-05-19,26.35,26.49,26.09,26.34,1086381
2011-05-20,25.79,26.33,25.69,26.33,1196028
2011-05-23,25.48,25.64,25.35,25.5,1083381
2011-05-24,25.42,25.62,25.42,25.52,1001765
2011-05-25,25.4,25.605,25.06,25.3,1307442
2011-05-26,25.56,25.61,25.26,25.39,1098762
2011-05-27,25.59,25.73,25.53,25.67,804841
2011-05-30,25.59,25.73,25.53,25.67,0
2011-05-31,25.83,25.96,25.65,25.81,1264490
2011-06-01,25.13,25.9,25.13,25.81,999856
2011-06-02,24.9,25.12,24.64,25.11,1803760
2011-06-03,24.27,24.65,24.21,24.46,1434455
2011-06-06,23.93,24.27,23.9,24.22,1246438
2011-06-07,23.81,24.21,23.81,24.14,2724284
2011-06-08,23.8,24.0,23.73,23.83,1603184
2011-06-09,23.99,24.13,23.76,23.92,1648650
2011-06-10,23.28,23.91,23.26,23.9,1706561
2011-06-13,23.14,23.21,22.93,23.12,1324321
2011-06-14,23.64,23.83,23.33,23.36,1004672
2011-06-15,23.19,23.54,23.065,23.42,1169363
2011-06-16,23.21,23.45,23.0,23.24,981906
2011-06-17,23.46,23.54,23.17,23.4,2022260
2011-06-20,23.64,23.79,23.34,23.34,2927479
2011-06-21,23.71,23.87,23.64,23.7,1794137
2011-06-22,23.27,23.75,23.27,23.67,1941313
2011-06-23,23.25,23.34,22.85,22.95,2145774
2011-06-24,22.88,23.33,22.8,23.25,1543630
2011-06-27,23.13,23.2,22.8,22.9,1087356
2011-06-28,23.42,23.44,23.14,23.2,950550
2011-06-29,23.98,24.04,23.72,23.73,2109751
2011-06-30,24.38,24.42,23.94,24.1,1792785
2011-07-01,24.9,24.92,24.39,24.45,1363034
2011-07-04,24.9,24.92,24.39,24.45,0
