Date,Close,High,Low,Open,Volume
2010-01-01,74.84,75.44,74.83,75.44,0
2010-01-04,76.37,76.5,74.83,75.47,883382
2010-01-05,75.44,76.37,75.35,76.06,864545
2010-01-06,74.19,75.8,73.81,75.34,1980919
2010-01-07,74.17,74.25,73.38,73.81,1554823
2010-01-08,74.06,74.42,73.8189,74.15,761048
2010-01-11,74.89,75.23,74.37,74.6,843018
2010-01-12,73.81,75.22,73.72,74.76,1118744
2010-01-13,75.36,75.57,74.08,74.08,1033293
2010-01-14,76.92,77.0,75.15,75.47,1339143
2010-01-15,75.75,76.97,75.43,76.91,779428
2010-01-18,75.75,76.97,75.43,76.91,0
2010-01-19,76.57,77.0,75.92,75.92,882946
2010-01-20,75.78,77.09,75.5,76.38,1671994
2010-01-21,74.6,76.09,74.1,76.06,841267
2010-01-22,72.27,74.63,72.06,74.62,2211439
2010-01-25,73.05,73.13,70.2,72.34,2448269
2010-01-26,73.18,73.74,72.49,72.49,1190115
2010-01-27,72.19,73.37,71.85,72.93,1478803
2010-01-28,71.04,72.74,70.9,72.47,1146373
2010-01-29,71.1,71.87,70.32,71.16,1584527
2010-02-01,71.6,71.83,70.87,71.72,1040589
2010-02-02,72.6,72.69,71.4,71.66,1273406
2010-02-03,71.8,72.37,71.58,72.34,539483
2010-02-04,70.54,71.8,70.46,71.21,1381075
2010-02-05,70.64,70.7084,69.61,70.44,1014957
2010-02-08,70.14,70.83,69.98,70.59,631904
2010-02-09,70.15,70.97,70.0,70.52,1415884
2010-02-10,70.97,71.17,69.63,69.92,1730011
2010-02-11,71.56,71.64,69.49,69.8,1582274
2010-02-12,71.76,71.84,70.58,71.34,1080370
2010-02-15,71.76,71.84,70.58,71.34,0
2010-02-16,72.43,72.44,71.53,72.05,848272
2010-02-17,73.15,73.5,72.49,72.49,1021684
2010-02-18,73.12,73.32,72.78,73.0,1149332
2010-02-19,73.98,74.1,72.79,73.0,938287
2010-02-22,73.97,74.47,73.67,74.39,589091
2010-02-23,73.4,74.16,73.17,73.66,1122841
2010-02-24,73.5,73.81,73.24,73.7,699249
2010-02-25,73.13,73.25,72.4727,72.81,1135820
2010-02-26,73.31,73.855,73.08,73.14,711827
2010-03-01,74.19,74.23,73.25,73.25,834446
2010-03-02,74.65,75.08,74.33,74.37,656661
2010-03-03,73.28,74.51,72.87,74.38,2038879
2010-03-04,72.59,73.69,72.19,73.55,962768
2010-03-05,72.45,72.93,72.07,72.83,1461019
2010-03-08,72.04,72.35,71.856,72.17,1066626
2010-03-09,71.89,72.13,71.65,71.93,582437
2010-03-10,72.32,72.63,71.62,71.87,749751
2010-03-11,73.78,73.8,72.09,72.26,1119665
2010-03-12,73.7,74.27,73.5,73.91,676622
2010-03-15,74.67,74.67,73.54,73.7,1130943
2010-03-16,75.0,75.1,74.19,74.63,702021
2010-03-17,75.71,76.0,75.0,75.11,1024048
2010-03-18,76.17,76.25,75.47,75.7,675146
2010-03-19,75.51,76.15,75.17,75.64,1119977
2010-03-22,76.26,76.43,75.32,75.43,1115695
2010-03-23,74.33,75.4,74.05,75.38,1458540
2010-03-24,73.98,74.67,73.77,74.0,1160760
2010-03-25,74.9,75.065,73.82,74.16,1070781
2010-03-26,75.58,75.99,74.78,75.19,1062376
2010-03-29,75.81,75.88,75.47,75.78,588096
2010-03-30,75.95,75.96,75.65,75.75,542586
2010-03-31,75.71,76.03,75.19,75.69,860761
2010-04-01,77.17,77.22,76.04,76.04,955439
2010-04-02,77.17,77.22,76.04,76.04,0
2010-04-05,76.89,77.5,76.82,77.35,716745
2010-04-06,77.15,77.47,76.92,77.11,1293161
2010-04-07,76.46,77.48,76.13,76.73,1052499
2010-04-08,76.13,76.56,75.92,76.43,914094
2010-04-09,76.16,76.25,75.72,76.03,767782
2010-04-12,76.67,76.67,75.95,76.09,578949
2010-04-13,76.44,76.58,75.84,76.45,707210
2010-04-14,76.26,76.47,75.69,76.47,616710
2010-04-15,77.75,77.94,75.86,76.14,1448265
2010-04-16,76.98,77.96,76.77,77.6,1027250
2010-04-19,79.33,80.82,75.14,76.98,4002576
2010-04-20,80.24,80.24,78.84,79.73,1186789
2010-04-21,81.0,83.0,78.93,79.5,3221589
2010-04-22,80.69,81.04,79.44,80.1,1173790
2010-04-23,79.99,80.6,79.3,80.42,1214744
2010-04-26,78.91,80.11,78.83,79.9,1110692
2010-04-27,77.42,78.96,77.28,78.2,1487252
2010-04-28,78.13,78.27,76.9,77.43,1810327
2010-04-29,78.83,78.99,78.32,78.65,938526
2010-04-30,78.57,79.17,78.53,78.99,1589690
2010-05-03,78.56,79.06,78.23,78.87,1147631
2010-05-04,77.83,78.23,77.39,77.96,1612190
2010-05-05,77.67,78.56,77.56,77.73,1012626
2010-05-06,76.26,78.25,73.12,77.56,1771499
2010-05-07,75.23,76.66,74.9806,76.34,1558944
2010-05-10,76.86,77.73,76.2,77.42,1283258
2010-05-11,76.94,77.33,75.89,76.38,1250730
2010-05-12,77.19,77.39,76.682,77.35,1366198
2010-05-13,77.8,77.87,76.69,77.03,1774613
2010-05-14,77.47,77.63,76.62,77.25,1499570
2010-05-17,77.52,77.92,76.75,77.34,990397
2010-05-18,76.93,78.42,76.64,77.86,1361477
2010-05-19,77.71,77.84,76.585,76.81,1848930
2010-05-20,75.98,76.82,75.74,76.69,2736878
2010-05-21,76.0,76.1694,75.01,75.14,2173999
2010-05-24,75.4,76.11,75.19,75.75,1299886
2010-05-25,75.46,75.54,73.9,74.37,1279972
2010-05-26,74.99,76.04,74.93,75.53,942765
2010-05-27,76.41,76.46,75.77,75.94,1173767
2010-05-28,75.61,76.29,75.48,76.19,854852
2010-05-31,75.61,76.29,75.48,76.19,0
2010-06-01,75.0,75.95,74.8,75.01,660980
2010-06-02,76.58,76.64,74.96,75.48,930972
2010-06-03,76.87,77.64,76.58,76.72,1057557
2010-06-04,75.05,76.51,74.8,75.86,844383
2010-06-07,75.0,76.12,74.93,75.4,891229
2010-06-08,75.46,75.55,74.72,75.1,988691
2010-06-09,75.57,76.41,75.43,75.65,1069318
2010-06-10,77.47,77.58,76.45,76.49,815183
2010-06-11,78.24,78.36,76.94,77.08,1160112
2010-06-14,78.81,79.31,78.32,78.7,999052
2010-06-15,79.6,79.79,78.89,79.24,1051869
2010-06-16,80.39,80.53,79.01,79.19,1040306
2010-06-17,80.4,80.59,79.98,80.5,711752
2010-06-18,80.25,80.52,79.84,80.4,1373815
2010-06-21,80.22,80.94,80.0,80.53,1014138
2010-06-22,78.95,80.85,78.86,80.43,740446
2010-06-23,78.41,79.32,78.05,78.72,944628
2010-06-24,77.05,78.51,76.97,78.03,722041
2010-06-25,77.19,77.87,76.28,76.78,1181490
2010-06-28,78.0,78.35,77.245,77.55,614568
2010-06-29,76.52,77.4,76.17,77.07,1628720
2010-06-30,75.35,76.76,75.28,76.04,1156285
2010-07-01,75.42,75.62,73.6,75.31,1309126
2010-07-02,74.5,75.78,74.13,75.78,1213681
2010-07-05,74.5,75.78,74.13,75.78,0
2010-07-06,74.2,75.42,73.67,75.42,1101747
2010-07-07,74.99,75.03,73.82,74.45,821780
2010-07-08,75.62,75.84,75.24,75.4,712788
2010-07-09,74.33,75.48,74.01,75.39,1057339
2010-07-12,74.87,74.94,74.01,74.1,734442
2010-07-13,75.84,75.94,74.89,75.41,818517
2010-07-14,76.29,76.56,75.3001,75.44,680353
2010-07-15,76.58,76.89,75.91,76.28,545329
2010-07-16,75.03,76.58,74.99,76.06,755707
2010-07-19,75.27,75.59,74.83,75.41,587639
2010-07-20,76.8,77.03,74.5,74.69,1178734
2010-07-21,75.95,76.74,74.31,75.46,3417830
2010-07-22,72.24,78.65,71.58,78.21,4158318
2010-07-23,72.96,74.41,72.2,72.58,1501766
2010-07-26,74.4,74.48,73.08,73.37,1052749
2010-07-27,74.51,75.09,72.77,74.69,2319885
2010-07-28,73.63,74.88,73.46,74.56,672411
2010-07-29,73.24,74.66,72.58,74.34,1134683
2010-07-30,72.98,73.18,72.45,72.81,1504570
2010-08-02,74.87,74.88,73.54,73.94,824110
2010-08-03,75.04,75.47,74.01,74.9,878751
2010-08-04,75.65,75.8,75.05,75.3,694263
2010-08-05,75.74,75.81,74.94,75.2,694451
2010-08-06,75.5,75.68,74.68,75.29,935220
2010-08-09,75.41,75.98,75.16,75.7,788706
2010-08-10,76.54,77.39,74.74,74.95,1018870
2010-08-11,74.94,75.84,74.8,75.69,866450
2010-08-12,75.42,75.73,73.8,74.08,636363
2010-08-13,75.01,75.53,74.84,75.13,510058
2010-08-16,74.86,75.12,73.7607,74.56,407801
2010-08-17,76.07,76.52,75.07,75.49,731927
2010-08-18,76.0,76.32,75.55,76.29,368528
2010-08-19,74.95,75.77,74.26,75.58,651370
2010-08-20,75.76,76.0,74.54,74.54,1365182
2010-08-23,75.61,76.76,75.57,76.13,618907
2010-08-24,75.53,75.76,74.79,74.8,1373022
2010-08-25,76.12,76.74,75.33,75.43,1378511
2010-08-26,75.08,76.294,75.08,76.18,1449479
2010-08-27,75.22,75.45,74.33,75.42,1669877
2010-08-30,73.97,75.3,73.92,75.26,1108917
2010-08-31,72.62,74.08,72.33,73.67,1921622
2010-09-01,74.0,74.15,73.16,73.77,1236184
2010-09-02,74.56,74.73,73.98,74.14,1002586
2010-09-03,75.05,75.24,74.69,75.0,1142802
2010-09-06,75.05,75.24,74.69,75.0,0
2010-09-07,74.6,75.41,74.38,74.94,1249831
2010-09-08,74.31,74.78,73.86,74.78,1677830
2010-09-09,75.79,75.92,74.84,74.96,953868
2010-09-10,76.65,76.93,75.45,75.8,966036
2010-09-13,73.05,75.99,72.94,75.55,2951393
2010-09-14,74.82,75.02,73.063,73.19,1964954
2010-09-15,75.45,75.53,74.52,74.52,1473631
2010-09-16,74.52,75.43,74.47,75.26,1008797
2010-09-17,74.96,75.29,74.235,74.85,1293258
2010-09-20,76.51,76.62,74.83,75.01,902119
2010-09-21,76.38,76.93,76.0,76.48,774617
2010-09-22,76.25,76.68,75.99,76.29,1723937
2010-09-23,75.9,76.79,75.75,75.76,726126
2010-09-24,76.83,76.96,75.98,76.59,628615
2010-09-27,76.3,76.98,75.86,76.98,520555
2010-09-28,78.13,78.25,76.09,76.29,1204408
2010-09-29,78.15,78.94,77.81,77.97,970937
2010-09-30,78.43,78.9,77.92,78.53,709745
2010-10-01,78.03,79.47,77.65,78.53,699693
2010-10-04,77.92,78.49,77.58,78.08,694584
2010-10-05,79.35,79.39,78.3,78.3,668098
2010-10-06,79.14,79.56,78.99,79.4,772991
2010-10-07,78.6,79.48,78.47,79.24,547777
2010-10-08,79.39,79.48,78.47,78.8,685455
2010-10-11,79.89,79.99,79.12,79.3,366077
2010-10-12,79.53,79.785,79.17,79.6,878320
2010-10-13,80.4,80.7397,79.6,79.67,925128
2010-10-14,78.98,80.56,78.32,80.42,1392209
2010-10-15,79.12,79.89,78.82,79.39,733957
2010-10-18,79.96,80.065,79.21,79.39,837541
2010-10-19,78.99,79.46,78.61,79.24,1476915
2010-10-20,78.32,79.5599,77.88,79.29,2331080
2010-10-21,78.08,78.28,75.75,77.91,3261211
2010-10-22,79.16,79.4,78.05,78.05,1188880
2010-10-25,78.81,79.55,78.66,79.36,887434
2010-10-26,79.23,79.345,78.48,78.6,1208657
2010-10-27,79.56,79.7,78.46,78.85,985468
2010-10-28,80.27,80.4,79.42,80.0,982511
2010-10-29,81.32,81.495,80.11,80.28,1526332
2010-11-01,81.92,81.99,81.51,81.76,1248240
2010-11-02,82.66,83.0,82.01,82.12,754306
2010-11-03,81.89,82.84,81.16,82.465,1605023
2010-11-04,82.81,82.98,81.77,82.41,917811
