Date,Close,High,Low,Open,Volume
2010-01-01,9.795,10.035,9.795,9.975,0
2010-01-04,9.845,10.115,9.76,9.86,1656164
2010-01-05,9.915,9.915,9.74,9.815,709134
2010-01-06,9.9,9.915,9.675,9.755,968320
2010-01-07,9.92,9.98,9.845,9.955,1031153
2010-01-08,10.07,10.07,9.895,9.895,748332
2010-01-11,10.27,10.275,10.085,10.135,1028680
2010-01-12,10.19,10.29,10.065,10.28,758474
2010-01-13,10.14,10.185,10.005,10.13,1241552
2010-01-14,10.01,10.19,9.99,10.14,1052912
2010-01-15,9.995,10.065,9.955,10.035,1202236
2010-01-18,9.995,10.065,9.955,10.035,0
2010-01-19,10.0,10.285,9.885,9.99,1172244
2010-01-20,9.995,10.29,9.93,10.07,2606720
2010-01-21,9.925,10.175,9.845,10.045,1570094
2010-01-22,9.805,9.945,9.695,9.84,1215256
2010-01-25,9.855,9.93,9.745,9.81,1032248
2010-01-26,9.705,9.86,9.69,9.79,1014952
2010-01-27,9.635,9.695,9.575,9.645,1058654
2010-01-28,9.475,9.615,9.44,9.54,607786
2010-01-29,9.375,9.555,9.325,9.37,1096348
2010-02-01,9.325,9.4,9.25,9.34,1321420
2010-02-02,9.45,9.58,9.22,9.34,1556200
2010-02-03,9.3,9.48,9.235,9.44,1495942
2010-02-04,9.16,9.315,9.01,9.265,1411640
2010-02-05,9.185,9.185,9.02,9.035,874036
2010-02-08,9.075,9.28,9.075,9.13,637874
2010-02-09,9.215,9.295,9.08,9.275,459846
2010-02-10,9.25,9.2675,9.075,9.18,860156
2010-02-11,9.29,9.295,9.145,9.19,637596
2010-02-12,9.415,9.415,9.11,9.2,1235070
2010-02-15,9.415,9.415,9.11,9.2,0
2010-02-16,9.41,9.505,9.375,9.44,780386
2010-02-17,9.42,9.51,9.395,9.395,834876
2010-02-18,9.44,9.49,9.41,9.45,813332
2010-02-19,9.41,9.475,9.365,9.445,700216
2010-02-22,9.375,9.57,9.36,9.455,576874
2010-02-23,9.28,9.455,9.26,9.34,703360
2010-02-24,9.47,9.49,9.245,9.305,843426
2010-02-25,9.47,9.495,9.28,9.405,1330796
2010-02-26,9.575,9.65,9.43,9.53,2193706
2010-03-01,9.685,9.75,9.55,9.585,1908890
2010-03-02,9.875,9.905,9.6075,9.66,1125824
2010-03-03,9.95,10.04,9.77,9.91,1053468
2010-03-04,9.945,10.095,9.92,9.95,1385374
2010-03-05,10.08,10.095,9.975,10.01,1313726
2010-03-08,10.105,10.19,10.0,10.035,1110386
2010-03-09,10.29,10.375,10.055,10.1,1392758
2010-03-10,10.275,10.28,10.115,10.255,2531910
2010-03-11,10.38,10.38,10.185,10.215,1377690
2010-03-12,10.355,10.415,10.24,10.375,1268016
2010-03-15,10.3,10.4484,10.215,10.38,938076
2010-03-16,10.325,10.395,10.215,10.29,1130940
2010-03-17,10.2,10.4,10.185,10.375,1385968
2010-03-18,10.175,10.245,10.13,10.19,1133952
2010-03-19,10.05,10.215,9.9258,10.085,2781188
