Date,Close,High,Low,Open,Volume
2010-01-01,75.35,76.39,75.19,76.3,0
2010-01-04,76.85,76.95,75.52,75.87,2408225
2010-01-05,77.65,77.79,76.55,76.62,2356493
2010-01-06,76.51,77.19,75.85,76.1,5208480
2010-01-07,74.41,76.2,73.61,76.17,7038346
2010-01-08,75.61,75.94,74.32,74.35,3629331
2010-01-11,75.97,76.19,75.19,75.76,1973432
2010-01-12,75.96,76.47,75.31,75.75,2118979
2010-01-13,76.88,77.02,75.71,76.16,2245080
2010-01-14,76.84,77.03,76.15,76.79,1954433
2010-01-15,76.76,77.19,76.33,76.96,2041824
2010-01-18,76.76,77.19,76.33,76.96,0
2010-01-19,78.31,78.7,76.55,76.8,3765439
2010-01-20,78.11,78.3,76.82,77.81,3128191
2010-01-21,76.98,78.58,76.47,78.05,2304350
2010-01-22,75.58,77.31,75.5,76.75,2072051
2010-01-25,76.76,77.48,75.82,76.25,2559138
2010-01-26,76.78,77.35,75.85,76.42,2835056
2010-01-27,77.13,77.34,76.0,76.69,3054748
2010-01-28,76.15,78.47,75.25,78.43,3542326
2010-01-29,74.52,76.45,74.37,76.16,3249867
2010-02-01,74.89,75.34,74.28,75.34,2784203
2010-02-02,76.55,76.76,74.89,75.0,2995579
2010-02-03,76.69,76.95,75.84,76.18,2647557
2010-02-04,76.0,77.12,75.95,76.25,4992713
2010-02-05,75.72,76.62,74.035,75.85,5029628
2010-02-08,74.53,75.86,74.47,75.68,4308039
2010-02-09,75.45,75.99,74.7,75.17,3697728
2010-02-10,75.11,75.59,74.7,75.35,2798545
2010-02-11,76.35,76.4193,74.51,74.9,3432456
2010-02-12,75.58,75.96,75.02,75.73,2478497
2010-02-15,75.58,75.96,75.02,75.73,0
2010-02-16,76.03,76.33,75.48,76.07,2531390
2010-02-17,76.37,76.77,75.52,76.04,2060063
2010-02-18,77.33,77.44,76.15,76.39,2687306
2010-02-19,77.21,77.46,76.64,77.08,2800975
2010-02-22,76.94,77.73,76.5501,77.13,3029084
2010-02-23,76.9,78.05,76.74,76.84,2900065
2010-02-24,77.56,77.69,76.93,77.28,2379279
2010-02-25,76.99,77.04,75.62,75.94,2047812
2010-02-26,77.76,77.94,76.7,76.94,2635938
2010-03-01,78.86,79.42,77.69,77.71,2436525
2010-03-02,79.21,80.09,78.97,79.22,2727810
2010-03-03,78.85,80.05,78.72,79.63,1958887
2010-03-04,79.27,79.83,78.61,79.07,1849935
