Date,Close,High,Low,Open,Volume
2010-01-01,24.88,25.12,24.82,24.86,0
2010-01-04,25.88,25.91,24.93,25.32,3811312
2010-01-05,26.42,26.61,25.72,25.8,4839143
2010-01-06,26.82,26.93,25.93,26.25,4519958
2010-01-07,27.45,27.59,26.47,26.82,5713804
2010-01-08,27.03,27.48,26.65,27.18,3478985
2010-01-11,27.39,27.53,26.99,27.32,3233068
2010-01-12,26.93,28.44,26.67,28.4,5980075
2010-01-13,27.31,27.53,26.32,26.9,4143487
2010-01-14,27.46,27.5625,26.49,27.18,4901693
2010-01-15,26.89,27.36,26.69,27.23,3940311
2010-01-18,26.89,27.36,26.69,27.23,0
2010-01-19,27.69,27.71,26.6,26.85,3802317
2010-01-20,27.07,27.46,26.89,27.46,2664081
2010-01-21,26.01,27.4,25.83,27.11,5978038
2010-01-22,24.47,26.18,24.32,25.99,7236754
2010-01-25,24.81,25.65,24.54,25.1,3253769
2010-01-26,24.67,25.58,24.45,24.56,4413657
2010-01-27,25.49,25.57,24.34,24.47,3778164
2010-01-28,24.82,25.81,24.4,25.81,4469566
2010-01-29,24.58,25.68,24.43,25.09,4326231
2010-02-01,24.93,25.27,24.71,25.0,3444534
2010-02-02,26.17,26.3,24.71,25.0,6030535
2010-02-03,25.47,26.08,25.22,26.0,4034708
2010-02-04,23.77,25.19,23.75,25.19,7142656
2010-02-05,23.72,24.28,22.52,23.81,7099705
2010-02-08,23.5,24.52,23.37,23.82,5034529
2010-02-09,24.5,25.2,23.84,24.5,10533642
2010-02-10,24.46,24.88,24.05,24.5,3340187
2010-02-11,24.82,24.88,23.7088,24.44,3891146
2010-02-12,24.7,24.8,23.96,24.46,3857388
2010-02-15,24.7,24.8,23.96,24.46,0
2010-02-16,24.93,24.95,24.11,24.61,3897530
2010-02-17,25.15,25.4,24.91,25.07,3309473
2010-02-18,25.72,25.76,24.88,25.04,4458656
2010-02-19,25.48,25.71,24.76,25.43,4873630
2010-02-22,25.78,25.89,25.46,25.6,3442218
2010-02-23,24.65,25.61,24.42,25.6,5113322
2010-02-24,25.34,25.36,24.64,24.77,3345209
2010-02-25,25.27,25.3,24.51,24.8,5087600
2010-02-26,25.18,25.27,24.81,25.27,3086569
2010-03-01,25.62,25.69,25.19,25.19,2629620
2010-03-02,26.11,26.545,25.69,25.76,5537397
2010-03-03,26.27,26.35,25.94,26.18,3396075
