Date,Close,High,Low,Open,Volume
2010-01-01,23.39,23.6,23.36,23.51,0
2010-01-04,23.16,23.59,23.14,23.51,9616841
2010-01-05,22.92,23.13,22.7385,23.12,14428367
2010-01-06,22.98,23.17,22.75,22.84,12448192
2010-01-07,23.64,23.81,23.07,23.24,16572230
2010-01-08,23.59,23.64,23.25,23.51,8669328
2010-01-11,23.39,23.61,23.2,23.6,7975566
2010-01-12,23.33,23.465,23.01,23.22,10248518
2010-01-13,23.22,23.5,23.11,23.46,10519998
2010-01-14,23.19,23.42,23.17,23.39,10643441
2010-01-15,23.13,23.33,23.0,23.06,12862500
2010-01-18,23.13,23.33,23.0,23.06,0
2010-01-19,23.11,23.25,22.99,23.07,9619882
2010-01-20,22.8,23.32,22.71,22.94,15221252
2010-01-21,22.89,23.04,22.55,22.78,13639832
2010-01-22,22.31,23.39,22.26,22.77,12237124
2010-01-25,22.12,22.5,21.98,22.46,13266275
2010-01-26,21.96,22.39,21.94,22.01,13760636
2010-01-27,22.12,22.5,21.93,22.0,14136146
2010-01-28,21.98,22.26,21.78,22.22,15261711
2010-01-29,21.65,22.25,21.61,22.19,21935220
2010-02-01,21.99,21.99,21.67,21.72,12454280
2010-02-02,22.58,22.64,21.57,21.97,16244349
2010-02-03,22.11,22.48,21.66,22.34,38815694
2010-02-04,21.6,22.09,21.57,21.89,18435521
2010-02-05,21.59,21.815,21.29,21.59,15147153
2010-02-08,21.76,22.26,21.72,21.76,12353049
2010-02-09,21.84,22.07,21.66,22.02,16562881
2010-02-10,21.8,21.89,21.47,21.84,9638599
2010-02-11,22.17,22.23,21.62,21.9,12708234
2010-02-12,22.16,22.19,21.78,22.04,11256865
2010-02-15,22.16,22.19,21.78,22.04,0
2010-02-16,22.74,22.75,22.22,22.34,8992915
2010-02-17,23.05,23.18,22.87,22.97,11773478
2010-02-18,23.15,23.2,22.81,22.96,8571053
2010-02-19,23.13,23.22,22.785,23.01,18888964
2010-02-22,23.07,23.47,22.88,23.42,25812052
2010-02-23,22.81,23.2,22.7,23.14,16679413
2010-02-24,23.64,23.65,22.83,22.96,16584315
2010-02-25,23.82,23.87,23.11,23.12,16796950
2010-02-26,23.71,23.97,23.7,23.85,13102230
2010-03-01,23.98,24.0,23.6,23.74,9701853
2010-03-02,23.69,24.0,23.61,23.97,9887540
2010-03-03,23.62,23.98,23.53,23.74,9627068
2010-03-04,23.79,23.82,23.53,23.6,10692656
2010-03-05,24.05,24.15,23.84,23.85,10758888
2010-03-08,23.95,24.13,23.92,24.04,9528135
2010-03-09,24.01,24.23,23.85,23.92,11146240
2010-03-10,24.29,24.33,23.915,23.93,9675803
2010-03-11,24.59,24.62,24.15,24.17,8536249
2010-03-12,24.95,25.0,24.62,24.69,16217834
2010-03-15,25.04,25.08,24.77,25.0,8989278
2010-03-16,25.05,25.25,24.86,25.02,12994914
2010-03-17,25.16,25.31,25.05,25.16,12615698
2010-03-18,24.9,25.27,24.82,25.19,10390148
2010-03-19,24.78,25.01,24.65,24.97,15987460
2010-03-22,24.91,25.03,24.63,24.69,12325459
2010-03-23,24.83,24.83,24.46,24.65,12291575
2010-03-24,24.38,24.75,24.35,24.72,9808483
2010-03-25,24.34,24.62,24.34,24.5,12777512
2010-03-26,24.48,24.59,24.31,24.43,12185474
2010-03-29,24.31,24.62,24.26,24.58,7946430
2010-03-30,24.34,24.55,24.31,24.43,6960400
2010-03-31,24.24,24.34,24.16,24.26,9008546
2010-04-01,24.54,24.62,24.35,24.36,10097446
2010-04-02,24.54,24.62,24.35,24.36,0
2010-04-05,24.87,24.87,24.53,24.65,7054355
2010-04-06,24.98,25.06,24.73,24.87,9998149
2010-04-07,25.25,25.41,24.87,24.87,15400746
2010-04-08,25.59,25.69,25.13,25.3,13680278
2010-04-09,25.63,25.67,25.28,25.63,8599515
2010-04-12,25.6,25.6,25.37,25.59,7617266
2010-04-13,26.22,26.31,25.43,25.43,17069815
2010-04-14,26.59,26.63,26.13,26.25,18419007
2010-04-15,26.66,26.8,26.46,26.5,12021551
2010-04-16,26.29,26.72,26.12,26.52,13036754
2010-04-19,26.45,26.458,25.92,26.25,10543739
2010-04-20,26.62,26.98,26.54,26.59,13457608
2010-04-21,26.66,26.79,26.43,26.71,9195814
2010-04-22,27.53,27.7,26.45,26.5,16084916
2010-04-23,28.22,28.25,27.31,27.45,18839189
2010-04-26,28.16,28.54,28.12,28.28,18536432
2010-04-27,27.0,28.08,26.92,28.0,23812775
2010-04-28,27.03,27.55,26.75,27.1,14723928
2010-04-29,27.4,27.59,27.2,27.4,12925420
2010-04-30,27.12,27.74,27.1,27.51,17271137
2010-05-03,27.74,27.925,27.1,27.18,10810879
2010-05-04,26.97,27.63,26.9,27.43,17534318
2010-05-05,26.65,27.17,25.75,26.88,19311295
2010-05-06,25.52,26.76,24.14,26.51,19164327
2010-05-07,25.31,25.9599,24.78,25.5,22869863
2010-05-10,26.7,26.93,26.34,26.55,17308760
2010-05-11,27.1,27.26,26.43,26.58,18227719
2010-05-12,27.06,27.41,26.74,27.23,16967485
2010-05-13,26.25,27.11,26.16,27.11,15106508
2010-05-14,26.07,26.328,25.78,26.01,16936045
2010-05-17,25.26,25.9,24.579,25.9,40981795
2010-05-18,24.7,25.25,24.3,25.12,26836170
2010-05-19,24.82,24.99,24.35,24.5,19059751
2010-05-20,23.7,24.38,23.61,24.27,25295583
2010-05-21,24.2,24.31,23.09,23.1,22426498
2010-05-24,24.18,24.55,23.98,24.07,14303947
2010-05-25,24.42,24.43,23.53,23.72,18929047
2010-05-26,24.34,24.95,24.25,24.73,20492668
2010-05-27,25.12,25.15,24.46,24.64,13537572
2010-05-28,24.75,25.39,24.58,25.31,11273955
2010-05-31,24.75,25.39,24.58,25.31,0
2010-06-01,24.29,24.89,24.29,24.46,10536681
2010-06-02,24.43,24.44,24.06,24.3,16284255
2010-06-03,24.44,24.7,24.0819,24.5,12868730
