Date,Close,High,Low,Open,Volume
2010-04-28,22.0,22.25,21.7,22.25,5244395
2010-04-29,23.0,23.25,21.9,22.0,8773506
2010-04-30,22.3,23.0,22.25,22.95,1644399
2010-05-03,22.8,22.95,22.65,22.75,3302650
2010-05-04,21.5,22.8,21.5,22.8,2276463
2010-05-05,20.59,22.0,20.0,22.0,7052946
2010-05-06,19.45,20.55,18.45,20.5,8029372
2010-05-07,18.6,19.55,17.9,19.5,3881474
2010-05-10,19.01,19.85,18.7,19.75,3861035
2010-05-11,18.9,19.28,18.75,18.75,2626838
2010-05-12,19.8,20.04,19.2,19.2,5714262
2010-05-13,19.65,20.1,19.6,19.85,2475870
2010-05-14,18.75,19.4,18.75,19.3,3083401
2010-05-17,18.85,19.2,18.7,19.0,10116940
2010-05-18,18.79,19.32,18.25,19.05,6219778
2010-05-19,17.7,18.93,17.55,18.9,6227670
2010-05-20,16.9,17.14,16.2,17.14,10248424
2010-05-21,16.55,17.12,16.25,16.35,4470502
2010-05-24,16.9,17.15,16.68,16.7,1711292
2010-05-25,16.57,16.79,16.2,16.79,4649522
2010-05-26,17.15,17.4,16.8,16.99,2079286
2010-05-27,17.9,18.0,17.65,17.65,3156080
2010-05-28,17.77,17.9,16.25,17.9,222111
2010-05-31,17.77,17.9,16.25,17.9,0
2010-06-01,17.5,17.8,17.2,17.65,900720
2010-06-02,17.33,17.66,17.22,17.61,829884
2010-06-03,17.33,17.5,17.15,17.45,2173553
2010-06-04,17.05,17.1,16.75,17.05,3147113
2010-06-07,16.89,17.2,16.74,17.15,2826772
2010-06-08,16.75,17.03,16.5,17.03,2037650
2010-06-09,16.79,17.1,16.7,16.79,1410168
2010-06-10,16.97,17.07,16.85,16.97,1400980
2010-06-11,17.14,17.19,16.94,16.94,452409
2010-06-14,17.49,17.58,17.19,17.31,1008485
2010-06-15,17.97,18.0,17.35,17.48,1969269
2010-06-16,17.64,17.97,17.63,17.93,1041439
2010-06-17,17.3,17.75,17.14,17.68,1090525
2010-06-18,17.21,17.35,17.15,17.3299,1373625
2010-06-21,17.1,17.53,17.09,17.45,514026
2010-06-22,16.84,17.1,16.8,17.09,1502897
2010-06-23,16.65,16.95,16.6,16.9,1125631
2010-06-24,16.8,16.92,16.35,16.69,2151603
2010-06-25,16.82,16.92,16.7,16.9,611909
2010-06-28,16.87,16.87,16.7,16.87,355895
2010-06-29,16.25,16.74,16.25,16.74,2560983
2010-06-30,16.15,16.5,16.15,16.27,1534029
2010-07-01,15.55,16.3,15.4,16.2399,4006078
2010-07-02,15.48,15.69,15.4,15.58,231669
2010-07-05,15.48,15.69,15.4,15.58,0
2010-07-06,15.06,15.59,14.9,15.5,833669
