Date,Close,High,Low,Open,Volume
2010-01-01,16.76,17.38,16.76,17.21,0
2010-01-04,17.06,17.3501,16.8,16.9,8823080
2010-01-05,16.86,17.21,16.79,17.02,9931679
2010-01-06,17.1,17.29,16.87,16.95,13240630
2010-01-07,17.49,17.66,16.96,17.54,19939504
2010-01-08,16.92,17.2,16.85,17.14,13218029
2010-01-11,16.62,17.11,16.38,17.11,13104404
2010-01-12,16.37,16.63,16.2,16.41,9282709
2010-01-13,16.44,16.76,16.39,16.45,11280188
2010-01-14,16.51,16.56,16.17,16.34,7264646
2010-01-15,16.55,16.78,16.34,16.51,7861362
2010-01-18,16.55,16.78,16.34,16.51,0
2010-01-19,16.69,16.75,16.52,16.52,6200085
2010-01-20,16.44,16.65,16.31,16.58,8340303
2010-01-21,15.74,16.74,15.71,16.48,15398218
2010-01-22,15.57,16.11,15.44,15.8,14624874
2010-01-25,15.53,15.87,15.48,15.77,8914086
2010-01-26,15.82,16.07,15.39,15.54,12576863
2010-01-27,15.67,15.95,15.46,15.74,9142076
2010-01-28,15.78,15.96,15.53,15.8,11604123
2010-01-29,15.93,16.32,15.92,16.12,13552513
2010-02-01,15.92,15.92,15.34,15.61,21044851
2010-02-02,16.21,16.32,15.77,15.89,11490220
2010-02-03,16.24,16.29,15.8919,16.01,9002476
2010-02-04,16.67,17.06,16.41,16.83,25824956
2010-02-05,16.42,16.72,15.8,16.67,15113023
2010-02-08,16.27,16.69,16.24,16.47,11105931
2010-02-09,16.71,16.88,16.32,16.47,9663688
2010-02-10,16.75,16.9,16.51,16.72,10031801
2010-02-11,17.13,17.14,16.53,16.68,8385261
2010-02-12,17.32,17.39,16.76,16.91,8156952
2010-02-15,17.32,17.39,16.76,16.91,0
2010-02-16,17.89,17.92,17.29,17.37,10002995
2010-02-17,17.93,18.1,17.76,17.85,8487206
2010-02-18,18.16,18.29,17.67,17.85,9652246
2010-02-19,18.54,18.625,18.08,18.2,8311235
2010-02-22,18.47,18.85,18.33,18.61,16614809
2010-02-23,18.67,18.86,18.28,18.39,14244586
2010-02-24,19.52,19.55,18.57,18.59,15246705
2010-02-25,19.28,19.38,19.03,19.14,16659687
2010-02-26,19.15,19.35,19.03,19.25,11371356
2010-03-01,19.78,19.96,19.18,19.21,13501389
2010-03-02,20.0,20.05,19.56,19.96,15374159
2010-03-03,20.03,20.095,19.81,19.95,12867056
2010-03-04,19.88,20.53,19.82,20.15,20926114
2010-03-05,20.45,20.6,19.94,20.07,11863110
2010-03-08,21.04,21.17,20.62,20.84,13075747
2010-03-09,20.68,21.06,20.46,20.93,9295129
2010-03-10,20.98,21.32,20.58,20.59,10624500
2010-03-11,21.06,21.28,20.81,20.84,7720938
2010-03-12,21.75,21.8,21.21,21.32,13393829
2010-03-15,21.56,21.74,21.33,21.63,11341466
2010-03-16,21.64,21.68,21.41,21.6,5545352
2010-03-17,21.58,21.82,21.345,21.76,7045357
2010-03-18,21.39,21.63,21.19,21.52,6875201
2010-03-19,20.89,21.5,20.81,21.46,10782949
2010-03-22,22.0,22.05,20.65,20.75,15856615
2010-03-23,21.87,22.16,21.42,22.09,12568804
2010-03-24,21.5,21.86,21.37,21.74,6577142
2010-03-25,21.5,22.1,21.49,21.68,6482950
2010-03-26,21.72,22.0,21.53,21.53,5452454
2010-03-29,21.64,21.99,21.6,21.82,5918162
2010-03-30,22.12,22.27,21.43,21.62,10229059
2010-03-31,21.77,22.13,21.65,22.01,8912394
2010-04-01,22.34,22.4,21.93,21.98,7789182
2010-04-02,22.34,22.4,21.93,21.98,0
2010-04-05,22.84,22.86,22.24,22.4,9910193
2010-04-06,22.61,22.81,22.43,22.75,6338548
2010-04-07,22.46,22.95,22.23,22.61,11047841
2010-04-08,22.65,22.74,22.08,22.2,11379304
2010-04-09,23.51,23.53,22.51,22.6,9924826
2010-04-12,22.94,23.5899,22.92,23.5,8149495
2010-04-13,23.24,23.39,22.91,22.96,7151581
2010-04-14,23.96,23.97,23.16,23.39,9683397
2010-04-15,23.76,24.13,23.7,23.83,8949915
2010-04-16,22.98,23.74,22.88,23.58,10103802
2010-04-19,22.9,23.19,22.24,22.9,9214653
2010-04-20,23.01,23.35,22.83,23.02,6970844
2010-04-21,23.44,23.46,22.65,23.08,9741137
2010-04-22,24.48,24.56,23.14,23.3,12120659
2010-04-23,24.83,24.85,24.34,24.59,8289941
2010-04-26,24.85,25.25,24.74,24.93,10826542
2010-04-27,23.91,24.73,23.84,24.55,15620520
2010-04-28,24.03,24.48,23.54,24.07,10493212
2010-04-29,24.68,24.78,24.08,24.28,8213832
2010-04-30,23.2,24.77,23.13,24.73,13736916
2010-05-03,23.74,23.92,23.25,23.39,9581747
2010-05-04,22.77,23.54,22.66,23.42,11596930
2010-05-05,23.22,23.59,22.07,22.36,14015758
2010-05-06,22.42,23.5,21.0,22.95,16699772
2010-05-07,21.94,23.0,21.22,22.27,19231178
2010-05-10,23.97,24.03,22.93,23.15,13556123
2010-05-11,23.9,24.59,23.48,23.66,11652678
2010-05-12,24.7,24.84,23.73,24.43,16556320
2010-05-13,23.48,24.57,23.36,24.47,10928585
2010-05-14,22.54,23.27,22.17,23.04,14567057
2010-05-17,22.31,22.85,21.61,22.8,13805463
2010-05-18,21.37,22.67,21.28,22.6,17846868
2010-05-19,21.35,21.94,20.93,21.67,15519416
2010-05-20,20.35,21.04,20.27,20.77,22172118
2010-05-21,21.05,21.24,19.9,20.07,16883172
2010-05-24,21.15,21.59,20.93,21.03,12801131
2010-05-25,21.51,21.53,20.12,20.34,13351272
2010-05-26,21.02,21.88,20.9,21.7,12148401
2010-05-27,22.05,22.08,21.25,21.5,10428767
2010-05-28,22.21,22.62,21.93,22.05,10119118
2010-05-31,22.21,22.62,21.93,22.05,0
2010-06-01,21.88,22.93,21.86,22.27,13186465
2010-06-02,22.4,22.43,21.79,22.07,9234784
2010-06-03,22.49,23.06,22.28,22.52,11679137
2010-06-04,21.03,22.03,20.86,21.95,12302526
2010-06-07,20.58,21.39,20.58,21.13,10050690
2010-06-08,20.58,20.88,20.03,20.58,10358789
2010-06-09,20.52,21.2198,20.35,20.85,11730310
2010-06-10,21.33,21.4,20.88,21.0,8205743
2010-06-11,21.24,21.58,20.75,20.85,6824074
2010-06-14,21.73,22.11,21.41,21.5,7655539
2010-06-15,22.2075,22.31,21.54,22.03,11637256
2010-06-16,21.8,22.12,21.55,22.0,7042867
2010-06-17,21.67,21.97,21.28,21.83,6524851
2010-06-18,21.46,21.84,21.27,21.79,6990169
2010-06-21,20.74,21.8,20.57,21.77,8110866
2010-06-22,20.06,21.15,20.0,20.85,11087883
2010-06-23,20.09,20.28,19.55,20.0,13746229
2010-06-24,18.85,19.88,18.8,19.84,16068359
2010-06-25,19.02,19.27,18.67,18.85,14157708
2010-06-28,18.82,19.22,18.58,19.0,10097469
2010-06-29,17.77,18.48,17.63,18.43,14539141
2010-06-30,17.9,18.39,17.8,17.85,12077954
2010-07-01,18.33,18.38,17.58,17.82,17295677
2010-07-02,17.85,18.54,17.73,18.48,7059935
2010-07-05,17.85,18.54,17.73,18.48,0
2010-07-06,17.41,18.4,17.2,18.29,11937905
2010-07-07,17.91,17.94,17.34,17.35,15118930
2010-07-08,18.44,18.56,17.76,18.4,15866147
2010-07-09,18.53,18.59,18.14,18.46,8152965
2010-07-12,17.98,18.56,17.79,18.45,8036041
2010-07-13,18.47,18.59,18.03,18.18,8043234
2010-07-14,18.38,18.54,18.03,18.42,7003383
2010-07-15,18.3,18.47,17.92,18.4,8319703
2010-07-16,17.16,18.25,17.11,18.21,9126070
2010-07-19,17.53,17.59,16.925,17.39,6977649
2010-07-20,18.42,18.44,17.08,17.26,12855764
2010-07-21,18.2,18.93,18.09,18.49,14750951
2010-07-22,19.24,19.38,18.43,18.48,12465045
2010-07-23,19.38,19.48,18.83,19.17,9023723
2010-07-26,20.14,20.15,19.1,19.48,7897648
2010-07-27,19.58,20.35,19.5,20.3,9281768
2010-07-28,19.05,19.73,19.0,19.48,7137465
2010-07-29,18.64,19.5,18.39,19.22,10589754
2010-07-30,18.65,18.77,18.25,18.39,9609848
2010-08-02,19.46,19.5,18.75,19.08,8272235
2010-08-03,18.84,19.45,18.7,19.44,9463880
2010-08-04,19.44,19.48,18.95,18.95,9171227
2010-08-05,19.78,19.95,18.76,19.1,13107167
2010-08-06,19.44,19.78,19.03,19.56,7567713
2010-08-09,19.76,19.98,19.37,19.62,6331580
2010-08-10,19.38,19.85,19.215,19.85,11610925
2010-08-11,20.52,20.58,19.43,19.62,24965649
2010-08-12,20.25,20.33,19.74,20.14,14537331
2010-08-13,20.13,20.47,20.05,20.14,9364764
2010-08-16,20.14,20.34,19.75,19.89,7892182
2010-08-17,20.51,20.77,20.19,20.36,8515370
2010-08-18,21.05,21.19,20.42,20.47,10032628
2010-08-19,20.72,20.97,20.54,20.87,7126878
2010-08-20,20.97,21.12,20.41,20.54,7054458
2010-08-23,20.2,21.07,20.16,20.93,8156373
2010-08-24,19.59,20.0,19.29,20.0,11874178
2010-08-25,19.79,20.0,19.2,19.45,9588068
2010-08-26,19.21,20.05,19.05,19.86,10105565
2010-08-27,19.6,19.775,19.05,19.37,9657422
2010-08-30,19.19,19.73,19.12,19.54,6423970
2010-08-31,19.41,19.74,19.0,19.08,8315253
2010-09-01,20.19,20.26,19.6601,19.7,6945601
2010-09-02,20.71,20.77,20.16,20.41,7841583
2010-09-03,20.87,21.32,20.76,21.07,7508428
2010-09-06,20.87,21.32,20.76,21.07,0
2010-09-07,20.48,21.0,20.42,20.76,5836760
2010-09-08,20.42,20.87,20.2175,20.3501,8991126
2010-09-09,20.63,20.89,20.4,20.82,5106211
2010-09-10,20.8,20.95,20.41,20.6,4727370
2010-09-13,21.05,21.26,20.94,21.06,5511465
2010-09-14,21.65,22.12,21.07,21.31,10214774
2010-09-15,21.5,21.64,21.3452,21.49,5434193
2010-09-16,21.69,21.74,21.27,21.4,5552062
2010-09-17,21.745,21.89,21.3775,21.86,7224489
2010-09-20,22.13,22.23,21.55,21.78,7309873
2010-09-21,21.99,22.2325,21.63,22.09,7600229
2010-09-22,22.0,22.1,21.45,21.75,11509902
2010-09-23,22.28,22.71,21.64,21.82,13304649
2010-09-24,22.75,23.0,22.51,22.69,7321208
2010-09-27,22.73,22.97,22.61,22.86,5085215
2010-09-28,22.97,23.04,22.36,22.76,8458468
2010-09-29,23.17,23.23,22.77,22.84,5817549
2010-09-30,23.08,23.4,22.7,23.29,6948635
2010-10-01,23.15,23.4,23.035,23.32,8078087
2010-10-04,22.76,22.77,22.01,22.71,11540377
2010-10-05,23.52,23.7,23.08,23.27,10866863
2010-10-06,23.7,23.73,23.09,23.47,9846577
2010-10-07,23.85,23.98,23.25,23.44,9368930
2010-10-08,24.36,24.5025,23.83,23.93,8884237
2010-10-11,24.85,25.26,24.38,24.41,11767557
2010-10-12,24.96,25.07,24.56,24.72,7008283
2010-10-13,24.34,25.18,24.28,25.1,9215699
2010-10-14,24.04,24.71,23.79,24.38,9213525
2010-10-15,24.18,24.38,23.88,24.31,6672721
2010-10-18,24.0,24.6,23.94,24.24,8379184
2010-10-19,22.64,23.8,22.46,23.64,18822431
2010-10-20,22.43,22.98,22.36,22.79,13424063
2010-10-21,22.25,22.62,21.9001,22.55,9322639
2010-10-22,22.18,22.4,21.99,22.33,7421732
2010-10-25,22.47,22.95,22.32,22.34,8319826
2010-10-26,22.96,23.14,22.19,22.37,8788067
2010-10-27,23.04,23.21,22.51,22.8,10446547
2010-10-28,23.29,23.67,22.83,23.52,10465989
2010-10-29,23.67,23.9325,23.09,23.23,8939257
2010-11-01,23.97,24.26,23.73,23.87,8170476
2010-11-02,24.02,24.37,23.69,24.18,8271074
2010-11-03,23.97,24.11,23.56,24.03,6687579
2010-11-04,25.56,25.85,24.6,24.67,11477720
2010-11-05,25.57,26.03,25.5,25.73,7505361
2010-11-08,25.57,25.63,25.07,25.39,6498400
2010-11-09,25.22,25.75,25.01,25.74,7575667
2010-11-10,24.86,25.6,24.74,25.33,12263928
2010-11-11,24.92,25.085,24.42,24.75,7343984
2010-11-12,25.06,25.28,24.63,24.74,10755398
2010-11-15,24.7,25.24,24.63,25.14,7762733
2010-11-16,24.15,24.9,23.9,24.44,8783010
2010-11-17,24.65,24.97,24.04,24.19,9484208
2010-11-18,24.73,25.2,24.7,25.01,6371327
2010-11-19,25.08,25.18,24.6,24.73,6236158
2010-11-22,25.64,25.78,24.99,25.06,9155264
2010-11-23,25.45,26.14,25.3,25.35,11118038
2010-11-24,25.89,26.04,25.55,26.0,8259733
2010-11-25,25.89,26.04,25.55,26.0,0
2010-11-26,26.0,26.32,25.66,26.3,5427799
2010-11-29,25.42,26.2,25.21,26.05,9934938
2010-11-30,25.68,26.115,25.255,25.44,9737068
2010-12-01,25.8,26.2,25.54,26.16,8212795
2010-12-02,25.54,26.2,25.33,25.93,12669947
2010-12-03,25.06,25.493,24.52,25.24,12012628
2010-12-06,25.18,25.32,24.95,25.04,6660972
2010-12-07,25.58,25.83,25.42,25.47,9261596
2010-12-08,25.49,25.78,24.91,25.63,6228874
2010-12-09,25.44,25.7,25.36,25.56,4795409
2010-12-10,25.49,25.65,25.33,25.56,4529676
2010-12-13,24.95,25.54,24.9107,25.47,5744731
2010-12-14,25.18,25.28,24.87,25.02,6336732
2010-12-15,25.27,25.36,25.01,25.09,5708580
2010-12-16,25.73,25.81,25.045,25.29,9251766
2010-12-17,25.89,26.17,25.52,25.78,11601968
2010-12-20,25.6,26.15,25.58,26.12,4908976
2010-12-21,25.98,26.16,25.71,25.74,8491071
2010-12-22,25.49,26.1,25.48,25.98,6338514
2010-12-23,25.16,25.79,25.065,25.54,7529044
2010-12-24,25.16,25.79,25.065,25.54,0
2010-12-27,25.16,25.255,24.58,25.17,3809020
2010-12-28,25.0,25.24,24.88,25.06,3214089
2010-12-29,25.04,25.31,24.99,25.01,3704384
2010-12-30,25.24,25.47,25.0,25.16,4021821
2010-12-31,25.3,25.53,25.09,25.19,4828077
2011-01-03,25.44,25.81,25.42,25.5,4954605
2011-01-04,25.09,25.5,24.68,25.31,9240745
2011-01-05,24.97,25.36,24.8,24.94,5973978
2011-01-06,23.97,24.4,23.93,24.25,14664919
2011-01-07,23.31,23.99,23.15,23.96,13899834
2011-01-10,23.48,23.67,23.15,23.17,11289379
2011-01-11,23.24,23.91,23.12,23.85,9347838
2011-01-12,23.22,23.46,23.08,23.46,9034730
2011-01-13,22.99,23.3,22.9,23.25,8066302
