Date,Close,High,Low,Open,Volume
2010-01-01,35.95,36.7,35.31,35.84,0
2010-01-04,34.84,37.11,34.47,36.38,2642428
2010-01-05,34.43,34.75,34.08,34.53,2700915
2010-01-06,33.34,34.86,33.2,34.51,2775947
2010-01-07,33.47,33.6899,32.64,33.38,2887542
2010-01-08,32.84,33.59,32.26,33.59,2171221
2010-01-11,32.93,33.499,32.8,33.33,1459960
2010-01-12,32.23,32.97,31.94,32.5,1709817
2010-01-13,32.99,33.11,31.9703,32.26,1558988
2010-01-14,33.27,33.47,32.38,32.83,1555069
2010-01-15,32.78,33.31,32.66,33.18,1367196
2010-01-18,32.78,33.31,32.66,33.18,0
2010-01-19,34.14,34.32,32.78,32.79,1765082
2010-01-20,33.7,34.35,33.5,33.67,2116069
2010-01-21,32.38,34.0,32.27,33.9,2137450
2010-01-22,31.55,33.04,31.44,32.32,1868815
2010-01-25,32.4,32.47,31.18,32.17,1368357
2010-01-26,31.37,32.57,31.32,32.2,1480449
2010-01-27,31.94,32.09,30.76,31.22,1798425
2010-01-28,31.09,32.13,30.7,32.1,1367726
2010-01-29,30.85,31.85,30.27,31.36,2141142
2010-02-01,31.45,31.71,30.99,31.11,1607546
2010-02-02,32.0,32.66,31.19,31.7,2436872
2010-02-03,31.28,31.92,30.78,31.75,1220025
2010-02-04,30.17,31.01,30.16,30.86,2672490
2010-02-05,31.31,31.37,30.17,30.3,2322873
2010-02-08,30.58,31.49,30.58,31.12,1749940
2010-02-09,30.5,31.18,30.18,31.16,2652936
2010-02-10,30.57,31.21,30.03,30.42,1745827
2010-02-11,29.97,30.11,29.3,29.75,2445246
2010-02-12,30.85,31.02,29.42,29.73,2402010
2010-02-15,30.85,31.02,29.42,29.73,0
2010-02-16,32.0,32.07,30.95,31.15,2111202
2010-02-17,33.68,33.88,32.01,32.09,2907422
2010-02-18,34.06,34.31,33.12,33.56,2456698
2010-02-19,33.64,34.29,33.56,33.9,1761767
2010-02-22,33.37,33.9,33.3,33.9,1575929
2010-02-23,33.67,33.98,33.14,33.29,2114546
2010-02-24,35.1,35.24,33.5,33.72,2642040
2010-02-25,35.87,35.98,34.26,34.33,1657944
2010-02-26,35.64,36.06,35.09,35.86,1329108
2010-03-01,35.93,36.02,35.47,35.9,1115152
2010-03-02,36.79,36.94,36.12,36.12,2296349
2010-03-03,36.3,37.28,36.24,36.92,1105097
2010-03-04,36.44,36.7,36.17,36.35,1351605
2010-03-05,38.58,38.85,36.66,36.66,2319527
2010-03-08,38.81,38.98,38.06,38.41,1118052
2010-03-09,38.6,39.61,38.27,38.51,1775993
2010-03-10,38.14,38.99,38.04,38.54,1605748
2010-03-11,38.61,38.73,37.65,38.01,1931626
2010-03-12,39.19,39.6,38.4,38.91,1088741
2010-03-15,39.11,39.35,38.26,39.17,1081080
2010-03-16,40.95,41.2,39.02,39.03,2930294
2010-03-17,41.07,41.34,40.64,41.18,1470054
2010-03-18,40.08,41.05,40.04,40.78,1472028
2010-03-19,39.4,40.17,39.22,40.17,1485119
2010-03-22,40.02,40.31,38.95,39.15,1265422
2010-03-23,39.26,40.09,39.01,40.05,1592180
2010-03-24,39.2,39.46,38.98,39.0,3124330
2010-03-25,39.61,40.79,39.55,39.69,1436511
2010-03-26,39.28,40.5,39.17,39.9,1206738
2010-03-29,39.63,40.08,39.17,39.38,1060151
2010-03-30,38.92,39.8,38.71,39.8,736885
2010-03-31,38.31,39.08,38.08,38.64,1241489
2010-04-01,38.77,38.92,38.17,38.67,942364
2010-04-02,38.77,38.92,38.17,38.67,0
2010-04-05,40.43,40.53,38.94,38.97,1087923
2010-04-06,42.47,42.64,39.94,40.1,2537256
2010-04-07,40.47,42.5,40.19,42.26,1516215
2010-04-08,40.29,40.71,40.01,40.22,1213189
2010-04-09,41.99,42.18,40.95,41.02,1857313
2010-04-12,41.9,42.31,41.42,42.0,1609207
2010-04-13,43.51,43.64,41.68,41.77,2466100
2010-04-14,43.73,44.09,43.15,44.02,1400630
2010-04-15,40.9,40.98,40.0,40.9,28272010
2010-04-16,39.83,41.05,39.62,40.8,5965275
2010-04-19,40.14,40.7,39.31,39.45,2676220
2010-04-20,40.74,40.99,40.0,40.41,1858966
2010-04-21,41.83,41.99,40.74,40.74,2423750
2010-04-22,43.24,43.24,41.47,41.6,3532483
2010-04-23,45.0,45.28,42.59,43.32,6151184
2010-04-26,45.49,45.73,44.83,45.07,2715014
2010-04-27,43.18,45.56,43.14,44.89,2674462
2010-04-28,43.52,43.94,42.86,43.6,2019353
2010-04-29,45.61,46.1,44.12,44.23,2780449
2010-04-30,44.71,46.705,44.21,45.61,3752876
2010-05-03,46.5,47.19,44.89,45.19,2072092
2010-05-04,44.45,45.26,43.95,45.23,3492687
2010-05-05,44.12,44.55,42.36,43.41,2679479
2010-05-06,41.6,43.83,37.94,43.18,3564251
2010-05-07,40.75,42.81,39.76,41.7,4243342
2010-05-10,44.12,44.18,42.84,43.2,3167468
2010-05-11,44.38,45.2,42.8,43.13,1917786
2010-05-12,45.49,46.09,44.66,44.91,2256985
2010-05-13,44.34,45.73,44.02,45.4,2006568
2010-05-14,43.31,44.13,42.75,43.86,2223300
2010-05-17,43.54,44.59,41.8,43.74,1986179
2010-05-18,42.37,44.48,41.75,44.33,1955078
2010-05-19,41.54,42.91,40.21,42.18,2091036
2010-05-20,39.48,40.92,39.03,40.0,2934889
2010-05-21,40.33,40.7199,37.88,38.55,2824779
2010-05-24,40.15,41.34,39.84,40.27,2167592
2010-05-25,38.97,39.2,37.71,38.3,4674186
2010-05-26,39.25,40.74,38.77,39.81,6906524
2010-05-27,41.43,41.56,39.62,40.78,3058775
2010-05-28,41.36,42.33,40.88,41.46,2007691
2010-05-31,41.36,42.33,40.88,41.46,0
2010-06-01,39.93,41.65,39.76,41.14,1853895
2010-06-02,40.35,40.54,39.18,40.44,2548352
2010-06-03,40.29,40.82,39.5,40.31,2019385
2010-06-04,37.81,39.87,37.57,38.71,2699002
2010-06-07,36.99,38.75,36.89,38.1,2492387
2010-06-08,37.6,37.74,35.82,37.05,2160505
2010-06-09,38.3,39.33,37.84,38.15,2643838
2010-06-10,39.94,40.3,38.78,39.33,2676831
2010-06-11,40.96,41.05,38.92,39.26,1760944
2010-06-14,41.61,42.31,41.0,41.65,1542576
2010-06-15,43.22,43.38,41.67,41.91,1217679
2010-06-16,42.06,43.12,41.75,42.92,1507851
2010-06-17,42.05,42.53,41.38,42.33,1269291
2010-06-18,42.91,43.07,41.77,42.78,2168431
2010-06-21,42.27,43.83,41.97,43.69,1520117
2010-06-22,40.52,42.9,40.49,42.56,1586210
2010-06-23,40.37,41.02,39.37,40.34,1311340
2010-06-24,38.95,40.4,38.75,40.01,1856910
2010-06-25,40.27,40.5699,38.77,39.25,1864920
2010-06-28,39.33,40.47,39.2,40.47,1155936
2010-06-29,37.24,38.489,36.87,38.37,2006044
2010-06-30,37.32,38.6,37.13,37.22,1954211
2010-07-01,37.21,37.52,35.74,37.27,2039191
2010-07-02,36.59,37.68,36.34,37.59,1660459
2010-07-05,36.59,37.68,36.34,37.59,0
2010-07-06,35.95,37.93,35.5,37.49,2406383
2010-07-07,38.69,38.73,35.94,35.95,2296333
2010-07-08,38.92,39.66,37.98,39.27,1772204
2010-07-09,39.58,39.62,38.65,38.8,1000750
2010-07-12,39.08,39.46,38.5901,39.35,1133078
