Date,Close,High,Low,Open,Volume
2010-01-01,25.6855,26.3736,25.6666,26.1379,0
2010-01-04,26.0437,26.3265,25.6384,26.0248,2860108
2010-01-05,26.1945,26.317,25.7986,25.9871,2627570
2010-01-06,26.2699,26.4113,25.9494,26.1474,2789604
2010-01-07,26.3736,26.5527,26.1097,26.1568,2560418
2010-01-08,26.4301,26.5527,26.1662,26.1851,3960592
2010-01-11,26.3736,26.7129,26.2133,26.515,2714011
2010-01-12,26.1474,26.251,25.6573,26.1945,3009379
2010-01-13,26.515,26.5998,26.1238,26.2133,2632686
2010-01-14,27.9854,28.1645,26.3642,26.449,7137580
2010-01-15,27.6178,27.976,27.3727,27.976,4868328
2010-01-18,27.6178,27.976,27.3727,27.976,0
2010-01-19,27.8063,27.8346,27.467,27.7215,2610486
2010-01-20,27.1371,27.6932,27.024,27.6367,3554030
2010-01-21,26.515,27.6838,26.5055,27.269,4381904
2010-01-22,25.874,26.6281,25.8269,26.5055,3323341
2010-01-25,25.9306,26.2888,25.7515,26.1379,1982046
2010-01-26,25.5818,26.1521,25.5582,25.8175,4083282
2010-01-27,25.3367,25.6556,24.79,25.563,3890320
2010-01-28,25.1388,25.6666,24.8089,25.497,2847691
2010-01-29,24.7241,25.5724,24.6392,25.2425,5062462
2010-02-01,25.0351,25.1011,24.823,24.8749,2788926
2010-02-02,25.2613,25.4498,25.0634,25.1576,3915522
2010-02-03,24.988,25.1765,24.8654,25.1576,4025572
2010-02-04,24.2622,25.6384,24.2622,25.1671,6435183
2010-02-05,24.6958,24.7146,24.1585,24.2999,7884729
2010-02-08,24.4601,24.922,24.347,24.7241,3191374
2010-02-09,24.6204,24.9314,24.4978,24.856,4554611
2010-02-10,24.8843,25.2425,24.7241,24.7712,5833653
2010-02-11,25.1294,25.2142,24.4319,24.8749,5260459
2010-02-12,25.299,25.4404,24.7523,25.2708,4374849
2010-02-15,25.299,25.4404,24.7523,25.2708,0
2010-02-16,25.563,25.7043,25.1671,25.6007,5915742
2010-02-17,25.5347,25.7515,25.3839,25.431,4593393
2010-02-18,25.497,25.5441,25.2142,25.3462,3079726
2010-02-19,25.6949,25.7609,25.3179,25.3273,3266882
2010-02-22,25.7892,25.9211,25.6054,25.6949,4406713
2010-02-23,25.5158,25.8457,25.2802,25.7232,3324675
2010-02-24,25.6949,25.7138,25.4216,25.6761,3144706
2010-02-25,25.4498,25.4781,25.1105,25.2802,3789256
2010-02-26,25.5535,25.6761,25.1859,25.4498,2873486
2010-03-01,25.6572,25.9117,25.5064,25.6478,2710337
2010-03-02,25.3273,25.9211,25.2708,25.8834,4150436
2010-03-03,25.1859,25.5064,24.9974,25.4593,4428872
2010-03-04,25.4404,25.4687,25.0445,25.1671,4056293
2010-03-05,26.2699,26.4113,25.4923,25.5441,5901830
2010-03-08,26.2982,26.3547,25.9871,26.2133,2988454
2010-03-09,26.4867,26.7129,25.9117,26.1191,5109675
2010-03-10,26.4867,26.5715,26.1002,26.4207,3624537
2010-03-11,26.7035,26.7223,26.1568,26.3359,3898162
2010-03-12,27.0522,27.1465,26.6564,26.76,4895497
2010-03-15,26.9768,27.0428,26.6187,27.0428,2622837
2010-03-16,27.1465,27.1465,26.7883,26.958,3046373
2010-03-17,27.0711,27.2313,26.8684,27.0994,3038210
2010-03-18,27.09,27.2219,26.8449,27.1088,2893535
2010-03-19,27.3916,27.7686,27.2785,27.4481,3798720
2010-03-22,27.8534,28.042,27.0617,27.2785,4166776
2010-03-23,28.042,28.1362,27.7403,27.8723,4994594
2010-03-24,27.9666,28.0608,27.7215,27.9194,4058833
2010-03-25,28.419,29.06,28.3719,28.5698,18395345
2010-03-26,29.305,29.4417,28.4661,28.5038,8491179
2010-03-29,29.4841,29.6538,29.2485,29.3239,5852071
2010-03-30,29.9554,30.1439,29.4276,29.4747,5973403
