Date,Close,High,Low,Open,Volume
2010-01-01,12.1417,12.3087,12.1241,12.212,0
2010-01-04,12.5637,12.5725,12.2032,12.2823,3378761
2010-01-05,12.678,12.6868,12.4142,12.4845,3256937
2010-01-06,12.8098,12.9681,12.5813,12.7043,7307227
2010-01-07,13.6099,13.689,12.7571,12.8011,9596637
2010-01-08,13.6978,13.7154,13.1879,13.478,4108717
2010-01-11,13.6627,13.8473,13.5044,13.8121,3187760
2010-01-12,13.4517,13.5747,13.311,13.5132,2463885
2010-01-13,13.2758,13.4956,13.056,13.4868,3815156
2010-01-14,13.2143,13.3286,12.9681,13.2055,3158529
2010-01-15,13.1879,13.4868,13.0648,13.4692,6320210
2010-01-18,13.1879,13.4868,13.0648,13.4692,0
2010-01-19,13.5572,13.5747,13.1176,13.1703,3070126
2010-01-20,13.1439,13.2934,12.9505,13.2055,3480791
2010-01-21,12.7395,13.2758,12.6516,13.267,4560546
2010-01-22,12.2296,12.9593,12.2208,12.6252,3794411
2010-01-25,12.1153,12.5461,12.0801,12.423,3858039
2010-01-26,12.1153,12.379,11.9746,12.0362,5115652
2010-01-27,11.9394,12.0274,11.6141,11.9834,7169621
2010-01-28,11.957,12.2999,11.7196,12.0274,5503403
2010-01-29,11.9219,12.3615,11.8515,12.045,7454478
2010-02-01,12.2999,12.3087,11.9219,12.0362,4237640
2010-02-02,12.9945,13.0121,12.256,12.2823,6034926
2010-02-03,13.056,13.1879,12.889,12.889,5325523
2010-02-04,12.7483,12.8802,12.5373,12.8714,7706305
2010-02-05,12.4318,12.7395,11.957,12.6692,6388575
2010-02-08,12.3527,12.5109,12.1768,12.3351,3682139
2010-02-09,12.7043,12.8538,12.3703,12.6076,5294504
2010-02-10,12.7483,12.8296,12.3703,12.7131,3568619
2010-02-11,12.1065,12.379,11.2361,12.1768,14584516
2010-02-12,12.1417,12.1417,11.7372,11.8603,8125018
2010-02-15,12.1417,12.1417,11.7372,11.8603,0
2010-02-16,12.3087,12.3615,12.0537,12.2384,4831248
2010-02-17,12.2647,12.4142,12.0889,12.3615,5136800
2010-02-18,12.1592,12.3439,12.0986,12.2472,4230490
2010-02-19,11.957,12.1417,11.9219,12.0889,7118096
2010-02-22,11.9746,12.2647,11.957,12.0977,4196979
2010-02-23,11.6493,12.0625,11.4691,11.9922,5308943
2010-02-24,11.7021,11.746,11.3504,11.7372,3843219
2010-02-25,11.5702,11.5966,11.2186,11.4031,4981930
2010-02-26,11.7548,11.8252,11.4383,11.7636,5479523
2010-03-01,12.2823,12.3131,11.8427,11.9043,5177088
2010-03-02,12.3263,12.423,12.2208,12.3439,3163776
2010-03-03,12.4582,12.6956,12.2999,12.423,3703466
2010-03-04,12.4318,12.6164,12.3175,12.467,2179189
2010-03-05,12.6516,12.6824,12.5285,12.5637,2192160
2010-03-08,12.889,12.889,12.6604,12.6868,2461261
2010-03-09,12.9066,12.9681,12.7571,12.8098,2783691
2010-03-10,13.0648,13.1527,12.8538,12.8714,4052670
2010-03-11,13.2934,13.3374,12.8802,12.9857,4176801
2010-03-12,13.3374,13.4692,13.1527,13.3637,3519620
2010-03-15,13.3198,13.3901,13.1615,13.3637,3203153
