Date,Close,High,Low,Open,Volume
2010-01-01,19.98,20.35,19.96,20.2,0
2010-01-04,19.99,20.33,19.96,20.21,2975829
2010-01-05,19.58,20.06,19.33,19.93,5206088
2010-01-06,19.5,19.58,19.19,19.57,6354865
2010-01-07,20.0,20.07,19.64,19.74,9714453
2010-01-08,19.77,20.06,19.74,19.77,3362518
2010-01-11,19.9,19.98,19.66,19.81,5180468
2010-01-12,19.35,19.9,19.18,19.84,5961590
2010-01-13,19.99,20.06,19.32,19.36,8627461
2010-01-14,20.48,20.54,19.8,20.01,10507764
2010-01-15,20.28,20.61,20.08,20.61,5765809
2010-01-18,20.28,20.61,20.08,20.61,0
2010-01-19,20.78,20.86,20.15,20.16,4816861
2010-01-20,20.58,20.7,20.29,20.61,3656100
2010-01-21,20.58,21.0,20.275,20.63,7518964
2010-01-22,19.95,20.86,19.94,20.55,4988509
2010-01-25,19.96,20.29,19.83,20.03,3078733
2010-01-26,19.85,20.07,19.8,19.88,2451854
2010-01-27,19.96,19.99,19.69,19.89,3754278
2010-01-28,20.04,20.37,19.88,19.98,8085891
2010-01-29,19.72,20.51,19.07,20.43,13901979
2010-02-01,20.27,20.34,19.51,19.8,6403104
2010-02-02,20.81,20.83,20.03,20.05,5341981
2010-02-03,20.92,20.98,20.6,20.71,4060189
2010-02-04,20.03,20.87,20.02,20.6,5082296
2010-02-05,20.1,20.27,19.67,20.05,6644931
2010-02-08,20.06,20.57,20.02,20.25,5308475
2010-02-09,20.51,20.64,20.15,20.33,5198552
2010-02-10,20.27,20.62,20.1,20.42,4648868
2010-02-11,20.61,20.62,19.81,20.4,4978944
2010-02-12,20.99,21.03,20.3,20.37,6897867
2010-02-15,20.99,21.03,20.3,20.37,0
2010-02-16,21.25,21.38,21.02,21.23,5184918
2010-02-17,21.56,21.72,21.01,21.45,8738356
2010-02-18,21.9,21.92,21.57,21.66,5113443
2010-02-19,21.78,22.0,21.66,21.87,6021559
2010-02-22,21.58,21.94,21.52,21.9,3436553
2010-02-23,21.8,21.87,21.55,21.64,7843910
2010-02-24,22.0,22.07,21.74,21.95,4450548
2010-02-25,22.08,22.13,21.62,21.7,5502259
2010-02-26,21.99,22.15,21.84,22.1,3583767
2010-03-01,22.07,22.07,21.77,22.0,4161088
2010-03-02,22.29,22.2913,21.91,22.1,4526908
2010-03-03,21.94,22.4,21.84,22.36,4345963
2010-03-04,22.06,22.07,21.72,21.91,3637855
2010-03-05,22.5,22.72,22.02,22.14,6612385
2010-03-08,22.59,22.64,22.26,22.49,4092412
2010-03-09,22.6,22.99,22.49,22.92,4807203
2010-03-10,22.89,22.94,22.58,22.66,6202347
2010-03-11,22.82,22.9,22.645,22.77,5316926
2010-03-12,22.76,22.89,22.4,22.81,4912251
2010-03-15,22.94,22.97,22.61,22.84,4146561
2010-03-16,23.14,23.47,22.95,22.99,5308714
2010-03-17,23.21,23.33,22.95,23.11,2047575
2010-03-18,23.14,23.25,22.97,23.11,3246866
2010-03-19,23.19,23.47,22.51,23.31,5421888
2010-03-22,23.27,23.29,22.97,23.14,4007418
2010-03-23,23.22,23.345,23.01,23.31,4296482
2010-03-24,22.94,23.21,22.74,23.21,5216226
2010-03-25,22.79,23.17,22.79,23.05,4242820
2010-03-26,22.83,23.12,22.7,22.7,4740391
2010-03-29,23.09,23.26,23.02,23.12,2757601
2010-03-30,23.12,23.23,22.94,23.14,2507195
2010-03-31,22.74,23.18,22.71,23.01,1810822
2010-04-01,22.61,23.03,22.52,22.87,5293375
2010-04-02,22.61,23.03,22.52,22.87,0
2010-04-05,23.52,23.525,22.66,22.72,3926854
2010-04-06,23.31,23.42,23.09,23.35,2575756
2010-04-07,23.14,23.34,22.9301,23.17,2752986
2010-04-08,23.49,23.54,22.82,23.1,3598729
2010-04-09,23.18,23.525,23.11,23.48,4586287
2010-04-12,23.28,23.4,23.17,23.22,4066419
2010-04-13,23.46,23.62,23.24,23.25,4782540
2010-04-14,23.32,23.5,22.97,23.37,7229594
2010-04-15,23.75,23.79,23.16,23.16,6151534
2010-04-16,23.84,24.6,23.72,24.35,11403537
2010-04-19,23.52,24.25,23.09,24.14,7384189
2010-04-20,23.63,23.795,23.42,23.71,5053816
2010-04-21,23.6,23.69,23.2,23.58,5503581
2010-04-22,23.43,23.66,23.16,23.46,4366295
2010-04-23,23.54,23.57,23.21,23.38,3384089
2010-04-26,23.86,24.04,23.55,23.64,5218024
2010-04-27,23.28,24.42,23.19,24.27,5553084
2010-04-28,23.24,23.41,22.99,23.37,4538483
2010-04-29,23.65,23.7,23.05,23.28,4301681
2010-04-30,23.02,23.89,22.99,23.7,4453730
2010-05-03,23.96,24.06,23.26,23.29,4380713
2010-05-04,22.99,23.58,22.81,23.54,5608996
2010-05-05,22.88,23.28,22.76,22.99,4829395
2010-05-06,22.1,22.86,20.55,22.68,6513729
2010-05-07,21.45,22.08,20.98,21.85,8909980
2010-05-10,22.49,22.59,22.14,22.19,5715532
2010-05-11,22.82,23.0,22.225,22.28,6706211
2010-05-12,23.15,23.21,22.75,22.83,4342015
2010-05-13,22.13,22.96,22.07,22.87,5614579
2010-05-14,21.97,22.03,21.6,21.96,6836600
2010-05-17,22.47,22.53,21.73,22.18,6231087
2010-05-18,22.33,22.69,22.11,22.55,8955812
2010-05-19,22.11,22.59,21.9,22.2,6509183
2010-05-20,21.36,21.85,21.25,21.69,6243645
2010-05-21,21.45,21.72,20.76,21.03,7604949
2010-05-24,21.46,21.73,21.11,21.21,7000490
2010-05-25,21.37,21.37,20.5,20.95,7345532
