Date,Close,High,Low,Open,Volume
2010-01-01,62.44,63.07,62.39,62.97,0
2010-01-04,62.78,63.07,62.31,62.63,5839235
2010-01-05,62.3,62.75,62.19,62.66,7098999
2010-01-06,61.45,62.41,61.06,62.2,10551872
2010-01-07,61.9,62.34,61.11,61.25,7517657
2010-01-08,61.84,62.41,61.6,62.27,6107296
2010-01-11,62.32,62.43,61.85,62.02,6081665
2010-01-12,62.66,62.66,62.0,62.03,7199321
2010-01-13,62.59,63.29,62.56,62.86,8623216
2010-01-14,62.65,62.73,62.085,62.56,7095599
2010-01-15,62.28,62.98,62.0512,62.67,9429546
2010-01-18,62.28,62.98,62.0512,62.67,0
2010-01-19,63.48,63.82,62.77,62.9,8551573
2010-01-20,63.01,63.6,62.75,63.49,6997129
2010-01-21,63.2,63.6,62.8,62.97,11725226
2010-01-22,63.39,64.78,62.81,63.23,15647193
2010-01-25,63.09,63.6,62.92,63.34,6382645
2010-01-26,63.81,64.0,62.75,62.75,9297477
2010-01-27,63.73,64.0,63.3,63.67,8080776
2010-01-28,62.83,63.87,62.75,63.85,8560954
2010-01-29,62.43,63.22,62.39,62.82,7591260
2010-02-01,63.89,63.97,62.83,62.83,8070207
2010-02-02,64.03,64.05,63.35,63.87,7272515
2010-02-03,65.21,65.75,64.61,64.63,13695267
2010-02-04,64.06,65.27,64.02,65.19,10873570
2010-02-05,63.37,64.3397,62.63,64.07,14010935
2010-02-08,62.92,63.8,62.92,63.48,6976828
2010-02-09,63.57,63.85,62.77,63.15,10131419
2010-02-10,63.25,63.83,62.97,63.535,6161389
2010-02-11,63.79,63.84,62.54,63.25,7478989
2010-02-12,63.59,63.89,63.1895,63.21,6750002
2010-02-15,63.59,63.89,63.1895,63.21,0
2010-02-16,64.01,64.18,63.28,63.44,7090121
2010-02-17,64.26,64.3501,63.77,64.15,5424589
2010-02-18,64.48,64.62,64.0,64.2,4976220
2010-02-19,64.74,64.8926,64.3,64.52,5622582
2010-02-22,64.77,64.93,64.63,64.9,4274900
2010-02-23,64.87,65.05,64.7,64.88,7485645
2010-02-24,65.26,65.55,64.77,65.02,7579688
