Date,Close,High,Low,Open,Volume
2010-01-01,29.05,29.56,29.05,29.49,0
2010-01-04,29.18,29.48,29.1,29.47,1518652
2010-01-05,28.72,29.31,28.63,29.24,7795477
2010-01-06,28.48,28.92,28.43,28.76,2783802
2010-01-07,28.33,28.69,28.12,28.47,1788364
2010-01-08,28.5,28.61,28.08,28.34,2050085
2010-01-11,28.46,28.57,28.18,28.55,2244737
2010-01-12,27.99,28.54,27.74,28.54,2334886
2010-01-13,28.23,28.28,27.62,28.25,2016779
2010-01-14,28.03,28.16,27.71,28.1,2258689
2010-01-15,27.39,28.11,27.2725,28.11,2334625
2010-01-18,27.39,28.11,27.2725,28.11,0
2010-01-19,27.76,27.85,27.43,27.47,1519633
2010-01-20,27.5,27.76,27.07,27.49,4018270
2010-01-21,27.23,27.94,27.09,27.54,3660774
2010-01-22,26.21,27.23,26.17,27.19,4439293
2010-01-25,26.44,26.62,26.27,26.49,3903125
2010-01-26,26.43,26.74,26.18,26.31,3405391
2010-01-27,26.64,26.72,26.16,26.21,3045183
2010-01-28,26.39,26.7,25.79,26.62,5168341
2010-01-29,25.81,26.95,25.77,26.54,3841651
2010-02-01,26.51,26.58,25.8,25.81,3198653
2010-02-02,26.56,26.69,26.23,26.59,3464678
2010-02-03,26.92,26.98,26.07,26.42,4436505
2010-02-04,25.95,26.61,25.54,26.6,5575930
2010-02-05,26.28,26.37,25.7,25.94,3763577
2010-02-08,26.28,26.72,26.0,26.39,2366037
2010-02-09,26.41,26.68,26.01,26.47,3501829
2010-02-10,26.66,26.76,26.21,26.52,2453061
2010-02-11,27.19,27.25,26.37,26.62,3088135
2010-02-12,27.23,27.48,26.62,26.87,2693072
2010-02-15,27.23,27.48,26.62,26.87,0
2010-02-16,27.2,27.245,26.97,27.11,2811613
2010-02-17,27.06,27.36,26.67,27.34,3858007
2010-02-18,27.27,27.31,26.88,27.07,2676947
2010-02-19,27.41,27.54,27.08,27.22,1697195
2010-02-22,27.08,27.59,27.04,27.59,2296869
2010-02-23,26.88,27.18,26.7,27.02,3270686
2010-02-24,27.29,27.52,27.09,27.09,1742933
2010-02-25,27.12,27.16,26.57,26.98,2271517
2010-02-26,27.06,27.27,26.75,27.05,1847749
2010-03-01,27.49,27.53,27.09,27.28,1702754
2010-03-02,27.29,27.61,27.165,27.27,2904693
2010-03-03,27.01,27.5,26.92,27.45,1826173
2010-03-04,27.0,27.2,26.68,27.15,3051476
2010-03-05,27.26,27.43,26.86,27.14,2023872
2010-03-08,27.09,27.25,27.02,27.21,1065766
2010-03-09,26.92,27.05,26.77,26.97,1778865
