Date,Close,High,Low,Open,Volume
2010-01-01,26.8,27.26,26.79,27.16,0
2010-01-04,27.27,27.275,26.82,26.94,1859680
2010-01-05,26.99,27.3,26.68,27.16,1982315
2010-01-06,26.42,26.9,26.41,26.6,2019047
2010-01-07,26.34,26.52,26.25,26.32,3805558
2010-01-08,26.84,26.85,26.12,26.2,2144173
2010-01-11,26.68,26.95,26.5,26.88,1459587
2010-01-12,26.82,26.92,26.31,26.53,2884276
2010-01-13,27.68,27.76,26.65,26.92,3141876
2010-01-14,27.78,27.8,27.09,27.66,2353620
2010-01-15,27.42,27.77,27.24,27.67,2439361
2010-01-18,27.42,27.77,27.24,27.67,0
2010-01-19,27.7,27.76,27.29,27.56,1712203
2010-01-20,27.63,27.97,27.39,27.58,2323402
2010-01-21,27.32,27.95,27.32,27.77,2525247
2010-01-22,26.97,27.78,26.91,27.24,3456445
2010-01-25,26.33,27.29,26.285,27.08,3612847
2010-01-26,26.63,26.69,26.2,26.21,4660484
2010-01-27,28.83,29.18,27.16,27.3,6819796
2010-01-28,28.32,29.01,28.15,29.01,3915202
2010-01-29,27.59,28.6,27.58,28.44,3795432
2010-02-01,27.92,28.15,27.74,27.84,2757835
2010-02-02,28.37,28.54,27.8,27.88,3617964
2010-02-03,28.1,28.45,28.01,28.24,2824702
2010-02-04,26.39,27.68,26.35,27.68,5817416
2010-02-05,27.34,27.36,26.41,26.52,5023149
2010-02-08,26.48,27.4,26.47,27.28,3593228
2010-02-09,26.76,27.02,26.53,26.75,3464467
2010-02-10,26.66,27.06,26.235,26.71,2910535
2010-02-11,27.12,27.21,26.45,26.63,2867195
2010-02-12,26.98,27.095,26.42,26.86,3033194
2010-02-15,26.98,27.095,26.42,26.86,0
2010-02-16,27.24,27.27,26.91,27.13,2389457
2010-02-17,27.07,27.4,27.025,27.27,2529044
2010-02-18,26.9,27.13,26.81,27.06,2146927
2010-02-19,27.09,27.13,26.58,26.86,2362366
2010-02-22,26.8,27.18,26.7,27.08,2118880
2010-02-23,26.72,26.91,26.39,26.8,2923206
2010-02-24,27.02,27.07,26.62,26.88,1887344
2010-02-25,26.86,26.93,26.35,26.46,2177578
2010-02-26,26.62,26.99,26.56,26.96,1355792
2010-03-01,27.17,27.38,26.58,26.64,2193722
2010-03-02,27.21,27.35,26.95,27.24,1432273
2010-03-03,27.18,27.36,27.1,27.19,1539034
2010-03-04,27.28,27.34,26.98,27.18,954354
2010-03-05,28.11,28.23,27.3,27.38,2756043
2010-03-08,28.21,28.42,27.85,28.03,1302344
2010-03-09,28.04,28.27,27.91,28.19,2235404
2010-03-10,27.75,28.04,27.34,28.04,2345311
2010-03-11,28.26,28.28,27.54,27.68,1737182
2010-03-12,28.26,28.75,28.15,28.3,1567135
2010-03-15,28.6,28.68,28.03,28.23,1480916
2010-03-16,28.73,28.74,28.43,28.71,1307229
2010-03-17,28.74,28.82,28.61,28.73,1189518
2010-03-18,29.66,30.37,28.55,28.75,6083026
2010-03-19,29.66,30.86,29.46,29.78,3286447
2010-03-22,30.02,30.09,29.3406,29.48,2048395
2010-03-23,30.32,30.39,29.72,29.98,1961258
2010-03-24,30.33,30.43,30.04,30.15,1907663
2010-03-25,30.51,31.04,30.27,30.42,2526179
2010-03-26,30.26,30.81,30.1,30.56,2157741
2010-03-29,30.54,30.86,30.28,30.37,1263217
2010-03-30,30.23,30.6,30.17,30.49,1370833
2010-03-31,29.75,30.27,29.72,30.02,2170804
2010-04-01,29.37,30.31,29.18,29.97,5092321
2010-04-02,29.37,30.31,29.18,29.97,0
2010-04-05,29.53,29.63,29.43,29.5,2226674
2010-04-06,29.44,29.63,29.27,29.45,2369617
