Date,Close,High,Low,Open,Volume
2010-01-01,9.12,9.31,9.12,9.21,0
2010-01-04,9.73,9.75,9.31,9.43,24670065
2010-01-05,10.5,10.59,9.8,9.82,49267932
2010-01-06,10.14,10.45,10.14,10.44,21539887
2010-01-07,10.8,10.81,9.98,10.01,30219357
2010-01-08,10.6,10.87,10.45,10.7,17728406
2010-01-11,10.9,11.28,10.8,10.81,34876792
2010-01-12,11.95,12.0,11.38,11.45,64444327
2010-01-13,12.39,12.43,11.7,12.18,47281863
2010-01-14,12.38,12.87,12.22,12.37,37749362
2010-01-15,12.09,12.54,11.91,12.41,32465139
2010-01-18,12.09,12.54,11.91,12.41,0
2010-01-19,12.21,12.245,11.77,11.91,17557894
2010-01-20,11.91,12.15,11.75,12.02,19593664
2010-01-21,11.32,12.05,11.3,11.88,25130332
2010-01-22,11.62,11.84,10.76,11.22,40824333
2010-01-25,11.99,12.15,11.58,11.91,31520526
2010-01-26,12.09,12.29,11.75,11.9,24621084
2010-01-27,12.22,12.23,11.75,12.03,22801660
2010-01-28,11.76,12.49,11.6,12.3,27549033
2010-01-29,11.06,11.98,10.86,11.94,38947485
2010-02-01,11.82,11.82,11.14,11.14,30873241
2010-02-02,11.88,12.03,11.45,11.88,19450997
2010-02-03,11.42,11.87,11.35,11.69,21165403
2010-02-04,10.79,11.52,10.76,11.14,23375356
2010-02-05,10.94,11.1,10.53,10.86,29041820
2010-02-08,10.73,11.22,10.6101,11.14,16842222
2010-02-09,10.72,11.07,10.61,11.07,20680518
2010-02-10,10.4,10.95,10.35,10.81,23953789
2010-02-11,11.38,11.4,10.4,10.44,43962440
2010-02-12,11.03,11.17,10.8027,11.1,29246561
2010-02-15,11.03,11.17,10.8027,11.1,0
2010-02-16,11.59,11.61,11.23,11.28,21592194
2010-02-17,11.63,11.76,11.36,11.74,23478025
2010-02-18,10.8,11.18,10.63,11.06,49440468
2010-02-19,10.86,11.05,10.62,10.69,18016847
2010-02-22,10.92,11.02,10.85,10.99,15965113
2010-02-23,10.43,10.84,10.33,10.83,19171173
2010-02-24,10.44,10.63,10.38,10.48,11407576
2010-02-25,10.45,10.49,10.08,10.29,13599727
2010-02-26,10.54,10.67,10.11,10.5,17494777
2010-03-01,10.66,10.77,10.57,10.69,16189528
2010-03-02,10.69,10.85,10.63,10.8,13070485
2010-03-03,10.85,11.17,10.63,10.71,20171522
2010-03-04,10.77,10.99,10.63,10.91,12459374
2010-03-05,11.27,11.345,10.85,10.93,20747302
2010-03-08,11.47,11.55,11.16,11.25,16421932
2010-03-09,11.54,11.8,11.21,11.33,21974793
2010-03-10,11.89,11.95,11.61,11.76,23403153
2010-03-11,11.67,11.8,11.47,11.77,13874830
2010-03-12,11.8,12.0,11.65,11.82,16222933
2010-03-15,11.38,11.74,11.2,11.65,18133670
2010-03-16,12.3,12.34,11.45,11.5,34639966
2010-03-17,12.26,12.67,12.21,12.44,31164146
