Date,Close,High,Low,Open,Volume
2010-01-01,36.13,36.52,36.13,36.52,0
2010-01-04,36.3,36.41,36.06,36.41,489907
2010-01-05,36.2,36.32,36.06,36.22,548652
2010-01-06,36.34,36.38,36.01,36.18,587836
2010-01-07,36.62,36.65,36.18,36.43,699840
2010-01-08,36.72,36.72,36.22,36.61,666230
2010-01-11,37.02,37.165,36.68,36.7,509866
2010-01-12,37.36,37.37,36.82,36.86,498876
2010-01-13,37.7,37.96,37.45,37.45,779476
2010-01-14,37.66,37.69,37.41,37.46,435062
2010-01-15,37.59,37.96,37.29,37.65,840154
2010-01-18,37.59,37.96,37.29,37.65,0
2010-01-19,37.74,37.79,37.43,37.58,463368
2010-01-20,37.29,37.68,37.1,37.68,437177
2010-01-21,37.04,37.74,36.92,37.37,719182
2010-01-22,36.77,37.35,36.76,37.04,445868
2010-01-25,37.22,37.24,36.72,36.92,542405
2010-01-26,37.09,37.15,36.82,37.05,628235
2010-01-27,37.54,37.63,36.95,37.13,1048504
2010-01-28,36.45,37.75,36.29,37.75,1573071
2010-01-29,36.3,37.0,36.1,36.64,1118390
2010-02-01,36.58,36.64,36.21,36.42,417538
2010-02-02,37.0,37.01,36.52,36.71,521676
2010-02-03,36.49,36.83,36.41,36.83,587359
2010-02-04,35.76,36.36,35.69,36.36,757122
2010-02-05,35.77,35.86,35.53,35.71,1241684
2010-02-08,35.56,35.9593,35.46,35.74,623015
2010-02-09,35.85,35.98,35.4,35.71,706738
2010-02-10,35.92,36.0,35.62,35.9,754958
2010-02-11,35.96,35.98,35.4,35.95,681124
2010-02-12,36.08,36.19,35.71,35.8,774759
2010-02-15,36.08,36.19,35.71,35.8,0
2010-02-16,36.58,36.58,35.95,36.19,613235
2010-02-17,37.12,37.29,36.6,36.73,685620
2010-02-18,37.61,37.66,37.11,37.18,500090
2010-02-19,37.76,37.87,37.43,37.46,541608
2010-02-22,37.47,37.86,37.37,37.77,507013
2010-02-23,37.15,37.64,37.1,37.47,672031
2010-02-24,37.26,37.36,36.91,37.33,561438
2010-02-25,37.1,37.11,36.7,36.82,733746
2010-02-26,37.11,37.22,36.85,37.19,514942
2010-03-01,37.33,37.345,36.98,37.13,405551
2010-03-02,37.72,37.855,37.4,37.45,648551
2010-03-03,37.82,37.96,37.62,37.66,365659
2010-03-04,37.9,37.99,37.652,37.96,775468
2010-03-05,38.0,38.0,37.655,38.0,916911
2010-03-08,37.76,38.0,37.61,38.0,564007
2010-03-09,37.97,38.0,37.61,37.81,711171
2010-03-10,38.1,38.15,37.87,38.03,812825
2010-03-11,38.3,38.3,37.9301,37.95,483351
2010-03-12,38.31,38.42,38.17,38.24,480560
2010-03-15,38.66,38.7285,38.32,38.32,788947
2010-03-16,38.63,38.69,38.5165,38.54,857135
2010-03-17,38.89,38.89,38.53,38.75,524791
2010-03-18,38.85,39.07,38.808,38.94,487573
2010-03-19,39.11,39.19,38.815,39.09,914982
2010-03-22,39.4,39.4,38.84,39.01,800748
2010-03-23,39.71,39.71,39.2,39.37,589277
2010-03-24,39.37,39.6075,39.19,39.53,1038462
2010-03-25,38.03,39.4,37.95,39.19,2607486
2010-03-26,37.63,38.37,37.55,38.18,964940
2010-03-29,37.85,37.98,37.61,37.63,850807
2010-03-30,38.29,38.29,37.97,38.06,762610
2010-03-31,38.36,38.54,38.11,38.26,733392
2010-04-01,38.58,38.67,38.4,38.52,495622
2010-04-02,38.58,38.67,38.4,38.52,0
2010-04-05,38.14,38.65,38.05,38.63,575831
2010-04-06,38.37,38.38,38.0,38.0,579797
2010-04-07,38.17,38.325,38.04,38.22,622873
2010-04-08,38.15,38.25,37.88,38.0,634224
2010-04-09,38.43,38.43,38.09,38.25,379496
2010-04-12,38.37,38.56,38.285,38.49,456922
2010-04-13,38.41,38.5,38.13,38.23,401613
2010-04-14,38.26,38.474,38.15,38.43,622340
2010-04-15,38.62,38.62,37.99,38.26,734060
2010-04-16,38.64,38.74,38.5,38.58,1035957
2010-04-19,38.76,38.76,38.32,38.62,504314
2010-04-20,39.03,39.05,38.67,38.86,671360
2010-04-21,39.17,39.3802,38.98,39.05,803054
2010-04-22,39.45,39.45,38.92,39.09,876353
2010-04-23,39.49,39.49,38.99,39.35,608534
2010-04-26,39.54,39.84,39.49,39.5,591315
2010-04-27,39.0,39.58,38.98,39.39,984224
2010-04-28,39.08,39.29,38.76,39.12,537352
2010-04-29,39.77,39.85,39.11,39.34,491377
2010-04-30,39.57,40.19,39.54,39.9,797680
2010-05-03,39.61,39.77,39.5,39.61,973246
2010-05-04,39.4,39.56,39.14,39.3,785895
2010-05-05,39.44,39.56,39.15,39.39,557968
2010-05-06,38.6,39.51,37.74,39.44,1355983
2010-05-07,37.95,38.69,37.9,38.52,1523173
2010-05-10,39.3,39.43,38.78,38.98,736761
2010-05-11,39.33,39.65,39.0,39.19,542702
2010-05-12,39.58,39.63,39.2,39.44,562327
2010-05-13,39.52,39.96,39.47,39.48,608966
2010-05-14,39.28,39.62,39.19,39.45,957357
2010-05-17,39.62,39.73,39.2,39.36,798977
2010-05-18,39.12,39.85,39.03,39.19,918908
2010-05-19,39.16,39.4,38.73,38.93,973467
2010-05-20,38.5,38.82,38.34,38.5,1327265
2010-05-21,38.75,38.77,37.69,37.98,1290587
2010-05-24,38.51,38.78,38.32,38.51,856398
2010-05-25,37.9,37.92,37.18,37.63,1430487
2010-05-26,38.08,38.56,37.79,38.17,1479228
2010-05-27,38.79,38.79,38.2,38.59,766591
2010-05-28,38.57,38.78,38.37,38.7,833277
2010-05-31,38.57,38.78,38.37,38.7,0
2010-06-01,38.42,38.88,38.25,38.28,633481
2010-06-02,39.33,39.33,38.43,38.47,698927
2010-06-03,39.7,39.71,39.29,39.45,762166
2010-06-04,38.71,39.33,38.62,39.27,973531
2010-06-07,38.6,39.07,38.57,38.71,532714
2010-06-08,39.02,39.06,38.45,38.53,903240
2010-06-09,38.99,39.33,38.83,39.1,842307
2010-06-10,39.83,39.85,39.33,39.4,859879
2010-06-11,39.68,39.89,39.19,39.4,712217
2010-06-14,39.61,39.97,39.57,39.67,1134881
2010-06-15,40.25,40.27,39.64,39.83,883309
2010-06-16,40.22,40.34,39.83,39.92,828210
2010-06-17,40.77,40.77,40.11,40.12,915577
2010-06-18,40.54,40.73,40.4,40.66,828604
2010-06-21,39.9,40.71,39.7,40.5,1078153
2010-06-22,39.55,40.05,39.54,39.85,878386
2010-06-23,39.17,39.72,39.11,39.61,1568802
2010-06-24,38.96,40.34,38.84,40.03,3382756
2010-06-25,38.97,39.61,38.76,39.55,2415716
2010-06-28,39.27,39.39,38.85,38.97,872177
2010-06-29,38.58,39.08,38.42,38.93,868391
2010-06-30,37.96,38.5,37.95,38.44,803153
2010-07-01,37.76,37.8575,37.39,37.85,1382408
2010-07-02,37.53,37.815,37.37,37.76,1025480
2010-07-05,37.53,37.815,37.37,37.76,0
2010-07-06,37.93,38.135,37.66,37.87,715022
2010-07-07,38.56,38.56,37.85,37.94,1182032
2010-07-08,38.23,38.67,38.16,38.67,1061743
2010-07-09,38.29,38.39,38.11,38.23,691980
2010-07-12,38.46,38.49,38.08,38.13,840773
2010-07-13,38.69,38.94,38.62,38.79,954822
2010-07-14,39.07,39.07,38.63,38.67,881470
