Date,Close,High,Low,Open,Volume
2010-01-01,89.41,91.5,89.03,91.36,0
2010-01-04,91.67,91.79,90.055,90.055,456145
2010-01-05,90.43,91.83,90.08,91.28,434952
2010-01-06,92.68,93.43,92.09,93.43,676583
2010-01-07,91.85,92.68,90.72,92.68,488716
2010-01-08,90.33,92.51,89.87,91.74,655498
2010-01-11,88.93,90.95,88.66,90.68,734782
2010-01-12,88.63,89.03,88.13,88.33,578150
2010-01-13,88.7,89.23,87.39,89.14,611969
2010-01-14,88.32,88.81,88.01,88.61,245644
2010-01-15,86.45,88.45,86.22,88.45,541988
2010-01-18,86.45,88.45,86.22,88.45,0
2010-01-19,88.16,88.16,86.16,86.33,456263
2010-01-20,87.34,87.5,85.91,87.25,463771
2010-01-21,84.66,87.71,83.76,87.51,803783
2010-01-22,82.07,85.39,81.96,84.64,707561
2010-01-25,81.95,83.31,81.85,82.88,832148
2010-01-26,81.4,82.61,80.63,81.65,629726
2010-01-27,80.79,81.22,79.16,81.22,1171236
2010-01-28,79.78,81.1,78.13,80.93,691778
2010-01-29,79.18,81.35,78.95,80.12,652390
2010-02-01,80.96,80.96,79.35,79.66,573991
2010-02-02,82.1,82.45,80.95,81.18,424985
2010-02-03,80.97,82.58,80.73,81.77,342313
2010-02-04,78.5,80.03,78.43,80.03,505783
2010-02-05,78.62,78.85,76.26,78.32,531683
2010-02-08,79.61,80.09,77.39,78.49,710876
2010-02-09,75.95,77.93,74.66,76.98,2723667
2010-02-10,77.41,77.98,74.0,75.94,1366704
2010-02-11,78.05,78.11,76.05,77.08,412542
2010-02-12,78.25,78.26,76.48,77.37,447028
2010-02-15,78.25,78.26,76.48,77.37,0
2010-02-16,79.57,79.66,78.15,78.85,313059
2010-02-17,79.67,80.16,79.17,79.88,219873
2010-02-18,80.67,80.81,79.43,79.76,342848
2010-02-19,81.51,81.77,80.1701,80.33,417195
2010-02-22,81.99,82.46,80.86,81.62,496757
2010-02-23,81.49,82.13,80.66,81.56,532201
2010-02-24,81.87,82.1,80.99,81.76,498528
2010-02-25,80.96,81.18,79.8,80.52,313335
2010-02-26,79.22,81.52,78.59,81.29,850960
2010-03-01,78.17,79.44,77.81,79.44,539900
2010-03-02,77.63,78.89,77.38,78.22,537650
2010-03-03,79.38,79.98,77.88,77.99,646964
2010-03-04,80.53,80.79,79.74,79.89,531399
2010-03-05,82.14,82.33,81.15,81.15,443817
2010-03-08,82.53,82.99,82.03,82.16,657300
2010-03-09,81.88,82.39,81.53,82.0,914807
2010-03-10,82.0,82.5,81.39,82.0,360829
2010-03-11,82.38,82.5799,81.0925,81.64,527288
2010-03-12,82.06,82.63,81.47,82.49,431353
2010-03-15,81.33,82.14,80.73,82.0,357520
2010-03-16,82.81,82.86,81.25,81.5,598798
2010-03-17,89.2,89.67,82.85,82.85,2083806
2010-03-18,87.45,89.56,86.65,89.07,610273
2010-03-19,87.41,87.54,85.51,86.2,1309341
2010-03-22,88.98,90.22,85.98,86.65,1138007
2010-03-23,88.94,89.75,87.98,89.32,511174
2010-03-24,87.9,89.36,87.77,88.84,412356
2010-03-25,84.27,89.17,84.1,88.81,1514977
2010-03-26,83.37,84.43,82.5,84.35,1038099
2010-03-29,84.9,84.91,83.52,83.82,314665
2010-03-30,84.27,85.82,83.98,85.15,409355
2010-03-31,83.55,84.4,83.14,84.14,359876
2010-04-01,86.5,86.86,83.9,83.9,765780
2010-04-02,86.5,86.86,83.9,83.9,0
2010-04-05,86.92,87.79,86.05,86.76,290069
2010-04-06,85.62,86.35,85.37,86.3,463382
2010-04-07,85.59,86.05,84.9,85.32,691756
2010-04-08,87.25,87.38,84.61,85.58,567554
2010-04-09,87.51,88.32,83.53,85.51,830415
2010-04-12,87.08,88.02,86.68,87.61,935884
2010-04-13,86.5,87.66,86.36,87.1,677965
2010-04-14,87.29,87.39,86.33,86.75,1509679
2010-04-15,88.9,89.34,86.34,87.27,2733720
2010-04-16,90.83,91.43,87.19,88.31,1888953
2010-04-19,89.79,90.48,88.11,90.33,1021424
2010-04-20,92.28,92.53,89.61,90.0,881176
2010-04-21,93.41,94.27,92.21,92.59,655522
2010-04-22,95.94,96.33,91.84,92.56,999388
2010-04-23,96.56,97.48,94.91,95.0,755952
2010-04-26,97.03,99.24,96.28,96.71,886447
2010-04-27,93.73,97.68,93.34,96.91,917043
2010-04-28,93.43,94.81,93.06,93.66,724878
2010-04-29,96.38,96.47,93.85,93.85,734117
2010-04-30,95.88,97.88,95.09,96.64,732692
2010-05-03,99.81,100.33,92.71,94.1,2065545
2010-05-04,92.41,98.16,91.28,97.6,1579935
2010-05-05,89.74,93.15,87.98,91.15,1674515
2010-05-06,87.86,93.0,83.78,89.01,1632170
2010-05-07,88.14,90.225,86.36,88.0,1562907
2010-05-10,93.66,94.0125,91.13,92.1,936333
2010-05-11,91.23,93.83,91.12,92.56,1031770
2010-05-12,93.83,93.94,91.81,91.81,564008
2010-05-13,93.23,94.16,92.54,93.74,492033
2010-05-14,92.03,92.76,91.3,92.4,614382
2010-05-17,93.55,93.73,90.59,92.33,944913
2010-05-18,92.84,95.06,92.53,94.38,1043689
2010-05-19,92.87,94.3,91.78,92.57,1082338
2010-05-20,89.0,91.39,88.69,91.0,1480075
2010-05-21,90.03,90.4,87.24,87.65,1005093
2010-05-24,90.77,91.515,89.5,89.74,859738
2010-05-25,92.08,92.26,87.585,88.18,884756
2010-05-26,93.98,95.45,92.69,93.23,1276053
2010-05-27,95.27,96.26,94.23,96.2,812909
2010-05-28,93.23,95.32,93.0,95.32,901824
2010-05-31,93.23,95.32,93.0,95.32,0
2010-06-01,91.83,94.66,91.75,92.74,655034
2010-06-02,93.91,93.91,91.99,92.65,527681
2010-06-03,94.99,95.3,93.54,94.38,587399
2010-06-04,89.18,93.56,88.9,92.42,1016107
2010-06-07,87.81,89.41,87.17,89.13,1538182
2010-06-08,88.27,88.44,87.0,87.56,830803
2010-06-09,87.98,89.93,87.66,89.1,634116
2010-06-10,91.4,92.1,89.27,89.76,705831
2010-06-11,91.98,92.34,90.77,91.05,386496
2010-06-14,91.92,93.98,91.66,93.1,400082
2010-06-15,93.02,93.23,91.78,92.6,511638
2010-06-16,92.86,93.78,91.45,92.68,607508
2010-06-17,92.05,93.61,90.76,93.25,426094
2010-06-18,92.17,93.0,91.95,92.12,222722
2010-06-21,92.61,94.65,92.01,93.59,326142
2010-06-22,89.34,92.77,89.081,92.31,421427
2010-06-23,90.14,90.9,88.01,89.26,490595
2010-06-24,88.0,89.85,87.83,89.65,399038
2010-06-25,88.62,88.9399,86.7,88.11,949634
2010-06-28,87.95,89.235,87.88,89.07,335081
2010-06-29,85.4,86.33,83.54,86.33,1027891
2010-06-30,84.81,86.08,84.12,85.04,1225527
2010-07-01,85.29,86.14,83.39,84.65,1307257
2010-07-02,85.9,86.6,84.85,85.78,512698
2010-07-05,85.9,86.6,84.85,85.78,0
2010-07-06,87.12,88.89,86.05,87.66,962258
2010-07-07,85.75,87.07,85.19,87.07,1422069
2010-07-08,85.09,86.77,84.43,86.21,951571
2010-07-09,86.64,87.07,85.09,85.22,416023
2010-07-12,84.56,86.47,84.17,86.22,449123
2010-07-13,86.78,87.15,85.45,85.61,687409
2010-07-14,86.23,86.72,85.25,86.72,429384
2010-07-15,85.81,86.07,84.17,86.05,353609
2010-07-16,82.36,85.33,81.81,85.07,1016022
2010-07-19,82.29,83.11,81.4999,83.01,709248
2010-07-20,84.57,84.91,80.81,81.49,642061
2010-07-21,83.93,85.5,83.24,84.82,620624
2010-07-22,85.7,86.31,84.83,85.29,452328
2010-07-23,87.11,87.29,85.0,85.32,309246
2010-07-26,88.4,88.6385,86.88,87.41,307033
2010-07-27,86.34,88.77,86.25,88.72,440170
2010-07-28,85.43,86.27,84.83,85.95,388047
2010-07-29,84.41,86.13,83.46,85.85,419668
2010-07-30,85.4,85.87,82.84,83.49,542825
2010-08-02,87.38,88.72,86.26,87.08,796007
2010-08-03,82.41,87.38,82.05,85.02,1562071
2010-08-04,81.59,82.97,79.94,82.12,980956
2010-08-05,82.19,82.44,80.84,81.17,675558
2010-08-06,82.61,82.81,81.21,81.44,427217
2010-08-09,82.86,83.26,82.06,82.84,276915
2010-08-10,81.83,82.3,80.84,81.72,526201
2010-08-11,79.03,80.57,78.42,80.08,776666
2010-08-12,78.07,78.81,77.35,78.41,882513
2010-08-13,77.78,78.82,77.75,77.94,464319
2010-08-16,76.61,78.1,76.1,77.21,757913
2010-08-17,78.64,79.14,77.23,77.64,774505
2010-08-18,78.91,79.82,78.0572,78.44,401634
2010-08-19,76.95,79.0378,76.54,79.0378,468991
2010-08-20,77.76,77.87,76.01,76.51,375708
2010-08-23,76.8,78.73,76.7,78.38,464302
2010-08-24,72.61,75.6,72.3699,75.6,1587390
2010-08-25,73.05,73.51,71.5,72.18,843100
2010-08-26,73.12,74.24,72.66,73.3,355859
2010-08-27,75.16,75.329,72.63,73.72,338214
2010-08-30,73.12,74.67,73.0,74.67,309235
2010-08-31,73.2,73.56,72.46,72.9,514490
2010-09-01,75.65,75.87,74.02,74.1,596171
2010-09-02,77.15,77.24,75.5,75.74,273540
2010-09-03,77.28,79.7,76.84,78.43,413783
2010-09-06,77.28,79.7,76.84,78.43,0
2010-09-07,78.79,80.68,77.89,77.89,1229244
2010-09-08,77.01,79.1,76.85,78.67,672780
2010-09-09,77.18,78.22,76.53,78.08,389170
2010-09-10,77.35,77.83,76.98,77.18,250672
2010-09-13,78.55,79.25,77.56,78.34,310846
2010-09-14,77.65,79.59,77.56,79.22,280965
2010-09-15,76.87,77.77,76.63,77.23,329955
2010-09-16,76.37,77.22,75.61,76.8,290864
2010-09-17,75.3,75.86,74.83,75.41,585312
2010-09-20,75.43,75.97,74.78,75.71,491796
2010-09-21,76.35,77.87,75.89,75.89,694662
2010-09-22,75.49,76.97,75.259,76.31,313570
2010-09-23,74.34,75.32,73.98,74.72,365015
2010-09-24,76.44,76.81,74.89,75.63,418135
2010-09-27,75.93,76.6499,75.55,76.61,162547
2010-09-28,76.12,76.34,74.78,76.0,417052
2010-09-29,77.0,77.06,75.63,75.91,416813
2010-09-30,76.97,78.18,76.94,77.64,424955
2010-10-01,78.18,78.4981,77.27,77.88,518705
2010-10-04,77.59,78.17,76.94,77.9,426301
2010-10-05,78.58,79.24,77.97,78.48,369236
2010-10-06,79.23,79.5589,77.49,77.68,349314
2010-10-07,78.37,79.86,77.81,79.86,464630
2010-10-08,78.96,79.26,77.5799,78.39,616636
2010-10-11,79.25,79.65,78.9,79.13,545451
2010-10-12,78.1,79.01,77.39,78.82,372579
2010-10-13,78.38,79.08,77.77,78.9,404677
2010-10-14,78.75,79.57,78.19,78.44,349007
2010-10-15,79.54,80.21,78.459,80.21,465961
2010-10-18,78.66,79.88,78.37,79.88,285047
2010-10-19,77.84,79.16,77.0,77.08,548590
2010-10-20,78.54,78.89,77.53,77.93,354573
2010-10-21,78.86,79.35,77.98,79.07,336577
2010-10-22,78.91,79.16,78.25,78.89,240221
2010-10-25,79.91,80.81,79.62,79.91,359924
2010-10-26,80.41,81.71,79.46,79.64,435462
2010-10-27,80.17,80.25,78.43,80.18,330738
2010-10-28,79.87,81.36,79.42,81.36,242090
2010-10-29,80.48,80.87,79.13,79.84,311813
2010-11-01,80.26,81.47,79.66,81.47,413920
2010-11-02,82.69,83.89,79.54,79.54,844007
2010-11-03,82.28,82.8,81.16,82.42,553959
2010-11-04,85.65,85.87,83.14,83.73,479000
2010-11-05,86.96,88.31,85.41,85.63,421219
2010-11-08,89.07,89.26,86.45,86.93,618791
2010-11-09,89.16,89.88,88.3637,89.1,526082
2010-11-10,88.59,89.06,86.7,89.0,412318
2010-11-11,88.0,88.37,87.47,87.87,274448
