Date,Close,High,Low,Open,Volume
2010-01-01,22.08,22.35,22.08,22.21,0
2010-01-04,21.87,22.22,21.79,22.21,3680251
2010-01-05,21.34,21.91,21.17,21.78,4433841
2010-01-06,21.99,22.02,21.62,21.9,6425773
2010-01-07,22.27,22.31,21.85,22.18,4979946
2010-01-08,22.16,22.5257,21.98,22.11,2544185
2010-01-11,22.08,22.24,21.94,22.24,2555933
2010-01-12,21.86,21.98,21.51,21.92,5357823
2010-01-13,21.86,21.99,21.77,21.99,3581603
2010-01-14,21.99,21.99,21.71,21.76,2491896
2010-01-15,21.87,21.95,21.75,21.88,4159188
2010-01-18,21.87,21.95,21.75,21.88,0
2010-01-19,22.02,22.02,21.79,21.85,4199887
2010-01-20,21.82,21.93,21.63,21.93,2764430
2010-01-21,21.89,21.98,21.39,21.84,4665771
2010-01-22,21.9,22.1,21.77,21.91,5302686
2010-01-25,22.01,22.2,21.9,22.09,3192629
2010-01-26,21.95,22.11,21.83,21.99,4581958
2010-01-27,21.81,21.86,21.57,21.67,3522110
2010-01-28,21.71,21.89,21.54,21.89,2785133
2010-01-29,21.56,21.865,21.53,21.74,3029784
2010-02-01,21.68,21.78,21.53,21.64,2491372
2010-02-02,22.35,22.38,21.55,21.7,4060860
2010-02-03,22.25,22.41,22.19,22.34,2415068
2010-02-04,22.02,22.27,22.0,22.16,4859701
2010-02-05,22.2,22.23,21.7,22.01,5277330
2010-02-08,21.9,22.28,21.9,22.14,2668769
2010-02-09,22.19,22.3,21.97,22.02,2175701
2010-02-10,22.1,22.31,21.84,22.14,3355283
2010-02-11,22.14,22.22,21.74,22.06,2979991
2010-02-12,22.05,22.08,21.745,22.0,3671855
2010-02-15,22.05,22.08,21.745,22.0,0
2010-02-16,22.39,22.39,22.085,22.19,2488053
2010-02-17,22.78,23.021,22.7,22.78,3299555
2010-02-18,22.87,23.3345,22.68,22.68,2663472
2010-02-19,22.79,22.82,22.59,22.76,2732556
2010-02-22,22.75,22.82,22.66,22.7,2087562
2010-02-23,22.78,22.97,22.6,22.72,3946769
2010-02-24,23.08,23.1,22.79,22.86,2592696
2010-02-25,23.19,23.21,22.74,22.75,3087219
2010-02-26,23.22,23.33,23.1,23.25,2948519
2010-03-01,23.34,23.37,23.09,23.16,2089128
2010-03-02,23.38,23.42,23.2,23.39,1776426
2010-03-03,23.39,23.5,23.27,23.35,1851633
2010-03-04,23.38,23.48,23.23,23.32,2692784
2010-03-05,23.79,23.79,23.18,23.36,3291133
2010-03-08,23.72,23.8,23.57,23.67,2201092
2010-03-09,24.0,24.05,23.23,23.58,3637001
2010-03-10,24.01,24.06,23.85,23.99,2860790
2010-03-11,24.07,24.07,23.75,23.9,2043641
2010-03-12,24.02,24.25,23.91,24.12,2652551
2010-03-15,24.23,24.28,23.87,23.87,2976332
2010-03-16,24.49,24.54,24.12,24.22,4581679
2010-03-17,24.6,24.7,24.41,24.47,5143681
2010-03-18,24.6,24.77,24.46,24.65,2978650
2010-03-19,24.59,24.79,24.48,24.64,5149872
2010-03-22,24.51,24.55,24.07,24.47,2589657
2010-03-23,24.62,24.66,24.44,24.49,2788472
2010-03-24,24.47,24.66,24.45,24.56,2930572
2010-03-25,24.47,24.75,24.4,24.53,3678586
2010-03-26,24.58,24.67,24.43,24.47,2544876
2010-03-29,24.77,24.79,24.62,24.67,2137697
2010-03-30,24.55,24.84,24.51,24.76,1919892
2010-03-31,24.42,24.53,24.32,24.44,2781101
2010-04-01,24.43,24.64,24.32,24.57,2444845
2010-04-02,24.43,24.64,24.32,24.57,0
2010-04-05,24.46,24.49,24.36,24.42,1550810
2010-04-06,24.53,24.53,24.3,24.34,2247856
2010-04-07,24.18,24.44,24.14,24.3,3467068
2010-04-08,24.21,24.34,24.1,24.19,2871471
2010-04-09,24.34,24.36,24.13,24.21,2348575
2010-04-12,24.53,24.56,24.18,24.28,2414881
2010-04-13,24.67,24.72,24.42,24.43,1899735
2010-04-14,25.05,25.07,24.63,24.63,3278948
2010-04-15,25.35,25.47,24.97,25.0,3780054
2010-04-16,24.66,25.37,24.66,25.3,4543489
2010-04-19,24.75,24.75,24.34,24.54,2353658
2010-04-20,24.92,25.0,24.69,24.96,1945180
2010-04-21,24.78,24.91,24.57,24.86,2419062
2010-04-22,24.79,24.8525,24.45,24.66,2659767
2010-04-23,24.72,24.78,24.61,24.74,2555737
2010-04-26,24.73,24.92,24.54,24.62,1737105
2010-04-27,24.09,25.05,24.06,24.54,3373141
2010-04-28,24.07,24.4,23.99,24.16,3305646
2010-04-29,24.79,24.89,24.16,24.25,4014058
2010-04-30,24.22,24.87,24.15,24.72,3517466
2010-05-03,24.57,24.59,24.19,24.42,3043497
2010-05-04,23.97,24.495,23.86,24.22,3297306
2010-05-05,23.49,24.05,23.41,23.91,3574707
2010-05-06,22.53,23.61,21.64,23.35,6066735
2010-05-07,22.29,22.74,22.05,22.43,5681975
2010-05-10,23.01,23.28,22.74,23.11,4259748
2010-05-11,23.17,23.51,22.62,22.84,3761253
2010-05-12,23.48,23.53,23.04,23.18,2635259
2010-05-13,23.13,23.45,23.13,23.36,2890186
2010-05-14,22.79,23.11,22.63,23.06,3401347
2010-05-17,22.92,23.06,22.65,22.91,3658374
2010-05-18,22.48,23.27,22.42,23.12,3488760
2010-05-19,22.25,22.61,21.85,22.42,3738756
2010-05-20,21.41,22.09,21.41,21.85,4549887
2010-05-21,21.72,21.73,21.01,21.06,5279204
2010-05-24,21.34,21.75,21.33,21.58,2812561
2010-05-25,21.32,21.34,20.79,21.01,3359774
2010-05-26,21.19,21.51,21.11,21.36,2967872
2010-05-27,21.83,21.86,21.33,21.54,2988713
2010-05-28,21.81,22.03,21.6,21.86,4048629
2010-05-31,21.81,22.03,21.6,21.86,0
2010-06-01,21.28,21.72,21.26,21.59,3664312
2010-06-02,21.73,21.73,21.27,21.36,3263666
2010-06-03,21.86,21.88,21.6,21.75,2733434
2010-06-04,20.99,21.66,20.9,21.48,4027652
2010-06-07,20.57,21.61,20.56,21.12,5285251
2010-06-08,20.89,20.94,20.21,20.57,5489558
2010-06-09,21.05,21.34,20.93,21.05,5147240
2010-06-10,21.71,21.71,21.19,21.36,4257916
2010-06-11,22.08,22.14,21.45,21.48,5161522
2010-06-14,22.85,23.89,22.75,23.2,9545536
2010-06-15,23.1,23.1,22.63,22.84,4245303
2010-06-16,23.15,23.16,22.76,22.85,3584822
2010-06-17,23.2,23.25,22.96,23.16,4512745
2010-06-18,23.14,23.38,22.96,23.24,4712647
2010-06-21,23.09,23.51,22.99,23.36,2246120
2010-06-22,22.95,23.24,22.87,23.14,3986091
2010-06-23,23.03,23.45,22.85,23.04,3443478
2010-06-24,22.91,23.1,22.81,22.96,5335196
2010-06-25,23.25,23.25,22.72,23.01,11789613
2010-06-28,23.24,25.32,23.1,23.21,3530927
