Date,Close,High,Low,Open,Volume
2010-01-01,19.63,19.83,19.63,19.74,0
2010-01-04,19.79,19.87,19.58,19.77,11049140
2010-01-05,19.8,19.85,19.67,19.81,11742084
2010-01-06,20.09,20.11,19.8,19.85,21307452
2010-01-07,20.06,20.14,19.95,20.08,14983892
2010-01-08,20.11,20.12,19.87,20.04,10823244
2010-01-11,20.26,20.35,20.11,20.28,11920991
2010-01-12,20.15,20.25,20.03,20.21,15306321
2010-01-13,20.24,20.4,20.12,20.12,11940429
2010-01-14,20.38,20.45,20.16,20.23,9621500
2010-01-15,20.42,20.64,20.31,20.44,16159115
2010-01-18,20.42,20.64,20.31,20.44,0
2010-01-19,20.38,20.5725,20.25,20.26,17748476
2010-01-20,20.33,20.36,20.15,20.27,12584064
2010-01-21,19.89,20.37,19.81,20.33,21865268
2010-01-22,19.71,20.04,19.7,19.89,13657067
2010-01-25,19.91,20.08,19.68,19.82,15154781
2010-01-26,19.96,20.05,19.75,19.75,13103102
2010-01-27,19.99,20.05,19.83,19.97,12544585
2010-01-28,20.01,20.1,19.8,19.9,16447550
2010-01-29,19.86,20.1,19.83,20.08,19336156
2010-02-01,19.88,19.98,19.78,19.9,10254672
2010-02-02,19.93,19.99,19.81,19.93,12403675
2010-02-03,19.78,19.94,19.69,19.93,11684048
2010-02-04,19.42,19.72,19.4,19.7,13405494
2010-02-05,19.38,19.41,19.14,19.38,14334169
2010-02-08,19.37,19.63,19.35,19.43,13842373
2010-02-09,19.46,19.58,19.23,19.54,16964980
2010-02-10,19.38,19.54,19.25,19.54,11380695
2010-02-11,19.61,19.74,19.25,19.4,17005748
2010-02-12,19.63,19.74,19.4,19.54,15748980
2010-02-15,19.63,19.74,19.4,19.54,0
2010-02-16,19.73,19.89,19.5705,19.85,15082300
2010-02-17,19.78,19.85,19.7,19.78,8758017
2010-02-18,20.0,20.0771,19.73,19.77,11182155
2010-02-19,20.16,20.21,19.93,20.0,12753868
2010-02-22,20.27,20.33,20.08,20.16,12790528
2010-02-23,19.97,20.25,19.93,20.19,21169967
2010-02-24,20.26,20.31,19.95,20.08,18103168
2010-02-25,20.41,20.46,20.01,20.05,21309251
2010-02-26,20.12,20.48,20.12,20.48,15722690
2010-03-01,20.27,20.34,20.17,20.2,10422063
2010-03-02,20.33,20.45,20.3,20.38,12662488
2010-03-03,20.35,20.48,20.3,20.45,12762441
2010-03-04,20.42,20.44,20.28,20.4,14095923
2010-03-05,20.71,20.78,20.48,20.5,12250648
2010-03-08,20.74,20.81,20.67,20.77,13902138
2010-03-09,20.77,20.83,20.7,20.75,16555098
2010-03-10,20.82,20.86,20.7,20.77,15681601
2010-03-11,20.37,20.58,20.18,20.47,13051775
2010-03-12,20.2,20.48,20.13,20.46,16538823
2010-03-15,20.37,20.4,20.11,20.2,13010997
2010-03-16,20.36,20.52,20.32,20.41,12956081
2010-03-17,20.33,20.46,20.23,20.41,33244216
2010-03-18,20.46,20.48,20.35,20.37,8925644
2010-03-19,20.34,20.55,20.25,20.45,15335849
2010-03-22,20.44,20.48,20.23,20.26,9447576
2010-03-23,20.52,20.54,20.36,20.41,8922128
2010-03-24,20.47,20.52,20.4,20.5,16974509
2010-03-25,20.52,20.6,20.47,20.54,14848084
2010-03-26,20.42,20.59,20.37,20.52,11035778
2010-03-29,20.65,20.69,20.46,20.52,12376341
2010-03-30,20.65,20.73,20.51,20.7,12762260
2010-03-31,20.52,20.65,20.46,20.63,9619046
2010-04-01,20.83,20.84,20.54,20.64,16314378
2010-04-02,20.83,20.84,20.54,20.64,0
2010-04-05,20.92,20.97,20.84,20.88,9015823
2010-04-06,20.98,21.03,20.9,20.94,10436512
2010-04-07,20.79,21.03,20.67,20.99,12971360
2010-04-08,20.68,20.79,20.64,20.72,13182510
2010-04-09,20.93,20.96,20.7,20.96,8719941
2010-04-12,21.1,21.2,20.94,20.96,10512211
2010-04-13,21.1,21.15,20.88,21.05,9685941
2010-04-14,21.16,21.16,20.97,21.12,13191725
2010-04-15,21.1,21.12,21.0,21.05,8292750
2010-04-16,20.87,21.155,20.75,21.04,15931240
2010-04-19,20.93,20.93,20.8,20.88,8668411
2010-04-20,21.17,21.2,20.95,21.0,13153069
2010-04-21,21.46,21.61,21.245,21.3,15481081
2010-04-22,21.28,21.46,21.2,21.4,12587644
2010-04-23,21.36,21.39,21.12,21.3,10143426
2010-04-26,21.25,21.44,21.17,21.4,17188361
2010-04-27,20.92,21.25,20.91,21.23,18977134
2010-04-28,21.02,21.105,20.91,21.0,14961069
2010-04-29,21.18,21.3,21.07,21.15,10305141
2010-04-30,21.19,21.48,21.18,21.2,14219405
2010-05-03,21.4,21.495,21.215,21.29,10413464
2010-05-04,21.26,21.4,21.2,21.26,16718951
2010-05-05,21.22,21.46,21.11,21.2,12881970
2010-05-06,20.75,21.2,19.2,21.13,31292858
2010-05-07,20.76,20.84,20.36,20.66,25541322
2010-05-10,21.58,21.6,21.03,21.4,24830888
2010-05-11,21.59,21.74,21.37,21.45,18095469
2010-05-12,21.67,21.77,21.48,21.69,15714495
2010-05-13,21.63,21.8,21.58,21.72,10827498
2010-05-14,21.61,21.75,21.5,21.6,19942024
2010-05-17,21.7,21.91,21.57,21.69,18416117
2010-05-18,21.37,21.8,21.34,21.75,20337705
2010-05-19,21.31,21.37,21.07,21.2,18046723
2010-05-20,20.67,21.1,20.67,21.05,23402081
2010-05-21,21.01,21.03,20.2,20.25,32600772
2010-05-24,20.85,21.1,20.79,20.88,26528914
2010-05-25,20.4,20.59,20.15,20.38,32139330
2010-05-26,20.16,20.69,20.14,20.61,25136915
2010-05-27,20.54,20.63,20.31,20.44,26746132
2010-05-28,20.29,20.65,20.25,20.59,23479784
2010-05-31,20.29,20.65,20.25,20.59,0
2010-06-01,20.12,20.42,20.07,20.2,20793736
2010-06-02,20.38,20.4,20.16,20.25,23052226
2010-06-03,20.59,20.6,20.4,20.5,14910031
2010-06-04,20.015,20.47,19.97,20.4,30253410
2010-06-07,19.82,20.22,19.82,20.16,25447623
2010-06-08,20.2,20.27,19.82,19.87,27164742
2010-06-09,20.05,20.37,20.01,20.24,40221969
2010-06-10,20.32,20.46,20.25,20.29,33461895
2010-06-11,20.08,20.1,19.68,19.86,22535847
2010-06-14,19.57,20.25,19.57,20.16,30946011
2010-06-15,19.91,19.92,19.6,19.66,15016087
2010-06-16,19.83,19.91,19.75,19.79,10935111
2010-06-17,19.99,20.01,19.76,19.8,15918499
2010-06-18,20.02,20.08,19.95,20.03,14571052
2010-06-21,20.06,20.23,20.0,20.2,12676827
2010-06-22,19.85,20.15,19.78,20.07,12503303
2010-06-23,19.77,19.93,19.71,19.78,13895593
2010-06-24,19.62,19.87,19.59,19.75,17191514
2010-06-25,19.7,19.77,19.53,19.69,28483416
2010-06-28,20.34,20.89,19.69,19.77,47738257
2010-06-29,19.96,20.26,19.85,20.13,26893304
2010-06-30,20.04,20.25,19.91,20.0,19686830
2010-07-01,20.24,20.27,19.89,20.15,17865618
2010-07-02,20.31,20.4,20.05,20.21,11413603
2010-07-05,20.31,20.4,20.05,20.21,0
2010-07-06,20.54,20.7,20.39,20.5,13047402
