Date,Close,High,Low,Open,Volume
2011-06-23,19.5,19.5,18.25,19.0,5097542
2011-06-24,18.625,19.575,18.42,19.375,1675312
2011-06-27,18.825,18.975,18.295,18.345,895100
2011-06-28,19.35,26.0,18.85,19.17,4151702
2011-06-29,20.035,20.485,19.35,19.5,3695160
2011-06-30,20.7,21.0,20.0875,20.335,3025792
2011-07-01,21.1,23.715,20.5,20.6,8334166
2011-07-04,21.1,23.715,20.5,20.6,0
2011-07-05,21.105,21.5,20.825,21.105,11822948
2011-07-06,20.945,21.125,20.505,20.8,10982848
2011-07-07,20.89,21.63,20.8525,21.095,16707598
2011-07-08,20.705,21.3,20.26,20.4,16416851
2011-07-11,20.05,20.395,19.755,20.395,9495018
2011-07-12,20.24,20.495,19.72,19.93,8011122
2011-07-13,19.98,20.62,19.62,20.26,11642740
2011-07-14,19.32,20.01,19.105,19.985,11532684
2011-07-15,19.58,19.735,19.05,19.5,9938772
2011-07-18,19.56,19.795,18.875,19.365,8311406
2011-07-19,19.87,19.97,19.565,19.63,6422988
2011-07-20,19.765,19.97,19.7,19.895,5448966
2011-07-21,20.05,20.12,19.555,19.765,7249604
2011-07-22,20.285,20.41,19.955,20.14,6645548
2011-07-25,20.685,21.06,20.325,20.625,8899060
2011-07-26,21.525,21.86,20.635,20.695,11324110
2011-07-27,21.03,21.65,20.985,21.51,6998306
2011-07-28,21.39,21.47,21.095,21.215,6654416
2011-07-29,21.895,22.305,20.987,21.175,10709548
2011-08-01,22.485,22.69,21.995,22.52,11521572
2011-08-02,21.165,22.45,21.125,22.265,10995420
2011-08-03,20.715,22.7,19.51,21.64,13413710
2011-08-04,19.21,20.355,18.615,20.355,15377930
2011-08-05,18.655,19.61,16.72,19.455,12348478
2011-08-08,16.165,18.0,14.74,17.62,16542857
2011-08-09,18.05,18.205,16.21,16.535,12054012
2011-08-10,17.56,18.42,17.06,17.775,9682474
2011-08-11,18.67,19.3,17.715,17.95,8756314
2011-08-12,18.705,19.56,18.4525,18.795,5906768
2011-08-15,19.55,19.825,18.945,18.945,5365382
2011-08-16,19.43,19.72,19.06,19.18,6532386
2011-08-17,19.55,19.98,19.405,19.815,5627486
2011-08-18,18.305,19.2542,17.705,19.055,7400548
2011-08-19,17.495,18.335,17.32,17.89,9878424
2011-08-22,16.285,18.0,16.175,17.91,10774064
2011-08-23,17.125,17.35,16.025,16.315,10359812
2011-08-24,17.915,18.015,16.855,17.2,6723308
2011-08-25,17.19,18.4475,16.9582,18.095,6375852
2011-08-26,17.435,18.38,17.035,17.2,5880400
2011-08-29,18.0,18.178,17.52,17.635,4174906
2011-08-30,18.015,18.19,17.375,17.945,4385148
