Date,Close,High,Low,Open,Volume
2010-01-01,36.54,37.07,36.5,36.8,0
2010-01-04,37.01,37.25,36.55,36.82,13896591
2010-01-05,37.16,37.45,36.93,37.3,14744731
2010-01-06,37.66,37.73,36.9,37.21,15239807
2010-01-07,37.72,37.9,37.4,37.47,11916689
2010-01-08,37.7,37.89,37.43,37.87,10768158
2010-01-11,37.85,37.92,37.5,37.88,9582497
2010-01-12,37.55,37.99,37.32,37.82,10921674
2010-01-13,38.93,39.37,38.1,38.31,25375355
2010-01-14,39.99,40.12,39.1,39.24,22024396
2010-01-15,39.47,40.27,39.01,39.98,20853879
2010-01-18,39.47,40.27,39.01,39.98,0
2010-01-19,40.62,40.84,39.44,39.55,19951814
2010-01-20,41.03,41.15,39.97,40.64,20842794
2010-01-21,40.08,41.56,40.05,41.08,25575574
2010-01-22,38.87,40.29,38.77,39.9,17465657
2010-01-25,38.76,39.74,38.72,39.28,15378411
2010-01-26,38.58,38.95,38.16,38.5,19863632
2010-01-27,38.64,38.78,37.96,38.49,17483400
2010-01-28,37.97,38.94,37.94,38.74,13374640
2010-01-29,38.18,39.01,37.66,38.26,16120871
2010-02-01,38.3,38.63,38.07,38.56,9223816
2010-02-02,39.54,39.72,38.1,38.36,15131207
2010-02-03,38.72,39.42,38.47,39.4,17467208
2010-02-04,37.1,38.51,36.82,38.39,25335547
2010-02-05,36.73,37.08,35.82,37.05,22972511
2010-02-08,36.59,37.08,36.22,36.58,10215770
2010-02-09,36.47,37.17,36.32,36.93,17143288
2010-02-10,36.2,36.69,35.76,36.5,16820708
2010-02-11,36.88,37.0,35.87,36.22,14430710
2010-02-12,36.92,37.15,36.09,36.63,17907433
2010-02-15,36.92,37.15,36.09,36.63,0
2010-02-16,37.66,38.18,37.26,37.75,20773994
2010-02-17,37.34,37.92,37.16,37.78,11961247
2010-02-18,37.29,37.5,37.03,37.37,12350070
2010-02-19,37.49,37.63,37.15,37.22,12408367
2010-02-22,37.12,37.86,36.6,37.76,17577527
2010-02-23,36.51,37.14,36.4,36.94,15935387
2010-02-24,36.93,37.04,36.27,36.68,17093639
2010-02-25,36.57,36.66,36.05,36.5,17036845
2010-02-26,36.88,37.06,36.44,36.53,13168317
2010-03-01,37.27,37.43,37.03,37.1,11806377
2010-03-02,37.39,37.69,37.32,37.62,12254196
2010-03-03,37.21,37.85,37.1,37.67,12584932
2010-03-04,37.14,37.38,36.88,37.21,11854076
2010-03-05,37.49,37.5599,36.93,37.27,9868885
2010-03-08,37.35,37.54,37.11,37.35,12057036
2010-03-09,37.04,37.3,36.83,37.23,14695894
2010-03-10,36.67,37.08,36.5,36.89,19428373
2010-03-11,36.88,36.95,36.1,36.36,15315842
2010-03-12,37.16,37.2,36.73,37.0,16386550
2010-03-15,37.75,37.8,37.0,37.05,17415856
2010-03-16,37.94,38.0,37.4,37.75,18309022
2010-03-17,38.08,38.1,37.57,38.0,12389454
2010-03-18,38.45,38.46,37.88,38.08,12497333
2010-03-19,38.06,38.84,37.85,38.62,29795969
2010-03-22,38.3,39.04,38.03,38.16,15474356
2010-03-23,38.5,38.75,38.25,38.57,12338280
2010-03-24,38.01,38.51,37.98,38.4,12361767
2010-03-25,37.78,38.34,37.76,38.3,13175642
2010-03-26,37.43,37.94,37.35,37.77,13501617
2010-03-29,37.89,38.01,37.58,37.62,11158229
2010-03-30,37.66,37.96,37.51,37.83,9921077
2010-03-31,37.35,37.59,37.06,37.49,12967268
2010-04-01,37.71,37.88,37.5,37.69,10135237
2010-04-02,37.71,37.88,37.5,37.69,0
2010-04-05,37.39,37.97,37.325,37.96,10464525
2010-04-06,37.25,37.53,37.17,37.41,12275305
2010-04-07,36.79,37.41,36.56,37.24,18392462
2010-04-08,36.78,37.02,36.62,36.89,12330289
2010-04-09,36.97,37.25,36.78,36.78,10069557
2010-04-12,36.85,37.09,36.8,36.96,10524875
2010-04-13,36.7,36.93,36.58,36.69,11913015
2010-04-14,36.21,36.74,36.01,36.6,19975643
2010-04-15,36.04,36.5,35.96,36.24,20775915
2010-04-16,35.71,36.17,35.37,36.02,20591950
2010-04-19,35.9,35.98,35.29,35.68,12545833
2010-04-20,36.06,36.4,35.87,36.05,10152196
2010-04-21,34.74,36.18,34.7,36.05,37192719
2010-04-22,33.77,34.65,33.76,34.52,38233224
2010-04-23,35.46,35.76,33.54,33.73,41336070
2010-04-26,35.0,35.96,34.9,35.5,26595385
2010-04-27,34.48,35.48,34.4075,34.68,19521899
2010-04-28,34.56,34.8,34.2,34.42,16879431
2010-04-29,35.25,35.61,34.98,35.02,18242785
2010-04-30,35.04,35.8,35.03,35.19,15722057
2010-05-03,35.27,35.43,35.04,35.15,12428704
2010-05-04,35.81,36.36,35.6,35.7,32438989
2010-05-05,35.59,35.77,34.9,35.41,21460364
2010-05-06,34.27,35.58,30.7,35.4,30771712
2010-05-07,33.49,34.2225,32.95,34.1,26434937
2010-05-10,34.25,34.86,33.89,34.32,23437417
2010-05-11,33.51,34.11,33.03,33.37,24643534
2010-05-12,33.64,34.04,33.43,34.0,19086737
2010-05-13,33.31,33.75,33.11,33.7,14651543
2010-05-14,32.88,33.35,32.68,33.27,21105039
2010-05-17,32.78,33.06,32.18,32.88,15409482
2010-05-18,32.35,33.0,32.3,32.87,18288420
2010-05-19,32.62,32.9,32.07,32.19,21176085
2010-05-20,31.82,32.55,31.75,32.09,24696713
2010-05-21,32.04,32.15,31.04,31.16,25498591
2010-05-24,31.86,32.3099,31.61,31.93,13305813
2010-05-25,32.06,32.08,31.1,31.31,20689229
2010-05-26,32.42,32.85,31.8425,31.91,26259032
2010-05-27,33.62,33.67,32.78,32.88,30581265
