Date,Close,High,Low,Open,Volume
2010-01-01,29.6,29.77,29.44,29.49,0
2010-01-04,30.91,31.968,30.63,30.7,20373994
2010-01-05,32.04,32.13,30.93,31.01,22523317
2010-01-06,32.45,32.59,31.79,31.97,17029777
2010-01-07,32.92,33.27,32.27,32.46,18692919
2010-01-08,32.25,32.82,31.98,32.6,15994905
2010-01-11,32.04,32.462,31.76,32.39,10090988
2010-01-12,31.13,31.86,30.99,31.63,14815833
2010-01-13,31.26,32.0,30.71,31.09,18723488
2010-01-14,31.2,31.301,30.35,31.1,24694552
2010-01-15,30.38,31.09,29.98,30.97,27909402
2010-01-18,30.38,31.09,29.98,30.97,0
2010-01-19,31.16,31.26,30.33,30.48,16986861
2010-01-20,30.63,31.24,30.35,30.76,21204387
2010-01-21,29.34,30.55,28.24,30.29,56780048
2010-01-22,27.8,29.18,27.42,28.65,46720113
2010-01-25,27.74,28.52,27.36,28.22,21102401
2010-01-26,27.33,28.29,27.21,27.68,24384898
2010-01-27,27.95,28.11,26.91,27.34,31049303
2010-01-28,27.49,28.25,27.12,28.2,25486505
2010-01-29,26.78,27.85,26.65,27.83,21169199
2010-02-01,27.56,28.0,26.92,26.95,19559851
2010-02-02,28.06,28.21,27.51,27.6,21015578
2010-02-03,27.89,28.43,27.69,28.16,18502798
2010-02-04,26.63,27.65,26.5,27.61,29785228
2010-02-05,27.26,27.29,26.15,26.58,25553908
2010-02-08,26.6,27.54,26.3847,27.09,14520256
2010-02-09,27.13,27.3,26.59,26.86,19517382
2010-02-10,27.51,27.75,27.03,27.08,13861161
2010-02-11,27.12,27.53,26.88,27.4,18827735
2010-02-12,27.16,27.3,26.45,26.61,16630937
2010-02-15,27.16,27.3,26.45,26.61,0
2010-02-16,27.82,27.93,27.36,27.44,15770581
2010-02-17,27.39,27.96,27.23,27.89,16597871
2010-02-18,27.26,27.49,27.0,27.3,12147396
2010-02-19,27.41,27.5,26.92,27.1,12359607
2010-02-22,27.71,27.87,27.31,27.5,14505663
2010-02-23,27.15,28.42,27.1,27.66,20897947
2010-02-24,27.83,27.98,27.09,27.27,17937013
2010-02-25,27.74,27.83,27.1,27.27,15302871
2010-02-26,28.18,28.41,27.6,27.8,18674887
2010-03-01,28.19,28.64,28.11,28.3,9221556
2010-03-02,28.7,28.92,28.33,28.4,13052237
2010-03-03,28.32,28.85,28.29,28.65,17667429
2010-03-04,29.2,29.28,28.39,28.45,20650592
2010-03-05,29.41,29.75,29.27,29.57,18018876
2010-03-08,29.58,29.74,29.33,29.52,11056871
2010-03-09,29.05,29.51,28.96,29.43,20074379
2010-03-10,29.97,30.3025,28.83,29.17,29183589
2010-03-11,30.02,30.12,29.63,29.94,15002056
2010-03-12,29.91,30.79,29.83,30.01,19440716
2010-03-15,29.64,30.0,29.28,29.74,17781182
2010-03-16,30.31,30.42,29.54,29.72,16674648
2010-03-17,30.28,30.6701,30.06,30.41,18426278
2010-03-18,30.08,30.36,29.7,30.2,16293108
2010-03-19,29.63,30.21,29.5,30.14,22857083
2010-03-22,29.6,29.74,29.08,29.28,12571500
2010-03-23,29.53,29.74,29.35,29.6,12144982
2010-03-24,29.37,29.68,29.26,29.38,12962271
2010-03-25,28.91,29.79,28.87,29.53,21709215
2010-03-26,28.85,29.22,28.58,29.01,18226260
2010-03-29,29.43,29.6,29.0,29.28,15041010
2010-03-30,29.21,29.46,28.82,29.37,14467939
