Date,Close,High,Low,Open,Volume
2010-01-01,66.89,67.94,66.84,67.32,0
2010-01-04,67.01,67.65,66.32,67.63,720910
2010-01-05,68.21,68.39,66.7,66.8,779192
2010-01-06,70.49,70.9,68.15,68.43,1355020
2010-01-07,73.12,73.67,70.13,70.58,1826986
2010-01-08,73.84,74.35,72.43,72.56,1381610
2010-01-11,73.14,74.18,72.97,73.94,550387
2010-01-12,71.69,73.0,71.3,72.72,779491
2010-01-13,73.62,74.15,70.89,71.75,1475686
2010-01-14,75.34,75.68,73.47,73.61,942821
2010-01-15,73.16,75.28,72.94,74.9,1404135
2010-01-18,73.16,75.28,72.94,74.9,0
2010-01-19,74.7,75.15,72.46,73.21,1286052
2010-01-20,77.69,78.32,73.65,73.65,3380969
2010-01-21,78.59,80.31,77.8,77.8,2716251
2010-01-22,75.59,78.6,75.27,78.37,1646140
2010-01-25,75.0,76.84,73.78,76.37,1181824
2010-01-26,73.73,75.52,73.27,74.46,1468251
2010-01-27,76.3,76.65,73.52,73.83,1356508
2010-01-28,75.72,77.1,75.25,76.34,1040662
2010-01-29,73.75,76.04,73.5,75.9,1837760
2010-02-01,74.9,75.26,74.23,74.23,857750
2010-02-02,75.0,75.8,74.45,75.13,667371
2010-02-03,72.17,74.49,72.08,74.46,1245959
2010-02-04,70.64,71.91,69.91,71.78,2136376
2010-02-05,72.67,72.75,70.09,70.65,1775743
2010-02-08,71.29,72.64,71.08,72.31,852971
2010-02-09,71.99,72.99,71.37,71.99,595877
2010-02-10,72.67,73.37,71.71,72.0,574053
2010-02-11,72.4,72.87,71.89,72.79,429850
2010-02-12,72.07,72.19,70.89,71.75,830603
2010-02-15,72.07,72.19,70.89,71.75,0
2010-02-16,75.12,75.34,72.77,72.93,1116693
2010-02-17,74.49,75.64,73.8,75.29,1018413
2010-02-18,75.43,75.5,74.41,74.65,1454165
2010-02-19,76.6,76.65,75.23,75.61,1711755
2010-02-22,78.09,78.32,76.99,77.08,1179758
2010-02-23,77.22,78.09,75.91,78.09,1805068
2010-02-24,78.2,78.97,76.81,76.99,1590240
2010-02-25,76.58,77.33,75.55,76.61,1080227
2010-02-26,77.43,77.64,75.76,76.54,1041997
2010-03-01,77.8,78.12,77.0,77.35,829143
