Date,Close,High,Low,Open,Volume
2010-01-01,10.38,10.49,9.8,10.08,0
2010-01-04,10.38,10.49,9.8,10.08,33331482
2010-01-05,10.38,10.49,9.8,10.08,33331482
2010-01-06,10.38,10.49,9.8,10.08,33331482
2010-01-07,10.38,10.49,9.8,10.08,33331482
2010-01-08,10.38,10.49,9.8,10.08,33331482
2010-01-11,10.9,11.315,10.82,11.24,29135134
2010-01-12,10.26,10.66,10.14,10.62,46115942
2010-01-13,10.46,10.56,9.97,10.31,33524161
2010-01-14,10.73,10.95,10.43,10.47,33867948
2010-01-15,10.13,10.7,10.04,10.66,31003812
2010-01-18,10.13,10.7,10.04,10.66,0
2010-01-19,10.28,10.3,10.04,10.14,18545341
2010-01-20,9.98,10.07,9.73,9.99,42202985
2010-01-21,9.8,10.24,9.76,10.03,38274420
2010-01-22,9.13,9.7111,9.09,9.7,44448911
2010-01-25,9.33,9.42,9.17,9.26,23998999
2010-01-26,9.44,9.74,9.27,9.34,25159509
2010-01-27,9.72,9.74,9.35,9.49,21637369
2010-01-28,9.4,9.75,9.1,9.73,32249820
2010-01-29,8.72,9.5,8.57,9.45,42658340
2010-02-01,9.17,9.2,8.84,8.88,19407513
2010-02-02,9.35,9.5,9.25,9.28,21667694
2010-02-03,9.02,9.32,8.93,9.19,25368985
2010-02-04,8.61,9.18,8.55,9.18,26695954
2010-02-05,8.7,8.71,8.27,8.66,36414408
2010-02-08,8.91,9.05,8.59,8.8,20272931
2010-02-09,9.08,9.28,8.84,9.14,20847739
2010-02-10,8.54,8.73,8.18,8.64,70629951
2010-02-11,8.53,8.78,8.42,8.6,50942054
2010-02-12,8.44,8.74,8.32,8.4,44235276
2010-02-15,8.44,8.74,8.32,8.4,0
2010-02-16,8.63,8.71,8.49,8.65,25229230
2010-02-17,8.73,8.79,8.56,8.79,18429475
2010-02-18,8.76,8.77,8.59,8.64,22490609
2010-02-19,8.9,9.14,8.66,8.76,28673297
2010-02-22,8.94,9.11,8.91,9.07,16124498
2010-02-23,8.61,8.83,8.42,8.83,28626057
2010-02-24,9.09,9.23,8.64,8.7,34307563
2010-02-25,9.07,9.09,8.72,8.87,20925347
2010-02-26,9.06,9.15,8.87,9.08,20385959
2010-03-01,9.77,9.79,9.2,9.25,39163036
2010-03-02,9.57,9.74,9.51,9.54,40227618
2010-03-03,9.45,9.7,9.39,9.57,25133772
2010-03-04,9.41,9.43,9.17,9.41,19760002
2010-03-05,9.46,9.58,9.32,9.53,15692713
2010-03-08,9.59,9.65,9.36,9.47,26708459
2010-03-09,9.41,9.6,9.34,9.5,33740299
2010-03-10,9.87,9.96,9.57,9.62,39335089
2010-03-11,9.8,9.9,9.62,9.84,20022250
2010-03-12,9.97,10.25,9.7,10.1,33693555
2010-03-15,9.73,9.94,9.6,9.88,25973361
2010-03-16,10.21,10.24,9.8,9.85,24373532
2010-03-17,10.4,10.51,10.23,10.3,26406927
2010-03-18,10.16,10.4,10.05,10.3,20233622
2010-03-19,9.95,10.27,9.95,10.22,19403872
2010-03-22,10.33,10.36,9.75,9.83,19351101
2010-03-23,10.54,10.57,10.34,10.42,22125127
2010-03-24,10.43,10.63,10.37,10.6,18190305
2010-03-25,10.38,10.79,10.35,10.66,24980132
2010-03-26,10.49,10.73,10.26,10.5,25900306
2010-03-29,10.63,10.79,10.58,10.66,22225951
2010-03-30,10.79,10.9,10.67,10.74,37351384
2010-03-31,10.37,10.75,10.36,10.7,38781476
2010-04-01,10.17,11.05,10.11,11.03,127588413
2010-04-02,10.17,11.05,10.11,11.03,0
2010-04-05,10.6,10.64,10.25,10.37,52480335
2010-04-06,10.23,10.64,10.21,10.64,42605304
