Date,Close,High,Low,Open,Volume
2010-01-01,35.61,36.25,35.61,36.095,0
2010-01-04,36.61,36.92,36.225,36.225,2227472
2010-01-05,37.56,37.695,36.425,36.715,3522878
2010-01-06,37.915,38.2,37.425,37.5829,2030196
2010-01-07,37.405,37.82,36.91,37.72,2109860
2010-01-08,37.635,37.66,36.655,37.145,2302866
2010-01-11,37.805,38.415,37.33,38.045,3182826
2010-01-12,38.035,38.705,37.485,37.67,5094928
2010-01-13,38.375,38.545,37.37,38.11,2535006
2010-01-14,38.81,38.885,38.115,38.16,2509216
2010-01-15,38.85,39.24,38.225,38.88,4321226
2010-01-18,38.85,39.24,38.225,38.88,0
2010-01-19,39.52,39.595,38.455,38.81,2286262
2010-01-20,38.805,39.125,38.35,39.125,4429590
2010-01-21,38.645,39.365,38.03,38.89,4137940
2010-01-22,38.16,39.27,38.04,38.48,6085394
2010-01-25,39.095,39.455,38.455,38.455,5578518
2010-01-26,38.26,39.16,38.065,38.655,6243732
2010-01-27,37.5,38.5375,36.915,38.38,4122292
2010-01-28,37.28,38.26,36.76,37.9,3463684
2010-01-29,36.97,38.195,36.78,37.575,3963860
2010-02-01,37.91,37.91,37.18,37.32,3305026
2010-02-02,38.575,38.66,37.395,37.945,3562228
2010-02-03,38.355,38.64,38.06,38.375,1989134
2010-02-04,36.355,37.91,36.265,37.91,2666566
2010-02-05,36.525,36.62,35.411,36.26,4289700
2010-02-08,36.3,36.855,36.0,36.625,3016632
2010-02-09,37.215,37.82,36.725,36.82,2513708
2010-02-10,36.64,37.0094,36.315,36.9,3984612
2010-02-11,37.5,37.535,36.505,36.64,2465456
2010-02-12,37.185,37.295,36.6323,37.01,2791404
2010-02-15,37.185,37.295,36.6323,37.01,0
2010-02-16,38.445,38.55,37.64,37.75,2581704
2010-02-17,38.22,38.71,37.895,38.6,3671652
2010-02-18,37.665,37.98,37.105,37.265,5394070
2010-02-19,37.38,37.89,37.1965,37.595,3370200
2010-02-22,36.24,37.42,36.16,37.335,2947634
2010-02-23,35.47,36.27,35.35,36.125,3274318
2010-02-24,35.495,36.1,34.98,34.98,4089258
2010-02-25,35.635,35.745,34.635,34.71,2772806
2010-02-26,36.32,36.435,35.485,35.725,3674512
2010-03-01,36.675,36.89,36.465,36.625,3414440
2010-03-02,36.53,37.215,36.36,36.745,4367828
2010-03-03,36.405,36.93,36.21,36.775,2969052
2010-03-04,36.11,36.775,35.75,36.49,2376118
2010-03-05,36.615,36.84,36.315,36.47,2346022
2010-03-08,36.49,36.8,36.365,36.75,1763852
2010-03-09,36.625,36.8,36.255,36.305,2710870
2010-03-10,36.775,36.88,36.455,36.585,3528740
2010-03-11,36.735,36.85,36.485,36.75,2605074
2010-03-12,37.01,37.075,36.56,36.98,2353050
2010-03-15,36.61,36.935,36.195,36.82,3208932
2010-03-16,37.035,37.05,36.535,36.84,2294280
2010-03-17,38.08,38.31,37.22,37.22,4759584
2010-03-18,37.195,38.205,37.115,37.915,3941968
2010-03-19,36.595,37.485,36.235,37.215,4903330
2010-03-22,36.14,36.215,35.75,36.05,3979722
2010-03-23,35.86,36.29,35.64,36.15,5287726
2010-03-24,36.025,36.185,35.405,35.66,4593900
2010-03-25,35.09,36.355,35.065,36.29,3809412
2010-03-26,34.595,35.21,34.19,35.1,6041770
2010-03-29,35.645,35.665,34.74,34.78,2974140
2010-03-30,35.82,35.975,35.125,35.47,3601234
2010-03-31,36.5,36.8,35.84,35.935,5128016
2010-04-01,37.64,37.72,36.875,36.94,4262364
2010-04-02,37.64,37.72,36.875,36.94,0
2010-04-05,38.495,38.94,37.65,37.79,4924828
2010-04-06,37.95,38.41,37.84,38.28,4764612
2010-04-07,37.935,38.33,37.5,37.76,4607342
2010-04-08,38.065,38.135,37.225,37.55,2222092
2010-04-09,38.44,38.59,38.105,38.26,2613064
2010-04-12,38.265,38.625,38.05,38.31,3019014
2010-04-13,38.3,38.465,37.735,38.245,2323558
2010-04-14,39.08,39.115,38.25,38.41,3098334
2010-04-15,39.155,39.295,38.885,38.9,2158528
2010-04-16,38.65,39.125,38.28,38.82,3877166
2010-04-19,38.66,38.745,38.08,38.245,2130532
2010-04-20,39.33,39.55,38.965,39.09,2482566
2010-04-21,39.2,39.44,38.97,39.27,2357700
2010-04-22,39.665,39.89,38.68,38.77,3391660
2010-04-23,40.325,40.33,39.38,39.61,4180754
2010-04-26,40.365,40.75,40.06,40.325,3421884
2010-04-27,39.11,40.345,39.035,40.025,3373004
2010-04-28,39.455,39.73,39.045,39.425,4022732
2010-04-29,39.125,39.98,37.785,39.69,5954106
2010-04-30,38.2,39.34,37.77,39.325,5547954
2010-05-03,38.94,39.2275,38.12,38.295,3070634
2010-05-04,38.445,38.645,37.81,38.455,3484692
2010-05-05,37.465,38.03,37.21,37.775,4262512
2010-05-06,36.175,37.54,34.795,37.235,5505184
2010-05-07,35.4,36.51,34.93,36.0,4818298
2010-05-10,36.535,37.22,35.97,37.12,5078190
2010-05-11,34.275,36.33,34.15,35.915,11135190
2010-05-12,35.065,35.155,33.85,34.46,9565766
2010-05-13,34.46,35.29,34.36,34.89,4268348
2010-05-14,33.525,34.33,32.87,34.17,5183760
2010-05-17,32.965,33.98,32.495,33.735,4856290
2010-05-18,32.645,33.725,32.55,33.375,4546566
2010-05-19,32.045,32.55,31.235,32.4,5223238
2010-05-20,30.18,31.095,30.1,31.0,7162928
2010-05-21,30.56,30.585,29.2,29.425,8626816
2010-05-24,29.805,30.585,29.79,30.415,3146920
2010-05-25,29.315,29.365,28.55,28.99,9683600
2010-05-26,30.125,30.505,29.7,29.795,6818274
2010-05-27,30.84,31.545,30.675,31.26,6869224
2010-05-28,29.745,31.01,29.565,30.885,6778482
2010-05-31,29.745,31.01,29.565,30.885,0
2010-06-01,28.115,29.52,28.115,29.25,8748890
2010-06-02,30.075,30.075,28.25,28.335,6884552
2010-06-03,31.705,31.835,30.6,31.025,10515048
2010-06-04,30.3,32.06,30.15,31.055,7047218
2010-06-07,30.08,30.87,29.97,30.41,4219276
2010-06-08,30.445,30.485,29.7,30.045,6028440
2010-06-09,30.535,31.28,30.275,30.87,6085228
2010-06-10,31.95,31.995,31.21,31.21,4110661
2010-06-11,31.99,32.0,31.36,31.635,3380464
2010-06-14,31.84,32.615,31.63,32.305,3751982
2010-06-15,33.225,33.28,32.155,32.35,3943820
2010-06-16,33.1,33.335,32.43,32.865,4054818
2010-06-17,33.05,33.135,32.715,33.025,2832508
2010-06-18,32.99,33.105,32.505,33.085,3063646
2010-06-21,32.645,33.685,32.4,33.39,3152200
2010-06-22,31.53,32.65,31.385,32.62,3650586
2010-06-23,31.205,31.615,31.07,31.375,3564140
2010-06-24,30.975,31.43,30.795,31.06,3876676
2010-06-25,31.45,31.785,30.685,30.975,5288664
2010-06-28,30.895,31.605,30.835,31.59,3246880
2010-06-29,30.135,30.515,29.965,30.23,3760144
2010-06-30,30.165,30.645,29.955,30.145,6238708
2010-07-01,30.6,30.915,29.61,30.105,5506952
2010-07-02,30.94,31.24,30.56,30.72,4172215
2010-07-05,30.94,31.24,30.56,30.72,0
2010-07-06,31.43,31.94,31.095,31.53,4609814
2010-07-07,32.775,32.78,31.37,31.37,4587540
2010-07-08,33.205,33.39,32.375,33.14,4000193
2010-07-09,32.855,33.28,32.475,33.25,2778890
2010-07-12,33.155,33.18,32.68,32.755,2607844
2010-07-13,33.45,33.89,33.37,33.845,2806066
2010-07-14,33.33,33.75,32.85,33.225,3927376
2010-07-15,33.685,33.785,32.965,33.37,2305180
2010-07-16,32.805,33.38,32.63,33.35,3927664
2010-07-19,33.005,33.165,32.58,32.95,2361320
2010-07-20,33.78,33.85,32.595,32.595,2086494
2010-07-21,33.035,33.91,32.825,33.9,3819526
2010-07-22,33.89,34.1,33.48,33.755,3433278
2010-07-23,33.685,33.83,33.005,33.725,2938456
2010-07-26,34.09,34.215,33.69,33.69,1987100
2010-07-27,33.73,34.41,33.445,34.205,2941452
2010-07-28,33.79,34.175,33.57,33.715,3334144
2010-07-29,34.075,34.92,33.68,34.6,3538534
2010-07-30,33.53,34.32,33.275,33.78,4540622
2010-08-02,34.47,34.56,33.6975,34.055,2806442
2010-08-03,34.505,34.985,34.35,34.49,4595624
2010-08-04,34.445,34.74,34.13,34.465,2787730
2010-08-05,34.8,34.865,33.945,34.065,2816772
