Date,Close,High,Low,Open,Volume
2010-01-01,52.82,53.866,52.77,53.78,0
2010-01-04,53.25,53.74,52.87,53.04,2602141
2010-01-05,52.73,53.42,52.26,53.3,2796809
2010-01-06,53.25,53.34,52.63,52.64,3373345
2010-01-07,53.1,53.195,52.65,53.19,2442111
2010-01-08,52.64,53.18,52.45,52.98,2268545
2010-01-11,52.6,53.75,51.9,52.77,6143501
2010-01-12,51.32,52.2,51.02,52.2,5626210
2010-01-13,51.5,51.75,50.58,51.19,5858123
2010-01-14,50.01,50.64,49.65,50.5,8080719
2010-01-15,50.55,50.63,49.41,49.71,6041818
2010-01-18,50.55,50.63,49.41,49.71,0
2010-01-19,50.89,50.9,50.13,50.24,3545381
2010-01-20,49.98,50.58,49.38,50.58,3963701
2010-01-21,49.03,50.31,48.9,49.93,4666006
2010-01-22,48.14,49.11,48.12,49.02,3557417
2010-01-25,47.75,48.54,47.68,48.41,5433099
2010-01-26,49.22,49.57,48.11,48.5,6314904
2010-01-27,49.76,49.77,48.78,49.15,4373585
2010-01-28,49.01,49.82,48.87,49.82,3314422
2010-01-29,48.76,49.2,48.69,48.99,5816582
2010-02-01,49.23,49.29,48.54,48.65,2777396
2010-02-02,49.58,49.59,48.7,49.21,2613329
2010-02-03,49.4,49.48,49.09,49.3,3764102
2010-02-04,48.02,49.13,47.97,49.03,4624881
2010-02-05,47.4,48.0,46.74,47.93,6329921
2010-02-08,46.89,49.3,46.87,47.39,2303266
2010-02-09,46.46,47.33,46.32,47.18,7402135
2010-02-10,45.92,46.48,45.785,46.48,4655286
2010-02-11,45.96,46.09,45.47,45.99,4352233
2010-02-12,45.57,45.83,45.29,45.61,3253969
2010-02-15,45.57,45.83,45.29,45.61,0
2010-02-16,46.38,46.39,45.82,45.82,2915539
2010-02-17,45.77,46.6,45.7,46.48,2862751
2010-02-18,45.74,45.9,45.57,45.85,2948976
2010-02-19,46.88,47.08,45.7,45.83,4188577
2010-02-22,46.82,47.24,46.75,47.16,3395248
2010-02-23,46.8,47.02,46.64,46.81,3712567
2010-02-24,47.06,47.29,46.8,47.04,5837029
2010-02-25,46.88,46.96,46.25,46.7,3018925
2010-02-26,46.37,47.07,46.37,46.99,3332466
2010-03-01,47.38,47.705,46.8,46.96,3510292
2010-03-02,47.19,48.0,47.18,47.44,3018270
2010-03-03,46.93,47.46,46.75,47.17,3047383
2010-03-04,47.25,47.33,46.78,46.94,2326554
2010-03-05,47.65,47.7,47.26,47.46,2341185
2010-03-08,47.75,47.85,47.55,47.75,1893323
2010-03-09,47.02,47.66,46.93,47.6,2996868
2010-03-10,46.97,47.19,46.74,46.98,1984051
2010-03-11,47.37,47.44,46.7,46.89,2991479
2010-03-12,47.07,47.6,46.95,47.58,2512955
2010-03-15,47.31,47.31,46.82,47.14,1521731
2010-03-16,47.85,47.92,47.1,47.34,1726445
2010-03-17,48.02,48.09,47.84,48.09,2367163
2010-03-18,47.97,48.18,47.79,48.07,2880238
2010-03-19,48.16,48.56,47.805,48.02,3277036
2010-03-22,47.84,48.17,47.65,48.09,2174997
2010-03-23,47.82,48.13,47.65,47.87,2260282
2010-03-24,47.27,47.89,47.1,47.79,2739235
2010-03-25,47.45,47.6,47.11,47.49,2693659
2010-03-26,47.81,47.92,47.41,47.61,2709990
2010-03-29,48.58,48.585,47.75,47.85,2789560
2010-03-30,47.66,48.72,47.53,48.72,4356003
2010-03-31,48.33,48.7,47.42,47.6,3788719
2010-04-01,48.84,48.94,48.5,48.55,2503304
2010-04-02,48.84,48.94,48.5,48.55,0
2010-04-05,48.97,49.01,48.58,48.9,2382907
2010-04-06,49.19,49.31,48.57,48.7,2108767
2010-04-07,49.1,49.21,48.595,49.19,2807125
2010-04-08,49.04,49.18,48.58,49.04,3409580
2010-04-09,49.71,49.72,48.66,49.1,3473287
2010-04-12,49.74,49.9,49.5,49.72,2605329
2010-04-13,49.49,49.61,48.95,49.61,3150831
2010-04-14,48.6,49.52,48.4,49.34,4300674
2010-04-15,48.83,48.9,48.44,48.63,2733033
2010-04-16,48.43,49.24,48.14,48.78,2662906
2010-04-19,48.41,48.61,48.27,48.32,1987608
2010-04-20,50.05,50.05,48.84,48.92,3994085
2010-04-21,50.37,50.5,49.9,50.0,3604387
2010-04-22,50.9,50.97,49.9,50.2,4389277
2010-04-23,51.3,51.32,50.47,50.84,2992093
2010-04-26,51.06,51.42,50.62,51.4,3046659
2010-04-27,50.02,51.22,49.99,50.79,3663734
2010-04-28,50.75,51.06,49.97,50.18,3588902
2010-04-29,50.69,51.1,50.5,50.88,1914100
2010-04-30,52.05,52.22,50.84,50.88,4741768
2010-05-03,52.66,53.09,51.894,52.28,4232734
2010-05-04,51.45,52.3,51.19,52.3,3895669
2010-05-05,50.94,51.99,50.7,50.96,4614523
2010-05-06,51.07,52.0,49.0,50.77,8468239
2010-05-07,51.22,51.97,50.26,51.0,5434704
2010-05-10,52.62,53.0,52.0401,52.07,3341444
2010-05-11,52.66,53.27,51.99,52.24,3050869
2010-05-12,52.87,52.9,52.19,52.75,2295084
2010-05-13,52.85,53.5,52.43,52.87,1794799
2010-05-14,52.71,53.43,52.41,52.76,2657261
2010-05-17,52.62,52.87,51.63,52.78,2331070
2010-05-18,52.33,53.1,52.272,52.59,2020474
2010-05-19,52.02,52.45,51.5,52.22,2005513
2010-05-20,50.15,51.42,50.15,51.42,3258986
2010-05-21,50.59,50.59,49.26,49.55,4122284
2010-05-24,50.3,51.158,50.13,50.49,2056041
2010-05-25,49.53,49.62,48.52,49.59,4649802
2010-05-26,48.45,49.7,48.45,49.42,5577208
2010-05-27,49.78,49.84,49.0,49.08,3752060
2010-05-28,49.93,50.48,49.71,49.72,2406365
2010-05-31,49.93,50.48,49.71,49.72,0
2010-06-01,48.94,50.01,48.91,49.46,2779237
2010-06-02,49.66,49.93,48.63,49.01,2427593
2010-06-03,50.19,50.32,49.67,50.04,1502476
