Date,Close,High,Low,Open,Volume
2010-01-01,7.87,8.0114,7.8643,7.9357,0
2010-01-04,7.64,7.9614,7.5657,7.93,17240076
2010-01-05,7.3586,7.6571,7.2586,7.6571,23753443
2010-01-06,7.6171,7.6729,7.1971,7.3614,23294558
2010-01-07,7.4857,7.7571,7.4629,7.7329,9955204
2010-01-08,7.6143,7.7429,7.4657,7.4786,8180697
2010-01-11,7.6043,7.7043,7.5286,7.65,6783308
2010-01-12,7.4814,7.5829,7.4514,7.5557,6329505
2010-01-13,7.7086,7.7543,7.5586,7.6029,14421554
2010-01-14,7.2843,7.5757,7.27,7.5129,17685654
2010-01-15,7.2786,7.4071,7.2329,7.2486,13030556
2010-01-18,7.2786,7.4071,7.2329,7.2486,0
2010-01-19,7.3143,7.3829,7.2429,7.25,5302122
2010-01-20,7.32,7.4929,7.2214,7.2643,9694580
2010-01-21,7.3129,7.4543,7.2143,7.2214,8642039
2010-01-22,7.27,7.4843,7.2143,7.2871,9395841
2010-01-25,7.0186,7.3569,6.9314,7.2857,13792142
2010-01-26,7.1357,7.1786,6.9371,6.9671,11344116
2010-01-27,7.2814,7.3114,6.9929,7.1486,23346981
2010-01-28,9.0057,9.1214,8.6757,8.8129,77389984
2010-01-29,8.8929,9.2243,8.7929,8.9629,24607324
2010-02-01,8.7186,8.9814,8.5329,8.8357,18920559
2010-02-02,8.8357,8.8786,8.6957,8.7029,10242092
2010-02-03,8.85,8.9829,8.7614,8.7857,8760556
2010-02-04,8.62,8.8928,8.59,8.7843,11026666
2010-02-05,8.6914,8.7157,8.4686,8.5957,11099284
2010-02-08,8.7,8.8157,8.5714,8.6943,9345896
2010-02-09,8.8757,8.88,8.71,8.7686,8814715
2010-02-10,8.7843,8.9186,8.72,8.8629,5807319
2010-02-11,9.0514,9.07,8.7286,8.7414,7204512
2010-02-12,9.0257,9.0262,8.8686,8.9929,8407763
2010-02-15,9.0257,9.0262,8.8686,8.9929,0
2010-02-16,9.2657,9.2871,9.0714,9.0886,9922374
2010-02-17,9.2157,9.2557,9.0614,9.2557,8190175
2010-02-18,9.4429,9.4671,9.1271,9.13,8813056
2010-02-19,9.5214,9.5814,9.3614,9.4071,8812328
2010-02-22,9.3243,9.6143,9.1157,9.5771,35298662
2010-02-23,9.1929,9.3214,9.1671,9.2657,13048882
2010-02-24,9.2414,9.34,9.1657,9.2029,12007100
2010-02-25,9.3729,9.3743,9.0143,9.1414,10717679
2010-02-26,9.4357,9.5471,9.3286,9.38,8621725
2010-03-01,9.9571,9.9643,9.4314,9.4314,12867561
2010-03-02,9.8543,10.0,9.8314,9.9986,11958877
2010-03-03,9.65,9.77,9.3743,9.4286,22049727
2010-03-04,9.7157,9.7957,9.5914,9.6,7062972
2010-03-05,9.6643,9.8136,9.5757,9.75,9117416
2010-03-08,9.8114,9.8229,9.6886,9.7114,6064772
2010-03-09,9.9914,10.1921,9.7357,9.75,14181307
2010-03-10,10.1829,10.2212,10.01,10.0386,7744289
2010-03-11,10.17,10.2271,10.0614,10.1571,8457281
2010-03-12,9.9971,10.0714,9.9029,10.0214,9372195
2010-03-15,9.9429,9.9971,9.88,9.9557,7013132
2010-03-16,10.09,10.1214,9.9357,9.9357,8503516
2010-03-17,10.1314,10.2486,10.0571,10.1286,4390981
2010-03-18,10.0771,10.1614,10.0629,10.1014,3592911
2010-03-19,10.0643,10.1286,10.01,10.0986,9858618
2010-03-22,10.4129,10.4286,10.0071,10.05,7219996
2010-03-23,10.4229,10.4986,10.29,10.4286,4978645
2010-03-24,10.3386,10.4529,10.3214,10.4186,3399340
2010-03-25,10.5057,10.7143,10.3657,10.3829,8349383
2010-03-26,10.6143,10.7014,10.4771,10.5043,5427310
2010-03-29,10.5571,10.7143,10.5214,10.7,5601925
2010-03-30,10.7229,10.8071,10.6329,10.7,7661913
2010-03-31,10.5343,10.7229,10.5314,10.6143,5714618
2010-04-01,10.7143,10.8143,10.5171,10.5171,13576906
2010-04-02,10.7143,10.8143,10.5171,10.5171,0
2010-04-05,11.4271,11.4371,10.7957,10.7971,16667469
2010-04-06,11.91,11.9957,11.4057,11.4886,27462113
2010-04-07,11.39,11.7671,11.3143,11.7171,25215358
2010-04-08,11.69,11.7143,11.3243,11.3243,13913613
2010-04-09,11.7743,11.7857,11.49,11.5843,11563706
