Date,Close,High,Low,Open,Volume
2010-01-01,48.23,49.68,48.2,49.46,0
2010-01-04,49.92,50.34,49.21,49.66,1164879
2010-01-05,50.65,51.27,49.39,50.2,1758301
2010-01-06,51.14,51.41,49.78,50.51,1109019
2010-01-07,50.38,51.02,49.85,50.87,1142763
2010-01-08,50.46,50.55,49.39,50.12,937215
2010-01-11,49.64,51.44,49.06,51.0,874629
2010-01-12,48.94,49.21,47.94,48.65,1627174
2010-01-13,50.62,50.74,49.06,49.06,1627361
2010-01-14,53.17,54.07,51.09,51.09,2802827
2010-01-15,52.94,53.34,52.15,53.02,1305412
2010-01-18,52.94,53.34,52.15,53.02,0
2010-01-19,53.34,53.42,52.58,52.89,1599882
2010-01-20,52.52,52.97,51.88,52.52,2267549
2010-01-21,52.33,53.45,51.75,53.14,1677940
2010-01-22,50.56,52.17,50.47,51.96,1390057
2010-01-25,51.49,51.845,50.68,51.23,1104514
2010-01-26,50.62,51.69,50.56,51.26,1185628
2010-01-27,49.2,51.17,48.2,50.31,1709368
2010-01-28,49.51,49.88,47.46,49.42,1857852
2010-01-29,48.94,51.66,48.65,49.86,3197779
2010-02-01,51.95,51.96,49.85,50.0,1682973
2010-02-02,53.27,53.3297,51.07,52.06,1655371
2010-02-03,51.94,53.08,51.81,52.8,1434286
2010-02-04,49.29,51.28,49.0,51.28,2006647
2010-02-05,49.8,49.98,48.03,49.22,2705172
2010-02-08,49.14,50.63,48.79,49.93,924844
2010-02-09,49.89,50.88,49.4508,50.0,1458789
2010-02-10,49.87,50.21,48.83,49.52,1412142
2010-02-11,51.1,51.29,49.48,49.73,994493
2010-02-12,52.02,52.02,49.93,50.24,1306973
2010-02-15,52.02,52.02,49.93,50.24,0
2010-02-16,52.69,53.14,52.28,52.87,2531674
2010-02-17,50.75,52.25,47.92,50.55,3789262
2010-02-18,50.68,51.41,50.01,50.75,1611638
2010-02-19,50.62,50.97,49.62,50.35,1760467
2010-02-22,49.34,51.17,48.81,51.03,1681811
2010-02-23,48.0,49.43,47.68,49.1,3129067
2010-02-24,49.18,49.56,48.03,48.03,2150319
2010-02-25,50.15,50.34,47.88,48.05,2639362
2010-02-26,51.07,51.14,49.56,50.07,1866837
2010-03-01,52.14,52.73,51.27,51.6,3300740
2010-03-02,52.93,53.23,52.06,52.08,2539338
2010-03-03,53.65,54.0,53.16,53.43,2070069
2010-03-04,52.4,54.26,52.25,53.55,2210163
2010-03-05,52.84,53.15,52.69,53.11,1088857
2010-03-08,52.66,53.33,52.495,53.01,1302175
2010-03-09,52.57,53.11,52.25,52.25,1398981
2010-03-10,54.31,54.32,52.28,52.35,2867896
2010-03-11,54.86,55.0,53.78,53.78,2165783
2010-03-12,54.81,55.2,54.35,55.0,1901797
2010-03-15,53.64,54.56,52.54,54.48,1343273
2010-03-16,54.25,54.3,53.4,54.09,1153757
2010-03-17,54.22,55.0,54.06,54.69,1305579
2010-03-18,51.34,54.72,51.03,54.33,3036960
2010-03-19,49.98,51.51,49.78,51.37,2523643
2010-03-22,49.53,49.73,48.75,49.16,1959916
2010-03-23,50.59,50.72,49.66,50.0,1902515
2010-03-24,49.87,50.74,49.53,50.02,2240930
2010-03-25,48.35,50.69,48.25,50.46,1586213
2010-03-26,47.59,48.65,47.21,48.65,2019527
2010-03-29,49.86,49.91,47.88,48.06,1745835
2010-03-30,50.63,51.04,49.76,50.06,2277673
2010-03-31,52.05,52.56,50.54,50.54,2974916
2010-04-01,54.33,54.86,52.52,52.84,2573510
2010-04-02,54.33,54.86,52.52,52.84,0
2010-04-05,55.49,55.55,54.59,54.67,1272216
2010-04-06,55.78,55.92,55.05,55.27,1170071
2010-04-07,55.57,55.96,54.81,55.55,1521631
2010-04-08,55.47,55.61,52.94,53.63,2178955
2010-04-09,55.21,57.0,55.0,56.11,2051275
2010-04-12,54.36,55.4,54.07,55.25,1713562
2010-04-13,53.8,54.65,53.12,54.2,1925320
2010-04-14,54.0,54.42,53.001,54.36,1261004
2010-04-15,53.73,54.25,53.67,53.8,1010879
2010-04-16,52.74,53.75,52.05,53.27,1353560
2010-04-19,52.61,52.73,51.3,52.27,1285339
2010-04-20,54.06,54.35,53.02,53.24,1107439
2010-04-21,53.66,54.42,53.36,54.25,1079696
2010-04-22,53.71,53.93,52.61,52.82,1301571
2010-04-23,56.74,56.89,53.98,54.74,2063845
2010-04-26,57.15,58.1,56.1,56.52,2053712
2010-04-27,55.69,57.74,55.43,56.46,3090244
2010-04-28,57.12,57.79,55.57,57.28,2212137
2010-04-29,58.02,59.5,57.01,57.59,2772260
2010-04-30,58.19,60.5,58.14,58.71,3873705
2010-05-03,59.26,59.805,57.78,58.46,1564160
2010-05-04,57.75,59.03,57.1,58.37,1577656
2010-05-05,54.66,56.65,54.24,55.59,3364663
2010-05-06,53.15,56.0,49.93,54.24,2714917
2010-05-07,51.08,53.46,50.2,53.04,3970866
2010-05-10,54.78,54.88,53.06,54.12,2281070
2010-05-11,54.34,55.63,53.83,54.13,1633455
2010-05-12,56.69,56.85,54.71,54.84,1611309
2010-05-13,56.34,57.26,55.74,56.11,1337102
2010-05-14,53.97,56.04,53.45,55.87,1763794
2010-05-17,52.51,54.46,51.37,54.05,1679073
2010-05-18,51.44,53.92,51.24,53.47,1877759
2010-05-19,50.07,51.43,48.87,51.05,2329663
2010-05-20,46.6,48.61,46.52,48.45,3360940
2010-05-21,48.1,48.43,44.81,45.3,2761445
2010-05-24,47.1,48.14,47.0,47.74,1750579
2010-05-25,47.74,47.84,45.19,45.55,1952235
2010-05-26,48.03,49.74,47.76,49.03,1964575
2010-05-27,51.0,51.04,49.37,50.09,2517550
2010-05-28,52.06,52.66,50.53,51.0,3455193
2010-05-31,52.06,52.66,50.53,51.0,0
2010-06-01,49.47,53.0,49.33,52.81,3178685
2010-06-02,51.39,51.4,49.2,50.09,3364842
2010-06-03,52.18,52.55,50.11,51.55,2137532
2010-06-04,49.91,53.06,49.6,51.12,2040085
2010-06-07,49.94,51.66,49.83,50.16,1592940
2010-06-08,51.65,51.84,49.63,50.23,1922937
2010-06-09,51.63,54.41,51.28,52.44,1735418
2010-06-10,53.8,54.0,52.355,53.16,1781953
2010-06-11,54.39,54.59,53.03,53.21,1714586
2010-06-14,54.23,55.5,53.97,55.05,1488394
2010-06-15,57.05,57.12,55.2,55.2,1993670
2010-06-16,56.75,57.1,55.85,56.29,1783481
2010-06-17,56.28,57.18,55.65,57.09,1640525
2010-06-18,55.51,56.42,55.3,56.21,1949402
2010-06-21,55.97,57.54,55.51,56.6,1523847
2010-06-22,53.51,55.87,53.4,55.6,1402245
2010-06-23,53.43,53.83,52.36,53.4,1189043
2010-06-24,52.1,53.37,51.81,53.0,1167912
2010-06-25,52.27,52.95,51.23,52.07,1717868
2010-06-28,51.76,52.49,51.3201,51.8,1087822
2010-06-29,49.16,50.77,48.76,50.68,1606824
2010-06-30,48.86,49.9,48.31,49.03,1705087
2010-07-01,47.79,49.42,46.18,49.0,2524103
2010-07-02,47.33,48.63,46.97,48.3,1112193
2010-07-05,47.33,48.63,46.97,48.3,0
2010-07-06,48.53,49.57,47.81,49.0,1786895
2010-07-07,51.06,51.13,48.65,48.79,2041896
2010-07-08,52.45,52.67,51.01,51.94,1566054
2010-07-09,52.03,52.5,50.39,52.35,3099754
2010-07-12,50.87,51.87,49.98,51.57,2016756
2010-07-13,51.46,51.89,50.78,51.89,1050471
2010-07-14,51.38,52.63,50.53,51.04,863903
2010-07-15,51.26,51.49,50.06,51.39,1127146
2010-07-16,49.56,50.67,49.09,50.59,1297570
2010-07-19,50.09,50.29,49.16,49.7,958200
2010-07-20,51.27,51.58,48.92,48.93,1279550
2010-07-21,50.11,51.69,49.61,51.63,927807
2010-07-22,52.21,52.46,50.94,50.94,2233750
2010-07-23,51.5,52.34,50.17,51.82,2193458
2010-07-26,52.64,52.75,51.34,51.39,908575
2010-07-27,53.36,53.8,52.16,53.02,2553963
2010-07-28,53.41,54.24,52.96,53.1,1611536
2010-07-29,53.2,54.68,52.44,53.92,1476721
2010-07-30,53.46,53.79,52.28,52.33,1377491
2010-08-02,54.99,55.24,54.05,54.85,1539416
2010-08-03,54.42,55.45,54.3,54.7,1557990
2010-08-04,54.83,55.4336,54.19,54.87,1142523
2010-08-05,54.81,55.36,54.27,54.33,891680
2010-08-06,54.22,54.83,53.01,54.06,1283044
2010-08-09,55.65,55.88,54.24,55.84,1625843
2010-08-10,55.34,55.58,54.45,54.72,1326817
2010-08-11,52.72,54.47,52.25,54.04,1676253
2010-08-12,51.35,52.14,51.0401,51.34,1958789
2010-08-13,50.6,52.26,50.56,51.1,1613546
2010-08-16,50.34,50.49,49.7,50.15,1925058
2010-08-17,52.37,52.94,50.93,51.18,1644759
2010-08-18,51.83,52.44,51.35,52.35,1141727
2010-08-19,50.92,51.7,50.51,51.43,1201160
2010-08-20,49.51,50.61,48.98,50.56,1837827
2010-08-23,49.42,50.13,49.34,49.78,1050158
2010-08-24,48.21,49.05,47.67,48.5,1592363
2010-08-25,46.98,47.82,46.15,47.73,2774490
2010-08-26,46.75,47.68,46.5,47.33,1080112
2010-08-27,47.79,47.96,46.11,47.3,695935
2010-08-30,48.45,49.6,47.61,47.66,1823103
2010-08-31,48.01,48.66,47.57,48.24,1419184
2010-09-01,49.24,49.76,48.78,49.13,1390152
2010-09-02,50.01,50.08,48.82,49.22,909616
2010-09-03,51.16,51.33,50.27,50.7,1060876
2010-09-06,51.16,51.33,50.27,50.7,0
2010-09-07,50.27,50.78,50.03,50.76,538178
2010-09-08,50.65,51.2,50.34,50.44,655429
2010-09-09,50.67,51.55,50.38,51.47,1850350
2010-09-10,51.27,51.76,50.66,50.87,1455190
2010-09-13,52.66,52.88,51.793,52.08,1587479
2010-09-14,52.9,53.48,52.21,52.67,1632831
2010-09-15,52.56,52.84,52.29,52.49,1373112
2010-09-16,53.31,53.39,52.29,52.57,1504314
2010-09-17,53.01,53.63,52.77,53.63,1160700
2010-09-20,53.98,54.07,52.7,53.12,1030200
2010-09-21,53.69,54.07,53.195,53.82,1106995
2010-09-22,53.17,54.44,53.05,53.57,666508
2010-09-23,53.49,53.77,52.48,52.53,1158129
