Date,Close,High,Low,Open,Volume
2010-01-01,6.0437,6.1773,6.0437,6.1773,0
2010-01-04,6.0948,6.1655,6.0634,6.1144,6905010
2010-01-05,6.0791,6.142,6.0201,6.1105,8783437
2010-01-06,6.0083,6.0987,5.971,6.083,7381953
2010-01-07,5.9337,6.0123,5.8983,5.9926,7406490
2010-01-08,5.9022,5.9455,5.8433,5.8944,15738020
2010-01-11,5.9769,5.9887,5.8747,5.9101,7951396
2010-01-12,5.9966,6.0594,5.9337,5.9612,6515413
2010-01-13,6.0909,6.0987,5.9828,6.0437,6572146
2010-01-14,6.0987,6.1184,6.0712,6.0948,3254948
2010-01-15,6.0083,6.083,5.9376,6.0634,5239642
2010-01-18,6.0083,6.083,5.9376,6.0634,0
2010-01-19,6.0987,6.0987,5.9808,6.0201,2949781
2010-01-20,6.0752,6.0752,6.0005,6.0634,3826643
2010-01-21,5.8433,6.0673,5.7922,6.0005,22675344
2010-01-22,5.7293,5.8944,5.7215,5.8394,11886486
2010-01-25,5.7647,5.8237,5.7018,5.7804,7603016
2010-01-26,5.8197,5.8472,5.7333,5.7686,6194326
2010-01-27,5.6783,5.7608,5.6193,5.7451,8990349
2010-01-28,5.6232,5.7215,5.5957,5.6901,9858604
2010-01-29,5.5997,5.6979,5.5997,5.6547,8842303
2010-02-01,5.8354,5.8905,5.5997,5.6272,14477263
2010-02-02,5.9612,5.9651,5.7804,5.8276,8762157
2010-02-03,5.9376,5.973,5.8905,5.8905,6163908
2010-02-04,5.7883,5.9022,5.7883,5.8944,6139392
2010-02-05,5.7686,5.8001,5.6704,5.7804,7215444
2010-02-08,5.7293,5.8001,5.7215,5.7529,5734846
2010-02-09,5.8197,5.8983,5.7608,5.7804,8916310
2010-02-10,5.7844,5.8394,5.7451,5.8315,6093819
2010-02-11,5.8119,5.8197,5.6979,5.7372,7383859
2010-02-12,5.7529,5.7725,5.6822,5.7686,9642905
2010-02-15,5.7529,5.7725,5.6822,5.7686,0
2010-02-16,5.8983,5.8983,5.7883,5.8197,7927014
2010-02-17,5.8826,5.9258,5.8747,5.9258,5236143
2010-02-18,5.8944,5.9455,5.859,5.8747,8356978
2010-02-19,5.9573,5.9769,5.8433,5.8747,6266377
2010-02-22,5.9769,6.0083,5.9533,6.0044,6528577
2010-02-23,5.9101,5.9887,5.8944,5.9651,6138804
2010-02-24,5.8983,5.9376,5.8237,5.9376,7451461
2010-02-25,5.8905,5.8983,5.7922,5.8158,4593096
2010-02-26,5.9022,5.9612,5.8708,5.914,23135764
2010-03-01,5.9612,5.9848,5.914,5.9533,5208259
2010-03-02,5.9494,6.0005,5.84,6.0005,6397057
2010-03-03,5.9533,5.9848,5.918,5.9769,4486075
2010-03-04,5.9494,5.9887,5.8944,5.9651,5036773
2010-03-05,6.0437,6.0437,5.9455,5.9769,3692049
2010-03-08,6.0673,6.0712,6.028,6.0476,2848157
2010-03-09,6.0634,6.0791,6.0201,6.0673,3165055
2010-03-10,6.1105,6.1105,6.0437,6.0673,4270073
2010-03-11,6.1184,6.1223,6.0437,6.0791,3670179
2010-03-12,6.0869,6.1577,6.0634,6.1223,3897386
2010-03-15,6.0948,6.0948,6.0398,6.0909,3362737
2010-03-16,6.1616,6.1616,6.0712,6.0909,4139612
2010-03-17,6.2205,6.2441,6.1537,6.1695,4089258
2010-03-18,6.193,6.2166,6.1537,6.2009,3589743
2010-03-19,6.1812,6.2402,6.1105,6.1891,6104052
2010-03-22,6.1695,6.1773,6.1184,6.1537,2976265
2010-03-23,6.2323,6.2441,6.142,6.1695,3827452
2010-03-24,6.1695,6.2284,6.1577,6.2166,3841749
2010-03-25,6.1341,6.2166,6.1341,6.2127,3191318
2010-03-26,6.2009,6.2559,6.1498,6.1577,14053965
2010-03-29,6.2756,6.2873,6.197,6.2009,3453108
2010-03-30,6.2834,6.2991,6.2598,6.2638,2773233
2010-03-31,6.2088,6.2913,6.2088,6.2716,4810190
2010-04-01,6.3502,6.3542,6.2323,6.2441,4903660
2010-04-02,6.3502,6.3542,6.2323,6.2441,0
2010-04-05,6.4013,6.417,6.3542,6.3542,4302728
2010-04-06,6.4642,6.476,6.362,6.3699,2948839
2010-04-07,6.417,6.5035,6.3542,6.4642,5087949
2010-04-08,6.3659,6.4013,6.3345,6.3974,3642766
2010-04-09,6.3856,6.3856,6.3345,6.3659,14331643
2010-04-12,6.3974,6.4327,6.3895,6.3974,2209918
2010-04-13,6.3817,6.4092,6.3345,6.3895,2213038
2010-04-14,6.4249,6.4327,6.362,6.3777,7103514
2010-04-15,6.417,6.4406,6.3817,6.3934,3487094
2010-04-16,6.4131,6.4681,6.3856,6.417,8565816
2010-04-19,6.4406,6.4485,6.3581,6.4131,9149576
2010-04-20,6.4681,6.5074,6.4367,6.4603,6557514
2010-04-21,6.4485,6.4995,6.4406,6.476,6985782
2010-04-22,6.4485,6.4642,6.3699,6.421,5082277
2010-04-23,6.5663,6.5663,6.4249,6.4445,5356086
2010-04-26,6.5231,6.6017,6.5192,6.5663,4751375
2010-04-27,6.3934,6.5212,6.3777,6.4838,6914978
2010-04-28,6.3542,6.3974,6.2834,6.3031,8102211
2010-04-29,6.421,6.4956,6.362,6.3934,8163207
2010-04-30,6.4052,6.5231,6.4052,6.4052,6975717
2010-05-03,6.5506,6.5703,6.4052,6.417,7317758
2010-05-04,6.5231,6.5742,6.4485,6.4838,8205394
2010-05-05,6.3659,6.5349,6.3306,6.4956,10841370
2010-05-06,6.1223,6.3502,5.6822,6.3345,14820874
2010-05-07,6.0359,6.197,5.9612,6.138,13993073
2010-05-10,6.2245,6.3345,6.1498,6.3345,10967976
2010-05-11,6.2441,6.3384,6.1341,6.1695,8673160
2010-05-12,6.3306,6.362,6.2088,6.2481,5675239
2010-05-13,6.2873,6.3738,6.2638,6.3149,4866178
2010-05-14,6.2088,6.2716,6.1577,6.2559,6359819
2010-05-17,6.2284,6.2765,6.1027,6.2481,5725865
2010-05-18,6.1498,6.3188,6.1184,6.2716,9040389
2010-05-19,6.0359,6.1537,5.9887,6.1184,11482447
2010-05-20,5.8158,5.9691,5.8079,5.9533,9548246
2010-05-21,5.8394,5.8394,5.7176,5.7215,7903671
2010-05-24,5.7922,5.9219,5.7569,5.8276,7597352
2010-05-25,5.6429,5.6743,5.5505,5.6665,15283917
2010-05-26,5.7176,5.8197,5.6311,5.7097,12670570
2010-05-27,5.863,5.8826,5.7765,5.8354,6610947
2010-05-28,5.8787,5.9455,5.863,5.8787,5730148
2010-05-31,5.8787,5.9455,5.863,5.8787,0
2010-06-01,5.7215,5.8905,5.7215,5.8315,7193651
2010-06-02,5.859,5.859,5.7293,5.7333,7589099
2010-06-03,5.8787,5.8983,5.8315,5.859,6072563
2010-06-04,5.639,5.8119,5.6193,5.7844,8759014
2010-06-07,5.6743,5.7647,5.6232,5.6272,9434377
2010-06-08,5.7608,5.7686,5.6272,5.6547,10569120
2010-06-09,5.6783,5.7961,5.6547,5.7883,8628647
2010-06-10,5.8787,5.8826,5.7411,5.7569,6433659
2010-06-11,5.918,5.918,5.7706,5.8237,6575971
2010-06-14,5.9062,5.9651,5.8983,5.9258,5596289
2010-06-15,6.028,6.028,5.9258,5.9494,5919725
2010-06-16,6.0359,6.0594,5.9651,5.973,4887481
2010-06-17,6.1066,6.1105,5.9966,6.0634,4816641
2010-06-18,6.1066,6.1223,6.0634,6.1223,3960802
2010-06-21,6.083,6.193,6.0555,6.1537,4634800
2010-06-22,5.9258,6.1184,5.9101,6.1066,6163152
2010-06-23,5.8787,5.9337,5.8512,5.9062,6035421
2010-06-24,5.8237,5.914,5.8158,5.859,5153842
2010-06-25,5.859,5.8669,5.749,5.8433,5690070
2010-06-28,5.8865,5.914,5.8079,5.8551,3413732
2010-06-29,5.7451,5.8315,5.7018,5.8276,8321602
2010-06-30,5.6979,5.8237,5.6783,5.749,7764517
