Date,Close,High,Low,Open,Volume
2011-01-26,25.0,25.78,24.3,24.75,53157427
2011-01-27,25.4,25.85,24.9,24.9,5809324
2011-01-28,25.0,25.4,25.0,25.4,2611898
2011-01-31,26.07,26.5,24.75,24.98,2505211
2011-02-01,25.75,26.63,25.5,26.45,2155209
2011-02-02,25.95,26.33,25.74,25.98,1173080
2011-02-03,25.95,26.08,25.75,25.76,668254
2011-02-04,26.08,27.1,25.75,26.05,720171
2011-02-07,25.79,26.2,25.64,26.05,1204798
2011-02-08,26.03,26.06,25.65,25.7,3631928
2011-02-09,25.58,26.2,25.53,25.97,873112
2011-02-10,25.4,25.64,25.0,25.5,1149511
2011-02-11,25.22,26.02,25.11,26.02,2107853
2011-02-14,25.37,25.47,25.11,25.47,1122490
2011-02-15,25.38,25.42,25.06,25.32,887491
2011-02-16,26.0,26.0,25.31,25.31,853316
2011-02-17,27.01,27.21,25.88,25.88,1733035
2011-02-18,27.69,27.84,26.88,27.08,2991074
2011-02-21,27.69,27.84,26.88,27.08,0
2011-02-22,26.42,27.49,26.21,27.15,1109310
2011-02-23,26.66,26.72,25.97,26.15,1125323
2011-02-24,25.95,26.52,25.94,26.46,496901
2011-02-25,25.99,26.16,25.78,26.04,556020
2011-02-28,26.59,26.74,25.96,26.11,872315
2011-03-01,27.13,27.5,25.9201,26.0,1033470
2011-03-02,26.92,27.25,26.74,27.05,419643
2011-03-03,26.74,26.94,26.07,26.84,2173582
2011-03-04,26.55,27.04,26.32,26.52,719079
2011-03-07,27.0,27.84,26.85,27.27,1476515
2011-03-08,27.1,27.49,26.9,27.0,921279
2011-03-09,26.97,27.18,26.68,27.0,470780
2011-03-10,26.02,26.94,25.87,26.47,1128266
2011-03-11,26.0,26.48,25.81,25.81,706848
2011-03-14,26.46,26.76,25.77,25.79,786570
2011-03-15,26.34,26.58,25.81,25.9,859551
2011-03-16,26.03,26.38,25.71,26.32,1261035
2011-03-17,26.09,26.49,26.04,26.43,363563
2011-03-18,26.64,26.66,26.2,26.2,663809
2011-03-21,27.0,27.06,26.44,26.65,377505
2011-03-22,27.15,27.47,26.82,26.91,720548
2011-03-23,26.78,27.38,26.63,27.01,811977
2011-03-24,27.06,27.14,26.43,26.85,225155
2011-03-25,27.62,28.15,27.21,27.21,475112
2011-03-28,27.49,28.02,27.34,27.58,605216
2011-03-29,27.94,27.94,27.31,27.52,410800
2011-03-30,27.82,28.15,27.62,28.01,911933
2011-03-31,27.31,27.95,27.15,27.84,5847396
2011-04-01,27.29,27.66,27.01,27.4,609793
2011-04-04,27.75,28.0,27.28,27.28,945486
2011-04-05,27.41,27.64,27.17,27.64,273377
2011-04-06,27.5,27.53,27.06,27.49,653838
2011-04-07,27.48,27.61,26.94,27.39,242400
2011-04-08,27.03,27.77,26.91,27.77,446005
2011-04-11,27.65,27.97,26.88,27.0,483623
2011-04-12,28.08,28.26,27.32,27.48,1260285
2011-04-13,28.07,28.42,27.93,28.18,1031563
2011-04-14,27.66,28.05,27.4805,27.97,161663
2011-04-15,28.02,28.03,27.54,27.63,246769
2011-04-18,27.3,27.88,27.22,27.7,311465
2011-04-19,27.6,28.19,27.27,27.3,371104
2011-04-20,27.28,28.0,27.14,27.92,1493472
2011-04-21,28.75,29.23,27.48,27.48,1009424
2011-04-22,28.75,29.23,27.48,27.48,0
2011-04-25,28.6,29.06,27.81,28.87,1074140
2011-04-26,28.47,28.74,28.09,28.6,491122
2011-04-27,28.72,29.11,28.52,28.57,848455
2011-04-28,29.32,31.5,28.65,28.77,2091129
2011-04-29,29.89,30.1,29.2709,29.38,1065551
2011-05-02,29.83,30.15,29.74,29.89,437743
2011-05-03,29.35,29.95,29.26,29.85,470631
2011-05-04,28.85,29.58,28.58,29.5,598990
2011-05-05,29.77,29.83,28.75,28.77,415510
2011-05-06,29.83,30.13,29.6,29.94,198457
2011-05-09,30.29,30.78,29.78,29.9,742140
2011-05-10,30.22,30.85,30.09,30.43,328480
2011-05-11,30.19,30.5,30.04,30.41,701908
2011-05-12,30.27,30.52,29.35,30.08,657188
2011-05-13,30.6,30.72,29.905,30.37,383609
2011-05-16,30.9,31.47,30.2,30.49,694375
2011-05-17,32.06,32.62,30.89,30.89,1766229
2011-05-18,32.03,32.33,30.73,31.13,1327343
2011-05-19,31.7,32.15,31.35,31.9,643998
2011-05-20,31.94,32.07,31.5,31.73,599317
2011-05-23,31.45,32.025,31.21,31.69,732878
2011-05-24,30.61,31.75,30.13,31.74,1721396
2011-05-25,30.74,31.86,30.33,30.61,1114318
2011-05-26,31.02,31.2,30.54,30.77,669025
2011-05-27,31.36,31.83,31.09,31.31,1110116
2011-05-30,31.36,31.83,31.09,31.31,0
2011-05-31,31.49,33.0,31.25,31.78,4235962
2011-06-01,30.83,31.685,30.7,31.59,618092
2011-06-02,32.0,32.11,30.85,30.9,597530
2011-06-03,31.62,31.96,31.14,31.65,360371
2011-06-06,31.15,31.79,31.07,31.64,281149
2011-06-07,31.77,32.0599,31.15,31.18,782971
2011-06-08,31.44,31.85,31.38,31.64,397145
2011-06-09,31.49,31.55,31.13,31.55,153172
2011-06-10,30.56,31.43,30.29,31.43,280867
2011-06-13,30.64,31.27,30.48,30.54,508896
2011-06-14,30.61,31.2,30.57,30.82,242153
2011-06-15,29.74,31.16,29.72,30.36,848105
2011-06-16,29.13,29.9,28.59,29.71,1063265
2011-06-17,30.28,31.17,29.27,29.27,1302419
2011-06-20,29.54,30.25,29.385,30.16,515381
2011-06-21,30.55,30.74,29.32,29.5,290951
2011-06-22,30.01,30.5,29.94,30.38,345874
2011-06-23,30.75,30.93,29.53,29.78,927863
2011-06-24,29.97,30.78,29.66,30.67,1285592
2011-06-27,29.4,30.15,29.34,29.92,285785
2011-06-28,29.93,30.08,29.13,29.7,435357
2011-06-29,30.5,30.72,29.73,29.97,629496
2011-06-30,31.16,31.68,30.43,30.63,779482
2011-07-01,30.84,31.29,30.17,31.11,627971
2011-07-04,30.84,31.29,30.17,31.11,0
2011-07-05,30.9,30.95,30.2,30.74,190355
2011-07-06,30.69,31.2,30.41,30.91,307185
2011-07-07,31.36,31.8,30.7206,30.84,210316
2011-07-08,30.62,31.01,30.31,30.93,150140
2011-07-11,30.08,30.51,30.0,30.32,106430
2011-07-12,30.05,30.36,29.75,29.84,289659
2011-07-13,30.1,31.12,29.97,30.31,197729
2011-07-14,30.3,30.44,29.61,30.1,504414
2011-07-15,31.04,31.48,30.68,30.68,516933
2011-07-18,30.53,31.12,30.14,30.99,347401
2011-07-19,30.84,31.34,30.63,30.63,286977
2011-07-20,30.22,31.0,30.1,30.81,441789
2011-07-21,30.51,30.74,30.33,30.5,1397647
2011-07-22,30.94,31.35,30.46,30.62,754067
2011-07-25,30.38,31.09,30.24,30.58,719386
2011-07-26,30.29,30.57,30.16,30.4,432518
2011-07-27,30.39,30.65,29.89,30.06,1087854
2011-07-28,30.39,31.83,30.32,30.76,824328
2011-07-29,29.96,30.14,29.68,30.03,1749928
2011-08-01,29.89,30.48,29.7008,30.22,502700
2011-08-02,29.0,30.0,28.94,29.67,436354
2011-08-03,29.11,29.15,28.41,28.92,607954
2011-08-04,28.12,28.99,28.11,28.66,909037
2011-08-05,27.65,28.53,26.74,28.33,1560536
2011-08-08,26.12,27.44,26.06,26.75,1136219
2011-08-09,27.05,27.06,25.79,26.36,1107152
2011-08-10,26.47,27.41,26.37,26.59,1437777
2011-08-11,27.43,27.64,26.42,26.7,944823
2011-08-12,27.05,27.79,26.96,27.49,289520
2011-08-15,27.88,28.01,27.11,27.18,808511
2011-08-16,27.87,28.2,27.55,27.71,517480
2011-08-17,28.51,28.785,27.92,27.92,547393
2011-08-18,27.41,28.08,26.73,28.08,1152094
2011-08-19,26.56,27.57,26.51,26.96,1435187
2011-08-22,27.68,27.85,26.8,26.92,1520877
2011-08-23,27.44,27.87,26.71,27.84,847476
2011-08-24,27.75,28.23,27.17,27.18,856953
2011-08-25,27.52,27.85,27.23,27.76,670050
2011-08-26,28.29,28.85,27.05,27.4,772356
2011-08-29,29.55,29.68,28.23,28.57,462685
2011-08-30,29.43,29.68,28.92,29.37,465239
2011-08-31,29.66,29.87,29.34,29.52,583742
2011-09-01,29.39,29.89,29.34,29.63,294615
2011-09-02,29.51,29.55,28.89,29.04,531944
2011-09-05,29.51,29.55,28.89,29.04,0
2011-09-06,28.83,29.13,28.37,28.76,575424
2011-09-07,29.07,29.5,28.83,29.16,849794
2011-09-08,29.13,29.28,28.84,28.84,401049
2011-09-09,28.33,29.15,27.87,28.97,450725
2011-09-12,27.8,28.27,27.48,28.01,323224
2011-09-13,27.61,27.88,27.44,27.88,566123
2011-09-14,27.06,27.76,27.03,27.76,889634
2011-09-15,27.72,27.88,27.12,27.39,641056
2011-09-16,28.28,28.34,27.6182,27.88,359103
2011-09-19,28.26,28.59,27.55,27.98,605568
2011-09-20,27.67,28.34,27.48,28.28,1251857
2011-09-21,28.59,28.72,27.5012,27.67,1313997
2011-09-22,26.12,27.88,25.7,27.86,1613707
2011-09-23,26.62,26.69,24.67,25.25,1210801
2011-09-26,26.76,26.975,25.825,26.47,1186215
2011-09-27,27.4,27.81,26.91,27.05,1738537
2011-09-28,27.35,28.31,27.26,27.5,1368439
2011-09-29,26.75,28.01,26.32,27.73,923831
2011-09-30,26.08,26.89,25.9516,26.43,539600
2011-10-03,25.05,26.53,24.99,25.97,745189
2011-10-04,25.12,25.51,24.38,24.86,660152
2011-10-05,26.53,26.93,26.05,26.21,1000280
2011-10-06,27.38,27.7,26.26,26.6,1575362
2011-10-07,27.29,27.74,27.04,27.72,333782
2011-10-10,27.5,27.78,27.03,27.62,704039
2011-10-11,27.08,27.48,26.9,27.35,651921
2011-10-12,27.7,27.84,27.13,27.29,616117
2011-10-13,27.95,28.08,27.45,27.56,593945
2011-10-14,28.22,28.44,27.9,28.3,497622
2011-10-17,28.04,28.22,27.63,28.02,278451
2011-10-18,28.3,28.69,27.15,27.91,467112
2011-10-19,28.18,28.47,27.86,28.11,768991
2011-10-20,28.81,28.82,27.39,28.08,518811
2011-10-21,28.98,29.25,28.83,28.93,699584
2011-10-24,28.78,29.12,28.68,28.99,276494
2011-10-25,28.18,28.92,28.06,28.68,619734
2011-10-26,27.39,28.56,27.25,28.38,447736
2011-10-27,29.88,30.34,28.0,28.78,1039804
2011-10-28,29.45,30.26,28.97,29.07,2016922
2011-10-31,29.35,29.74,28.46,29.11,1023299
2011-11-01,28.74,28.9,28.37,28.61,458959
2011-11-02,28.7,29.15,28.41,28.79,331154
2011-11-03,28.93,29.03,28.51,28.83,146630
2011-11-04,29.47,29.5,28.55,28.69,385713
2011-11-07,30.05,30.46,29.3217,29.42,416344
2011-11-08,30.25,30.44,29.8,30.19,546613
2011-11-09,29.48,30.0,29.39,29.73,454070
2011-11-10,30.01,30.02,29.611,29.76,460199
2011-11-11,30.31,30.37,29.92,30.17,245628
2011-11-14,30.93,30.96,29.8548,30.15,543096
2011-11-15,30.99,31.45,30.46,30.92,935040
2011-11-16,30.09,30.7,29.9,30.7,511632
2011-11-17,28.88,30.11,28.81,30.07,384564
2011-11-18,28.56,29.0,28.55,28.94,269804
2011-11-21,28.68,28.94,28.14,28.26,503038
2011-11-22,29.22,29.55,28.54,28.69,375355
2011-11-23,28.46,29.08,28.24,29.08,228420
2011-11-24,28.46,28.46,28.46,28.46,0
2011-11-25,28.51,28.76,28.055,28.39,139310
2011-11-28,29.02,29.32,28.9,29.1,395797
2011-11-29,28.65,29.1699,28.27,29.06,445745
2011-11-30,29.05,29.45,28.69,29.45,1303912
2011-12-01,29.37,29.65,28.91,28.91,364522
2011-12-02,29.86,29.98,29.2,29.53,466531
2011-12-05,29.7,30.45,29.56,30.05,430439
2011-12-06,28.88,29.7973,28.82,29.7,494566
2011-12-07,28.85,28.95,28.35,28.71,397881
2011-12-08,28.1,28.94,27.96,28.66,288219
2011-12-09,28.71,28.79,27.74,28.15,996253
2011-12-12,28.72,28.84,28.12,28.39,237561
2011-12-13,28.5,29.03,28.38,28.84,455613
2011-12-14,27.89,28.46,27.6577,28.22,569594
2011-12-15,27.86,28.07,27.47,28.05,1484688
2011-12-16,27.8,28.39,27.551,27.9,2231503
2011-12-19,28.35,28.71,27.09,27.98,799054
2011-12-20,29.47,29.485,28.56,28.73,669787
2011-12-21,29.78,29.97,29.2,29.35,667867
2011-12-22,29.82,29.94,29.04,29.75,536256
2011-12-23,29.87,30.11,29.51,29.81,250834
2011-12-26,29.87,29.87,29.87,29.87,0
2011-12-27,29.74,29.8,29.07,29.69,260002
2011-12-28,29.54,29.87,29.38,29.7,282723
2011-12-29,29.65,30.06,29.4,29.52,393306
2011-12-30,29.69,29.99,29.58,29.7,262061
2012-01-02,29.69,29.69,29.69,29.69,0
2012-01-03,29.93,30.5,29.66,29.99,824411
2012-01-04,29.29,29.63,28.58,28.76,500540
2012-01-05,29.35,29.4895,28.75,28.75,361411
2012-01-06,29.32,29.6,28.96,29.26,404771
2012-01-09,29.24,29.44,28.95,29.4,285714
2012-01-10,29.6,30.04,29.48,29.8,518839
2012-01-11,29.58,29.74,29.44,29.44,355320
2012-01-12,29.26,29.75,29.22,29.6,372392
2012-01-13,28.5,29.17,28.4,29.11,723471
2012-01-16,28.5,28.5,28.5,28.5,0
2012-01-17,29.33,29.8,28.67,28.75,771702
2012-01-18,29.36,29.47,29.18,29.33,239099
2012-01-19,28.7,29.65,28.66,29.35,402060
2012-01-20,28.09,28.66,27.74,28.52,452337
2012-01-23,28.98,29.04,28.12,28.14,327736
2012-01-24,28.67,28.97,28.4,28.86,303257
2012-01-25,28.62,28.86,28.42,28.7,304390
2012-01-26,29.06,29.4797,28.62,28.66,498195
2012-01-27,29.18,29.41,28.84,28.89,548283
2012-01-30,29.01,29.18,28.85,28.94,492915
2012-01-31,28.98,29.35,28.71,29.11,588650
2012-02-01,28.98,29.37,28.88,29.0,1959685
2012-02-02,28.74,29.35,28.58,29.17,587587
2012-02-03,30.22,30.2698,29.0,29.0,733356
2012-02-06,28.85,29.95,28.0,29.24,1428132
2012-02-07,28.09,28.73,27.95,28.55,1260046
2012-02-08,28.48,28.67,28.18,28.2,1490486
2012-02-09,28.39,28.66,28.12,28.6,475645
2012-02-10,28.47,28.62,28.05,28.26,902780
2012-02-13,27.44,28.6797,27.33,28.52,1931482
2012-02-14,27.31,27.57,26.57,27.15,3717972
2012-02-15,27.82,28.3699,27.48,27.5,1412318
2012-02-16,28.44,28.49,27.52,27.96,785392
2012-02-17,28.28,28.52,28.16,28.45,365085
2012-02-20,28.28,28.28,28.28,28.28,0
2012-02-21,28.02,28.55,27.95,28.3,620093
2012-02-22,27.83,28.28,27.41,28.04,1081300
2012-02-23,27.94,28.0,27.65,27.78,523279
2012-02-24,27.9,27.92,27.09,27.86,671283
2012-02-27,28.81,28.91,27.62,27.68,1555550
2012-02-28,29.28,29.42,28.56,28.88,1103261
2012-02-29,29.49,29.57,29.1,29.39,1229616
2012-03-01,29.54,29.56,29.41,29.53,816339
2012-03-02,29.5,29.58,29.17,29.45,812043
2012-03-05,29.52,29.67,29.33,29.5,891788
2012-03-06,29.19,29.42,28.86,29.25,529741
2012-03-07,29.19,29.57,29.06,29.17,734715
2012-03-08,29.65,29.75,29.33,29.5,821461
2012-03-09,29.49,29.75,29.45,29.73,294763
2012-03-12,29.53,29.6,29.33,29.49,320067
2012-03-13,29.78,29.82,29.48,29.56,620212
2012-03-14,29.81,29.99,29.54,29.82,777094
2012-03-15,30.15,30.2,29.71,29.77,700408
2012-03-16,30.4,30.45,30.05,30.14,367134
2012-03-19,30.27,30.5,29.14,29.25,1462268
2012-03-20,30.63,31.1,29.95,30.07,1933436
2012-03-21,30.5,30.82,30.06,30.55,23928992
2012-03-22,30.1,30.5,30.09,30.36,1730996
2012-03-23,30.43,30.45,29.7,30.06,2164533
2012-03-26,30.42,30.6199,30.29,30.51,798494
2012-03-27,30.3,30.51,29.785,30.32,3004282
2012-03-28,29.82,30.29,29.51,30.2,2386666
2012-03-29,29.55,29.75,29.27,29.65,1556114
2012-03-30,30.14,30.22,29.59,29.75,2243909
2012-04-02,30.17,30.25,29.96,30.07,1089883
2012-04-03,30.29,30.29,29.89,30.06,1731785
2012-04-04,30.0,30.12,29.565,30.1,1421428
