Date,Close,High,Low,Open,Volume
2010-01-01,39.7346,40.5907,39.7346,40.5547,0
2010-01-04,41.537,41.582,40.4646,40.4736,5388833
2010-01-05,42.258,42.5914,41.537,41.7172,4683116
2010-01-06,42.8618,42.988,41.555,42.2039,5216490
2010-01-07,42.4472,42.8077,42.0867,42.6275,4113930
2010-01-08,42.4562,43.1592,41.9966,42.1138,6859719
2010-01-11,42.0417,42.988,41.6271,42.8978,5483173
2010-01-12,41.7803,41.9966,41.0053,41.6271,5618368
2010-01-13,41.7713,42.2039,41.0053,41.9065,5632368
2010-01-14,42.3211,42.5644,41.6001,41.6902,4254532
2010-01-15,41.6722,42.5734,41.2576,42.312,4962853
2010-01-18,41.6722,42.5734,41.2576,42.312,0
2010-01-19,42.4292,42.5103,41.4559,41.546,4371038
2010-01-20,41.3928,41.8074,40.9692,41.8074,4887760
2010-01-21,40.0049,41.8434,39.8067,41.4739,6849866
2010-01-22,38.3287,39.8788,38.2115,39.7796,7324047
2010-01-25,38.8424,39.284,38.3197,38.6531,5422025
2010-01-26,38.4548,39.3831,37.9412,38.4188,5055522
2010-01-27,38.6802,38.7793,37.5446,38.2926,6438762
2010-01-28,37.3914,39.1938,37.1841,39.0406,8977286
2010-01-29,36.8597,39.1488,36.6885,37.9231,10611739
2010-02-01,37.9321,37.9682,37.058,37.3013,6470784
2010-02-02,38.4368,38.6411,37.851,38.3287,5517965
2010-02-03,39.6264,40.4736,38.8425,39.2029,9900960
2010-02-04,38.3377,39.9959,38.2836,39.7256,8712622
2010-02-05,38.1214,38.9956,36.9678,38.3467,8608865
2010-02-08,37.4275,38.4179,37.4004,38.1124,6769940
2010-02-09,38.4639,39.275,38.0133,38.0763,8491544
2010-02-10,38.3467,38.7613,37.4545,38.4458,6107020
2010-02-11,39.1217,39.1578,37.9862,38.4188,6485112
2010-02-12,39.0767,39.1217,38.0854,38.2656,6452529
2010-02-15,39.0767,39.1217,38.0854,38.2656,0
2010-02-16,39.7165,39.8878,39.3561,39.7075,5785563
2010-02-17,39.9509,40.1942,39.6535,39.8878,5668860
2010-02-18,40.3023,40.4195,39.5769,39.9509,4901309
2010-02-19,40.6538,40.6899,39.7436,40.086,6516979
2010-02-22,40.014,41.4108,39.6805,41.0413,6538695
2010-02-23,38.8694,40.023,38.6892,39.7346,6010213
2010-02-24,39.1938,39.4732,38.8153,38.8874,5678376
2010-02-25,38.9055,38.9776,37.806,38.0854,6544963
2010-02-26,39.1758,39.2479,38.6261,39.1848,4312321
2010-03-01,39.3471,39.5273,39.0587,39.311,4751701
2010-03-02,39.6805,40.2032,39.4011,39.5543,5289971
2010-03-03,39.9599,40.2843,39.7977,40.059,4919607
2010-03-04,38.8874,40.1762,38.7252,39.9599,6203491
2010-03-05,39.3471,39.4912,38.8243,39.4282,7046080
2010-03-08,39.32,39.6445,38.9145,39.6264,3824029
2010-03-09,39.1488,39.4687,38.7522,39.1127,3781237
2010-03-10,39.3921,39.6895,38.7072,38.9866,3706735
2010-03-11,39.5543,39.6445,38.9776,39.0857,3100648
2010-03-12,39.5994,40.0049,39.4642,39.9238,2630666
2010-03-15,38.9866,39.6174,38.6261,39.4642,3002535
2010-03-16,39.7436,39.7886,38.9145,39.2389,3340016
2010-03-17,40.2483,40.7349,39.8427,39.9689,4323683
2010-03-18,39.4011,40.5231,39.1263,40.3294,4244243
2010-03-19,38.2656,39.4462,37.8871,39.4462,7389526
2010-03-22,38.1394,38.4909,37.4905,37.7609,4793124
2010-03-23,38.2836,38.6982,37.9952,38.2386,5051103
2010-03-24,38.0763,38.5179,37.8781,38.0223,4633083
2010-03-25,36.8597,38.545,36.7516,38.4819,5854678
2010-03-26,35.9765,37.1301,35.5079,36.8417,9845475
2010-03-29,36.5893,36.8146,36.2108,36.2919,6039935
2010-03-30,36.4632,36.7335,36.2739,36.5082,5951116
2010-03-31,36.5713,36.9318,36.4091,36.7425,7164138
2010-04-01,37.5086,37.5536,36.7425,36.9949,6338352
2010-04-02,37.5086,37.5536,36.7425,36.9949,0
2010-04-05,38.4008,38.6982,37.5176,37.806,4931399
2010-04-06,38.9505,38.9866,38.1304,38.3287,5184683
2010-04-07,38.6982,38.9505,38.2746,38.9145,8032945
2010-04-08,38.2386,38.2566,37.5446,38.1484,6490969
2010-04-09,38.6892,38.6982,38.0223,38.4729,4114855
2010-04-12,38.6531,39.1668,38.536,38.7613,4177787
2010-04-13,37.7519,38.4819,37.3464,38.4819,7059438
2010-04-14,38.0763,38.6441,37.6347,38.0944,7907959
2010-04-15,38.6441,38.7252,37.8781,38.0763,6630513
2010-04-16,38.2836,39.0226,37.797,38.3828,9715052
2010-04-19,38.3377,38.4098,37.7159,38.0493,5783275
2010-04-20,39.6895,40.1311,38.5269,38.6351,5589834
2010-04-21,40.059,40.5006,39.6715,39.7436,6869387
2010-04-22,40.1942,40.2933,39.1533,39.4462,4864965
2010-04-23,41.6902,41.8164,40.3834,40.5547,8116587
2010-04-26,41.8614,42.1318,41.4018,41.7803,8149668
2010-04-27,39.0947,42.24,38.9866,42.1318,13177711
2010-04-28,39.9419,40.014,39.0226,39.6445,8783725
2010-04-29,40.3384,40.771,39.5363,40.3834,8371506
2010-04-30,39.6805,40.6358,38.8694,40.5727,11216080
2010-05-03,40.1131,40.5367,39.2119,39.4101,7471632
2010-05-04,39.1758,39.7256,38.7162,39.4282,6705046
2010-05-05,38.59,39.7436,38.2025,38.59,7528401
2010-05-06,36.9678,39.1127,33.8316,38.4368,10225449
2010-05-07,35.2465,36.9408,34.9491,36.6975,11177976
2010-05-10,37.2652,37.5897,36.6885,37.2292,10039562
2010-05-11,36.5533,37.6257,36.4542,37.2382,10913286
2010-05-12,37.0309,37.1571,36.346,36.7245,4981781
2010-05-13,36.6254,37.3373,36.2108,36.8417,6032515
2010-05-14,35.9675,36.2559,35.2465,36.2288,7482202
2010-05-17,35.2916,36.4902,34.5436,36.346,6434477
2010-05-18,34.8049,36.4812,34.5976,35.8774,5930333
2010-05-19,33.8496,34.7058,33.2305,34.4715,7909550
2010-05-20,31.894,32.9394,31.7678,32.5249,10434499
2010-05-21,33.2458,33.5072,31.2271,31.2361,9427844
2010-05-24,32.5068,33.3269,32.5068,33.0746,9000460
2010-05-25,33.1827,33.2729,31.1009,31.2632,9142973
2010-05-26,34.2912,34.9852,33.2008,33.7595,11122965
2010-05-27,36.1117,36.346,35.1384,35.5169,9884832
2010-05-28,34.3633,35.9585,33.9668,35.8233,10644177
2010-05-31,34.3633,35.9585,33.9668,35.8233,0
2010-06-01,30.5512,33.5342,30.5242,33.0746,19012438
2010-06-02,31.867,31.9301,30.1907,30.4701,12109079
2010-06-03,32.1463,32.3987,31.3011,32.1373,8445793
2010-06-04,31.2361,32.66,31.0378,31.1009,6859741
2010-06-07,31.5425,32.5699,31.4794,31.7768,8673434
2010-06-08,31.903,32.0112,30.9207,31.4885,8355107
2010-06-09,31.6777,33.5522,31.4434,32.3086,10213989
2010-06-10,33.7235,33.7956,32.5339,32.5339,5960592
2010-06-11,33.8226,33.9848,32.8493,33.1647,5137794
2010-06-14,33.2098,34.5796,33.0904,34.2552,7327876
2010-06-15,34.9491,34.9762,33.372,33.4171,4804649
2010-06-16,34.4625,35.0663,34.1921,34.4174,5820486
2010-06-17,33.9398,34.6427,33.5072,34.3904,6133449
2010-06-18,34.3363,34.3814,33.4441,33.9758,6410741
2010-06-21,33.6514,34.9762,33.363,34.7599,7385819
2010-06-22,32.3176,33.5703,32.0968,33.3089,10257132
2010-06-23,32.2184,32.4077,31.4975,32.1914,8251790
2010-06-24,31.885,32.624,31.7859,31.9841,9325997
2010-06-25,31.8129,32.4798,31.5425,32.0292,10375390
2010-06-28,31.2632,32.1103,31.2541,32.1103,7159982
2010-06-29,29.7581,30.8035,29.5125,30.7675,9320826
2010-06-30,29.8032,30.3079,29.5238,29.9113,10570380
2010-07-01,29.9564,30.2538,29.0011,29.659,8658304
2010-07-02,30.0555,30.6323,29.677,30.0645,4301491
2010-07-05,30.0555,30.6323,29.677,30.0645,0
2010-07-06,30.416,31.0739,29.9744,30.4971,5867727
2010-07-07,31.6867,31.6957,30.425,30.4971,6567078
2010-07-08,32.1103,32.2545,31.4299,32.0292,5017037
2010-07-09,32.0021,32.4077,31.7859,32.1193,5000712
2010-07-12,32.0562,32.3176,31.5335,31.8489,4570242
2010-07-13,32.3626,32.9124,32.2365,32.5429,4235033
