Date,Close,High,Low,Open,Volume
2010-01-01,23.61,24.0,23.61,23.9,0
2010-01-04,23.87,24.13,23.7,23.78,1683651
2010-01-05,24.24,24.28,23.81,23.96,3473387
2010-01-06,24.77,24.79,24.11,24.25,2719244
2010-01-07,24.91,25.24,24.73,24.79,3200744
2010-01-08,24.5,25.01,24.48,24.81,1694514
2010-01-11,24.73,25.0,24.69,24.69,2128690
2010-01-12,24.04,24.6,24.0,24.6,3446041
2010-01-13,24.3,24.35,24.085,24.13,2704059
2010-01-14,24.05,24.34,24.0,24.25,2016550
2010-01-15,24.4,25.13,24.31,24.62,4573815
2010-01-18,24.4,25.13,24.31,24.62,0
2010-01-19,25.15,25.15,24.3,24.3,3141553
2010-01-20,24.67,25.05,24.5,25.04,3769992
2010-01-21,24.0,24.84,23.99,24.63,4075964
2010-01-22,24.73,25.542,24.59,25.15,16160257
2010-01-25,24.94,25.09,24.8,24.91,5075581
2010-01-26,24.92,25.04,24.73,24.93,3794783
2010-01-27,24.99,25.7,24.64,25.22,11804977
2010-01-28,24.72,25.25,24.51,25.11,52009659
2010-01-29,24.11,24.69,24.05,24.54,8071313
2010-02-01,23.9,24.23,23.56,24.15,6517537
2010-02-02,23.56,23.89,23.39,23.89,6373044
2010-02-03,23.11,23.55,23.05,23.42,3993596
2010-02-04,22.1,23.0,22.045,23.0,5579145
2010-02-05,21.71,22.13,21.38,22.09,5825506
2010-02-08,21.59,22.01,21.56,21.82,3785223
2010-02-09,21.89,22.27,21.74,21.86,4363016
2010-02-10,21.66,21.91,21.34,21.9,3560521
2010-02-11,22.22,22.28,21.68,21.95,4536197
2010-02-12,22.06,22.07,21.65,22.05,4044101
2010-02-15,22.06,22.07,21.65,22.05,0
2010-02-16,22.49,22.49,22.1,22.15,2689817
2010-02-17,22.59,22.76,22.41,22.59,3466452
2010-02-18,22.57,22.65,22.28,22.39,4348321
2010-02-19,23.2,23.45,22.44,22.44,5192214
2010-02-22,23.07,23.52,23.05,23.42,3991949
2010-02-23,22.26,22.88,22.2,22.5,5158712
2010-02-24,21.86,22.5,21.57,22.37,5536325
2010-02-25,22.07,22.13,21.36,21.36,5194872
2010-02-26,21.84,22.24,21.6,22.07,5076361
2010-03-01,22.58,22.66,21.88,21.92,4454242
2010-03-02,22.67,22.965,22.64,22.78,5342343
2010-03-03,22.5,22.98,22.48,22.75,4167007
2010-03-04,22.3,22.43,22.0,22.19,5632645
2010-03-05,22.82,23.02,22.34,22.39,4665697
2010-03-08,22.9,23.03,22.7,22.81,1857444
2010-03-09,22.75,22.98,22.72,22.83,2425958
2010-03-10,22.64,22.83,22.56,22.7,2847673
2010-03-11,22.94,22.94,22.52,22.56,2832711
2010-03-12,22.19,22.88,22.07,22.72,5232041
2010-03-15,22.27,22.35,22.02,22.22,2323453
2010-03-16,22.5,22.52,22.125,22.3,2155655
2010-03-17,22.47,22.64,22.38,22.5,2610374
2010-03-18,22.02,22.6,21.96,22.42,5028062
2010-03-19,22.06,22.35,21.8,22.1,5125847
2010-03-22,21.62,22.03,21.59,22.0,3602469
2010-03-23,21.58,21.72,21.505,21.61,5735234
2010-03-24,21.17,21.57,21.03,21.32,5763485
2010-03-25,20.32,21.05,20.28,21.03,5807545
2010-03-26,20.25,20.58,20.2,20.39,4812141
2010-03-29,20.6,20.63,20.3,20.3,4323080
2010-03-30,21.09,21.17,20.58,20.68,4447120
2010-03-31,20.9,21.12,20.85,20.9,3365645
2010-04-01,21.46,21.6,21.06,21.1,3671485
2010-04-02,21.46,21.6,21.06,21.1,0
2010-04-05,21.65,21.81,21.46,21.49,4275936
2010-04-06,21.64,21.74,21.4,21.53,3130539
2010-04-07,21.45,21.62,21.39,21.47,4467906
2010-04-08,21.66,21.76,21.17,21.32,3457550
2010-04-09,21.8,21.84,21.29,21.48,3709844
2010-04-12,22.41,22.63,21.95,21.95,4389860
2010-04-13,22.55,22.61,22.02,22.49,3205523
2010-04-14,22.49,22.54,22.3,22.46,2744126
2010-04-15,22.7,22.76,22.26,22.52,2654253
2010-04-16,21.85,22.69,21.83,22.65,4905249
2010-04-19,22.06,22.11,21.74,21.84,3068711
2010-04-20,22.52,22.57,22.05,22.11,3791191
2010-04-21,22.34,22.55,22.19,22.46,3873435
2010-04-22,22.41,22.45,21.93,22.17,3013581
2010-04-23,22.77,22.83,22.22,22.48,2549668
2010-04-26,23.32,23.44,22.87,22.9,3626469
2010-04-27,23.58,23.93,23.05,23.23,5623730
2010-04-28,23.56,23.67,23.25,23.66,3160626
2010-04-29,23.79,23.94,23.545,23.7,2839529
2010-04-30,24.17,24.74,23.8,23.9,4368510
2010-05-03,25.17,25.19,24.08,24.26,4493775
2010-05-04,24.27,25.0,24.12,24.81,4763987
2010-05-05,23.69,24.165,23.4,24.14,3849487
