Date,Close,High,Low,Open,Volume
2010-01-01,34.36,34.99,34.34,34.7,0
2010-01-04,34.19,34.8699,34.0,34.64,5320088
2010-01-05,33.59,34.35,33.38,34.09,7933856
2010-01-06,33.35,33.99,33.1,33.56,5193893
2010-01-07,33.27,33.53,32.99,33.24,5373017
2010-01-08,33.54,33.585,32.78,33.08,4718348
2010-01-11,32.94,33.75,32.73,33.52,5529027
2010-01-12,32.45,33.02,32.05,32.81,7329590
2010-01-13,33.73,33.87,32.7,32.74,6934470
2010-01-14,33.65,34.25,33.6,33.82,5474484
2010-01-15,33.15,34.0,32.99,33.86,5337779
2010-01-18,33.15,34.0,32.99,33.86,0
2010-01-19,33.3,33.84,33.16,33.3,5129365
2010-01-20,32.5,33.07,31.8,33.07,5545817
2010-01-21,31.78,33.04,31.62,32.65,9320419
2010-01-22,30.78,32.11,30.76,31.56,9246452
2010-01-25,30.93,31.42,30.58,31.0,5594809
2010-01-26,30.91,31.535,30.53,30.83,5227396
2010-01-27,30.93,31.21,30.31,30.7,5722509
2010-01-28,29.82,30.92,29.48,30.71,9192946
2010-01-29,29.13,30.28,28.92,29.95,8728503
2010-02-01,30.11,30.16,29.1025,29.25,5679321
2010-02-02,30.97,31.13,30.0,30.07,8362925
2010-02-03,31.02,31.16,30.66,30.765,5400432
2010-02-04,29.89,30.95,29.84,30.66,8937424
2010-02-05,30.38,30.47,29.47,30.01,9856339
2010-02-08,30.52,31.07,30.2,30.43,5737980
2010-02-09,31.01,31.18,30.41,30.92,6610829
2010-02-10,30.76,31.1,30.53,30.83,4356553
2010-02-11,31.54,31.63,30.5,30.84,5711196
2010-02-12,31.46,31.61,30.79,31.19,4397367
2010-02-15,31.46,31.61,30.79,31.19,0
2010-02-16,32.3,32.32,31.74,31.74,7300656
2010-02-17,32.08,32.31,31.6999,32.3,11614730
2010-02-18,31.68,31.7,30.26,31.6,19886427
2010-02-19,31.29,31.86,31.0,31.47,10254137
2010-02-22,30.64,31.51,30.535,31.51,6246079
2010-02-23,29.9,30.55,29.62,30.42,7964570
2010-02-24,29.83,30.35,29.57,30.06,9370726
2010-02-25,30.01,30.16,29.2,29.35,7590829
2010-02-26,30.01,30.29,29.8,29.99,6076208
2010-03-01,31.46,31.52,30.12,30.2,9051341
2010-03-02,31.09,31.69,30.79,31.44,7709137
2010-03-03,31.24,32.01,30.985,31.29,7451836
2010-03-04,31.36,31.42,31.03,31.26,5097983
2010-03-05,32.05,32.23,31.47,31.47,6557681
2010-03-08,32.51,32.89,32.34,32.34,5319316
2010-03-09,32.55,32.86,32.21,32.25,4808228
2010-03-10,33.18,33.31,32.42,32.44,7204322
2010-03-11,33.32,33.34,32.88,33.15,5345759
2010-03-12,32.91,33.69,32.75,33.4,4583821
2010-03-15,32.82,33.3,32.55,32.84,3756066
2010-03-16,33.1925,33.23,32.65,32.99,4010325
2010-03-17,33.04,33.4,32.75,33.09,5094872
2010-03-18,33.3,33.37,32.83,32.97,3209617
2010-03-19,32.46,33.58,32.16,33.58,8743712
2010-03-22,32.94,33.17,32.2,32.2,3625202
2010-03-23,32.74,32.98,32.43,32.96,5347666
2010-03-24,33.17,33.28,32.45,32.5,4908222
2010-03-25,32.62,33.51,32.61,33.5,6013779
2010-03-26,32.73,33.11,32.48,32.75,5679780
2010-03-29,32.54,33.19,32.42,32.94,3204536
2010-03-30,32.57,32.72,32.05,32.51,3747095
2010-03-31,32.54,32.843,32.25,32.58,3524440
2010-04-01,34.26,34.67,33.22,33.23,12611618
2010-04-02,34.26,34.67,33.22,33.23,0
2010-04-05,34.77,34.91,34.19,34.29,5016145
2010-04-06,34.83,34.88,34.31,34.44,4068648
2010-04-07,35.12,35.59,34.65,34.65,8154790
2010-04-08,34.84,35.0,34.085,34.9,5252568
2010-04-09,35.53,35.53,34.87,34.9,6107499
2010-04-12,34.94,35.37,34.71,35.17,5137511
2010-04-13,34.69,35.03,34.55,34.77,3709964
2010-04-14,35.86,35.97,34.88,34.96,5129621
2010-04-15,35.67,36.0,35.63,35.93,4956765
2010-04-16,35.15,36.09,35.01,35.63,7605225
2010-04-19,34.79,35.39,34.2,34.96,4666528
2010-04-20,34.67,34.84,34.34,34.8,5718416
2010-04-21,35.19,35.31,34.51,34.7,5389061
2010-04-22,35.35,35.5,34.47,34.82,3592429
2010-04-23,36.17,36.28,35.15,35.22,5350356
2010-04-26,35.89,36.49,35.79,36.21,3894873
2010-04-27,34.85,35.9,34.59,35.6,5337830
2010-04-28,35.53,35.56,34.82,35.07,5745021
2010-04-29,35.84,36.25,35.29,35.33,6314004
2010-04-30,34.67,36.0,34.6401,36.0,4173873
2010-05-03,34.88,35.13,34.7,34.75,4605679
2010-05-04,34.02,34.49,33.25,34.38,5445223
2010-05-05,34.07,34.19,33.47,33.88,4770713
2010-05-06,33.01,34.3001,30.0,33.82,7345380
2010-05-07,31.47,32.95,30.85,32.75,11932735
2010-05-10,33.93,34.0,32.73,32.94,9181344
2010-05-11,33.46,34.08,33.31,33.65,5858556
2010-05-12,34.05,34.1,33.15,33.45,4380151
2010-05-13,33.7,34.35,33.49,33.99,3302124
2010-05-14,33.75,33.94,32.52,33.46,8527262
2010-05-17,33.96,34.25,33.27,33.84,6192381
2010-05-18,33.54,34.59,33.2975,34.31,4543354
2010-05-19,33.55,34.01,33.13,33.33,4495635
2010-05-20,32.56,33.25,32.01,32.94,7142329
2010-05-21,32.83,32.97,31.795,31.81,9349523
2010-05-24,32.4,33.0,31.66,32.61,4436977
2010-05-25,33.09,33.17,31.07,31.7,8365258
2010-05-26,32.43,34.06,32.28,33.26,10610340
2010-05-27,38.17,38.65,35.18,35.43,27569248
2010-05-28,37.68,38.55,37.21,37.61,12367918
2010-05-31,37.68,38.55,37.21,37.61,0
2010-06-01,37.62,38.618,37.0,37.0,13584412
2010-06-02,38.95,38.98,37.355,37.58,8257374
2010-06-03,38.88,39.41,38.32,39.0,10890523
2010-06-04,37.88,39.4,37.63,38.12,12272295
2010-06-07,37.03,38.92,36.93,38.25,10634043
2010-06-08,37.39,37.54,36.33,37.0,11203609
2010-06-09,37.51,38.96,37.39,37.64,8172050
2010-06-10,38.49,38.73,37.77,38.08,6615707
2010-06-11,39.99,40.09,37.91,37.91,12592644
2010-06-14,39.92,40.83,39.63,40.38,7654051
2010-06-15,41.38,41.45,39.95,40.02,9689754
2010-06-16,41.0,41.38,40.74,40.85,9675659
2010-06-17,41.78,41.79,40.748,41.07,7893364
2010-06-18,41.22,41.84,41.2174,41.69,10262142
2010-06-21,40.53,41.87,40.22,41.57,7709722
2010-06-22,39.77,40.9,39.63,40.66,5098900
2010-06-23,40.1,40.41,39.4,39.77,5249610
2010-06-24,39.62,40.34,39.35,39.89,6383195
2010-06-25,39.76,40.0799,38.87,39.73,7545678
2010-06-28,39.79,40.43,39.35,39.81,3808401
2010-06-29,37.99,39.24,37.67,39.2,6109212
2010-06-30,37.31,38.26,37.261,37.85,4388889
2010-07-01,38.11,38.285,36.8,37.6,8398121
2010-07-02,37.13,38.15,36.68,38.15,5209819
2010-07-05,37.13,38.15,36.68,38.15,0
2010-07-06,37.12,37.85,36.66,37.64,5282483
2010-07-07,39.6,39.66,37.06,37.3,8004697
2010-07-08,38.89,39.99,38.28,39.99,7493798
2010-07-09,38.76,38.98,38.2,38.98,4688913
2010-07-12,38.96,39.48,38.25,38.81,4990528
2010-07-13,39.56,39.8,38.84,39.29,4909101
2010-07-14,40.32,40.95,39.59,39.68,5623124
2010-07-15,40.73,40.85,40.17,40.34,7184058
2010-07-16,40.5,40.9,40.13,40.88,8291257
