Date,Close,High,Low,Open,Volume
2010-01-01,52.4,52.89,52.4,52.81,0
2010-01-04,52.53,52.75,52.09,52.59,1967149
2010-01-05,52.46,52.74,52.0,52.39,2126062
2010-01-06,51.7,52.6,51.63,52.31,2242228
2010-01-07,52.19,52.34,51.4,51.5,2001027
2010-01-08,52.42,52.56,51.7,51.79,1367709
2010-01-11,51.04,52.08,50.41,51.7,2925272
2010-01-12,50.95,51.7,50.58,50.77,2018882
2010-01-13,51.55,51.76,50.73,51.23,1517271
2010-01-14,51.3,51.66,51.0,51.09,2012595
2010-01-15,51.55,51.76,50.81,51.22,2051947
2010-01-18,51.55,51.76,50.81,51.22,0
2010-01-19,52.43,52.65,51.53,51.58,1897149
2010-01-20,55.44,56.11,53.59,54.02,4863295
2010-01-21,53.51,55.08,53.44,54.48,3039685
2010-01-22,52.07,54.07,51.73,53.52,3157419
2010-01-25,51.99,52.76,51.59,52.45,1214117
2010-01-26,50.93,52.16,50.93,51.7,1298636
2010-01-27,52.49,52.63,50.79,50.98,1890122
2010-01-28,51.59,52.92,51.17,52.64,1615845
2010-01-29,50.52,51.95,50.51,51.95,1933560
2010-02-01,52.17,52.69,51.55,51.61,1764789
2010-02-02,52.12,52.48,51.83,52.1,1211942
2010-02-03,51.61,52.07,51.42,51.76,1114884
2010-02-04,49.89,51.45,49.88,51.39,2133618
2010-02-05,50.54,50.56,48.89,49.84,2548428
2010-02-08,49.99,51.46,49.92,50.78,1780845
2010-02-09,50.08,50.92,49.6,50.48,1869046
2010-02-10,50.56,50.87,49.96,50.04,1777529
2010-02-11,50.34,50.59,49.91,50.42,1227554
2010-02-12,50.01,50.28,49.55,50.24,1789024
2010-02-15,50.01,50.28,49.55,50.24,0
2010-02-16,50.99,50.99,50.05,50.22,1325648
2010-02-17,51.84,51.99,50.75,51.32,2045871
2010-02-18,52.47,52.6,51.63,51.78,1499132
2010-02-19,54.6,54.88,52.4,52.5,4349412
2010-02-22,54.65,55.01,53.905,54.6,2457855
2010-02-23,53.46,54.76,53.21,54.64,1483540
2010-02-24,53.56,54.1,53.3,53.81,1580020
2010-02-25,53.11,53.14,52.32,52.85,1831759
2010-02-26,53.29,53.51,52.7,53.36,1241626
2010-03-01,53.44,53.54,52.94,53.32,1096471
2010-03-02,53.41,53.72,53.18,53.49,1273368
2010-03-03,53.46,53.8,53.28,53.28,923195
2010-03-04,53.76,53.84,53.36,53.55,928659
2010-03-05,54.89,54.9,53.7685,54.11,1412136
2010-03-08,54.9,55.0,54.37,54.47,1489124
2010-03-09,54.8,55.15,54.21,54.62,1225446
2010-03-10,54.03,54.99,53.7,54.74,2509539
2010-03-11,54.05,54.215,53.42,53.85,1776850
2010-03-12,53.97,54.55,53.89,54.3,1788686
2010-03-15,54.26,54.39,53.79,54.12,1936255
2010-03-16,54.81,54.86,54.17,54.25,1513313
2010-03-17,55.8,56.0,54.93,55.1,1584483
2010-03-18,55.62,55.97,55.26,55.89,1250512
2010-03-19,55.45,56.01,54.48,55.8,1919668
2010-03-22,55.63,55.87,55.1,55.3,1147429
2010-03-23,55.79,55.93,55.28,55.61,944070
2010-03-24,55.16,55.68,55.05,55.43,954242
2010-03-25,55.98,56.5,55.22,55.4,1799681
2010-03-26,55.35,55.99,55.16,55.82,1613007
2010-03-29,55.19,55.68,54.87,55.66,1641025
2010-03-30,54.65,55.19,54.45,55.11,1402709
2010-03-31,55.26,55.48,54.3,54.38,1870731
2010-04-01,56.64,56.75,55.25,55.53,1937236
2010-04-02,56.64,56.75,55.25,55.53,0
2010-04-05,57.17,57.18,56.34,56.74,1515291
2010-04-06,57.45,57.47,56.62,56.83,1758995
2010-04-07,56.91,57.44,56.78,57.22,1562971
2010-04-08,57.82,58.01,56.63,57.0,2067041
2010-04-09,58.01,58.55,57.66,57.76,2082065
2010-04-12,58.77,58.84,58.12,58.24,1439283
2010-04-13,59.02,59.16,58.4943,58.82,1854300
2010-04-14,58.96,59.36,57.94,59.12,3053317
2010-04-15,58.65,58.97,58.409,58.67,2093114
2010-04-16,57.39,58.87,56.76,58.67,3128328
2010-04-19,58.37,58.37,57.29,57.49,1673285
2010-04-20,55.37,56.01,54.75,55.2,7548957
2010-04-21,54.73,55.59,54.46,55.23,3544205
2010-04-22,55.63,55.73,53.875,54.63,3197504
2010-04-23,56.31,56.39,55.12,55.47,2231768
2010-04-26,55.31,56.35,55.3,56.34,1864294
2010-04-27,54.34,55.63,54.26,55.08,2372674
2010-04-28,54.37,55.04,54.01,54.66,1508857
2010-04-29,55.65,55.86,54.5,54.53,2226553
2010-04-30,54.98,56.13,54.83,55.5,2209067
2010-05-03,54.9,55.25,54.53,54.59,1619382
2010-05-04,53.92,54.78,53.61,54.5,1832586
2010-05-05,53.93,54.74,53.27,53.28,1581763
2010-05-06,51.67,54.16,49.93,53.87,2883186
2010-05-07,51.8,53.1,51.01,51.46,4539465
2010-05-10,55.11,55.5,53.35,53.59,2564751
2010-05-11,54.45,55.08,54.155,54.57,2038752
2010-05-12,55.34,55.435,54.16,54.71,2054690
2010-05-13,54.28,55.42,54.24,55.08,1431816
2010-05-14,53.18,54.16,52.91,54.01,2539000
2010-05-17,53.82,53.94,52.82,53.09,1575552
2010-05-18,52.79,54.33,52.5,54.14,1840976
2010-05-19,52.35,53.42,51.84,52.71,1582166
2010-05-20,50.1,51.61,50.09,51.28,1735219
2010-05-21,51.88,52.05,49.25,49.26,2700988
2010-05-24,50.65,52.24,50.64,52.19,1764539
2010-05-25,50.78,50.93,49.5,49.62,2604807
2010-05-26,50.48,51.9,50.26,51.12,1597111
2010-05-27,51.97,52.2,51.19,51.25,2115292
2010-05-28,50.81,52.27,50.6,52.2,2229822
2010-05-31,50.81,52.27,50.6,52.2,0
2010-06-01,49.82,50.81,49.53,50.39,1842814
2010-06-02,51.11,51.14,49.83,50.19,1302834
2010-06-03,50.93,51.42,50.49,51.01,1247720
2010-06-04,49.015,50.15,48.92,49.78,2227939
2010-06-07,48.5,49.76,48.5,49.2,1457964
2010-06-08,49.06,49.16,47.735,48.3,1492271
2010-06-09,48.75,49.8,48.61,49.2,1611235
2010-06-10,49.5,49.61,48.97,49.61,1990877
2010-06-11,49.93,50.0,48.79,49.09,1583339
2010-06-14,49.34,50.34,49.28,50.04,1643630
2010-06-15,50.76,50.81,49.4,49.79,1312539
2010-06-16,51.32,51.52,50.41,50.59,1526182
2010-06-17,50.9,51.4,50.49,51.19,1842424
