Date,Close,High,Low,Open,Volume
2010-01-01,46.65,47.42,46.65,47.42,0
2010-01-04,47.79,48.28,47.32,47.38,4923967
2010-01-05,48.12,48.26,47.39,47.77,3610125
2010-01-06,49.57,50.1,48.05,48.05,6650858
2010-01-07,49.23,49.29,48.11,49.29,4738091
2010-01-08,49.93,50.44,48.83,49.13,6612237
2010-01-11,49.64,50.72,48.96,50.68,4523104
2010-01-12,48.41,48.94,47.86,48.8,5210773
2010-01-13,48.43,48.88,47.39,48.41,3397494
2010-01-14,47.91,48.54,47.38,48.39,4454008
2010-01-15,47.43,48.08,47.01,47.94,3922347
2010-01-18,47.43,48.08,47.01,47.94,0
2010-01-19,48.11,48.25,47.12,47.45,3438363
2010-01-20,47.11,47.69,46.95,47.58,5049497
2010-01-21,45.69,47.25,45.6,47.11,5713146
2010-01-22,44.19,45.49,43.52,44.43,7093699
2010-01-25,44.13,45.35,43.99,44.93,5991704
2010-01-26,43.56,44.61,42.75,42.93,7586174
2010-01-27,42.59,44.06,41.65,43.39,7339916
2010-01-28,41.4,43.315,41.1,43.31,6790319
2010-01-29,40.8,42.2891,40.57,42.04,6653668
2010-02-01,41.97,42.17,41.07,41.3,4805303
2010-02-02,42.92,43.04,41.71,42.34,5357828
2010-02-03,41.94,43.18,41.8,42.42,5049759
2010-02-04,39.5,41.3,39.5,40.67,9181854
2010-02-05,40.46,40.54,38.93,39.97,8421528
2010-02-08,39.57,40.85,39.56,40.62,4748392
2010-02-09,40.46,40.98,39.88,40.42,5044310
2010-02-10,39.92,40.23,39.24,40.1,6147732
2010-02-11,41.15,41.17,39.9,40.08,5956972
2010-02-12,41.13,41.45,40.0,40.34,5982350
2010-02-15,41.13,41.45,40.0,40.34,0
2010-02-16,42.69,42.77,41.73,42.03,7459586
2010-02-17,42.44,42.98,42.2,42.96,4983225
2010-02-18,43.62,43.78,42.28,42.51,6233028
2010-02-19,44.35,45.04,43.2,43.37,7040421
2010-02-22,43.66,44.49,43.53,44.49,5399118
2010-02-23,42.0,43.7,41.69,43.35,6989009
2010-02-24,42.09,42.91,41.68,42.23,5767390
2010-02-25,41.88,41.97,40.5,40.93,5943463
2010-02-26,41.4,42.07,40.87,41.88,6457770
2010-03-01,42.37,42.61,41.49,41.55,5729553
2010-03-02,42.91,43.29,42.5,42.75,5721310
2010-03-03,43.16,43.98,43.1305,43.27,4400793
2010-03-04,43.51,43.68,42.91,43.27,4517129
2010-03-05,44.56,44.72,43.95,44.03,4964082
2010-03-08,44.84,45.26,44.2857,44.96,5329141
2010-03-09,44.93,45.32,44.31,44.5,4952349
2010-03-10,45.03,45.49,44.552,45.0,4868762
2010-03-11,45.01,45.03,44.17,44.43,4524184
2010-03-12,45.28,45.46,44.76,45.14,6052328
2010-03-15,45.12,45.2,44.63,44.98,5031334
2010-03-16,46.07,46.2,45.05,45.85,6992436
2010-03-17,45.11,46.22,44.87,45.93,7721408
2010-03-18,44.74,45.49,44.32,45.06,4504091
2010-03-19,44.39,45.01,43.97,44.83,6378398
2010-03-22,44.66,44.71,43.54,43.74,3256969
2010-03-23,46.33,46.39,44.71,44.8,5863817
2010-03-24,45.82,46.11,45.63,45.93,4313606
2010-03-25,44.88,46.43,44.76,46.39,5180634
2010-03-26,45.67,46.0,45.09,45.2,4033972
2010-03-29,46.04,46.38,45.7,45.73,3411635
2010-03-30,45.56,46.46,45.19,46.27,2833358
2010-03-31,45.38,45.83,45.24,45.34,3034596
2010-04-01,45.95,46.22,45.572,45.9,2970927
2010-04-02,45.95,46.22,45.572,45.9,0
2010-04-05,47.53,47.85,46.08,46.27,5907463
2010-04-06,47.64,48.05,47.12,47.4,4088955
2010-04-07,47.61,48.06,47.24,47.34,6488668
2010-04-08,47.49,47.59,46.96,47.18,4715687
2010-04-09,47.4,47.81,46.96,47.79,4397683
2010-04-12,47.15,47.73,46.96,47.45,3257960
2010-04-13,47.0,47.44,46.4175,47.15,4522899
2010-04-14,47.67,47.77,47.17,47.6,5042264
2010-04-15,46.65,47.6,46.53,47.3,6027660
2010-04-16,45.64,46.61,45.15,46.35,6422700
2010-04-19,45.53,45.6,44.76,45.29,5727486
2010-04-20,45.26,46.25,44.73,46.0,6513842
2010-04-21,45.11,45.56,44.55,45.27,5333491
2010-04-22,45.27,45.44,43.67,44.65,6567310
2010-04-23,46.06,46.24,45.01,45.5,5577150
2010-04-26,45.76,46.8,45.7,46.46,4308241
2010-04-27,44.62,46.02,44.49,45.5,7393060
2010-04-28,45.01,45.13,44.3,44.96,4821187
2010-04-29,45.66,45.93,45.11,45.45,4460130
2010-04-30,45.32,46.17,45.28,45.87,6380634
2010-05-03,45.93,46.155,44.88,45.55,4699255
2010-05-04,45.16,45.6,44.664,45.07,5437529
2010-05-05,45.77,47.01,44.09,44.26,7855464
2010-05-06,44.7,46.69,42.64,45.6,7931293
2010-05-07,44.9,45.77,43.04,44.16,8373097
2010-05-10,46.57,46.77,45.9,46.5,5379525
2010-05-11,45.99,46.74,45.63,45.79,3924067
2010-05-12,46.77,46.87,45.95,46.36,3947835
2010-05-13,46.33,47.48,46.19,47.0,4871902
2010-05-14,45.89,46.08,44.98,45.75,5772097
2010-05-17,45.53,46.04,44.56,45.89,6164146
