Date,Close,High,Low,Open,Volume
2010-01-01,18.68,18.95,18.66,18.79,0
2010-01-04,18.49,18.62,18.11,18.51,20008817
2010-01-05,18.76,18.96,18.42,18.5,18217439
2010-01-06,18.88,18.92,18.57,18.68,16229167
2010-01-07,18.51,18.86,18.37,18.78,13694746
2010-01-08,18.55,18.6821,18.25,18.43,11954399
2010-01-11,18.29,18.73,18.03,18.62,13916384
2010-01-12,17.67,18.09,17.29,18.05,15687221
2010-01-13,17.91,17.97,17.1,17.8,12723628
2010-01-14,17.63,17.82,17.33,17.67,15220082
2010-01-15,17.11,17.65,16.88,17.64,20456223
2010-01-18,17.11,17.65,16.88,17.64,0
2010-01-19,17.43,17.54,16.93,16.98,13633346
2010-01-20,17.355,17.43,16.98,17.12,17993451
2010-01-21,17.05,17.66,16.89,17.41,15215785
2010-01-22,16.46,17.16,16.36,16.85,26699570
2010-01-25,16.74,17.06,16.61,16.75,16091839
2010-01-26,16.21,16.77,16.2,16.6,17867321
2010-01-27,16.65,16.71,16.02,16.2,20313265
2010-01-28,16.09,16.84,15.86,16.82,17195437
2010-01-29,15.39,16.45,15.15,16.27,19367693
2010-02-01,16.57,16.6,15.32,15.42,23745743
2010-02-02,16.74,16.95,16.46,16.51,21245301
2010-02-03,16.88,16.95,16.51,16.6,14057468
2010-02-04,15.9,16.73,15.72,16.62,19586931
2010-02-05,16.22,16.26,15.6,15.95,15121322
2010-02-08,16.19,16.58,15.873,16.25,11129111
2010-02-09,16.06,16.53,15.9,16.43,23253996
2010-02-10,16.37,16.52,16.05,16.14,13395610
2010-02-11,17.12,17.3,16.51,16.61,17400052
2010-02-12,17.35,17.7,16.805,17.1,19505375
2010-02-15,17.35,17.7,16.805,17.1,0
2010-02-16,17.67,17.74,17.37,17.61,11429588
2010-02-17,17.84,17.9,17.325,17.9,21913909
2010-02-18,16.67,16.95,16.21,16.85,37893998
2010-02-19,16.58,16.78,16.5,16.6,12765612
2010-02-22,16.61,16.9,16.5,16.64,11453055
2010-02-23,16.21,16.73,16.04,16.65,12244399
2010-02-24,16.55,16.71,16.3,16.35,11147859
2010-02-25,16.4,16.44,15.76,16.2,14424221
2010-02-26,16.2,16.44,16.1,16.36,9835398
2010-03-01,16.85,16.93,16.08,16.14,13896707
2010-03-02,16.84,17.21,16.72,16.96,13467030
2010-03-03,16.63,17.03,16.49,16.94,9982441
2010-03-04,16.66,16.83,16.45,16.7,13936496
2010-03-05,17.17,17.29,16.54,16.63,15822490
2010-03-08,16.92,17.23,16.85,17.2,10983776
2010-03-09,17.55,17.72,17.08,17.1,20773945
2010-03-10,17.59,17.78,17.49,17.5,10464262
2010-03-11,17.19,17.51,17.12,17.45,13516425
2010-03-12,17.25,17.43,17.16,17.36,13008742
2010-03-15,17.16,17.4,17.0,17.2,8972798
2010-03-16,17.755,17.86,17.14,17.15,16625049
2010-03-17,18.1,18.34,17.86,17.86,16279945
2010-03-18,17.46,18.13,17.3,18.04,18525579
2010-03-19,17.25,17.77,17.03,17.69,14531751
2010-03-22,17.53,17.6,17.03,17.16,10885414
2010-03-23,17.89,17.98,17.54,17.58,12340359
2010-03-24,17.29,17.79,17.255,17.74,10909452
2010-03-25,17.34,17.65,17.3,17.54,12380208
2010-03-26,17.34,17.67,17.1975,17.49,8617883
2010-03-29,17.56,17.6,17.21,17.45,9863364
2010-03-30,17.63,17.85,17.33,17.75,8103320
2010-03-31,17.4,17.64,17.31,17.62,9745918
2010-04-01,17.22,17.68,17.04,17.48,8491734
2010-04-02,17.22,17.68,17.04,17.48,0
2010-04-05,17.48,17.51,17.31,17.31,10340826
2010-04-06,17.05,17.3,16.75,17.26,20231420
