Date,Close,High,Low,Open,Volume
2013-06-19,15.53,16.03,14.96,15.22,7716950
2013-06-20,15.44,16.3,15.36,16.25,1874512
2013-06-21,15.8,15.98,15.46,15.98,635301
2013-06-24,15.52,15.79,15.19,15.79,758286
2013-06-25,15.66,15.67,15.35,15.5,564359
2013-06-26,15.47,15.55,15.31,15.54,900958
2013-06-27,15.37,15.74,14.659,15.04,3257972
2013-06-28,15.38,15.68,15.25,15.29,1793696
2013-07-01,14.87,15.5,14.84,15.48,4343468
2013-07-02,14.99,15.19,14.67,14.72,8682426
2013-07-03,14.97,15.12,14.84,14.84,2265020
2013-07-04,14.97,14.97,14.97,14.97,0
2013-07-05,15.61,15.94,14.96,14.96,3470894
2013-07-08,16.02,16.08,15.55,15.83,4010690
2013-07-09,15.73,16.02,15.665,15.8,3656174
2013-07-10,15.45,15.6,15.22,15.5,3010407
2013-07-11,15.21,15.8,15.06,15.8,3630207
2013-07-12,14.99,15.18,14.97,15.0,3042207
2013-07-15,14.8,15.08,14.52,15.0,5331386
2013-07-16,15.39,15.47,14.7,14.71,2711004
2013-07-17,16.02,16.12,15.28,15.28,3737666
2013-07-18,15.6,16.25,15.46,16.04,2827883
2013-07-19,16.12,16.26,15.37,15.37,3735343
2013-07-22,15.9,16.26,15.751,16.15,2159106
2013-07-23,15.85,16.05,15.71,15.85,2104845
2013-07-24,15.92,16.05,15.62,15.79,2205008
2013-07-25,15.76,16.045,15.64,15.91,2097226
2013-07-26,16.09,16.16,15.5,15.76,937543
2013-07-29,15.71,16.069,15.61,15.98,3495564
2013-07-30,16.14,16.18,15.67,15.73,3438091
2013-07-31,16.09,16.37,16.04,16.09,2392779
2013-08-01,16.39,16.42,16.09,16.11,1951644
2013-08-02,16.5,16.64,16.25,16.29,2043518
2013-08-05,16.21,16.48,16.08,16.41,1127502
2013-08-06,16.39,16.45,16.03,16.13,1335326
2013-08-07,16.16,16.3,16.04,16.3,1239802
2013-08-08,16.38,16.51,16.15,16.32,2109532
2013-08-09,16.24,16.41,16.22,16.41,1370857
2013-08-12,16.11,16.3,15.975,16.1,1917519
2013-08-13,16.05,16.23,16.0,16.23,1643585
2013-08-14,16.18,16.21,15.87,16.0,2028997
2013-08-15,16.32,16.3901,15.935,16.06,1351588
2013-08-16,16.19,16.45,16.16,16.26,2144673
2013-08-19,15.89,16.22,15.875,16.21,610700
2013-08-20,15.88,15.98,15.716,15.91,993296
2013-08-21,15.94,16.0,15.7,15.83,1948113
2013-08-22,15.88,16.03,15.82,15.99,1611645
2013-08-23,15.92,16.02,15.77,15.84,1676519
2013-08-26,16.06,16.13,15.94,15.94,1095328
2013-08-27,15.94,16.2,15.93,15.98,3848674
