Date,Close,High,Low,Open,Volume
2010-01-01,25.91,26.75,25.87,26.45,0
2010-01-04,26.1,26.5,25.96,26.26,876807
2010-01-05,26.54,26.54,26.01,26.4,663904
2010-01-06,26.52,26.61,26.26,26.61,971500
2010-01-07,27.08,27.15,26.35,26.59,1219263
2010-01-08,27.45,27.5,26.962,26.99,789660
2010-01-11,27.24,27.55,27.2,27.53,702929
2010-01-12,27.34,27.38,27.09,27.15,618047
2010-01-13,27.65,27.72,27.245,27.62,733939
2010-01-14,27.54,27.74,27.42,27.53,676765
2010-01-15,27.49,27.75,27.47,27.68,700708
2010-01-18,27.49,27.75,27.47,27.68,0
2010-01-19,27.95,28.0975,27.5,27.5,1010219
2010-01-20,27.53,27.9955,27.51,27.81,581649
2010-01-21,26.92,27.85,26.92,27.6,1016388
2010-01-22,26.27,27.75,26.27,27.09,1425742
2010-01-25,26.85,26.99,26.25,26.62,762739
2010-01-26,27.27,27.55,26.73,26.88,688593
2010-01-27,27.84,27.84,26.88,27.19,906828
2010-01-28,27.78,27.95,27.36,27.95,1019366
2010-01-29,27.93,27.95,27.47,27.82,1001339
2010-02-01,27.86,28.0,27.44,27.99,904081
2010-02-02,27.7,28.0,27.48,27.86,793161
2010-02-03,27.06,27.74,26.9605,27.55,621111
2010-02-04,26.02,27.3,26.0,26.96,1478942
2010-02-05,26.12,26.55,25.6,26.21,1956661
2010-02-08,25.74,26.5,25.74,26.42,864537
2010-02-09,25.52,26.09,25.44,26.09,1156717
2010-02-10,25.75,25.82,25.28,25.58,914863
2010-02-11,26.03,26.24,25.42,25.61,913906
2010-02-12,26.99,27.05,25.8,26.02,1132843
2010-02-15,26.99,27.05,25.8,26.02,0
2010-02-16,27.85,27.92,27.08,27.42,1222320
2010-02-17,28.32,28.32,27.9,28.0,1006770
2010-02-18,28.75,28.88,28.2519,28.39,899282
2010-02-19,28.58,28.79,28.44,28.61,794274
2010-02-22,28.3,28.71,28.11,28.64,861746
2010-02-23,28.03,28.57,27.71,28.28,1100592
2010-02-24,28.31,28.4298,28.038,28.19,642905
2010-02-25,28.31,28.33,27.85,28.22,489809
2010-02-26,28.0,28.44,27.97,28.37,739120
2010-03-01,27.98,28.31,27.74,28.06,893519
2010-03-02,27.97,28.22,27.62,28.01,706144
2010-03-03,27.96,28.3,27.8,28.1,613830
2010-03-04,28.06,28.1,27.83,28.0,407850
2010-03-05,28.44,28.54,27.96,28.11,783086
2010-03-08,28.61,28.73,28.37,28.48,617252
2010-03-09,29.12,29.2,28.5,28.55,722564
2010-03-10,29.22,29.39,28.91,29.12,957725
2010-03-11,29.22,29.38,28.82,29.15,547679
2010-03-12,29.17,29.4,28.91,29.26,861263
2010-03-15,29.29,29.5,28.98,29.26,636142
2010-03-16,29.92,30.02,29.34,29.38,734582
2010-03-17,30.21,30.4,29.96,30.02,829480
2010-03-18,30.48,30.85,30.0835,30.25,1030432
2010-03-19,29.96,30.5,29.66,30.5,1378141
2010-03-22,30.43,30.48,29.78,29.79,650958
2010-03-23,30.22,30.34,30.0,30.05,740537
2010-03-24,30.64,31.1,29.99,29.99,1096535
2010-03-25,30.52,30.88,30.48,30.86,1006278
2010-03-26,30.77,30.85,30.5,30.62,656130
2010-03-29,30.84,30.88,30.6,30.81,609229
2010-03-30,30.73,30.85,30.4,30.73,560067
2010-03-31,30.69,31.19,30.62,30.62,784376
2010-04-01,30.44,30.9,30.18,30.8,621083
2010-04-02,30.44,30.9,30.18,30.8,0
2010-04-05,31.05,31.06,30.45,30.5,510190
2010-04-06,31.53,31.82,30.84,30.92,813065
2010-04-07,31.72,31.9225,31.47,31.58,1203983
2010-04-08,31.66,31.78,31.52,31.57,702877
2010-04-09,31.75,31.92,31.5,31.73,782836
2010-04-12,31.4,31.98,31.35,31.98,464419
2010-04-13,31.98,32.09,31.26,31.32,568442
2010-04-14,32.54,32.58,31.9,32.03,622375
2010-04-15,31.88,32.54,31.86,32.53,773658
2010-04-16,31.43,32.22,31.38,31.79,765460
2010-04-19,31.51,31.85,31.09,31.24,443303
2010-04-20,31.97,32.03,31.16,31.55,567450
2010-04-21,32.65,32.85,31.9,31.9,567047
2010-04-22,33.14,33.23,32.292,32.44,488452
2010-04-23,33.29,33.5,32.87,33.14,662467
2010-04-26,33.57,33.96,33.1965,33.26,716499
2010-04-27,32.89,33.86,32.87,33.31,775098
2010-04-28,33.17,33.42,33.0,33.22,823952
2010-04-29,34.38,34.536,32.99,33.35,1144706
2010-04-30,32.79,34.27,32.78,33.68,1249532
2010-05-03,32.91,33.14,32.1,32.25,974014
