Date,Close,High,Low,Open,Volume
2010-01-01,39.15,39.99,39.12,39.76,0
2010-01-04,39.62,39.74,39.355,39.5,1670736
2010-01-05,39.48,39.61,39.16,39.54,1807846
2010-01-06,39.17,39.5,39.02,39.32,2500469
2010-01-07,38.94,39.21,38.72,39.11,2520195
2010-01-08,39.39,39.55,38.59,38.72,1935623
2010-01-11,39.39,39.65,39.32,39.38,1383148
2010-01-12,38.73,39.19,38.5,39.05,2263756
2010-01-13,39.16,39.25,38.73,38.73,1819606
2010-01-14,38.11,39.0,38.04,38.74,3447476
2010-01-15,37.66,38.26,37.51,38.1,2219055
2010-01-18,37.66,38.26,37.51,38.1,0
2010-01-19,37.8,38.01,37.53,37.56,2279214
2010-01-20,37.49,37.88,37.32,37.51,3081595
2010-01-21,37.03,38.0,36.97,37.43,2565219
2010-01-22,36.29,37.12,36.27,36.97,2618384
2010-01-25,36.62,36.73,36.45,36.69,1833655
2010-01-26,36.55,36.95,36.23,36.53,2486305
2010-01-27,36.0,36.61,35.7,36.55,2877743
2010-01-28,35.85,36.39,35.74,36.12,1890686
2010-01-29,35.3,36.2,35.13,36.07,2987952
2010-02-01,36.03,36.18,35.45,35.62,2736103
2010-02-02,36.94,36.96,35.9,35.94,2649441
2010-02-03,37.02,37.14,36.56,36.86,3202044
2010-02-04,35.76,36.82,35.75,36.66,2221596
2010-02-05,35.28,35.72,34.78,35.7,3581351
2010-02-08,34.54,35.37,34.54,35.34,3288493
2010-02-09,35.25,35.54,34.96,35.05,3799816
2010-02-10,35.75,35.96,35.08,35.96,4072217
2010-02-11,35.56,35.85,34.95,35.74,3681225
2010-02-12,35.2,35.27,34.83,35.06,3627844
2010-02-15,35.2,35.27,34.83,35.06,0
2010-02-16,35.95,36.0,35.2,35.55,2831796
2010-02-17,36.35,36.48,35.87,36.14,3446587
2010-02-18,36.78,37.29,36.25,36.34,3751331
2010-02-19,37.07,37.27,36.5,36.75,3266316
2010-02-22,36.98,37.22,36.86,37.1,1511633
2010-02-23,36.67,37.12,36.63,36.98,2043564
2010-02-24,36.88,37.18,36.72,36.84,1595451
2010-02-25,36.62,36.65,36.1601,36.21,2220655
2010-02-26,36.62,37.01,36.52,36.7,3202981
2010-03-01,37.68,37.75,36.58,36.58,2579143
2010-03-02,37.66,38.03,37.57,37.89,2462610
2010-03-03,37.63,37.77,37.46,37.49,1915835
2010-03-04,37.51,37.79,37.32,37.63,1962520
2010-03-05,38.06,38.14,37.63,37.82,2528869
2010-03-08,37.99,38.0804,37.82,37.97,1187157
2010-03-09,38.23,38.4,37.75,37.91,1702088
2010-03-10,38.84,38.89,38.1,38.15,2359795
2010-03-11,39.26,39.29,38.53,38.75,1955786
2010-03-12,39.31,39.46,38.9701,39.36,1525893
2010-03-15,39.16,39.49,38.89,39.25,1828660
2010-03-16,39.24,39.34,38.99,39.21,1362743
2010-03-17,39.78,39.9,39.24,39.25,1739730
2010-03-18,39.56,39.78,39.37,39.72,1416272
2010-03-19,39.08,39.7,38.93,39.7,3010830
2010-03-22,39.66,39.76,38.8,38.97,2090443
2010-03-23,39.82,39.92,39.36,39.7,2064514
2010-03-24,39.75,40.02,39.59,39.72,3276854
2010-03-25,39.77,40.29,39.77,39.97,3067212
2010-03-26,39.81,40.13,39.73,39.86,2223000
2010-03-29,39.57,40.01,39.47,39.86,2006228
2010-03-30,39.88,40.04,39.34,39.5,1996838
2010-03-31,38.81,39.3,37.99,38.0,4734687
2010-04-01,38.83,39.25,38.49,38.8,4259599
2010-04-02,38.83,39.25,38.49,38.8,0
2010-04-05,39.24,39.47,38.78,38.86,2497807
2010-04-06,39.4,39.58,38.65,39.22,2600962
2010-04-07,38.9,39.385,38.88,39.21,2953315
2010-04-08,39.18,39.36,38.58,38.8,2341202
2010-04-09,39.45,39.72,38.95,39.28,3313930
2010-04-12,39.24,39.6,39.16,39.55,1706661
2010-04-13,39.5,39.72,39.22,39.22,3977455
2010-04-14,40.81,41.44,40.1,40.24,6443477
2010-04-15,41.2,42.05,41.18,41.49,6166133
2010-04-16,40.53,41.26,40.51,41.01,4096777
2010-04-19,41.12,41.18,40.37,40.41,3235370
2010-04-20,43.58,44.08,43.15,43.5,8259395
2010-04-21,42.87,43.58,42.57,43.1,5163043
2010-04-22,42.92,42.94,41.98,42.59,3961325
2010-04-23,43.37,43.37,42.82,42.9,3486392
2010-04-26,43.04,43.51,43.03,43.23,3461783
2010-04-27,41.82,43.2,41.68,42.95,4317621
2010-04-28,42.17,42.525,41.94,42.19,6957030
2010-04-29,43.13,43.22,42.2,42.51,3628756
2010-04-30,42.66,43.5,42.54,43.33,3245058
2010-05-03,43.56,43.6,42.71,42.76,2862985
2010-05-04,42.22,43.01,41.73,42.94,4400195
2010-05-05,41.39,42.08,41.08,41.69,3738852
2010-05-06,40.62,41.94,38.2,41.25,5490020
2010-05-07,39.22,40.57,38.95,40.45,6745015
2010-05-10,41.21,41.58,40.78,41.11,4311643
2010-05-11,41.51,41.91,40.64,41.02,4268325
2010-05-12,42.03,42.15,41.5,41.86,2574624
2010-05-13,41.76,42.32,41.68,42.01,2673866
2010-05-14,41.11,41.63,40.58,41.53,3434378
2010-05-17,41.22,41.4,40.36,41.3,2680758
2010-05-18,40.54,41.88,40.3,41.47,3354711
2010-05-19,39.96,40.6,39.69,40.27,4405781
2010-05-20,38.14,39.34,38.09,39.15,4439358
2010-05-21,38.36,38.595,37.25,37.33,4224177
2010-05-24,37.73,38.54,37.71,38.24,4418497
2010-05-25,36.99,37.03,36.22,36.66,6677572
2010-05-26,37.7,38.36,37.46,37.66,4938372
2010-05-27,38.78,38.8,38.0,38.32,2620585
2010-05-28,37.95,38.74,37.84,38.31,3246251
2010-05-31,37.95,38.74,37.84,38.31,0
2010-06-01,36.78,37.89,36.76,37.46,3039227
2010-06-02,37.94,37.95,37.01,37.05,3745896
2010-06-03,38.09,38.45,37.855,38.1,2782095
2010-06-04,36.07,37.51,35.87,37.34,5229956
2010-06-07,36.13,36.92,36.11,36.28,4856843
2010-06-08,36.07,36.34,35.38,36.06,3287847
2010-06-09,36.07,36.98,35.89,36.33,2335908
2010-06-10,37.32,37.35,36.795,36.84,2869125
2010-06-11,37.41,37.49,36.6,36.6,2333201
2010-06-14,37.47,38.08,37.45,37.81,3028156
2010-06-15,38.6,38.6,37.55,37.66,2391380
2010-06-16,38.9,39.015,38.25,38.52,4495359
