Date,Close,High,Low,Open,Volume
2010-01-01,78.0345,79.2048,77.9098,79.0705,0
2010-01-04,79.7132,80.1065,78.8499,79.2912,3625943
2010-01-05,79.1377,79.8379,78.6868,79.79,3511981
2010-01-06,80.0873,80.4518,78.495,79.0417,5572272
2010-01-07,79.4926,80.2216,79.013,79.5693,4295246
2010-01-08,80.3079,80.3655,78.2072,79.1569,4331065
2010-01-11,79.5789,81.3727,78.9458,80.7204,4075309
2010-01-12,76.893,78.8211,76.6532,78.4662,7062857
2010-01-13,76.3846,77.411,75.3966,77.0657,7676071
2010-01-14,76.9794,77.152,75.8954,75.9242,4711710
2010-01-15,75.7036,76.9986,75.1568,76.7779,8242659
2010-01-18,75.7036,76.9986,75.1568,76.7779,0
2010-01-19,76.1256,76.1928,75.0609,75.4446,5693256
2010-01-20,75.0225,75.3966,73.6796,75.3966,6282974
2010-01-21,72.9122,75.3103,72.7971,74.965,7598272
2010-01-22,72.9985,74.9746,72.634,73.4685,10128123
2010-01-25,74.4853,75.3295,73.67,73.8906,6716420
2010-01-26,73.5357,74.7923,73.104,73.104,9098929
2010-01-27,73.3151,74.0537,72.3174,73.5741,5275650
2010-01-28,74.3414,75.6077,71.3486,74.3031,11837951
2010-01-29,75.1472,76.5669,74.5813,74.9554,11208301
2010-02-01,76.5765,76.6628,75.7324,75.8666,6348354
2010-02-02,77.4878,77.6317,75.9818,76.8451,5377831
2010-02-03,76.8643,77.8235,76.3942,77.3727,3682012
2010-02-04,73.3246,76.1928,73.1904,76.1928,7976484
2010-02-05,73.5836,74.0153,71.2431,73.2671,10670243
2010-02-08,73.1904,75.3774,72.9218,73.6412,6915944
2010-02-09,74.7347,75.6844,73.363,74.2455,8412089
2010-02-10,75.1952,75.7036,73.9578,75.2144,6146348
2010-02-11,77.1808,77.2384,74.5813,75.2623,6476418
2010-02-12,76.5477,76.6436,75.0993,75.9818,6450625
2010-02-15,76.5477,76.6436,75.0993,75.9818,0
2010-02-16,77.8715,78.1401,76.6245,77.766,6072258
2010-02-17,77.6413,78.1209,76.6053,78.0058,4951173
2010-02-18,77.6892,77.8715,76.5381,77.248,4293819
2010-02-19,78.188,78.658,77.2959,77.5837,4042593
2010-02-22,76.7492,78.7732,76.5861,78.6197,5536310
2010-02-23,75.7899,77.1424,75.6748,76.7587,7650861
2010-02-24,76.3079,76.6916,75.5597,76.3846,3814124
2010-02-25,75.8091,75.953,73.9002,74.447,5348172
2010-02-26,76.5957,76.8355,75.4675,76.2887,4584912
2010-03-01,77.459,77.8139,76.8739,77.2863,4341875
2010-03-02,77.8907,78.5238,77.6029,77.9194,4209741
2010-03-03,77.7276,78.7252,77.5453,78.2072,7044286
2010-03-04,77.9386,78.5142,77.5357,77.8811,4524632
2010-03-05,78.6005,78.8883,78.0154,78.6964,3999238
2010-03-08,78.1688,78.7348,77.7276,78.1976,3617071
2010-03-09,78.1688,79.013,77.507,77.6604,6386005
2010-03-10,78.6293,78.8787,77.6892,78.0154,4505684
2010-03-11,78.5238,79.0897,78.1209,78.236,4069728
2010-03-12,78.5046,79.1281,78.1113,78.965,4111662
2010-03-15,77.7564,78.3127,76.9026,78.2935,3407129
2010-03-16,79.013,79.0897,77.6317,78.0633,5754146
2010-03-17,79.8187,80.3271,79.1569,79.3775,7279748
2010-03-18,79.1473,79.8955,78.2072,79.5022,4745903
2010-03-19,79.2144,79.7996,78.5046,79.7996,6995207
2010-03-22,79.2048,79.4638,77.9482,78.1784,3919377
2010-03-23,79.9243,80.0585,78.6005,79.1377,7822472
2010-03-24,79.5693,80.1449,79.0034,79.4159,5373890
2010-03-25,78.188,80.5286,78.0921,80.2888,7048883
2010-03-26,78.3991,78.7156,77.8331,78.5909,8418592
2010-03-29,80.7108,81.0178,78.6005,78.6293,8486513
2010-03-30,80.8355,81.3535,80.5765,81.0849,5309795
2010-03-31,81.0945,81.5837,80.471,80.9411,5708196
