Date,Close,High,Low,Open,Volume
2010-01-01,30.64,30.99,30.64,30.87,0
2010-01-04,30.82,31.15,30.73,31.15,3731565
2010-01-05,30.8,30.88,30.54,30.86,3237631
2010-01-06,31.05,31.09,30.67,30.83,3507629
2010-01-07,31.54,31.55,30.75,31.03,3674694
2010-01-08,31.56,31.6,30.64,30.86,5082697
2010-01-11,31.75,31.9,31.23,31.62,3256571
2010-01-12,31.64,31.79,31.41,31.57,2806124
2010-01-13,31.66,31.72,31.24,31.51,3926990
2010-01-14,31.35,31.66,31.1,31.51,2299924
2010-01-15,30.67,31.08,30.51,31.02,4405184
2010-01-18,30.67,31.08,30.51,31.02,0
2010-01-19,30.43,30.79,30.25,30.71,4649655
2010-01-20,30.45,30.5,29.83,30.16,4835937
2010-01-21,30.23,30.85,30.11,30.51,3833654
2010-01-22,29.64,30.34,29.62,30.23,3658681
2010-01-25,29.5,29.76,29.36,29.76,2919439
2010-01-26,29.37,29.658,29.33,29.47,3873410
2010-01-27,29.38,29.53,29.12,29.16,4804708
2010-01-28,28.87,29.3,28.62,29.23,4935280
2010-01-29,28.99,29.31,28.96,29.02,6691280
2010-02-01,29.32,29.35,29.0,29.08,5191721
2010-02-02,29.51,29.62,28.97,29.35,3507181
2010-02-03,29.48,29.63,29.3,29.51,2423081
2010-02-04,28.98,29.3301,28.85,29.31,4839125
2010-02-05,28.94,29.08,28.5,29.03,4116641
2010-02-08,28.86,29.09,28.71,28.88,2798686
2010-02-09,29.11,29.35,28.89,29.21,2877167
2010-02-10,29.08,29.24,28.82,29.1,1811959
2010-02-11,29.43,29.51,28.82,29.13,2460437
2010-02-12,29.53,29.63,28.97,29.29,3620692
2010-02-15,29.53,29.63,28.97,29.29,0
2010-02-16,29.87,29.91,29.5,29.87,1797836
2010-02-17,30.08,30.12,29.92,30.0,1870752
2010-02-18,30.16,30.32,30.05,30.17,2416119
2010-02-19,30.23,30.28,29.93,30.13,2641566
2010-02-22,30.29,30.43,30.15,30.25,1501240
2010-02-23,30.09,30.46,29.85,30.34,2559113
2010-02-24,30.31,30.57,30.18,30.31,3428210
2010-02-25,29.8,30.03,29.5734,29.91,3686045
2010-02-26,29.94,30.0,29.7,29.92,2316968
2010-03-01,30.29,30.39,29.86,29.99,2314965
2010-03-02,29.99,30.33,29.93,30.27,2477839
2010-03-03,30.36,30.52,30.12,30.38,2881558
2010-03-04,30.33,30.51,30.19,30.49,2387422
2010-03-05,31.12,31.21,30.4201,30.5,2704691
2010-03-08,31.25,31.46,31.02,31.22,2282655
2010-03-09,31.495,31.63,31.16,31.25,2231186
2010-03-10,31.79,31.9,31.51,31.54,2325370
2010-03-11,31.88,31.89,31.58,31.79,1411846
2010-03-12,32.13,32.23,31.75,31.91,2254787
2010-03-15,32.44,32.46,32.02,32.04,1971323
2010-03-16,32.29,32.6,32.19,32.5,2834037
2010-03-17,32.43,32.55,32.2519,32.28,2871074
2010-03-18,32.47,32.62,32.35,32.49,2635595
2010-03-19,32.17,32.75,32.01,32.75,4645276
2010-03-22,32.49,32.58,32.02,32.1,2052277
2010-03-23,32.76,32.82,32.47,32.82,2078621
2010-03-24,32.34,32.75,32.28,32.7,3922022
2010-03-25,31.07,31.85,30.99,31.66,8069380
2010-03-26,31.21,31.43,31.04,31.07,4416616
2010-03-29,31.19,31.47,31.0,31.27,2661117
2010-03-30,31.06,31.35,30.93,31.15,2956458
2010-03-31,30.72,31.025,30.68,30.93,3136323
2010-04-01,30.72,30.9,30.47,30.72,4108164
2010-04-02,30.72,30.9,30.47,30.72,0
2010-04-05,31.08,31.2,30.71,30.78,2657880
2010-04-06,30.98,31.09,30.88,31.01,2188883
2010-04-07,30.65,31.15,30.55,30.95,3006136
2010-04-08,30.9,30.96,30.4,30.5,3882336
2010-04-09,31.22,31.24,30.79,30.9,1987774
2010-04-12,31.11,31.22,30.94,31.14,2029728
2010-04-13,31.14,31.21,30.92,31.15,1486082
2010-04-14,31.39,31.4,31.045,31.08,1596064
2010-04-15,31.22,31.39,31.1,31.39,2225216
2010-04-16,30.82,31.22,30.78,31.16,4133550
2010-04-19,31.079,31.11,30.71,30.79,2651696
2010-04-20,31.38,31.43,31.09,31.25,1629548
2010-04-21,31.4,31.42,31.13,31.29,1844135
2010-04-22,31.525,31.55,31.02,31.25,2167988
2010-04-23,31.72,31.76,31.28,31.52,2185405
2010-04-26,31.76,31.84,31.55,31.69,1781920
2010-04-27,31.25,31.91,31.18,31.7,2850302
2010-04-28,31.12,31.56,31.02,31.4,2618433
2010-04-29,30.89,30.92,30.56,30.81,3073825
2010-04-30,30.57,31.05,30.56,31.05,2920585
2010-05-03,30.95,30.975,30.46,30.6,2772313
2010-05-04,30.44,30.85,30.18,30.81,2976055
2010-05-05,30.16,30.79,30.0,30.4,2338579
2010-05-06,29.25,30.48,28.11,30.06,5676032
2010-05-07,28.95,29.45,28.65,29.17,7453497
2010-05-10,30.38,30.38,29.41,29.41,4394527
2010-05-11,30.25,30.64,30.07,30.16,3028131
2010-05-12,30.59,30.66,30.09,30.35,2429655
2010-05-13,30.1,30.68,30.08,30.48,2836308
2010-05-14,29.46,30.26,29.3,30.01,3324729
2010-05-17,29.99,30.07,29.52,29.64,3061617
2010-05-18,29.75,30.39,29.63,30.23,2397818
2010-05-19,29.6,30.03,29.47,29.75,4044286
2010-05-20,28.92,29.33,28.86,29.05,7666711
2010-05-21,29.45,29.48,28.5,28.62,7331884
2010-05-24,28.99,29.55,28.99,29.35,4726347
2010-05-25,28.8,28.8,28.33,28.56,6308477
2010-05-26,28.35,29.29,28.19,28.91,5506890
2010-05-27,28.8,28.92,28.5704,28.71,3709020
2010-05-28,28.54,28.92,28.41,28.8,2785174
2010-05-31,28.54,28.92,28.41,28.8,0
2010-06-01,28.22,28.8,28.16,28.39,2173444
2010-06-02,28.86,28.86,28.02,28.26,2383020
2010-06-03,29.07,29.14,28.75,29.02,2244768
2010-06-04,27.97,28.67,27.89,28.44,2892903
2010-06-07,27.62,28.165,27.59,27.98,3038408
2010-06-08,27.91,27.975,27.53,27.64,3419713
2010-06-09,27.95,28.44,27.9,27.99,2366351
2010-06-10,28.59,28.71,28.12,28.32,3409371
2010-06-11,28.36,28.44,27.93,28.2,4000432
2010-06-14,28.23,28.74,28.1801,28.63,3450747
2010-06-15,28.97,28.98,28.26,28.34,2837677
2010-06-16,28.88,28.97,28.6,28.76,2250374
2010-06-17,28.67,28.97,28.4,28.97,3935985
2010-06-18,28.33,28.73,28.275,28.67,4658387
2010-06-21,28.15,28.87,28.0,28.51,3123414
2010-06-22,27.73,28.38,27.69,28.23,3902208
2010-06-23,27.42,27.94,27.33,27.75,5532264
2010-06-24,26.78,27.3,26.5,26.9,6566614
2010-06-25,26.51,26.89,26.35,26.72,4574416
2010-06-28,26.6,26.76,26.41,26.51,2717930
2010-06-29,26.0,26.41,25.83,26.39,6117485
2010-06-30,25.97,26.25,25.78,25.93,4845469
2010-07-01,25.99,26.07,25.56,25.85,8890762
2010-07-02,25.47,26.1,25.36,26.05,6288446
2010-07-05,25.47,26.1,25.36,26.05,0
2010-07-06,25.16,25.74,24.89,25.64,10545828
2010-07-07,26.02,26.03,25.09,25.15,5957635
2010-07-08,26.24,26.27,25.84,26.09,3855425
2010-07-09,26.28,26.35,26.135,26.28,3085565
2010-07-12,25.75,26.23,25.56,25.97,6790552
2010-07-13,26.06,26.13,25.71,25.94,5584701
2010-07-14,26.36,26.39,25.92,26.04,5910194
2010-07-15,26.51,26.55,26.14,26.37,4286634
2010-07-16,25.67,26.53,25.67,26.53,4845781
2010-07-19,26.03,26.13,25.7,25.79,2985859
2010-07-20,26.32,26.35,25.5,25.62,3618024
2010-07-21,25.78,26.4,25.7,26.36,3870419
2010-07-22,26.32,26.535,25.93,25.93,2783371
2010-07-23,26.64,26.685,26.01,26.17,3352535
2010-07-26,26.93,26.93,26.52,26.61,2754060
2010-07-27,27.08,27.29,26.94,26.97,3914245
2010-07-28,26.93,27.24,26.92,27.09,4114123
2010-07-29,26.12,26.88,25.92,26.75,5395834
2010-07-30,25.99,26.07,25.81,25.83,6424699
2010-08-02,26.12,26.31,26.04,26.31,4447045
2010-08-03,25.95,26.17,25.85,26.09,4238101
2010-08-04,25.91,26.1,25.8775,25.96,5189900
2010-08-05,25.81,25.91,25.62,25.85,4722579
2010-08-06,25.56,25.74,25.31,25.55,3514994
2010-08-09,25.75,25.86,25.65,25.73,2359449
2010-08-10,25.61,25.84,25.29,25.64,3196691
2010-08-11,24.97,25.36,24.93,25.32,3623242
2010-08-12,24.78,24.92,24.6519,24.73,2848870
2010-08-13,24.97,25.05,24.66,24.79,2895183
2010-08-16,25.02,25.17,24.75,24.93,2437983
2010-08-17,25.48,25.67,25.1,25.26,3099045
2010-08-18,25.48,25.59,25.17,25.38,2184721
2010-08-19,25.26,25.43,24.94,25.4,2987060
2010-08-20,25.38,25.44,25.05,25.23,3113773
2010-08-23,25.38,25.69,25.31,25.53,6027632
2010-08-24,24.97,25.35,24.96,25.21,2729033
2010-08-25,25.2,25.2999,24.78,24.84,2571504
2010-08-26,25.22,25.66,25.185,25.52,3131936
2010-08-27,25.37,25.46,24.98,25.33,2964916
2010-08-30,24.99,25.4,24.98,25.25,1867241
2010-08-31,24.89,25.22,24.75,24.9,4098531
2010-09-01,25.5,25.63,25.16,25.25,2762647
2010-09-02,26.0,26.01,25.39,25.54,2797560
2010-09-03,26.27,26.47,26.21,26.27,2614019
2010-09-06,26.27,26.47,26.21,26.27,0
2010-09-07,25.7,26.28,25.68,26.22,1834244
2010-09-08,25.76,25.875,25.72,25.76,1845879
2010-09-09,25.79,26.0699,25.6824,26.03,2493852
