Date,Close,High,Low,Open,Volume
2010-01-01,16.7,16.81,16.66,16.67,0
2010-01-04,16.75,17.0,16.69,16.84,2932125
2010-01-05,16.85,16.88,16.56,16.78,3562976
2010-01-06,16.84,16.89,16.68,16.78,2061672
2010-01-07,16.92,17.07,16.67,16.77,3082127
2010-01-08,17.0,17.0,16.8,16.9,2442805
2010-01-11,16.83,17.08,16.79,16.99,1720676
2010-01-12,16.54,16.96,16.51,16.79,3802654
2010-01-13,16.71,16.8,16.55,16.68,3226710
2010-01-14,16.86,16.92,16.61,16.66,2227309
2010-01-15,16.62,16.97,16.53,16.94,3112476
2010-01-18,16.62,16.97,16.53,16.94,0
2010-01-19,16.65,16.8,16.58,16.68,2966549
2010-01-20,16.63,16.69,16.5,16.58,2782472
2010-01-21,16.58,16.74,16.39,16.58,4496588
2010-01-22,16.15,16.86,16.0,16.54,7107129
2010-01-25,16.27,16.49,16.01,16.45,4747390
2010-01-26,15.91,16.26,15.89,16.15,3323296
2010-01-27,15.97,16.09,15.76,15.91,5643535
2010-01-28,15.64,16.0,15.6,15.86,5202915
2010-01-29,16.17,16.35,15.5301,15.64,9942597
2010-02-01,15.76,16.17,15.68,16.09,5793670
2010-02-02,15.66,15.86,15.54,15.78,5081688
2010-02-03,15.51,15.75,15.44,15.58,3330669
2010-02-04,15.19,15.59,15.17,15.48,3955791
2010-02-05,15.35,15.42,15.07,15.21,4942960
2010-02-08,15.24,15.51,15.15,15.26,3667490
2010-02-09,15.51,15.61,15.31,15.4,3613023
2010-02-10,15.5,15.58,15.38,15.55,3356826
2010-02-11,15.58,15.62,15.37,15.5,2333786
2010-02-12,15.59,15.61,15.38,15.43,3533582
2010-02-15,15.59,15.61,15.38,15.43,0
2010-02-16,15.83,15.83,15.59,15.73,3432045
2010-02-17,15.83,15.885,15.7001,15.82,2901372
2010-02-18,15.57,15.94,15.55,15.87,10637815
2010-02-19,15.8,15.94,15.6,15.64,4894215
2010-02-22,15.68,15.81,15.64,15.76,4316333
2010-02-23,15.5,15.83,15.49,15.73,4717375
2010-02-24,15.73,15.73,15.44,15.63,4256026
2010-02-25,15.66,15.68,15.45,15.52,2704703
2010-02-26,15.75,15.772,15.53,15.75,4748309
2010-03-01,15.71,15.76,15.54,15.73,3337785
2010-03-02,15.61,15.78,15.55,15.78,3122970
2010-03-03,15.44,15.68,15.33,15.65,3285420
2010-03-04,15.36,15.52,15.29,15.4,1968384
2010-03-05,15.6,15.72,15.23,15.45,5172660
2010-03-08,15.64,15.66,15.46,15.55,3018394
2010-03-09,15.6075,15.65,15.49,15.54,5402270
2010-03-10,15.58,15.65,15.475,15.56,3984425
2010-03-11,15.73,15.74,15.5,15.5,5809417
2010-03-12,15.58,15.87,15.55,15.87,4237223
2010-03-15,15.54,15.76,15.41,15.61,5079988
2010-03-16,15.56,15.63,15.5,15.57,3279418
2010-03-17,15.61,15.68,15.53,15.64,4111316
2010-03-18,15.55,15.59,15.495,15.57,3049431
2010-03-19,15.79,15.99,15.59,15.93,10771357
2010-03-22,15.76,15.85,15.6,15.82,5245633
2010-03-23,15.71,15.83,15.63,15.8,3728693
2010-03-24,15.54,15.75,15.51,15.73,5453684
2010-03-25,15.67,15.75,15.53,15.58,5980870
2010-03-26,15.68,15.87,15.56,15.72,6959844
2010-03-29,15.75,15.79,15.6,15.79,3095723
2010-03-30,15.69,15.8,15.65,15.77,4395761
2010-03-31,15.62,15.74,15.58,15.65,5686228
2010-04-01,15.7,15.725,15.5701,15.62,4031425
2010-04-02,15.7,15.725,15.5701,15.62,0
2010-04-05,15.61,15.81,15.54,15.81,5538189
2010-04-06,15.81,15.85,15.52,15.61,7560061
2010-04-07,16.17,16.34,15.74,15.92,8994191
2010-04-08,16.47,16.51,16.14,16.22,7734448
2010-04-09,16.56,16.58,16.3,16.45,6331442
2010-04-12,16.6,16.61,16.43,16.59,3257614
2010-04-13,16.65,16.65,16.38,16.63,4426971
2010-04-14,16.53,16.79,16.5,16.65,4778637
2010-04-15,16.65,16.72,16.54,16.56,5953454
2010-04-16,16.4,16.75,15.84,16.73,12088346
2010-04-19,16.0,16.34,15.86,16.34,8395928
2010-04-20,16.27,16.295,16.01,16.13,5037788
2010-04-21,16.17,16.35,16.1,16.31,4000986
2010-04-22,16.03,16.17,15.95,16.11,5564742
2010-04-23,15.91,16.0599,15.84,16.0,5031655
2010-04-26,16.05,16.41,15.99,16.15,12095366
2010-04-27,15.65,16.06,15.61,16.0,8183043
2010-04-28,15.61,15.92,15.55,15.6,6168595
2010-04-29,15.57,15.82,15.39,15.7,6527495
2010-04-30,15.52,15.64,15.42,15.62,5077941
2010-05-03,15.47,15.6,15.29,15.52,5932329
2010-05-04,15.2,15.35,15.14,15.27,5614805
2010-05-05,15.0,15.18,14.92,15.15,8584524
2010-05-06,14.6,15.015,14.07,14.9,12246349
2010-05-07,14.39,14.92,14.35,14.74,8873787
2010-05-10,14.97,15.12,14.72,14.97,6768933
2010-05-11,14.71,14.92,14.61,14.83,6927862
2010-05-12,14.83,14.89,14.53,14.74,6720965
2010-05-13,14.68,14.89,14.68,14.75,6585341
2010-05-14,14.55,14.78,14.5,14.63,6205184
2010-05-17,14.8,14.83,14.56,14.62,6309845
2010-05-18,14.655,14.94,14.615,14.87,5284314
2010-05-19,14.65,14.735,14.35,14.6,6398741
2010-05-20,14.29,14.59,14.27,14.38,9159681
2010-05-21,14.37,14.39,14.1,14.13,6709857
2010-05-24,14.2,14.41,14.15,14.29,4796262
2010-05-25,14.16,14.27,13.99,14.04,7163762
2010-05-26,14.04,14.36,13.99,14.21,5992273
2010-05-27,14.14,14.255,13.94,14.2,10434545
2010-05-28,13.97,14.13,13.9676,14.13,9144347
2010-05-31,13.97,14.13,13.9676,14.13,0
2010-06-01,13.84,14.03,13.83,13.9,7014269
2010-06-02,13.98,13.98,13.84,13.92,6002550
2010-06-03,13.92,14.03,13.895,13.94,5569003
2010-06-04,13.94,14.28,13.75,13.78,10985277
2010-06-07,14.0,14.25,13.94,13.98,5930948
2010-06-08,14.14,14.18,13.94,14.01,7329213
2010-06-09,14.05,14.3,14.01,14.25,7300946
2010-06-10,14.24,14.29,14.0,14.28,6328103
2010-06-11,14.18,14.2,14.02,14.1,4984399
2010-06-14,14.08,14.31,14.07,14.23,3724054
2010-06-15,14.19,14.23,14.05,14.12,5620659
2010-06-16,14.58,14.7,14.1,14.18,12051955
2010-06-17,14.58,14.67,14.39,14.67,4904653
2010-06-18,14.54,14.69,14.47,14.61,5542149
2010-06-21,14.66,14.66,14.52,14.59,5502627
2010-06-22,14.2,14.67,14.16,14.65,7229774
2010-06-23,14.12,14.3101,14.05,14.18,4269507
2010-06-24,13.87,14.13,13.83,14.05,5518548
2010-06-25,14.01,14.0184,13.785,13.93,5472158
2010-06-28,13.78,14.03,13.74,13.98,6873121
2010-06-29,13.53,13.75,13.5,13.68,7714045
2010-06-30,13.5,13.8,13.49,13.59,7137418
2010-07-01,13.52,13.69,13.27,13.48,5698932
2010-07-02,13.36,13.66,13.27,13.65,3984269
2010-07-05,13.36,13.66,13.27,13.65,0
2010-07-06,13.42,13.67,13.34,13.64,11870296
2010-07-07,13.81,13.83,13.4,13.41,3921985
2010-07-08,13.72,13.94,13.52,13.9,5613830
2010-07-09,13.88,13.89,13.68,13.74,2873848
2010-07-12,14.11,14.25,13.8,13.8,6131448
2010-07-13,14.11,14.34,14.05,14.25,7569705
2010-07-14,14.09,14.13,13.99,14.08,3031769
2010-07-15,14.15,14.23,13.84,14.08,5881796
2010-07-16,13.63,14.05,13.47,14.0,8653451
2010-07-19,13.78,13.89,13.555,13.65,4741444
2010-07-20,14.08,14.09,13.6501,13.69,3644213
2010-07-21,13.63,14.15,13.6,14.12,5038130
2010-07-22,13.93,13.98,13.71,13.79,3532488
2010-07-23,14.05,14.06,13.69,13.93,4556439
2010-07-26,14.18,14.24,14.01,14.14,3072168
2010-07-27,14.2,14.35,14.02,14.27,5113392
2010-07-28,13.96,14.2,13.87,14.0,2794842
2010-07-29,13.84,14.12,13.77,14.01,6236999
2010-07-30,13.84,13.9,13.77,13.8,3187278
2010-08-02,13.9,13.99,13.73,13.96,3928203
2010-08-03,13.75,13.92,13.69,13.88,4412398
2010-08-04,13.67,13.82,13.63,13.79,2473770
2010-08-05,13.68,13.71,13.61,13.62,3015192
2010-08-06,13.57,13.71,13.42,13.64,3241864
2010-08-09,13.68,13.7,13.51,13.68,2346725
2010-08-10,13.75,13.89,13.57,13.62,5012062
2010-08-11,13.4,13.65,13.38,13.64,3492829
2010-08-12,13.25,13.41,13.2,13.25,3588544
2010-08-13,13.215,13.3601,13.15,13.21,2286236
2010-08-16,13.36,13.36,13.12,13.22,2779013
2010-08-17,13.475,13.58,13.35,13.42,2640876
