Date,Close,High,Low,Open,Volume
2010-01-01,44.65,45.56,44.63,45.48,0
2010-01-04,44.5,45.12,44.45,44.95,2041798
2010-01-05,44.0,44.82,43.9,44.61,2599294
2010-01-06,44.51,44.83,43.78,43.89,2541189
2010-01-07,43.75,44.64,43.69,44.53,2377643
2010-01-08,43.79,43.88,43.34,43.49,1521326
2010-01-11,44.45,44.52,43.81,43.9,2154646
2010-01-12,44.5,44.89,44.24,44.26,2476003
2010-01-13,44.77,45.11,44.43,44.64,1653065
2010-01-14,44.49,44.74,44.43,44.72,1249511
2010-01-15,45.01,45.02,44.05,44.3,3917856
2010-01-18,45.01,45.02,44.05,44.3,0
2010-01-19,45.59,45.63,44.91,44.91,2618444
2010-01-20,45.03,45.39,44.51,45.16,2662855
2010-01-21,44.57,45.48,44.3,45.12,1793601
2010-01-22,43.61,44.78,43.6,44.48,2942531
2010-01-25,44.37,44.41,43.51,43.92,3052450
2010-01-26,44.07,44.34,43.83,44.34,1805651
2010-01-27,43.37,44.08,42.9,44.07,3879386
2010-01-28,42.74,43.5,42.65,43.37,3289040
2010-01-29,42.24,42.87,42.18,42.76,5139681
2010-02-01,42.22,42.5,42.0,42.4,2509027
2010-02-02,42.17,42.34,41.82,42.18,3802569
2010-02-03,42.21,42.26,41.61,41.97,3675364
2010-02-04,41.36,42.39,41.36,42.01,2775618
2010-02-05,41.92,42.03,41.02,41.29,5163758
2010-02-08,41.33,42.15,41.29,41.89,2358523
2010-02-09,41.39,42.19,41.36,41.61,3269036
2010-02-10,41.05,41.39,40.59,41.31,3008392
2010-02-11,41.29,41.31,40.58,40.94,3199101
2010-02-12,41.02,41.23,40.75,41.02,2000214
2010-02-15,41.02,41.23,40.75,41.02,0
2010-02-16,41.78,41.9,41.34,41.36,1826339
2010-02-17,41.87,42.09,41.64,41.96,2021875
2010-02-18,42.51,42.63,41.75,41.81,2741778
2010-02-19,42.61,43.35,42.15,42.23,3088719
2010-02-22,41.98,42.78,41.96,42.77,2561522
2010-02-23,42.02,42.14,41.56,41.99,3351990
2010-02-24,42.01,42.21,41.7,42.16,3989193
2010-02-25,41.5,41.78,41.01,41.55,4052359
2010-02-26,41.92,42.07,41.26,41.61,4825991
2010-03-01,42.04,42.35,41.89,42.01,2362356
2010-03-02,42.64,42.95,42.21,42.35,2535664
2010-03-03,42.31,42.83,42.31,42.81,2437266
2010-03-04,42.41,42.49,41.99,42.41,2079371
2010-03-05,42.64,42.69,42.33,42.66,1441539
2010-03-08,42.59,42.9,42.44,42.55,1693517
2010-03-09,42.84,42.84,42.49,42.51,2379034
2010-03-10,42.97,43.01,42.58,42.79,2261220
2010-03-11,42.91,43.07,42.658,42.87,1802837
2010-03-12,42.79,43.12,42.56,43.12,1999203
2010-03-15,42.97,43.05,42.635,42.87,1764631
2010-03-16,43.22,43.28,42.8,42.96,1425192
2010-03-17,43.22,43.42,43.1,43.36,1828031
2010-03-18,43.17,43.22,42.82,43.13,1995705
2010-03-19,43.3,43.41,42.93,43.22,3437050
2010-03-22,43.0,43.25,42.71,43.25,2585201
2010-03-23,43.32,43.36,43.01,43.14,2275954
2010-03-24,42.87,43.29,42.85,43.21,2292116
2010-03-25,42.98,43.21,42.79,42.97,2780125
2010-03-26,42.97,43.15,42.81,43.01,1898487
2010-03-29,42.81,42.985,42.64,42.74,1728048
2010-03-30,42.52,43.0,42.51,42.81,1701879
2010-03-31,42.42,42.7,42.15,42.5,1918876
2010-04-01,42.74,42.89,42.56,42.59,1474351
2010-04-02,42.74,42.89,42.56,42.59,0
2010-04-05,42.96,43.09,42.66,42.84,1451653
2010-04-06,43.16,43.27,42.72,42.81,1668705
2010-04-07,42.71,43.16,42.56,43.04,1704899
2010-04-08,42.47,42.73,42.23,42.66,1597770
