Date,Close,High,Low,Open,Volume
2010-01-01,60.8,61.44,60.76,61.25,0
2010-01-04,61.24,61.52,60.64,61.19,6585871
2010-01-05,61.98,62.1,60.9,61.0,8886806
2010-01-06,61.36,62.47,61.23,61.99,9999180
2010-01-07,60.97,61.38,60.53,61.35,10792877
2010-01-08,60.77,60.82,60.27,60.76,8674678
2010-01-11,60.7,60.81,60.1,60.68,6461476
2010-01-12,61.55,61.68,60.5,60.52,9081816
2010-01-13,62.05,62.34,61.41,61.41,7380176
2010-01-14,62.8,62.92,61.76,62.02,7211549
2010-01-15,62.29,62.91,61.82,62.61,8361153
2010-01-18,62.29,62.91,61.82,62.61,0
2010-01-19,62.33,62.41,61.97,62.23,5615716
2010-01-20,61.95,62.15,61.44,62.09,5605975
2010-01-21,60.94,62.16,60.74,62.01,7122291
2010-01-22,60.39,61.24,60.31,60.75,7228937
2010-01-25,60.23,60.7,60.08,60.7,4903991
2010-01-26,60.25,60.53,59.82,60.1,5001683
2010-01-27,60.29,60.39,59.6,60.05,6145842
2010-01-28,59.74,60.5,59.5,60.3,9289135
2010-01-29,59.62,60.36,59.12,59.84,8127732
2010-02-01,60.7,60.75,59.52,59.93,7303177
2010-02-02,61.15,61.28,60.34,60.68,6296694
2010-02-03,61.29,61.4,60.56,60.92,4862961
2010-02-04,59.64,60.93,59.62,60.83,6921365
2010-02-05,59.51,59.79,58.95,59.51,7347742
2010-02-08,58.96,59.66,58.75,59.6,7047679
2010-02-09,60.05,60.48,59.29,59.29,7941529
2010-02-10,60.38,60.67,59.51,59.96,10917642
2010-02-11,61.19,61.7,60.5,60.87,14391015
2010-02-12,60.92,61.22,60.49,61.06,8566952
2010-02-15,60.92,61.22,60.49,61.06,0
2010-02-16,61.31,61.45,60.5,61.42,6930727
2010-02-17,62.11,62.2,61.25,61.47,6703447
2010-02-18,62.53,62.72,61.97,62.06,6942874
2010-02-19,62.66,62.915,61.98,62.2,6416623
2010-02-22,62.41,62.87,62.1,62.76,4709493
2010-02-23,61.78,62.48,61.7,62.27,5159370
2010-02-24,62.08,62.16,61.58,62.15,6888073
2010-02-25,62.3,62.34,61.02,61.29,8074547
2010-02-26,62.47,62.59,61.91,62.5,14786326
2010-03-01,63.43,63.58,62.47,62.76,9016428
2010-03-02,63.8,64.0,63.42,63.51,9527605
2010-03-03,63.98,64.27,63.8,63.86,8487012
2010-03-04,64.11,64.5,63.96,64.39,7831010
2010-03-05,64.37,64.48,63.91,64.33,8448583
2010-03-08,64.15,64.46,63.8,64.38,5086252
2010-03-09,64.36,64.65,63.8,63.99,7655363
2010-03-10,64.43,64.59,64.01,64.13,6449994
2010-03-11,64.97,65.0,63.9,64.11,7536854
2010-03-12,65.1,65.25,64.68,64.92,6896362
2010-03-15,66.15,66.26,65.4,65.5,10468221
2010-03-16,66.07,66.3,65.8299,66.25,7474600
2010-03-17,66.57,66.58,66.02,66.15,6922345
2010-03-18,66.52,66.73,66.16,66.55,6962566
2010-03-19,66.56,66.98,66.26,66.96,10412566
2010-03-22,66.31,66.56,66.15,66.42,6762968
2010-03-23,66.86,67.0,66.24,66.34,6413388
2010-03-24,66.26,67.0,66.25,66.82,7661330
2010-03-25,66.55,67.0,66.35,66.38,6246719
2010-03-26,66.59,66.81,66.34,66.62,5313363
2010-03-29,66.55,66.87,66.3,66.58,6825572
2010-03-30,66.77,67.0,66.36,66.57,5733730
2010-03-31,66.16,66.71,66.06,66.65,8123851
2010-04-01,66.68,66.68,66.25,66.41,5074072
2010-04-02,66.68,66.68,66.25,66.41,0
2010-04-05,65.98,66.68,65.83,66.52,6732659
2010-04-06,66.39,66.63,65.79,65.86,6734645
2010-04-07,65.99,66.52,65.75,66.47,8204143
2010-04-08,65.97,66.19,65.6201,65.78,6649298
2010-04-09,66.36,66.43,65.86,65.91,4757609
2010-04-12,66.32,66.67,66.26,66.35,5072899
2010-04-13,66.39,66.5,66.02,66.16,5184548
2010-04-14,66.29,66.3,65.83,66.14,5202275
2010-04-15,66.27,66.5,65.8,65.95,5968597
2010-04-16,66.14,66.65,65.96,66.09,7375475
2010-04-19,66.12,66.39,65.7,66.14,6354595
2010-04-20,65.9,66.4,65.72,66.19,6780858
2010-04-21,65.98,66.31,65.61,65.85,6534367
2010-04-22,64.76,65.79,64.5,65.7,9689877
2010-04-23,64.71,64.85,64.17,64.68,9008965
2010-04-26,65.02,65.44,64.61,64.85,8096854
2010-04-27,64.23,65.2,64.07,64.69,8615261
2010-04-28,64.75,64.82,63.6,64.15,10229590
2010-04-29,65.2,65.5,64.83,65.18,7713902
2010-04-30,65.22,65.98,65.18,65.25,8274179
2010-05-03,65.69,66.0,64.89,65.27,5807835
2010-05-04,65.43,65.98,65.05,65.06,8383505
2010-05-05,65.2,65.95,65.02,65.35,7658715
2010-05-06,64.7,66.2,61.91,65.15,14046746
2010-05-07,64.57,65.04,63.66,64.33,13221594
2010-05-10,66.41,66.49,65.66,66.18,10833826
2010-05-11,66.55,67.0,66.02,66.02,7241111
2010-05-12,66.94,67.61,66.81,67.02,13170512
2010-05-13,66.48,67.08,66.46,67.02,7800677
2010-05-14,66.07,66.6,65.77,66.38,9731735
2010-05-17,66.75,66.96,66.07,66.08,6944094
2010-05-18,66.53,67.3,66.4,66.92,7238366
2010-05-19,66.04,66.38,65.5,66.11,7867739
2010-05-20,63.86,65.23,63.86,64.8,11588613
2010-05-21,63.58,63.64,62.14,62.35,14586377
2010-05-24,63.32,64.012,62.6,62.91,6334528
2010-05-25,62.89,62.92,61.65,62.11,9156870
2010-05-26,61.23,63.06,61.04,62.93,15153946
2010-05-27,62.9,62.93,61.522,61.88,9428372
2010-05-28,62.89,63.46,62.7258,62.93,7546977
2010-05-31,62.89,63.46,62.7258,62.93,0
2010-06-01,62.76,63.59,61.9,62.67,7180024
2010-06-02,63.46,63.46,61.83,62.57,10023959
2010-06-03,63.37,63.65,63.0,63.48,6448378
2010-06-04,61.44,62.46,61.29,62.03,10309768
2010-06-07,61.73,62.56,61.29,61.31,7695109
2010-06-08,62.65,62.8,61.4,61.52,7538206
2010-06-09,62.49,63.07,62.33,62.78,7062784
2010-06-10,63.84,63.9,63.03,63.2,6568085
2010-06-11,63.56,63.56,62.94,63.34,5466071
2010-06-14,63.85,64.23,63.24,63.56,4941710
