Date,Close,High,Low,Open,Volume
2010-01-01,18.19,18.48,18.19,18.39,0
2010-01-04,18.93,18.94,18.235,18.27,52087601
2010-01-05,18.66,18.93,18.55,18.92,43375154
2010-01-06,18.6,18.81,18.51,18.66,41407171
2010-01-07,18.53,18.67,18.46,18.64,39429578
2010-01-08,18.68,18.71,18.52,18.62,30409108
2010-01-11,18.83,18.95,18.67,18.83,32449989
2010-01-12,18.77,18.99,18.64,18.8,41273509
2010-01-13,19.21,19.3,18.87,18.87,59517792
2010-01-14,19.38,19.5,19.13,19.2,47268682
2010-01-15,19.49,19.68,19.26,19.43,76629050
2010-01-18,19.49,19.68,19.26,19.43,0
2010-01-19,20.0,20.07,19.5,19.53,78340771
2010-01-20,19.94,20.36,19.87,20.05,79245678
2010-01-21,19.24,20.15,19.17,20.04,77180528
2010-01-22,18.96,19.9167,18.9,19.26,61707506
2010-01-25,18.85,19.25,18.84,19.24,49275499
2010-01-26,18.78,18.9,18.63,18.72,43601156
2010-01-27,19.0,19.09,18.66,18.78,54617924
2010-01-28,18.63,19.1,18.61,19.07,50943814
2010-01-29,18.66,18.97,18.52,18.7,56044605
2010-02-01,18.79,18.99,18.7,18.79,39455683
2010-02-02,19.24,19.33,18.77,18.87,67643086
2010-02-03,18.62,18.85,18.42,18.69,114002864
2010-02-04,18.03,18.44,18.01,18.35,94261821
2010-02-05,17.96,18.185,17.6,17.91,90400890
2010-02-08,17.84,18.0,17.72,17.91,55630348
2010-02-09,17.88,18.15,17.65,17.87,70977165
2010-02-10,17.74,17.98,17.6333,17.92,59958492
2010-02-11,17.87,18.03,17.62,17.75,54698325
2010-02-12,17.8,17.89,17.62,17.85,50345242
2010-02-15,17.8,17.89,17.62,17.85,0
2010-02-16,17.72,18.08,17.61,18.03,63287911
2010-02-17,17.67,17.86,17.53,17.84,58260429
2010-02-18,17.73,17.75,17.55,17.69,57122915
2010-02-19,17.99,18.1,17.73,17.83,50659579
2010-02-22,17.95,18.15,17.78,17.97,58002299
2010-02-23,17.67,17.94,17.61,17.84,47873501
2010-02-24,17.81,18.02,17.6,17.71,67724824
2010-02-25,17.69,17.73,17.43,17.53,53460168
2010-02-26,17.55,17.81,17.5,17.72,59237623
2010-03-01,17.75,17.86,17.58,17.65,45625301
2010-03-02,17.6,17.88,17.55,17.88,64662302
2010-03-03,17.32,17.595,17.21,17.45,109071005
2010-03-04,17.33,17.4,17.22,17.34,56919092
2010-03-05,17.48,17.5,17.23,17.39,64708932
2010-03-08,17.35,17.6,17.27,17.59,48738797
2010-03-09,17.23,17.32,17.15,17.26,54551191
2010-03-10,17.15,17.35,17.11,17.21,56305799
2010-03-11,17.29,17.32,17.1,17.13,49142516
2010-03-12,17.08,17.23,16.99,17.2,85448501
2010-03-15,17.26,17.28,16.99,17.0,43939429
2010-03-16,17.26,17.38,17.11,17.3,53166129
2010-03-17,17.21,17.31,17.16,17.26,56649323
2010-03-18,17.23,17.35,17.12,17.32,50910679
2010-03-19,16.91,17.3,16.8,17.3,112528350
2010-03-22,17.15,17.25,16.98,17.0,71077871
2010-03-23,17.54,17.58,17.2,17.29,73917072
2010-03-24,17.61,17.71,17.54,17.61,74003581
2010-03-25,17.39,17.78,17.35,17.74,48204683
2010-03-26,17.14,17.38,17.1,17.36,54182241
2010-03-29,17.28,17.34,17.14,17.18,48742497
2010-03-30,17.26,17.39,17.13,17.32,41833362
2010-03-31,17.15,17.27,17.09,17.17,59034428
2010-04-01,17.08,17.28,16.99,17.21,69116753
2010-04-02,17.08,17.28,16.99,17.21,0
2010-04-05,16.9,17.14,16.85,17.12,68750168
2010-04-06,16.96,17.05,16.86,16.9,77606653
2010-04-07,17.07,17.12,16.99,17.0,84540499
2010-04-08,17.14,17.16,17.02,17.07,52796664
2010-04-09,17.25,17.31,17.17,17.18,44001996
2010-04-12,17.29,17.33,17.19,17.32,49140758
2010-04-13,17.18,17.25,17.1,17.21,65857848
2010-04-14,17.07,17.18,16.94,17.15,95889663
2010-04-15,16.99,17.16,16.96,17.08,59604713
2010-04-16,16.8,17.01,16.8,17.0,75522835
2010-04-19,16.79,16.82,16.6,16.7,65927612
2010-04-20,16.76,16.87,16.73,16.83,56520185
2010-04-21,16.6,16.82,16.44,16.73,68570205
2010-04-22,16.48,16.56,16.33,16.5,69718028
2010-04-23,16.91,17.01,16.4,16.44,98313106
2010-04-26,16.82,16.97,16.698,16.84,83473241
2010-04-27,16.46,16.85,16.4,16.69,91545211
2010-04-28,16.53,16.64,16.39,16.45,60666475
2010-04-29,16.86,17.01,16.63,16.68,67504501
2010-04-30,16.72,17.0,16.68,16.99,51071141
2010-05-03,16.91,17.0,16.62,16.76,71969032
2010-05-04,17.26,17.39,17.06,17.15,120901477
2010-05-05,17.18,17.34,16.9625,17.0,99299909
2010-05-06,16.74,17.2125,15.85,17.1,119230974
2010-05-07,16.46,16.8125,16.38,16.74,106900700
2010-05-10,17.0,17.25,16.84,16.9,81597229
2010-05-11,17.01,17.19,16.8,16.85,53957491
2010-05-12,16.9,17.09,16.72,16.99,53526381
2010-05-13,16.56,16.94,16.54,16.85,67786761
