Date,Close,High,Low,Open,Volume
2010-01-01,17.99,18.22,17.96,18.18,0
2010-01-04,18.03,18.09,17.87,17.99,4619342
2010-01-05,17.97,18.07,17.78,18.03,6113737
2010-01-06,17.79,18.04,17.72,17.99,3576235
2010-01-07,17.55,17.6,17.32,17.44,4731273
2010-01-08,17.71,17.75,17.43,17.51,3623539
2010-01-11,17.26,17.73,17.21,17.68,6228731
2010-01-12,17.3,17.42,17.19,17.19,4951572
2010-01-13,17.72,17.83,17.3,17.35,5012237
2010-01-14,17.75,17.85,17.57,17.73,2544901
2010-01-15,17.43,17.68,17.3,17.58,3871463
2010-01-18,17.43,17.68,17.3,17.58,0
2010-01-19,17.71,17.77,17.37,17.37,4733553
2010-01-20,17.6,17.9,17.43,17.59,5846450
2010-01-21,17.37,17.7001,17.2,17.61,5597084
2010-01-22,16.89,17.44,16.84,17.38,4900468
2010-01-25,16.87,17.22,16.66,17.01,4305342
2010-01-26,16.8,17.14,16.78,16.83,3242196
2010-01-27,16.96,16.98,16.67,16.72,4306229
2010-01-28,16.75,17.07,16.66,16.96,4095982
2010-01-29,16.58,16.89,16.56,16.77,5639325
2010-02-01,16.75,16.76,16.56,16.62,4211034
2010-02-02,16.93,16.95,16.68,16.77,3645125
2010-02-03,16.77,17.0463,16.7,16.84,3176025
2010-02-04,16.25,16.75,16.23,16.67,4847154
2010-02-05,16.52,16.52,16.18,16.25,6034693
2010-02-08,16.21,16.54,16.2,16.5,4292039
2010-02-09,16.37,16.5,16.22,16.41,3193263
2010-02-10,16.5,16.53,16.28,16.31,3736428
2010-02-11,16.63,16.7,16.35,16.54,3802364
2010-02-12,16.71,16.74,16.4,16.55,4295975
2010-02-15,16.71,16.74,16.4,16.55,0
2010-02-16,17.07,17.1,16.75,16.83,3083286
2010-02-17,16.92,17.15,16.87,17.15,3766471
2010-02-18,17.15,17.16,16.77,16.9,3313772
2010-02-19,17.15,17.22,16.96,17.06,2592588
2010-02-22,17.19,17.25,17.07,17.15,2331644
2010-02-23,17.08,17.3,17.07,17.14,3251016
2010-02-24,17.23,17.3,17.13,17.17,2775025
2010-02-25,17.24,17.31,16.74,16.97,3949611
2010-02-26,17.15,17.33,17.1,17.28,2776048
