Date,Close,High,Low,Open,Volume
2010-01-01,23.01,23.58,23.01,23.48,0
2010-01-04,23.39,23.73,23.23,23.27,810839
2010-01-05,23.69,23.84,23.27,23.42,532669
2010-01-06,23.57,24.05,23.51,23.75,505590
2010-01-07,23.4,23.61,23.1,23.5,628390
2010-01-08,24.95,25.09,23.3,23.43,2726679
2010-01-11,24.05,25.0,23.87,25.0,1350480
2010-01-12,23.73,23.94,23.34,23.86,842478
2010-01-13,23.92,24.02,23.46,23.89,559865
2010-01-14,23.61,23.93,23.43,23.75,532967
2010-01-15,23.23,23.77,22.99,23.77,741689
2010-01-18,23.23,23.77,22.99,23.77,0
2010-01-19,23.84,23.89,23.23,23.31,788194
2010-01-20,22.96,23.63,22.89,23.63,929678
2010-01-21,21.69,23.14,21.69,22.94,1627443
2010-01-22,21.24,22.08,21.16,21.72,1834041
2010-01-25,21.54,22.32,21.4,21.42,2089194
2010-01-26,22.81,23.21,21.41,21.5,2969021
2010-01-27,22.42,22.96,22.01,22.96,962987
2010-01-28,21.89,22.54,21.695,22.45,726690
2010-01-29,22.04,22.42,21.75,21.91,1038253
2010-02-01,22.26,22.32,21.93,22.17,1427882
2010-02-02,22.27,22.37,21.88,22.2,1184556
2010-02-03,21.7,22.2,21.6,21.76,1318388
2010-02-04,20.94,21.5,20.92,21.47,1273859
2010-02-05,21.39,21.43,20.63,20.89,1074317
2010-02-08,21.37,21.81,21.16,21.41,886913
2010-02-09,21.57,21.98,21.29,21.66,1178632
2010-02-10,21.26,21.68,21.05,21.46,436131
2010-02-11,21.5,21.5,21.13,21.27,354196
2010-02-12,21.6,21.6,20.86,21.27,493853
2010-02-15,21.6,21.6,20.86,21.27,0
2010-02-16,22.24,22.3,21.77,21.91,786072
2010-02-17,22.46,22.93,22.23,22.43,716475
2010-02-18,22.89,23.08,22.26,22.32,1021821
2010-02-19,22.72,23.05,22.63,22.8,595150
2010-02-22,22.46,22.73,22.05,22.73,1263717
2010-02-23,23.33,23.69,22.53,22.65,1571646
2010-02-24,23.69,23.85,23.23,23.47,903094
2010-02-25,24.15,24.17,23.18,23.35,1123955
2010-02-26,23.8,24.26,23.58,24.19,617983
2010-03-01,24.39,24.49,23.78,23.82,1089114
2010-03-02,24.37,24.65,24.31,24.39,857560
2010-03-03,24.52,24.66,24.23,24.36,721485
2010-03-04,24.4,24.73,24.16,24.6,382903
2010-03-05,24.61,24.7899,24.47,24.58,385948
2010-03-08,24.5,24.69,24.37,24.55,384086
2010-03-09,24.37,24.88,24.26,24.44,549118
2010-03-10,24.29,24.56,23.98,24.31,1115523
2010-03-11,24.28,24.29,23.85,24.06,646927
2010-03-12,24.29,24.44,23.96,24.44,802980
2010-03-15,24.36,24.37,23.87,24.29,1152388
2010-03-16,25.04,25.05,24.43,24.53,918980
2010-03-17,25.46,25.83,25.07,25.18,1370107
2010-03-18,25.29,25.54,24.94,25.51,888657
2010-03-19,24.78,25.41,24.67,25.36,685203
2010-03-22,25.07,25.4281,24.49,24.55,679171
2010-03-23,25.26,25.31,24.8799,25.09,611172
2010-03-24,25.0,25.19,24.71,25.05,636081
2010-03-25,24.34,25.4,24.28,25.2,1318057
2010-03-26,24.31,24.66,24.23,24.35,730531
2010-03-29,24.59,24.76,24.34,24.36,602738
2010-03-30,24.62,24.75,24.3,24.68,433931
2010-03-31,24.61,24.74,24.27,24.48,808121
2010-04-01,24.77,25.08,24.555,24.72,574661
2010-04-02,24.77,25.08,24.555,24.72,0
2010-04-05,25.2,25.2,24.69,24.9,440977
2010-04-06,25.09,25.19,24.87,25.11,652708
2010-04-07,24.5,25.03,24.36,24.95,1239528
2010-04-08,24.67,24.69,24.09,24.39,637052
2010-04-09,24.89,24.99,24.24,24.68,1034230
2010-04-12,24.34,24.9,24.14,24.86,951444
