Date,Close,High,Low,Open,Volume
2010-01-01,20.59,20.83,20.59,20.77,0
2010-01-04,20.64,20.81,20.28,20.76,1880130
2010-01-05,20.89,21.06,20.49,20.66,1568111
2010-01-06,21.3,21.41,20.796,20.82,1245531
2010-01-07,21.24,22.0,21.2,21.8,2581891
2010-01-08,21.43,21.51,21.21,21.32,2273232
2010-01-11,21.46,21.66,21.4,21.56,2347567
2010-01-12,21.16,21.4401,21.04,21.4,2656899
2010-01-13,21.41,21.44,21.04,21.27,1352506
2010-01-14,21.65,21.67,21.32,21.34,1147699
2010-01-15,21.41,21.89,21.28,21.72,1239088
2010-01-18,21.41,21.89,21.28,21.72,0
2010-01-19,21.44,21.75,21.01,21.41,2234981
2010-01-20,21.16,21.38,20.92,21.38,1301516
2010-01-21,20.48,21.18,20.41,21.14,1668821
2010-01-22,20.37,21.17,20.37,20.53,2016028
2010-01-25,20.52,20.7,20.4,20.48,796208
2010-01-26,20.57,20.77,20.22,20.49,879114
2010-01-27,20.39,20.6,20.2,20.49,1135154
2010-01-28,20.07,20.55,20.06,20.42,1114362
2010-01-29,20.14,20.49,20.03,20.14,1939589
2010-02-01,20.19,20.35,19.98,20.3,1742690
2010-02-02,20.82,20.89,20.13,20.23,1357939
2010-02-03,20.68,21.18,20.64,20.84,1190128
2010-02-04,19.82,20.49,19.73,20.45,1678262
2010-02-05,20.52,22.06,20.12,21.5,6011935
2010-02-08,20.95,21.29,20.43,20.46,2804090
2010-02-09,20.89,21.19,20.82,21.19,2224221
2010-02-10,20.7,21.0,20.6,20.9,1458061
2010-02-11,20.87,20.91,20.53,20.67,1542684
2010-02-12,21.0,21.02,20.5,20.71,1706893
2010-02-15,21.0,21.02,20.5,20.71,0
2010-02-16,21.59,21.6,20.9,21.15,1879191
2010-02-17,21.59,21.78,21.55,21.78,1321861
2010-02-18,21.92,21.98,21.59,21.6,1537752
2010-02-19,21.79,22.06,21.66,21.77,985590
2010-02-22,22.38,22.73,21.78,21.85,4185544
2010-02-23,22.32,22.5,22.15,22.4,1983666
2010-02-24,22.35,22.5,22.23,22.48,1331472
2010-02-25,22.41,22.43,21.9,22.05,1302736
2010-02-26,22.21,22.49,22.03,22.49,945255
2010-03-01,23.26,23.5398,22.26,22.46,3154378
2010-03-02,23.43,23.69,23.24,23.41,1398759
2010-03-03,23.34,23.54,23.2,23.44,866743
2010-03-04,23.12,23.45,22.95,23.33,775610
2010-03-05,23.79,23.79,23.16,23.19,1550302
2010-03-08,23.68,23.82,23.48,23.68,1490703
2010-03-09,23.52,23.71,23.44,23.52,1059670
2010-03-10,23.5,23.58,23.3,23.58,1225963
2010-03-11,23.46,23.5699,23.28,23.5,1008561
2010-03-12,23.37,23.6,23.24,23.49,884934
2010-03-15,23.5,23.67,23.37,23.45,656516
2010-03-16,23.63,23.67,23.38,23.49,1046640
2010-03-17,24.0,24.09,23.63,23.63,1109766
2010-03-18,24.11,24.28,23.99,24.05,981057
2010-03-19,23.61,24.45,23.6,24.45,1677547
2010-03-22,24.06,24.09,23.42,23.55,1017601
2010-03-23,24.19,24.24,23.82,24.05,683352
2010-03-24,23.98,24.18,23.91,24.09,849376
2010-03-25,23.9,24.21,23.86,24.11,1186900
2010-03-26,24.0,24.13,23.82,23.95,1113948
2010-03-29,24.23,24.3,24.06,24.09,737727
2010-03-30,24.31,24.44,24.14,24.23,602862
2010-03-31,23.9,24.3,23.88,24.26,863367
2010-04-01,24.15,24.15,23.915,24.0,1344811
2010-04-02,24.15,24.15,23.915,24.0,0
2010-04-05,24.2,24.35,24.03,24.29,1191808
2010-04-06,24.01,24.17,23.9,24.1,966639
2010-04-07,23.88,24.07,23.81,24.02,916966
2010-04-08,23.67,23.82,23.5,23.73,1367882
2010-04-09,23.8,23.87,23.66,23.66,2262481
2010-04-12,23.76,23.94,23.75,23.84,405704
2010-04-13,23.74,23.82,23.59,23.76,637416
2010-04-14,23.82,23.9,23.24,23.63,965090
2010-04-15,23.87,23.95,23.77,23.81,938875
2010-04-16,23.5,24.04,23.46,23.9,1475291
2010-04-19,23.44,23.645,23.33,23.47,1433767
2010-04-20,23.99,23.99,23.52,23.52,1527883
2010-04-21,23.94,24.03,23.74,23.92,1279154
2010-04-22,23.88,24.0,23.48,23.69,1726270
2010-04-23,23.83,23.96,23.64,23.95,1796638
2010-04-26,23.74,23.96,23.71,23.85,1330567
2010-04-27,23.45,24.02,23.43,23.63,2192743
2010-04-28,24.61,24.76,23.59,23.59,3568191
2010-04-29,25.12,25.22,24.72,24.91,2816584
2010-04-30,25.05,25.45,24.935,25.16,1971650
2010-05-03,25.19,25.33,25.01,25.1,1927561
2010-05-04,24.33,24.95,24.27,24.95,2066393
2010-05-05,24.0,24.34,23.92,24.18,2049971
2010-05-06,23.02,24.1,21.76,23.94,2920786
2010-05-07,22.23,23.62,21.32,23.55,5277633
2010-05-10,23.46,23.62,22.79,23.27,2027259
2010-05-11,23.06,23.665,23.04,23.17,2114391
2010-05-12,23.55,23.61,23.04,23.07,1566707
2010-05-13,23.31,23.76,23.25,23.44,1300703
2010-05-14,22.71,23.19,22.5,23.19,1847818
2010-05-17,22.78,22.91,22.285,22.76,1361389
2010-05-18,22.73,23.1,22.69,22.89,2621275
2010-05-19,23.06,23.18,22.52,22.57,3763699
2010-05-20,22.03,22.72,21.97,22.58,3621341
2010-05-21,22.01,22.2,21.38,21.55,2400739
2010-05-24,21.84,22.2,21.81,21.9,1818236
2010-05-25,21.76,21.78,21.0,21.35,3169348
2010-05-26,21.97,22.4,21.82,21.89,2328785
2010-05-27,23.08,23.1,22.29,22.32,1573497
2010-05-28,22.69,23.04,22.61,23.02,1412650
2010-05-31,22.69,23.04,22.61,23.02,0
2010-06-01,22.22,22.81,22.17,22.47,1162411
2010-06-02,22.73,22.73,22.04,22.34,1395337
2010-06-03,23.0,23.07,22.76,22.76,1016426
2010-06-04,21.72,22.51,21.65,22.51,2152464
2010-06-07,21.31,21.89,21.29,21.73,1326639
2010-06-08,21.36,21.47,21.19,21.27,2716093
2010-06-09,21.79,22.355,21.52,21.55,3786484
2010-06-10,22.48,22.55,22.0,22.11,1036202
2010-06-11,22.58,22.65,22.2,22.27,767824
2010-06-14,22.45,22.91,22.43,22.72,1435450
2010-06-15,22.85,22.89,22.53,22.66,1469729
2010-06-16,22.96,23.06,22.57,22.72,1480167
2010-06-17,22.94,23.09,22.65,23.09,782110
2010-06-18,22.72,23.0101,22.66,22.99,1193455
2010-06-21,22.9,23.21,22.78,22.96,1185255
2010-06-22,22.53,23.08,22.46,22.96,1432673
2010-06-23,22.24,22.54,22.1,22.52,700233
2010-06-24,21.43,22.15,21.36,22.1,2975843
2010-06-25,21.9,21.99,21.315,21.46,3739305
2010-06-28,21.82,22.015,21.58,21.87,1050254
2010-06-29,20.87,21.5,20.76,21.5,1131006
