Date,Close,High,Low,Open,Volume
2010-01-01,25.55,26.2,25.34,26.13,0
2010-01-04,25.37,26.03,25.25,25.76,1169614
2010-01-05,25.74,25.76,25.11,25.35,1048138
2010-01-06,25.51,26.0,25.34,25.75,1163367
2010-01-07,25.72,25.84,25.15,25.38,950476
2010-01-08,25.65,25.89,25.41,25.53,1072611
2010-01-11,25.68,26.0,25.37,25.73,876601
2010-01-12,25.11,25.64,24.87,25.35,962109
2010-01-13,25.79,25.85,25.2,25.27,989130
2010-01-14,25.69,25.785,25.38,25.58,766685
2010-01-15,25.57,25.75,25.45,25.52,739805
2010-01-18,25.57,25.75,25.45,25.52,0
2010-01-19,26.07,26.13,25.57,25.57,956140
2010-01-20,25.46,25.63,24.98,25.57,1192510
2010-01-21,24.25,25.59,24.21,25.44,2000881
2010-01-22,23.68,24.54,23.57,24.28,2069287
2010-01-25,23.7,24.13,23.14,24.04,1571519
2010-01-26,24.25,24.74,23.5,23.57,1891240
2010-01-27,24.65,24.65,23.76,24.17,1801253
2010-01-28,24.02,24.87,23.78,24.79,1328222
2010-01-29,24.0,24.66,23.8,24.1,2014670
2010-02-01,24.59,24.63,24.14,24.37,2266313
2010-02-02,24.69,25.02,24.33,24.73,3403657
2010-02-03,23.86,24.49,23.48,24.49,1532847
2010-02-04,22.8,23.68,22.66,23.57,2093275
2010-02-05,23.15,23.29,22.5,22.84,2099014
2010-02-08,22.52,23.22,22.45,22.82,1720937
2010-02-09,22.49,23.0,22.18,22.95,2011620
2010-02-10,22.42,22.758,21.96,22.38,1431602
2010-02-11,22.14,22.45,21.92,22.45,2218547
2010-02-12,22.63,22.69,21.8,21.95,1838282
2010-02-15,22.63,22.69,21.8,21.95,0
2010-02-16,23.3,23.39,22.8,22.96,2016445
2010-02-17,23.46,23.58,23.27,23.49,739029
2010-02-18,23.91,24.03,23.29,23.44,1435304
2010-02-19,23.76,23.94,23.58,23.78,1272625
2010-02-22,23.97,24.09,23.71,23.95,969780
2010-02-23,23.68,24.05,23.63,23.78,1082837
2010-02-24,23.92,23.92,23.61,23.73,950071
2010-02-25,24.28,24.33,23.41,23.48,1146197
2010-02-26,24.34,24.66,24.11,24.29,1331984
2010-03-01,24.46,24.65,24.3,24.46,1014574
2010-03-02,24.64,24.78,24.36,24.52,761805
2010-03-03,24.45,24.78,24.35,24.67,858802
2010-03-04,24.55,24.65,24.3,24.57,910743
2010-03-05,25.41,25.47,24.55,24.8,1198870
2010-03-08,25.81,25.93,25.27,25.36,825172
2010-03-09,26.01,26.17,25.55,25.66,1460868
2010-03-10,26.6,26.62,25.85,26.06,1518078
2010-03-11,26.92,26.99,26.3,26.38,1761038
2010-03-12,27.27,27.32,26.87,27.0,1503226
2010-03-15,27.37,27.59,26.85,27.21,1490957
2010-03-16,27.98,28.07,27.13,27.42,1975531
2010-03-17,28.58,28.84,27.86,28.12,1299851
2010-03-18,28.6,28.69,28.28,28.51,1366367
2010-03-19,28.06,28.8,27.98,28.67,1875442
2010-03-22,28.09,28.3,27.52,27.72,1490455
2010-03-23,28.47,28.59,27.915,28.18,1373415
2010-03-24,28.78,28.91,28.23,28.27,1744565
2010-03-25,28.89,29.6,28.86,29.07,1629382
2010-03-26,28.86,29.22,28.73,29.06,1393417
2010-03-29,28.5,29.12,28.44,29.06,1513452
2010-03-30,27.77,28.71,27.655,28.48,1641768
2010-03-31,27.24,27.94,27.2,27.21,2417764
2010-04-01,27.24,27.55,27.05,27.48,1880065
2010-04-02,27.24,27.55,27.05,27.48,0
2010-04-05,27.75,27.9408,27.31,27.51,1696247
2010-04-06,28.64,28.94,27.48,27.48,1719877
2010-04-07,27.53,28.26,27.28,28.1,14614065
2010-04-08,27.53,27.65,27.28,27.5,2879244
2010-04-09,27.9,27.91,27.29,27.6,3068018
2010-04-12,27.78,27.99,27.75,27.93,1679821
2010-04-13,28.28,28.45,27.63,27.76,2052048
2010-04-14,28.36,28.59,27.92,28.45,2997875
2010-04-15,27.42,28.32,27.29,28.18,2602951
2010-04-16,26.86,27.64,26.83,27.26,3120633
2010-04-19,27.17,27.2,26.51,26.69,1929403
2010-04-20,27.73,27.86,26.93,27.4,2161022
2010-04-21,27.7,28.24,27.37,27.62,2459820
2010-04-22,27.88,27.94,27.11,27.5,1752846
2010-04-23,28.31,28.36,27.53,28.02,2023747
2010-04-26,28.36,28.77,28.05,28.18,1820578
2010-04-27,27.54,28.38,27.5,28.16,1992082
2010-04-28,27.85,28.09,27.52,27.78,1427902
2010-04-29,28.89,29.03,28.08,28.17,2044420
2010-04-30,27.86,29.17,27.8,28.81,2417799
2010-05-03,28.88,29.0,28.13,28.13,1620259
2010-05-04,28.03,28.44,27.63,28.24,2133777
2010-05-05,27.94,28.62,27.3,27.7,2499343
2010-05-06,26.58,28.0,23.89,27.76,3698682
2010-05-07,25.47,27.82,25.33,27.15,4177957
2010-05-10,27.57,28.08,26.88,28.0,4120876
2010-05-11,27.63,28.1055,26.97,27.19,2515225
2010-05-12,28.88,28.99,27.67,27.83,2435210
2010-05-13,28.31,28.85,28.13,28.78,1424068
2010-05-14,26.61,28.12,26.36,28.09,2232702
2010-05-17,26.54,27.4,25.79,26.88,1896263
2010-05-18,26.2,27.28,26.0,26.94,2444784
2010-05-19,26.22,27.08,25.19,26.13,2434675
2010-05-20,24.86,25.61,24.82,25.32,3543428
2010-05-21,25.57,25.9,24.04,24.23,3572034
2010-05-24,24.53,25.08,24.33,25.06,2654096
2010-05-25,24.49,24.52,23.135,23.72,2369621
2010-05-26,24.66,25.78,24.39,24.98,2503538
2010-05-27,26.14,26.19,25.02,25.39,2237675
2010-05-28,25.93,26.5,25.83,26.13,1910563
2010-05-31,25.93,26.5,25.83,26.13,0
2010-06-01,25.11,25.87,25.04,25.74,1571989
2010-06-02,25.65,25.67,24.69,25.4,2614888
2010-06-03,25.58,25.91,25.26,25.66,1426331
2010-06-04,24.15,25.44,24.05,24.89,2760631
2010-06-07,24.06,24.83,24.0,24.46,1685004
2010-06-08,24.72,24.8,23.49,24.13,2652884
2010-06-09,25.17,26.01,25.0,25.0,1913501
2010-06-10,26.45,26.6,25.51,25.78,2256439
2010-06-11,26.82,26.83,25.98,26.12,1174628
2010-06-14,27.11,27.59,26.79,27.16,2428410
2010-06-15,27.69,27.78,27.065,27.25,1763918
2010-06-16,27.11,27.75,26.96,27.48,1389491
2010-06-17,26.94,27.33,26.74,27.23,1468692
2010-06-18,26.7,26.95,26.45,26.72,3121051
2010-06-21,26.53,27.25,26.43,27.2,1665980
2010-06-22,25.3,26.84,25.22,26.63,2359746
2010-06-23,25.4,25.63,24.9,25.23,2735953
2010-06-24,24.74,25.45,24.69,25.31,1724241
2010-06-25,25.43,25.72,24.67,24.87,2622497
2010-06-28,25.08,25.55,24.92,25.54,1161829
2010-06-29,24.2,24.78,24.0,24.52,2527906
2010-06-30,23.71,24.6,23.7,24.19,2126767
2010-07-01,23.41,23.68,22.6,23.6,1954797
2010-07-02,22.75,23.67,22.65,23.65,1762813
2010-07-05,22.75,23.67,22.65,23.65,0
2010-07-06,22.24,23.54,22.09,23.19,2411634
2010-07-07,23.72,23.82,22.28,22.35,2801506
2010-07-08,24.37,24.47,23.8,24.1,3190478
2010-07-09,24.56,24.66,24.18,24.31,1128703
2010-07-12,24.69,24.8,24.17,24.42,1113540
2010-07-13,25.3,25.46,24.92,25.09,1856137
2010-07-14,24.87,25.38,24.72,25.23,1991962
2010-07-15,24.36,24.87,24.02,24.82,2073207
2010-07-16,23.0,24.2,22.81,24.19,3748958
2010-07-19,23.8,23.95,22.71,23.03,2874964
2010-07-20,24.04,24.13,23.12,23.39,2347849
2010-07-21,22.5,24.18,22.05,24.18,3820809
2010-07-22,22.95,23.09,22.14,22.14,3909592
2010-07-23,23.4,23.55,22.77,22.89,3975471
2010-07-26,24.52,24.56,23.34,23.47,1932146
2010-07-27,24.69,25.06,24.48,24.73,2312428
2010-07-28,24.58,25.12,24.45,24.7,1598727
2010-07-29,24.22,24.97,24.0,24.87,1806406
2010-07-30,24.96,25.07,23.78,23.83,2724167
2010-08-02,26.06,26.13,25.35,25.42,2234179
2010-08-03,25.72,26.13,25.68,25.93,2128735
2010-08-04,25.96,26.1,25.55,25.81,1853784
2010-08-05,25.82,26.08,25.6,25.63,1314886
2010-08-06,25.63,25.99,25.0,25.4,2054526
2010-08-09,26.12,26.18,25.42,25.8,1111213
2010-08-10,25.6,26.0,25.36,25.7,885985
2010-08-11,24.47,24.98,24.28,24.51,1672980
2010-08-12,23.95,24.51,23.9,24.06,1797729
2010-08-13,24.19,24.41,23.89,23.9,1032400
2010-08-16,24.22,24.55,23.91,24.03,769233
2010-08-17,24.69,24.97,24.26,24.52,1019303
2010-08-18,24.77,25.1,24.37,24.68,1043110
2010-08-19,23.84,24.61,23.71,24.6,1486846
2010-08-20,23.92,23.97,23.54,23.66,1250382
2010-08-23,23.53,24.37,23.49,24.08,1435954
2010-08-24,23.37,23.64,22.97,23.08,2043275
2010-08-25,24.02,24.12,23.1,23.17,1824034
2010-08-26,23.51,24.23,23.49,24.14,1440966
2010-08-27,23.88,23.89,23.09,23.82,2000284
2010-08-30,23.63,24.07,23.62,23.71,1053085
2010-08-31,23.79,24.01,23.35,23.51,1768559
2010-09-01,24.5,24.53,23.9,24.27,2678789
2010-09-02,25.15,25.23,24.44,24.66,1597608
2010-09-03,25.76,25.92,25.35,25.74,1394766
2010-09-06,25.76,25.92,25.35,25.74,0
2010-09-07,25.06,25.69,25.06,25.59,1033117
2010-09-08,25.26,25.36,25.11,25.11,785736
2010-09-09,25.05,25.71,24.9,25.71,1449804
2010-09-10,25.4,25.49,24.96,25.16,1298223
2010-09-13,25.96,26.04,25.67,25.74,1234583
2010-09-14,26.02,26.18,25.7,25.82,1002253
2010-09-15,26.32,26.49,25.71,25.87,1436998
2010-09-16,26.11,26.49,26.11,26.27,1142066
2010-09-17,25.7,26.39,25.56,26.29,1225472
2010-09-20,26.52,26.59,25.68,25.76,1268586
2010-09-21,25.77,26.57,25.7,26.46,1333768
2010-09-22,25.46,26.07,25.36,25.7,1209635
2010-09-23,25.0,25.57,24.86,25.17,1724024
2010-09-24,25.86,25.97,25.36,25.45,1275748
2010-09-27,25.46,25.81,25.26,25.81,1182255
2010-09-28,26.08,26.18,25.15,25.52,1554220
2010-09-29,26.24,26.37,25.77,26.0,1638234
2010-09-30,26.47,26.9687,26.15,26.48,3064927
2010-10-01,26.6,26.81,26.14,26.44,2586323
2010-10-04,27.01,27.1,26.54,26.55,1906034
2010-10-05,27.1,27.37,26.85,27.32,3058169
2010-10-06,26.6,27.0,26.42,26.93,3274991
2010-10-07,26.82,27.0,26.65,26.82,1800712
2010-10-08,26.67,26.92,26.35,26.88,3016053
2010-10-11,26.95,27.0,26.45,26.61,1102937
2010-10-12,26.75,26.92,26.375,26.9,3170503
2010-10-13,27.2,27.63,26.83,26.91,1554490
2010-10-14,26.9,27.23,26.68,27.11,1119508
2010-10-15,26.93,27.32,26.825,27.16,1335763
2010-10-18,27.01,27.04,26.63,26.99,1392947
2010-10-19,26.48,27.0,26.26,26.57,2022311
2010-10-20,27.82,28.335,26.58,26.68,3257392
2010-10-21,27.81,27.97,27.45,27.9,1491282
2010-10-22,27.87,27.9475,27.65,27.88,1492313
2010-10-25,27.93,28.15,27.78,28.12,1164480
2010-10-26,27.47,27.93,27.21,27.68,1626602
2010-10-27,27.54,28.0,27.23,27.24,1905438
2010-10-28,27.7,28.1,27.3,27.78,1084114
2010-10-29,28.1925,28.35,27.6099,27.62,1703016
2010-11-01,28.52,28.91,28.28,28.58,1638628
2010-11-02,28.57,28.85,28.43,28.76,1128776
2010-11-03,28.74,28.94,28.398,28.6,1791610
2010-11-04,29.85,29.905,28.87,29.08,1692254
2010-11-05,30.15,30.73,29.72,29.83,1872921
2010-11-08,30.48,30.64,29.93,30.09,2207731
2010-11-09,29.26,30.73,29.02,30.41,2406714
2010-11-10,29.91,29.96,29.28,29.36,1806421
2010-11-11,29.88,30.45,29.67,30.45,1507869
2010-11-12,29.17,29.89,29.1,29.63,1717388
2010-11-15,28.97,29.62,28.91,29.29,1183817
2010-11-16,27.77,28.83,27.6,28.77,1839609
2010-11-17,28.36,28.7,27.89,27.89,1830237
2010-11-18,28.67,29.33,28.56,28.81,1398414
2010-11-19,29.26,29.35,28.53,28.63,1647933
2010-11-22,29.15,29.42,28.88,29.13,1472138
2010-11-23,28.94,29.19,28.72,28.72,1417949
2010-11-24,29.76,29.965,29.15,29.22,1010662
2010-11-25,29.76,29.965,29.15,29.22,0
2010-11-26,29.76,30.03,29.46,29.51,553984
2010-11-29,29.48,29.83,29.25,29.6,1402007
2010-11-30,29.19,29.45,28.93,28.96,2017826
2010-12-01,29.64,29.76,29.32,29.67,2052600
2010-12-02,30.49,30.53,29.64,29.72,1273457
2010-12-03,30.76,30.81,30.19,30.34,1547467
2010-12-06,31.32,31.54,30.51,30.75,2195838
2010-12-07,31.51,31.97,31.335,31.8,1927231
2010-12-08,31.22,31.66,31.07,31.51,2097672
2010-12-09,31.4,31.86,31.25,31.44,1788436
2010-12-10,31.76,32.02,31.36,31.44,1325688
2010-12-13,31.82,32.18,31.74,31.92,1187819
2010-12-14,30.98,31.9,30.85,31.76,1399070
2010-12-15,30.41,31.2,30.4,30.95,1428213
2010-12-16,30.47,30.73,30.38,30.57,1317609
2010-12-17,30.65,30.79,30.42,30.58,2343467
2010-12-20,31.34,31.42,30.66,30.75,1388785
2010-12-21,31.55,31.6,31.05,31.31,810565
2010-12-22,31.56,31.9,31.41,31.48,1040508
2010-12-23,31.13,31.66,31.1,31.46,890655
2010-12-24,31.13,31.66,31.1,31.46,0
2010-12-27,31.56,31.71,30.86,31.05,910963
2010-12-28,31.4,31.71,30.91,31.57,1297270
2010-12-29,31.48,31.56,31.23,31.53,974528
2010-12-30,31.63,31.74,31.39,31.46,676778
2010-12-31,31.71,31.92,31.52,31.52,873792
2011-01-03,32.31,32.44,31.84,31.97,1953879
2011-01-04,32.25,32.61,31.75,32.49,2804568
2011-01-05,32.8,32.81,32.09,32.09,1976651
2011-01-06,32.76,33.01,32.6,32.79,1557563
2011-01-07,32.5,33.06,32.22,32.73,1785958
2011-01-10,32.69,32.9,32.0,32.33,1980578
2011-01-11,32.43,32.98,32.05,32.78,1111190
2011-01-12,32.46,33.05,32.32,32.75,1207987
2011-01-13,32.3,32.63,32.18,32.55,1093551
2011-01-14,32.5,32.53,32.11,32.34,1735404
2011-01-17,32.5,32.53,32.11,32.34,0
2011-01-18,33.22,33.23,32.41,32.46,1650011
2011-01-19,32.67,33.36,32.51,33.06,985534
2011-01-20,33.13,33.37,32.39,32.53,1236824
2011-01-21,33.31,33.34,32.92,33.26,1143814
2011-01-24,33.3,33.59,33.23,33.23,890199
2011-01-25,33.18,33.43,32.85,33.2,1573882
2011-01-26,32.86,33.34,32.72,33.34,1247217
2011-01-27,34.01,36.04,33.8,35.15,8469121
2011-01-28,32.93,34.08,32.8,34.08,2681741
2011-01-31,33.55,33.73,32.94,33.14,6025486
2011-02-01,33.22,33.85,33.1,33.6,2661359
2011-02-02,32.95,33.37,32.93,33.02,1528519
2011-02-03,33.09,33.33,32.73,32.94,1849483
2011-02-04,33.1,33.218,32.88,33.11,1215374
2011-02-07,33.5,33.61,33.2,33.24,2420477
2011-02-08,33.7,33.83,33.54,33.58,1738047
2011-02-09,33.69,33.77,33.42,33.6,1733871
2011-02-10,33.83,34.0,33.34,33.34,1834154
2011-02-11,34.3,34.3,33.49,33.8,1467479
2011-02-14,34.45,34.78,34.28,34.63,1454605
2011-02-15,34.68,34.69,33.9,34.25,1306273
2011-02-16,35.25,35.3,34.72,34.75,2165824
2011-02-17,35.84,36.0,35.1,35.1,1706759
2011-02-18,35.4,35.9,35.21,35.84,1995157
2011-02-21,35.4,35.9,35.21,35.84,0
2011-02-22,35.04,35.51,34.92,34.98,1815163
2011-02-23,35.0,35.32,34.7,35.06,1791229
2011-02-24,34.82,35.29,34.5,34.94,2078269
2011-02-25,35.67,35.67,35.07,35.12,1505528
2011-02-28,36.38,36.38,35.69,35.82,1571410
2011-03-01,35.16,36.47,35.14,36.37,2501362
2011-03-02,34.63,35.38,34.43,35.23,1644564
2011-03-03,35.91,36.12,35.13,35.18,1930294
2011-03-04,35.63,35.99,35.23,35.83,1219173
2011-03-07,35.15,35.97,34.98,35.74,1100872
2011-03-08,35.94,36.25,35.19,35.31,1168682
2011-03-09,35.64,36.12,35.55,35.835,878285
2011-03-10,34.67,35.29,34.48,35.19,1382939
2011-03-11,34.95,35.03,34.15,34.72,1123152
2011-03-14,34.09,34.7,33.9,34.61,1499558
2011-03-15,33.41,33.7,32.71,32.97,2115174
2011-03-16,33.36,33.99,33.06,33.29,2785956
2011-03-17,33.45,35.15,33.3,35.15,2364547
2011-03-18,33.39,34.24,33.38,33.88,2504365
2011-03-21,34.36,34.62,33.54,33.96,1179381
2011-03-22,34.14,34.54,33.89,34.34,1693157
2011-03-23,33.94,34.15,33.5,34.14,1594937
2011-03-24,34.54,34.68,33.71,34.08,950939
2011-03-25,34.78,35.1,34.43,34.61,854753
2011-03-28,34.66,35.03,34.59,34.82,1063086
2011-03-29,34.82,34.93,34.19,34.58,1216135
2011-03-30,35.65,35.66,34.81,34.94,1219504
2011-03-31,35.97,36.01,35.44,35.44,1135173
2011-04-01,36.04,36.49,35.75,36.21,1784213
2011-04-04,36.18,36.34,36.0,36.05,1060764
2011-04-05,36.05,36.41,36.0,36.0,1783003
2011-04-06,36.16,36.25,35.75,36.25,949692
2011-04-07,35.45,36.1,35.28,36.06,1571035
2011-04-08,35.06,35.78,34.93,35.61,668144
2011-04-11,35.24,35.53,34.99,35.0,955077
2011-04-12,35.17,35.35,34.84,35.04,1282303
2011-04-13,34.94,35.64,34.87,35.37,1430465
2011-04-14,35.79,35.89,34.52,34.83,1505228
2011-04-15,36.41,36.46,35.78,35.89,1707483
2011-04-18,35.82,36.11,35.45,35.89,1398528
2011-04-19,36.12,36.385,35.74,35.88,1347442
2011-04-20,35.69,36.73,35.09,36.67,2330817
2011-04-21,35.94,36.12,35.46,35.77,1279233
2011-04-22,35.94,36.12,35.46,35.77,0
2011-04-25,36.3,36.44,35.76,36.09,1637048
2011-04-26,36.52,36.78,36.12,36.38,1695270
2011-04-27,36.25,36.66,35.9225,36.52,1649550
2011-04-28,36.94,37.06,36.26,36.26,1898212
2011-04-29,36.4,36.9,35.97,36.87,1962506
2011-05-02,36.36,37.05,35.94,36.71,1587244
2011-05-03,36.07,36.61,35.39,36.32,2365238
2011-05-04,35.67,36.27,35.49,36.09,1492262
2011-05-05,35.93,36.22,35.41,35.48,1579260
2011-05-06,35.53,36.39,35.43,36.39,1882039
2011-05-09,35.45,35.66,35.0,35.45,1480252
2011-05-10,36.59,36.68,35.5,35.5,2060344
2011-05-11,35.62,36.61,35.5,36.61,1672820
2011-05-12,35.38,35.535,34.6,35.25,1670186
2011-05-13,34.85,35.5,34.83,35.36,1217105
2011-05-16,34.77,35.16,34.59,34.69,1407296
2011-05-17,34.85,34.85,34.35,34.64,2347029
2011-05-18,35.29,35.32,34.59,34.81,1561832
2011-05-19,35.74,35.88,35.3,35.47,1436465
2011-05-20,35.31,35.73,35.31,35.67,1285296
2011-05-23,34.92,35.13,34.59,34.72,1530444
2011-05-24,35.07,35.2,34.49,34.5,1826897
2011-05-25,35.42,35.53,34.73,34.97,1599583
2011-05-26,36.16,36.29,35.21,35.35,1960016
2011-05-27,36.49,36.77,36.2,36.38,2814648
2011-05-30,36.49,36.77,36.2,36.38,0
