Date,Close,High,Low,Open,Volume
2010-01-01,52.79,53.22,52.71,52.96,0
2010-01-04,53.51,54.1,53.2,53.74,4890214
2010-01-05,54.05,54.07,53.03,53.27,6379247
2010-01-06,54.05,54.85,53.67,54.03,3013779
2010-01-07,56.98,57.21,53.75,53.85,5700753
2010-01-08,57.13,57.52,56.097,56.81,3771194
2010-01-11,57.29,58.0,56.93,57.18,2840829
2010-01-12,56.7,57.76,55.92,56.84,2778257
2010-01-13,57.04,57.49,56.29,56.58,2945716
2010-01-14,57.84,57.98,56.44,56.93,3064097
2010-01-15,56.68,58.0,56.43,57.51,3956788
2010-01-18,56.68,58.0,56.43,57.51,0
2010-01-19,57.83,58.2,55.72,56.54,3770763
2010-01-20,58.79,58.94,57.3007,57.71,6109616
2010-01-21,55.7,58.05,55.01,57.64,9861287
2010-01-22,53.62,56.64,53.31,56.18,7256460
2010-01-25,54.01,54.91,53.07,54.37,3369790
2010-01-26,52.66,54.81,52.6,53.87,4635062
2010-01-27,54.36,54.66,52.44,52.48,4513734
2010-01-28,54.14,55.0,53.2,54.87,4652579
2010-01-29,55.43,56.89,55.2,55.37,8374694
2010-02-01,55.86,56.22,55.01,55.82,5043084
2010-02-02,54.65,56.25,53.8,55.89,9560110
2010-02-03,53.71,54.6,53.67,54.17,74686006
2010-02-04,51.03,53.65,51.0,53.57,20036551
2010-02-05,51.79,51.89,50.46,51.72,12992940
2010-02-08,50.75,52.2,50.61,51.66,6601830
2010-02-09,51.06,52.08,50.46,51.49,9228034
2010-02-10,51.28,52.03,50.91,51.18,5768058
2010-02-11,51.4,51.7,50.74,51.31,4962421
2010-02-12,51.52,51.61,50.6,51.41,7488861
2010-02-15,51.52,51.61,50.6,51.41,0
2010-02-16,52.44,52.5,51.27,51.97,6836653
2010-02-17,51.85,52.8,51.4,52.75,6298107
2010-02-18,51.87,52.22,51.44,51.74,3665295
2010-02-19,51.7,52.14,51.31,51.66,5378444
2010-02-22,53.17,53.61,52.37,52.5,6449232
2010-02-23,52.56,53.39,52.09,53.06,6263644
2010-02-24,53.78,53.82,52.29,53.01,5567343
2010-02-25,53.64,53.65,52.6,53.65,4679596
2010-02-26,53.76,54.06,53.13,53.75,7781358
2010-03-01,53.81,54.0,53.28,53.9,3469220
2010-03-02,53.51,54.23,53.11,53.52,6209517
2010-03-03,53.75,54.34,53.41,53.45,4097405
2010-03-04,54.2,54.3,53.69,54.0,4973745
2010-03-05,55.57,55.68,54.32,54.55,5536111
2010-03-08,55.53,56.29,55.5,56.03,3620719
2010-03-09,56.19,56.5,55.05,55.49,5344504
2010-03-10,57.4,57.6,56.12,56.2,6290810
2010-03-11,58.44,58.45,56.93,57.33,5276702
2010-03-12,57.86,58.92,57.67,58.76,3832297
2010-03-15,57.3,57.58,56.35,57.42,4619062
2010-03-16,58.62,58.62,57.33,57.43,4174686
2010-03-17,59.96,60.1,58.59,58.68,6055012
2010-03-18,59.2,59.98,58.43,59.77,4276950
2010-03-19,59.61,60.14,58.84,59.48,4397762
2010-03-22,59.85,60.09,58.84,58.97,3035549
2010-03-23,59.81,59.982,58.8,59.81,2574691
2010-03-24,59.87,60.56,59.3609,59.57,3476822
2010-03-25,59.93,61.8,59.84,60.26,5465605
2010-03-26,59.57,60.96,59.18,60.03,3660993
2010-03-29,59.47,60.16,58.96,59.8,2715868
2010-03-30,58.69,59.58,58.12,59.51,4012288
2010-03-31,59.7,60.0,58.28,58.28,3886872
2010-04-01,60.24,60.73,59.89,60.32,3070681
2010-04-02,60.24,60.73,59.89,60.32,0
2010-04-05,61.66,61.7,60.34,60.54,3057698
2010-04-06,62.58,62.65,61.37,61.55,3588879
2010-04-07,62.5,63.35,62.12,62.57,4354812
2010-04-08,64.1,64.77,62.19,62.36,6012059
2010-04-09,64.8,64.8,63.49,64.07,4953824
2010-04-12,65.27,65.75,64.83,64.83,4653912
2010-04-13,63.62,65.0,63.36,64.78,5801884
2010-04-14,65.16,65.67,63.86,64.05,4289208
2010-04-15,64.16,65.35,64.01,65.08,3869080
2010-04-16,63.02,64.02,60.79,63.74,9753033
2010-04-19,63.5,63.88,62.17,62.62,5084787
2010-04-20,64.92,64.94,63.245,63.77,3336862
2010-04-21,65.3,66.49,64.12,64.81,6041979
2010-04-22,68.82,69.24,66.39,66.91,10170890
2010-04-23,69.64,70.45,68.87,69.64,6376727
2010-04-26,66.77,69.89,66.7,69.58,4366374
2010-04-27,66.09,68.45,66.02,66.71,5800960
2010-04-28,65.47,66.98,64.71,66.16,7214928
2010-04-29,66.06,67.31,65.79,66.54,7641712
2010-04-30,67.21,67.7,65.89,65.9,9616636
2010-05-03,68.57,68.62,67.05,67.84,4947839
2010-05-04,66.46,67.77,65.97,67.68,5318936
2010-05-05,67.59,68.88,65.42,66.05,7598940
2010-05-06,64.41,68.01,60.86,67.29,9572256
2010-05-07,64.14,65.66,63.31,64.44,6823143
2010-05-10,67.84,68.45,66.39,67.44,5981881
2010-05-11,68.61,69.68,66.53,66.75,4931481
2010-05-12,68.52,69.19,68.07,68.95,3676426
2010-05-13,66.99,68.79,66.98,68.09,3898221
2010-05-14,65.61,66.72,64.7,66.71,5403199
2010-05-17,65.85,66.49,64.25,65.98,4444848
2010-05-18,63.68,66.44,63.17,65.91,7213066
2010-05-19,62.78,64.15,61.28,63.14,6555186
2010-05-20,60.55,62.14,60.38,61.11,6823145
2010-05-21,62.76,62.87,59.28,59.62,7506861
2010-05-24,60.56,62.5,60.42,62.25,6539378
2010-05-25,61.8,61.9,58.77,58.92,6460111
2010-05-26,61.63,62.74,61.02,62.02,7512368
2010-05-27,64.47,64.56,62.13,62.79,4436368
2010-05-28,62.75,64.29,62.32,64.24,3666425
2010-05-31,62.75,64.29,62.32,64.24,0
2010-06-01,61.16,63.75,61.12,62.65,3816213
2010-06-02,63.69,63.7,61.46,61.82,4386314
2010-06-03,62.04,63.99,61.75,63.99,5001421
2010-06-04,58.675,61.31,58.5,61.05,7212165
2010-06-07,58.31,60.22,58.23,59.0,5197733
2010-06-08,59.24,59.35,57.59,58.54,4784993
2010-06-09,58.01,59.45,57.75,59.25,4650125
2010-06-10,60.58,60.73,58.84,59.02,3891824
2010-06-11,61.25,61.33,59.63,59.99,3648305
2010-06-14,60.2,61.6888,60.12,61.5,3722953
2010-06-15,61.96,62.01,60.2,60.84,4289111
2010-06-16,62.35,62.83,61.46,61.65,3366286
2010-06-17,62.19,62.49,61.31,62.35,2891874
2010-06-18,62.78,62.95,61.93,62.51,4930934
2010-06-21,61.87,63.81,61.53,63.5,3327285
2010-06-22,60.63,62.11,60.52,62.1,3664962
2010-06-23,60.71,61.43,60.28,60.51,3348249
2010-06-24,59.07,60.41,58.89,60.13,3909391
2010-06-25,61.03,61.22,59.49,59.77,4655573
2010-06-28,59.83,61.3,59.74,61.09,3066472
2010-06-29,57.58,59.59,57.26,58.97,5041917
2010-06-30,56.5,58.22,56.3,57.4,3691232
2010-07-01,56.32,57.39,54.53,56.5,5283810
2010-07-02,55.67,56.96,55.28,56.7,3036556
2010-07-05,55.67,56.96,55.28,56.7,0
2010-07-06,56.74,57.37,55.99,56.69,4127873
2010-07-07,61.15,61.23,57.03,57.31,8428958
2010-07-08,61.14,61.6,60.06,61.35,4902952
2010-07-09,61.89,62.05,60.76,61.04,3836425
