Date,Close,High,Low,Open,Volume
2010-01-01,39.83,40.4,39.81,40.05,0
2010-01-04,40.35,40.63,40.26,40.3,546494
2010-01-05,38.79,40.2,38.54,40.14,1387532
2010-01-06,38.3,39.2,37.88,39.03,1742154
2010-01-07,37.99,38.241,37.74,38.08,601225
2010-01-08,37.78,38.15,37.46,38.045,632085
2010-01-11,39.44,39.51,38.23,38.65,1289794
2010-01-12,41.11,41.53,39.86,39.86,1353767
2010-01-13,41.91,42.2,41.2201,41.26,885345
2010-01-14,42.13,42.15,41.65,41.65,550765
2010-01-15,42.15,42.32,41.82,41.95,762487
2010-01-18,42.15,42.32,41.82,41.95,0
2010-01-19,43.01,43.105,42.02,42.15,1044122
2010-01-20,42.78,42.88,42.15,42.61,581096
2010-01-21,42.55,43.1,42.17,42.59,725806
2010-01-22,42.56,43.06,42.26,42.35,959214
2010-01-25,41.58,42.69,41.54,42.61,847008
2010-01-26,42.5,42.8,41.25,41.37,1191531
2010-01-27,43.05,43.17,42.44,42.48,839288
2010-01-28,43.53,43.82,42.82,42.99,764272
2010-01-29,44.28,44.59,43.48,43.76,1116048
2010-02-01,44.2,44.83,43.71,44.43,1246378
2010-02-02,45.92,46.1,43.1,43.29,3039226
2010-02-03,46.27,46.9,45.05,45.27,1630189
2010-02-04,45.78,46.48,45.77,46.17,1229764
2010-02-05,45.29,45.9125,44.7001,45.85,1242933
2010-02-08,45.74,46.18,45.2,45.31,1015790
2010-02-09,46.32,46.67,46.04,46.23,1032629
2010-02-10,45.81,46.27,45.7,46.16,439234
2010-02-11,47.06,47.2599,45.01,45.55,1323009
2010-02-12,48.55,48.63,46.36,46.66,2082017
2010-02-15,48.55,48.63,46.36,46.66,0
2010-02-16,48.47,48.98,48.35,48.98,991362
2010-02-17,48.12,48.71,47.88,48.42,1103279
2010-02-18,49.2,49.23,47.97,48.12,1217752
2010-02-19,49.88,50.16,49.15,49.31,1218402
2010-02-22,49.2,49.65,48.61,49.65,971355
2010-02-23,48.97,49.31,48.76,49.15,929703
2010-02-24,48.71,49.04,48.43,48.63,857684
2010-02-25,49.65,50.0198,48.44,48.49,1510430
2010-02-26,49.57,49.96,49.32,49.79,571518
2010-03-01,51.16,51.33,50.35,50.36,1223750
2010-03-02,52.68,52.72,51.26,51.39,1314073
2010-03-03,52.24,52.7299,51.86,52.62,904926
2010-03-04,51.28,52.4799,51.15,52.4,1109539
2010-03-05,50.73,51.85,49.85,51.63,2312826
2010-03-08,50.14,50.99,49.51,50.71,1747596
2010-03-09,49.33,49.9799,49.2,49.96,1432027
2010-03-10,50.1,50.14,49.12,49.17,903411
2010-03-11,50.77,50.9,50.0,50.1,844632
2010-03-12,50.68,50.94,50.28,50.77,515912
2010-03-15,50.94,50.98,50.31,50.62,829933
2010-03-16,51.52,51.58,50.97,51.07,497986
2010-03-17,50.06,51.85,49.76,51.83,1698929
