Date,Close,High,Low,Open,Volume
2010-01-01,49.76,50.98,49.75,50.62,0
2010-01-04,51.77,51.9,50.19,50.43,3001925
2010-01-05,52.79,52.89,51.61,51.84,3238824
2010-01-06,53.41,53.49,52.11,53.01,2848661
2010-01-07,54.27,54.47,52.78,53.4,3068015
2010-01-08,53.56,54.18,52.9,53.91,2406888
2010-01-11,53.49,54.384,52.99,54.15,2453243
2010-01-12,53.05,54.98,52.61,54.65,4278929
2010-01-13,53.8,53.89,52.3,53.19,3145264
2010-01-14,54.08,54.29,52.98,53.53,2394583
2010-01-15,53.46,53.88,52.99,53.78,3701141
2010-01-18,53.46,53.88,52.99,53.78,0
2010-01-19,54.18,54.44,52.88,53.22,3343423
2010-01-20,53.62,53.98,53.04,53.98,2742355
2010-01-21,51.59,53.48,51.55,53.09,5923471
2010-01-22,50.05,51.86,49.78,51.58,4867711
2010-01-25,50.71,51.44,50.21,51.07,2779594
2010-01-26,49.47,51.35,49.26,50.26,2804663
2010-01-27,51.63,51.67,49.19,49.6,4747695
2010-01-28,50.59,52.1,49.9,51.8,3262893
2010-01-29,49.99,51.46,49.58,51.04,3453918
2010-02-01,51.22,51.58,50.33,50.47,2693987
2010-02-02,51.94,51.99,50.85,51.38,2524181
2010-02-03,50.36,51.76,50.16,51.53,3103663
2010-02-04,48.21,50.12,48.16,50.02,4760122
2010-02-05,48.53,49.17,46.33,48.35,4758220
2010-02-08,47.02,48.88,47.01,48.55,3007460
2010-02-09,48.36,49.28,47.26,47.81,4967033
2010-02-10,48.88,49.28,47.97,48.45,3044454
2010-02-11,48.59,48.98,47.78,47.97,5745450
2010-02-12,48.14,48.48,47.12,48.34,4266142
2010-02-15,48.14,48.48,47.12,48.34,0
2010-02-16,49.93,49.95,48.15,48.53,3373853
2010-02-17,50.57,51.31,50.22,51.06,4228360
2010-02-18,51.08,51.24,50.18,50.45,2726451
2010-02-19,51.5,51.74,50.12,50.62,3498141
2010-02-22,51.7,51.92,50.75,51.5,3299861
2010-02-23,50.51,51.99,50.02,51.27,3093425
2010-02-24,51.9,51.95,50.54,50.99,3760644
2010-02-25,52.24,52.29,50.56,51.0,4622920
2010-02-26,52.41,52.53,51.49,52.38,3370624
2010-03-01,53.46,53.55,52.74,52.97,3211057
2010-03-02,53.21,53.85,52.9,53.62,3171715
2010-03-03,52.83,53.42,52.73,53.33,2525217
2010-03-04,53.77,53.79,52.71,52.76,3400063
2010-03-05,54.58,54.75,53.79,54.0,3010940
2010-03-08,55.32,55.68,54.56,54.62,3581671
2010-03-09,55.42,56.0,54.65,54.81,2955636
2010-03-10,55.81,56.6,55.14,55.33,4523462
2010-03-11,55.82,56.1,54.71,55.41,3146205
2010-03-12,55.91,56.56,55.61,56.19,2590037
2010-03-15,55.88,56.61,55.39,55.74,3084567
2010-03-16,57.09,57.13,55.76,56.21,3063794
2010-03-17,57.59,58.24,57.309,57.36,3611396
2010-03-18,57.79,57.98,56.9,57.38,3714577
2010-03-19,57.96,58.52,57.46,57.93,5180132
2010-03-22,58.08,58.14,56.9,57.44,3403709
2010-03-23,58.35,58.43,57.18,58.12,2915188
2010-03-24,58.39,59.0,57.47,57.85,2597009
2010-03-25,58.5,60.22,58.39,58.96,3812352
2010-03-26,59.21,60.2,58.55,58.79,4069814
2010-03-29,59.91,60.0,59.12,59.55,2407873
2010-03-30,59.67,60.4,59.4,60.05,2843824
2010-03-31,60.5,60.52,59.25,59.33,3257904
2010-04-01,61.29,61.7,60.72,60.99,2568147
2010-04-02,61.29,61.7,60.72,60.99,0
2010-04-05,63.0,63.16,61.45,61.65,3848584
2010-04-06,63.81,64.23,62.74,62.75,3873907
2010-04-07,62.84,64.0,62.45,63.51,4861040
2010-04-08,63.48,63.72,61.95,62.49,3161979
2010-04-09,63.52,64.0,62.86,63.62,2198823
2010-04-12,63.09,64.21,62.98,63.91,3059448
2010-04-13,63.38,63.55,62.27,62.78,2787810
2010-04-14,65.11,65.18,63.3,63.55,2996542
2010-04-15,64.46,65.05,63.89,64.72,2317862
2010-04-16,62.84,64.74,61.77,64.31,4410502
2010-04-19,63.67,63.76,61.97,62.44,2748131
2010-04-20,65.28,65.46,64.14,64.36,3029690
2010-04-21,64.85,65.7399,63.86,65.12,2190543
2010-04-22,64.58,64.77,63.34,64.21,2526349
2010-04-23,65.82,65.93,64.31,64.72,2589274
2010-04-26,65.49,66.8,65.32,65.67,2593361
2010-04-27,61.66,65.16,61.5,65.0,3851499
2010-04-28,62.77,63.87,62.09,62.84,4419919
2010-04-29,65.23,65.7,63.29,63.52,3035783
2010-04-30,63.56,65.13,63.42,64.87,3563654
2010-05-03,64.36,64.45,63.18,64.07,2635611
2010-05-04,61.66,63.66,61.03,63.26,4651022
2010-05-05,61.35,62.36,59.46,60.01,3626369
2010-05-06,60.03,63.59,55.75,60.79,8549992
2010-05-07,58.15,60.87,57.0,59.55,8733299
2010-05-10,62.62,62.81,60.11,61.11,5838737
2010-05-11,63.16,64.38,61.45,61.7,4585094
2010-05-12,63.98,64.13,63.17,63.79,2988267
2010-05-13,61.85,63.83,61.8,63.59,3561201
2010-05-14,60.46,61.29,59.16,61.21,4687114
2010-05-17,60.86,61.51,59.02,60.46,3637043
2010-05-18,59.73,61.98,59.23,61.7,4583066
2010-05-19,58.44,60.07,56.7,58.26,4957789
2010-05-20,54.6,56.93,54.58,56.64,7151879
2010-05-21,56.39,56.75,52.57,53.23,7629512
2010-05-24,54.92,56.64,54.83,56.42,4260133
2010-05-25,55.68,55.79,52.42,53.19,4889118
2010-05-26,55.7,57.52,55.37,56.19,4393910
2010-05-27,59.14,59.25,56.99,57.32,4744734
2010-05-28,57.71,59.15,57.27,59.14,3424455
2010-05-31,57.71,59.15,57.27,59.14,0
2010-06-01,56.72,58.28,56.58,56.62,3326217
2010-06-02,58.95,59.06,56.7,56.89,3215272
2010-06-03,59.31,60.37,58.72,59.82,3342921
2010-06-04,55.66,57.83,55.28,57.39,4601241
2010-06-07,54.59,56.58,54.48,55.8,3392528
2010-06-08,55.95,56.1,53.63,54.9,4508122
2010-06-09,55.16,57.32,54.9,56.29,3785194
2010-06-10,58.19,58.35,56.29,56.57,4127210
2010-06-11,58.81,59.05,56.89,57.19,4195136
2010-06-14,57.98,59.9,57.93,59.68,5193295
2010-06-15,58.98,59.28,58.18,58.49,4879195
2010-06-16,58.48,59.1,58.03,58.52,4293465
