Date,Close,High,Low,Open,Volume
2010-01-01,81.45,84.01,81.38,82.91,0
2010-01-04,80.13,82.13,79.51,81.76,1579027
2010-01-05,80.79,80.93,79.23,79.87,1130906
2010-01-06,80.3,81.42,80.02,80.73,832315
2010-01-07,80.19,80.76,78.93,79.88,1284053
2010-01-08,78.73,80.0,78.2,79.64,1281029
2010-01-11,79.27,80.12,78.29,79.24,1356612
2010-01-12,77.98,79.15,77.51,78.46,1694763
2010-01-13,79.52,79.65,77.75,78.09,1346350
2010-01-14,79.12,79.55,78.55,79.35,785013
2010-01-15,78.97,79.25,78.25,78.89,1438559
2010-01-18,78.97,79.25,78.25,78.89,0
2010-01-19,80.64,80.72,78.85,78.9,1330715
2010-01-20,79.75,80.36,79.11,80.21,1262251
2010-01-21,78.74,80.25,78.43,79.93,1944211
2010-01-22,77.67,79.43,77.5,78.725,2070064
2010-01-25,78.76,79.29,77.07,78.57,1502559
2010-01-26,78.33,79.56,78.05,78.14,1222851
2010-01-27,79.96,80.0,77.52,78.53,1669862
2010-01-28,78.55,80.61,77.58,80.27,1664258
2010-01-29,79.18,80.34,78.54,78.77,1834344
2010-02-01,80.47,81.062,79.45,79.51,1303442
2010-02-02,81.14,81.4,79.91,80.7,1391914
2010-02-03,79.81,80.77,79.74,80.71,1056859
2010-02-04,76.68,79.82,76.57,79.28,2768167
2010-02-05,77.63,78.07,75.78,76.88,2079927
2010-02-08,76.02,78.11,75.87,77.56,1531568
2010-02-09,75.81,76.98,75.34,76.77,1472745
2010-02-10,76.05,76.9,74.74,75.71,1104908
2010-02-11,76.74,76.8,75.26,75.94,1133882
2010-02-12,76.55,76.66,75.38,75.79,1324995
2010-02-15,76.55,76.66,75.38,75.79,0
2010-02-16,78.08,78.24,76.81,77.08,1662255
2010-02-17,78.75,79.11,78.19,78.22,1244215
2010-02-18,79.95,80.28,78.49,78.5,1244579
2010-02-19,81.7,82.13,79.92,80.47,1650685
2010-02-22,81.34,82.22,80.98,81.9,1215527
2010-02-23,80.33,81.83,80.18,81.14,1645643
2010-02-24,81.53,81.58,80.31,80.73,1282591
2010-02-25,81.91,81.99,80.34,80.51,1091718
2010-02-26,82.19,83.23,81.65,82.09,1707596
2010-03-01,84.62,85.2,83.06,83.43,1846732
2010-03-02,85.14,86.46,84.9,85.32,1309917
2010-03-03,84.79,85.64,84.75,84.82,1071388
2010-03-04,85.84,85.98,84.73,85.21,1099241
2010-03-05,87.42,87.54,86.17,86.38,1430631
2010-03-08,87.58,88.24,87.17,87.43,1161054
2010-03-09,87.69,88.29,87.0,87.39,1242482
2010-03-10,87.81,88.09,87.02,87.75,1106323
2010-03-11,88.15,88.16,86.64,87.0,1339283
2010-03-12,88.99,89.29,88.25,88.45,1129258
2010-03-15,88.9,89.34,88.07,89.05,698576
2010-03-16,90.75,90.97,88.8,89.1,1122065
2010-03-17,91.74,92.01,90.53,90.9,1175070
