Date,Close,High,Low,Open,Volume
2010-01-01,20.84,21.1,20.84,21.1,0
2010-01-04,21.24,21.2815,21.0,21.12,2460124
2010-01-05,21.33,21.5,21.1,21.32,2155936
2010-01-06,21.94,22.1,21.26,21.36,2902031
2010-01-07,22.27,22.35,21.86,21.98,1940753
2010-01-08,21.86,22.22,21.7,22.13,2612390
2010-01-11,20.98,21.96,20.65,21.92,6054205
2010-01-12,20.59,20.93,20.43,20.85,3404125
2010-01-13,20.63,20.7,20.04,20.6,3291047
2010-01-14,19.44,20.4,19.34,20.21,5720813
2010-01-15,19.06,19.57,19.04,19.52,5392908
2010-01-18,19.06,19.57,19.04,19.52,0
2010-01-19,18.48,18.65,17.96,18.5,7049388
2010-01-20,18.65,18.7,18.16,18.49,4834152
2010-01-21,18.5,19.12,18.49,18.72,5301831
2010-01-22,18.37,19.17,18.32,18.75,5362072
2010-01-25,18.41,18.75,18.27,18.62,2922886
2010-01-26,18.43,18.64,18.15,18.42,2911035
2010-01-27,18.51,18.53,17.92,18.42,3536825
2010-01-28,18.2,18.99,18.18,18.99,3049409
2010-01-29,18.22,18.67,18.2,18.43,2578010
2010-02-01,18.38,18.6,18.28,18.45,2304043
2010-02-02,18.38,18.53,18.26,18.46,1734158
2010-02-03,18.45,18.66,18.3,18.4,2372610
2010-02-04,17.69,18.29,17.65,18.28,2989891
2010-02-05,17.16,17.71,16.75,17.64,5757562
2010-02-08,17.33,17.61,17.05,17.27,2515190
2010-02-09,17.6,17.77,17.31,17.56,2515819
2010-02-10,17.43,17.59,17.11,17.53,2385653
2010-02-11,17.59,17.69,17.2,17.41,1444228
2010-02-12,17.49,17.57,17.21,17.39,1876697
2010-02-15,17.49,17.57,17.21,17.39,0
2010-02-16,17.67,17.75,17.48,17.53,2156275
2010-02-17,17.61,17.83,17.5,17.67,1916671
2010-02-18,18.0,18.03,17.54,17.61,2115878
2010-02-19,17.88,18.17,17.79,17.99,3549541
2010-02-22,19.26,19.49,18.47,18.86,7421195
2010-02-23,19.04,19.36,18.87,19.12,4103793
2010-02-24,19.16,19.42,18.98,19.19,3267742
2010-02-25,19.23,19.24,18.54,18.87,2050749
2010-02-26,19.0,19.35,18.92,19.17,3186828
2010-03-01,19.19,19.3,18.96,19.13,3216735
2010-03-02,18.94,19.37,18.93,19.25,2210076
2010-03-03,18.8,19.3,18.8,19.03,2875230
2010-03-04,18.62,18.92,18.52,18.82,3170046
2010-03-05,18.69,18.79,18.41,18.65,2373197
2010-03-08,18.6,18.77,18.59,18.65,1648691
2010-03-09,18.69,18.82,18.51,18.53,2230159
2010-03-10,18.61,18.67,18.35,18.63,2430531
2010-03-11,18.68,18.71,18.385,18.61,1493492
2010-03-12,19.13,19.14,18.63,18.99,3572124
2010-03-15,18.97,19.22,18.8,19.15,916525
2010-03-16,19.45,19.56,18.915,19.07,2672546
2010-03-17,19.76,20.06,19.54,19.59,3671489
2010-03-18,19.62,20.06,19.58,19.78,1891787
2010-03-19,19.42,19.8,19.33,19.68,2221664
2010-03-22,19.72,19.76,19.24,19.29,2178402
2010-03-23,20.06,20.07,19.68,19.83,1951970
2010-03-24,19.98,20.07,19.83,20.0,2438199
2010-03-25,19.49,20.04,19.47,20.02,2351754
2010-03-26,19.41,19.7,19.26,19.6,1686093
2010-03-29,19.46,19.56,19.39,19.42,3011004
2010-03-30,19.11,19.5,19.03,19.49,2863712
2010-03-31,19.16,19.25,18.84,19.03,3920750
2010-04-01,19.55,19.57,19.24,19.29,1787292
2010-04-02,19.55,19.57,19.24,19.29,0
2010-04-05,19.75,19.79,19.48,19.55,1335186
2010-04-06,19.96,19.96,19.49,19.6,2761318
2010-04-07,19.76,19.92,19.63,19.87,2773304
2010-04-08,19.89,19.9,19.57,19.65,2182844
2010-04-09,20.34,20.34,19.82,19.89,3297360
2010-04-12,20.0,20.5,20.0,20.47,3382684
2010-04-13,19.81,19.97,19.585,19.95,2290230
2010-04-14,19.55,19.9,19.51,19.82,3509742
2010-04-15,19.62,19.81,19.37,19.51,3433675
2010-04-16,19.33,19.73,19.16,19.51,2466873
2010-04-19,19.47,19.47,19.15,19.31,2655943
2010-04-20,19.77,19.845,19.43,19.48,1907295
2010-04-21,20.19,20.25,19.76,19.79,3132950
2010-04-22,20.21,20.245,19.8,20.0,2435024
2010-04-23,20.09,20.36,19.96,20.15,3817006
2010-04-26,19.93,20.05,19.38,20.02,3979643
2010-04-27,19.57,20.18,19.56,19.86,3085227
2010-04-28,19.76,20.0,19.58,19.62,2056927
2010-04-29,20.33,20.39,19.8813,19.95,2210160
2010-04-30,20.13,20.41,20.0,20.4,3018441
2010-05-03,20.12,20.24,19.89,20.16,2089570
2010-05-04,19.65,19.89,19.35,19.83,3846744
2010-05-05,19.59,20.04,18.13,18.6,5435755
2010-05-06,20.01,20.93,18.25,19.9,8701509
2010-05-07,19.67,20.5,19.54,20.11,5555990
2010-05-10,20.6,20.62,20.13,20.41,2965066
